,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW ORLEANS_ACTION,GOLDEN STATE_SCORE,NEW ORLEANS_SCORE
0,1,11:39.0,,A. Davis misses 2-pt jump shot from 10 ft,0,0
1,1,11:38.0,Defensive rebound by Z. Pachulia,,0,0
2,1,11:36.0,Turnover by K. Durant (bad pass),,0,0
3,1,11:28.0,,Turnover by J. Holiday (bad pass),0,0
4,1,11:15.0,K. Durant misses 2-pt jump shot from 16 ft,,0,0
5,1,11:12.0,,Defensive rebound by J. Holiday,0,0
6,1,11:02.0,,E. Moore misses 3-pt jump shot from 22 ft,0,0
7,1,11:02.0,Defensive rebound by K. Durant,,0,0
8,1,10:53.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by D. Green),,2,0
9,1,10:45.0,,D. Cousins misses 2-pt layup from 5 ft,2,0
10,1,10:45.0,,Offensive rebound by D. Cousins,2,0
11,1,10:43.0,,Turnover by D. Cousins (traveling),2,0
12,1,10:33.0,Personal foul by D. Cousins (drawn by K. Thompson),,2,0
13,1,10:23.0,Turnover by D. Green (bad pass; steal by J. Holiday),,2,0
14,1,10:20.0,,E. Moore misses 2-pt layup from 1 ft,2,0
15,1,10:20.0,,Offensive rebound by J. Holiday,2,0
16,1,10:20.0,,J. Holiday makes 2-pt dunk at rim,2,2
17,1,10:20.0,Turnover by K. Durant (bad pass),,2,2
18,1,10:20.0,,D. Cousins makes 3-pt jump shot from 24 ft,2,5
19,1,9:34.0,S. Curry misses 3-pt jump shot from 22 ft,,2,5
20,1,9:34.0,,Defensive rebound by D. Cousins,2,5
21,1,9:25.0,,A. Davis makes 2-pt layup from 6 ft,2,7
22,1,9:04.0,K. Durant makes 2-pt jump shot from 16 ft,,4,7
23,1,8:54.0,,J. Holiday misses 2-pt layup from 3 ft,4,7
24,1,8:53.0,Defensive rebound by Z. Pachulia,,4,7
25,1,8:43.0,D. Green misses 3-pt jump shot from 25 ft,,4,7
26,1,8:42.0,,Defensive rebound by D. Cunningham,4,7
27,1,8:25.0,,D. Cousins makes 2-pt jump shot from 20 ft (assist by J. Holiday),4,9
28,1,8:17.0,Offensive foul by Z. Pachulia (drawn by E. Moore),,4,9
