,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SAN ANTONIO_ACTION,OKLAHOMA CITY_SCORE,SAN ANTONIO_SCORE
0,1,11:55.0,,D. Green makes 2-pt jump shot from 4 ft,0,2
1,1,11:41.0,Personal foul by K. Anderson (drawn by P. George),,0,2
2,1,11:30.0,P. George misses 2-pt jump shot from 3 ft,,0,2
3,1,11:23.0,Offensive rebound by S. Adams,,0,2
4,1,11:23.0,S. Adams makes 2-pt layup at rim,,2,2
5,1,11:15.0,,Turnover by K. Anderson (bad pass),2,2
6,1,11:02.0,R. Westbrook makes 2-pt jump shot from 17 ft,,4,2
7,1,10:39.0,,L. Aldridge misses 2-pt jump shot from 21 ft,4,2
8,1,10:35.0,Defensive rebound by S. Adams,,4,2
9,1,10:29.0,R. Westbrook makes 2-pt layup from 1 ft,,6,2
10,1,10:18.0,,P. Gasol misses 2-pt jump shot from 20 ft,6,2
11,1,10:18.0,,Offensive rebound by L. Aldridge,6,2
12,1,10:08.0,,Personal foul by A. Roberson (drawn by D. Green),6,2
13,1,9:55.0,,P. Mills makes 2-pt layup from 2 ft (assist by P. Gasol),6,4
14,1,9:37.0,C. Anthony makes 2-pt jump shot from 17 ft (assist by P. George),,8,4
15,1,9:22.0,,P. Mills misses 3-pt jump shot from 25 ft,8,4
16,1,9:19.0,Defensive rebound by C. Anthony,,8,4
17,1,9:14.0,R. Westbrook misses 2-pt layup from 1 ft,,8,4
18,1,9:09.0,Offensive rebound by A. Roberson,,8,4
19,1,9:08.0,S. Adams makes 2-pt jump shot from 8 ft (assist by A. Roberson),,10,4
20,1,8:51.0,,P. Mills misses 3-pt jump shot from 25 ft,10,4
21,1,8:51.0,Defensive rebound by R. Westbrook,,10,4
22,1,8:43.0,R. Westbrook misses 3-pt jump shot from 26 ft,,10,4
23,1,8:43.0,,Defensive rebound by Team,10,4
24,1,8:20.0,,L. Aldridge misses 2-pt jump shot from 18 ft,10,4
25,1,8:18.0,Defensive rebound by A. Roberson,,10,4
26,1,8:08.0,Turnover by R. Westbrook (bad pass; steal by D. Green),,10,4
27,1,8:01.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by L. Aldridge),10,7
28,1,7:39.0,C. Anthony misses 2-pt jump shot from 9 ft,,10,7
29,1,7:39.0,Offensive rebound by S. Adams,,10,7
30,1,7:32.0,S. Adams makes 2-pt layup at rim,,12,7
31,1,7:19.0,,D. Green misses 3-pt jump shot from 22 ft,12,7
32,1,7:15.0,Defensive rebound by A. Roberson,,12,7
33,1,7:09.0,R. Westbrook misses 2-pt jump shot from 9 ft,,12,7
34,1,7:06.0,,Defensive rebound by P. Mills,12,7
35,1,6:56.0,,P. Gasol misses 2-pt jump shot from 20 ft,12,7
36,1,6:53.0,,Offensive rebound by L. Aldridge,12,7
37,1,6:50.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Anderson),12,10
38,1,6:50.0,Oklahoma City full timeout,,12,10
39,1,6:35.0,C. Anthony makes 2-pt jump shot from 15 ft (assist by R. Westbrook),,14,10
40,1,6:15.0,,L. Aldridge makes 2-pt jump shot from 14 ft,14,12
41,1,5:51.0,C. Anthony misses 2-pt jump shot from 13 ft,,14,12
42,1,5:46.0,Offensive rebound by S. Adams,,14,12
43,1,5:46.0,S. Adams misses 2-pt hook shot from 8 ft,,14,12
44,1,5:46.0,,Defensive rebound by P. Gasol,14,12
45,1,5:36.0,,Shooting foul by S. Adams (drawn by L. Aldridge),14,12
46,1,5:36.0,,L. Aldridge makes free throw 1 of 2,14,13
47,1,5:36.0,,R. Gay enters the game for P. Mills,14,13
48,1,5:36.0,,D. Murray enters the game for D. Green,14,13
49,1,5:36.0,,M. Ginóbili enters the game for P. Gasol,14,13
50,1,5:36.0,,L. Aldridge misses free throw 2 of 2,14,13
51,1,5:34.0,Defensive rebound by C. Anthony,,14,13
52,1,5:15.0,P. George makes 3-pt jump shot from 25 ft (assist by C. Anthony),,17,13
53,1,4:59.0,,Turnover by M. Ginóbili (bad pass; steal by A. Roberson),17,13
54,1,4:56.0,Shooting foul by D. Murray (drawn by R. Westbrook),,17,13
55,1,4:56.0,R. Westbrook makes free throw 1 of 2,,18,13
56,1,4:56.0,R. Westbrook makes free throw 2 of 2,,19,13
57,1,4:37.0,,K. Anderson misses 2-pt layup from 2 ft (block by S. Adams),19,13
58,1,4:33.0,Defensive rebound by P. George,,19,13
59,1,4:20.0,P. George misses 3-pt jump shot from 24 ft,,19,13
60,1,4:17.0,,Defensive rebound by Team,19,13
61,1,4:00.0,,D. Murray misses 3-pt jump shot from 25 ft,19,13
62,1,3:57.0,Defensive rebound by C. Anthony,,19,13
63,1,3:54.0,Shooting foul by M. Ginóbili (drawn by S. Adams),,19,13
64,1,3:54.0,S. Adams makes free throw 1 of 2,,20,13
65,1,3:54.0,,B. Forbes enters the game for K. Anderson,20,13
66,1,3:54.0,J. Huestis enters the game for P. George,,20,13
67,1,3:54.0,Á. Abrines enters the game for A. Roberson,,20,13
68,1,3:54.0,S. Adams makes free throw 2 of 2,,21,13
69,1,3:45.0,,Turnover by M. Ginóbili (bad pass),21,13
70,1,3:29.0,R. Westbrook makes 2-pt jump shot from 11 ft,,23,13
71,1,3:26.0,,San Antonio full timeout,23,13
72,1,3:26.0,D. Johnson enters the game for S. Adams,,23,13
73,1,3:08.0,,R. Gay misses 3-pt jump shot from 25 ft,23,13
74,1,3:05.0,Defensive rebound by R. Westbrook,,23,13
75,1,2:53.0,C. Anthony makes 2-pt jump shot from 19 ft,,25,13
76,1,2:35.0,,Turnover by L. Aldridge (bad pass),25,13
77,1,2:21.0,Personal foul by D. Murray (drawn by R. Westbrook),,25,13
78,1,2:21.0,,J. Lauvergne enters the game for L. Aldridge,25,13
79,1,2:21.0,J. Grant enters the game for C. Anthony,,25,13
80,1,2:12.0,Shooting foul by D. Murray (drawn by R. Westbrook),,25,13
81,1,2:12.0,R. Westbrook makes free throw 1 of 2,,26,13
82,1,2:12.0,,B. Paul enters the game for D. Murray,26,13
83,1,2:12.0,P. George enters the game for J. Huestis,,26,13
84,1,2:12.0,R. Westbrook makes free throw 2 of 2,,27,13
85,1,2:00.0,,Turnover by M. Ginóbili (bad pass; steal by P. George),27,13
86,1,1:53.0,Á. Abrines makes 2-pt dunk from 1 ft (assist by R. Westbrook),,29,13
87,1,1:39.0,,Turnover by M. Ginóbili (bad pass; steal by D. Johnson),29,13
88,1,1:27.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,32,13
89,1,1:27.0,Shooting foul by B. Forbes (drawn by P. George),,32,13
90,1,1:27.0,P. George misses free throw 1 of 1,,32,13
91,1,1:25.0,,Defensive rebound by J. Lauvergne,32,13
92,1,1:18.0,,R. Gay misses 3-pt jump shot from 25 ft,32,13
93,1,1:15.0,Defensive rebound by J. Grant,,32,13
