,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
0,1,11:44.0,J. Jackson misses 2-pt jump shot from 11 ft,,0,0
1,1,11:42.0,,Defensive rebound by K. Love,0,0
2,1,11:36.0,,J. Green misses 3-pt jump shot from 23 ft,0,0
3,1,11:33.0,Defensive rebound by M. Chriss,,0,0
4,1,11:19.0,M. Chriss misses 3-pt jump shot from 25 ft,,0,0
5,1,11:16.0,,Defensive rebound by L. James,0,0
6,1,11:02.0,,Turnover by J. Calderón (bad pass; steal by D. Bender),0,0
7,1,10:56.0,Turnover by E. Payton (bad pass; steal by G. Hill),,0,0
8,1,10:35.0,,J. Green makes 2-pt jump shot from 7 ft,0,2
9,1,10:18.0,E. Payton misses 2-pt jump shot from 8 ft,,0,2
10,1,10:12.0,Offensive rebound by M. Chriss,,0,2
11,1,10:12.0,M. Chriss misses 2-pt dunk at rim,,0,2
12,1,10:11.0,,Defensive rebound by G. Hill,0,2
13,1,10:01.0,,Turnover by J. Green (traveling),0,2
14,1,9:50.0,Turnover by J. Jackson (out of bounds lost ball),,0,2
15,1,9:34.0,,K. Love misses 2-pt hook shot from 11 ft,0,2
16,1,9:31.0,Defensive rebound by J. Jackson,,0,2
17,1,9:30.0,,Offensive charge foul by J. Jackson (drawn by J. Calderón),0,2
18,1,9:30.0,Turnover by J. Jackson (offensive foul),,0,2
19,1,9:09.0,,K. Love makes 2-pt layup from 1 ft (assist by J. Calderón),0,4
20,1,9:01.0,J. Jackson misses 3-pt jump shot from 25 ft,,0,4
21,1,8:58.0,,Defensive rebound by J. Calderón,0,4
22,1,8:52.0,,L. James makes 2-pt jump shot from 3 ft (assist by J. Calderón),0,6
23,1,8:37.0,T. Daniels makes 3-pt jump shot from 26 ft (assist by E. Payton),,3,6
24,1,8:18.0,,L. James misses 2-pt jump shot from 5 ft,3,6
25,1,8:14.0,Defensive rebound by M. Chriss,,3,6
26,1,8:14.0,E. Payton misses 2-pt jump shot from 6 ft (block by G. Hill),,3,6
27,1,8:13.0,,Defensive rebound by Team,3,6
