,QUARTER,TIME_REMAINING,BOSTON_ACTION,TORONTO_ACTION,BOSTON_SCORE,TORONTO_SCORE
0,1,11:38.0,,D. DeRozan misses 2-pt jump shot from 21 ft,0,0
1,1,11:36.0,Defensive rebound by J. Tatum,,0,0
2,1,11:21.0,A. Horford misses 2-pt jump shot from 12 ft,,0,0
3,1,11:18.0,,Defensive rebound by K. Lowry,0,0
4,1,11:10.0,,S. Ibaka misses 3-pt jump shot from 26 ft,0,0
5,1,11:06.0,,Offensive rebound by J. Valančiūnas,0,0
6,1,11:00.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft,0,2
7,1,10:45.0,J. Brown misses 2-pt jump shot from 14 ft (block by D. DeRozan),,0,2
8,1,10:42.0,,Defensive rebound by D. DeRozan,0,2
9,1,10:35.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,0,2
10,1,10:31.0,Defensive rebound by J. Tatum,,0,2
11,1,10:16.0,T. Rozier makes 2-pt layup from 4 ft (assist by J. Tatum),,2,2
12,1,9:49.0,,Turnover by Team (shot clock),2,2
13,1,9:31.0,A. Baynes misses 2-pt hook shot from 2 ft (block by S. Ibaka),,2,2
14,1,9:31.0,Offensive rebound by Team,,2,2
15,1,9:26.0,J. Tatum misses 2-pt jump shot from 17 ft,,2,2
16,1,9:23.0,,Defensive rebound by S. Ibaka,2,2
17,1,9:13.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,2,2
18,1,9:10.0,Defensive rebound by A. Horford,,2,2
19,1,9:07.0,Personal foul by K. Lowry (drawn by A. Horford),,2,2
20,1,8:59.0,Personal foul by O. Anunoby (drawn by A. Horford),,2,2
21,1,8:49.0,Shooting foul by O. Anunoby (drawn by A. Horford),,2,2
22,1,8:49.0,A. Horford makes free throw 1 of 2,,3,2
23,1,8:49.0,A. Horford makes free throw 2 of 2,,4,2
24,1,8:40.0,,D. DeRozan misses 2-pt jump shot from 18 ft,4,2
25,1,8:37.0,Defensive rebound by T. Rozier,,4,2
26,1,8:26.0,T. Rozier misses 2-pt jump shot from 19 ft,,4,2
27,1,8:22.0,Offensive rebound by T. Rozier,,4,2
28,1,8:21.0,Turnover by T. Rozier (bad pass; steal by D. DeRozan),,4,2
29,1,8:09.0,,D. DeRozan makes 3-pt jump shot from 23 ft,4,5
30,1,7:52.0,J. Brown makes 3-pt jump shot from 23 ft (assist by J. Tatum),,7,5
31,1,7:36.0,,K. Lowry misses 3-pt jump shot from 28 ft,7,5
32,1,7:33.0,,Offensive rebound by J. Valančiūnas,7,5
33,1,7:27.0,,J. Valančiūnas misses 2-pt layup from 2 ft,7,5
34,1,7:25.0,Defensive rebound by J. Tatum,,7,5
35,1,7:20.0,J. Tatum makes 2-pt layup from 1 ft,,9,5
36,1,6:56.0,,S. Ibaka makes 2-pt jump shot from 16 ft (assist by K. Lowry),9,7
37,1,6:37.0,J. Tatum misses 2-pt dunk from 2 ft,,9,7
38,1,6:35.0,,Defensive rebound by O. Anunoby,9,7
39,1,6:31.0,,Personal foul by J. Brown (drawn by J. Valančiūnas),9,7
40,1,6:31.0,,Toronto full timeout,9,7
41,1,6:31.0,,N. Powell enters the game for O. Anunoby,9,7
42,1,6:31.0,S. Ojeleye enters the game for J. Tatum,,9,7
43,1,6:31.0,M. Morris enters the game for A. Horford,,9,7
44,1,6:20.0,,J. Valančiūnas makes 2-pt jump shot from 7 ft (assist by K. Lowry),9,9
45,1,6:03.0,J. Brown makes 2-pt layup from 4 ft (assist by T. Rozier),,11,9
46,1,5:44.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by S. Ibaka),11,12
47,1,5:26.0,J. Brown misses 3-pt jump shot from 26 ft,,11,12
48,1,5:23.0,,Defensive rebound by K. Lowry,11,12
49,1,5:16.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,11,12
50,1,5:13.0,Defensive rebound by T. Rozier,,11,12
51,1,5:07.0,T. Rozier misses 2-pt jump shot from 18 ft,,11,12
52,1,5:05.0,,Defensive rebound by N. Powell,11,12
53,1,4:52.0,,S. Ibaka misses 3-pt jump shot from 25 ft,11,12
54,1,4:48.0,Defensive rebound by T. Rozier,,11,12
