,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,K. Towns makes 2-pt dunk at rim (assist by J. Teague),0,2
1,1,11:23.0,D. Brooks misses 2-pt jump shot from 19 ft,,0,2
2,1,11:20.0,,Defensive rebound by J. Teague,0,2
3,1,11:15.0,,J. Teague makes 2-pt jump shot from 18 ft,0,4
4,1,10:53.0,B. McLemore misses 2-pt layup at rim,,0,4
5,1,10:52.0,Offensive rebound by Team,,0,4
6,1,10:51.0,B. McLemore makes 2-pt layup from 1 ft (assist by D. Brooks),,2,4
7,1,10:34.0,,Turnover by T. Gibson (bad pass),2,4
8,1,10:23.0,D. Davis makes 2-pt jump shot from 17 ft (assist by I. Rabb),,4,4
9,1,10:04.0,,J. Teague misses 2-pt jump shot from 6 ft,4,4
10,1,10:02.0,,Offensive rebound by T. Gibson,4,4
11,1,10:00.0,,A. Wiggins misses 3-pt jump shot from 25 ft,4,4
12,1,9:57.0,,Offensive rebound by Team,4,4
13,1,9:51.0,,A. Wiggins makes 2-pt layup at rim (assist by K. Towns),4,6
14,1,9:38.0,D. Brooks misses 3-pt jump shot from 25 ft,,4,6
15,1,9:36.0,,Defensive rebound by T. Gibson,4,6
16,1,9:19.0,,J. Teague misses 3-pt jump shot from 25 ft,4,6
17,1,9:15.0,,Offensive rebound by J. Butler,4,6
18,1,9:15.0,,J. Butler misses 2-pt layup from 1 ft,4,6
19,1,9:11.0,,Offensive rebound by A. Wiggins,4,6
20,1,9:02.0,,Personal foul by K. Simmons (drawn by J. Butler),4,6
21,1,8:52.0,,K. Towns misses 2-pt hook shot from 7 ft,4,6
22,1,8:50.0,Defensive rebound by D. Davis,,4,6
23,1,8:45.0,B. McLemore makes 2-pt layup from 1 ft (assist by K. Simmons),,6,6
24,1,8:34.0,,Shooting foul by D. Brooks (drawn by J. Butler),6,6
25,1,8:34.0,,J. Butler misses free throw 1 of 2,6,6
26,1,8:34.0,,Offensive rebound by Team,6,6
27,1,8:34.0,,J. Butler makes free throw 2 of 2,6,7
28,1,8:20.0,D. Davis makes 2-pt jump shot from 9 ft (assist by B. McLemore),,8,7
29,1,8:01.0,,J. Teague misses 2-pt layup from 4 ft (block by D. Davis),8,7
30,1,8:01.0,,Offensive rebound by T. Gibson,8,7
31,1,7:57.0,,T. Gibson misses 2-pt hook shot at rim,8,7
32,1,7:56.0,Defensive rebound by I. Rabb,,8,7
33,1,7:52.0,K. Simmons misses 2-pt layup from 2 ft (block by T. Gibson),,8,7
34,1,7:47.0,,Defensive rebound by K. Towns,8,7
35,1,7:36.0,,Shooting foul by D. Davis (drawn by K. Towns),8,7
36,1,7:36.0,,K. Towns makes free throw 1 of 2,8,8
37,1,7:36.0,,K. Towns misses free throw 2 of 2,8,8
38,1,7:34.0,Defensive rebound by I. Rabb,,8,8
39,1,7:20.0,Turnover by D. Brooks (bad pass),,8,8
40,1,7:02.0,,J. Teague makes 2-pt jump shot from 15 ft,8,10
41,1,6:47.0,Turnover by D. Brooks (bad pass; steal by J. Teague),,8,10
42,1,6:43.0,,J. Butler misses 3-pt jump shot from 24 ft,8,10
43,1,6:40.0,Defensive rebound by B. McLemore,,8,10
44,1,6:38.0,Memphis full timeout,,8,10
45,1,6:26.0,Shooting foul by A. Wiggins (drawn by B. McLemore),,8,10
46,1,6:26.0,B. McLemore makes free throw 1 of 2,,9,10
47,1,6:26.0,O. Johnson enters the game for I. Rabb,,9,10
48,1,6:26.0,B. McLemore makes free throw 2 of 2,,10,10
49,1,6:19.0,,Personal foul by D. Davis (drawn by K. Towns),10,10
50,1,6:19.0,,N. Bjelica enters the game for J. Butler,10,10
51,1,6:19.0,I. Rabb enters the game for D. Davis,,10,10
52,1,6:12.0,,K. Towns misses 2-pt hook shot from 6 ft,10,10
53,1,6:10.0,Defensive rebound by I. Rabb,,10,10
54,1,6:03.0,K. Simmons misses 2-pt jump shot from 18 ft,,10,10
55,1,6:03.0,Offensive rebound by Team,,10,10
56,1,6:03.0,,Loose ball foul by K. Towns (drawn by I. Rabb),10,10
57,1,6:03.0,M. Brooks enters the game for B. McLemore,,10,10
58,1,5:59.0,D. Brooks misses 2-pt jump shot from 16 ft,,10,10
59,1,5:56.0,Offensive rebound by I. Rabb,,10,10
60,1,5:54.0,O. Johnson misses 3-pt jump shot from 24 ft,,10,10
61,1,5:49.0,,Defensive rebound by K. Towns,10,10
62,1,5:38.0,,T. Gibson misses 2-pt layup from 1 ft,10,10
63,1,5:36.0,Defensive rebound by D. Brooks,,10,10
64,1,5:31.0,M. Brooks misses 2-pt jump shot from 21 ft,,10,10
65,1,5:29.0,Offensive rebound by O. Johnson,,10,10
66,1,5:28.0,O. Johnson makes 2-pt layup at rim,,12,10
67,1,5:10.0,,A. Wiggins misses 2-pt layup from 5 ft,12,10
68,1,5:06.0,,Offensive rebound by A. Wiggins,12,10
69,1,5:06.0,,A. Wiggins misses 2-pt layup at rim,12,10
70,1,5:05.0,Defensive rebound by O. Johnson,,12,10
71,1,5:04.0,Turnover by K. Simmons (bad pass; steal by J. Teague),,12,10
72,1,4:58.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Teague),12,12
73,1,4:42.0,D. Brooks misses 2-pt layup from 1 ft (block by N. Bjelica),,12,12
74,1,4:40.0,,Defensive rebound by K. Towns,12,12
75,1,4:36.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),12,14
76,1,4:15.0,D. Brooks misses 2-pt layup from 1 ft (block by K. Towns),,12,14
77,1,4:15.0,Offensive rebound by Team,,12,14
78,1,4:15.0,M. Chalmers enters the game for K. Simmons,,12,14
79,1,4:10.0,M. Brooks misses 3-pt jump shot from 26 ft,,12,14
80,1,4:07.0,,Defensive rebound by T. Gibson,12,14
81,1,4:06.0,,Turnover by T. Gibson (lost ball; steal by M. Chalmers),12,14
82,1,4:03.0,D. Brooks makes 2-pt layup from 1 ft (assist by M. Chalmers),,14,14
83,1,3:46.0,,Turnover by K. Towns (bad pass),14,14
84,1,3:46.0,,G. Dieng enters the game for K. Towns,14,14
85,1,3:40.0,M. Chalmers makes 2-pt layup at rim,,16,14
86,1,3:40.0,Shooting foul by G. Dieng (drawn by M. Chalmers),,16,14
87,1,3:40.0,,J. Crawford enters the game for T. Gibson,16,14
88,1,3:40.0,M. Chalmers makes free throw 1 of 1,,17,14
89,1,3:26.0,,J. Teague misses 2-pt layup from 4 ft (block by M. Chalmers),17,14
90,1,3:23.0,,Offensive rebound by G. Dieng,17,14
91,1,3:19.0,,J. Teague misses 3-pt jump shot from 22 ft,17,14
92,1,3:15.0,Defensive rebound by D. Brooks,,17,14
93,1,2:54.0,M. Chalmers misses 3-pt jump shot from 25 ft,,17,14
94,1,2:51.0,,Defensive rebound by J. Teague,17,14
95,1,2:45.0,,J. Teague misses 2-pt layup from 1 ft,17,14
96,1,2:43.0,Defensive rebound by M. Chalmers,,17,14
97,1,2:38.0,M. Brooks makes 3-pt jump shot from 23 ft (assist by D. Brooks),,20,14
98,1,2:30.0,,A. Wiggins misses 2-pt layup from 2 ft (block by I. Rabb),20,14
99,1,2:27.0,Defensive rebound by I. Rabb,,20,14
100,1,2:23.0,D. Brooks makes 2-pt layup at rim (assist by M. Chalmers),,22,14
101,1,2:16.0,,Minnesota full timeout,22,14
102,1,2:16.0,,T. Jones enters the game for J. Teague,22,14
103,1,2:16.0,M. Henry enters the game for I. Rabb,,22,14
104,1,2:16.0,B. McLemore enters the game for D. Brooks,,22,14
105,1,2:02.0,,T. Jones misses 3-pt jump shot from 22 ft,22,14
106,1,1:59.0,Defensive rebound by M. Brooks,,22,14
107,1,1:50.0,O. Johnson makes 2-pt layup at rim (assist by M. Brooks),,24,14
108,1,1:36.0,,J. Crawford makes 2-pt jump shot from 20 ft,24,16
109,1,1:11.0,M. Henry misses 2-pt layup from 1 ft,,24,16
110,1,1:08.0,Offensive rebound by Team,,24,16
111,1,1:06.0,M. Henry misses 2-pt layup from 1 ft (block by N. Bjelica),,24,16
112,1,1:02.0,,Defensive rebound by G. Dieng,24,16
113,1,0:55.0,,Personal foul by M. Henry (drawn by G. Dieng),24,16
114,1,0:55.0,,G. Dieng makes free throw 1 of 2,24,17
115,1,0:55.0,,G. Dieng misses free throw 2 of 2,24,17
116,1,0:53.0,,Offensive rebound by G. Dieng,24,17
117,1,0:49.0,,G. Dieng makes 3-pt jump shot from 22 ft (assist by T. Jones),24,20
118,1,0:30.0,M. Henry misses 3-pt jump shot from 25 ft,,24,20
119,1,0:26.0,,Defensive rebound by G. Dieng,24,20
120,1,0:06.0,,Turnover by N. Bjelica (lost ball; steal by M. Brooks),24,20
121,1,0:02.0,Shooting foul by T. Jones (drawn by M. Brooks),,24,20
122,1,0:02.0,M. Brooks makes free throw 1 of 2,,25,20
123,1,0:02.0,K. Simmons enters the game for M. Henry,,25,20
124,1,0:02.0,M. Brooks makes free throw 2 of 2,,26,20
125,1,0:00.0,,T. Jones misses 3-pt jump shot from 42 ft,26,20
126,1,0:00.0,,Offensive rebound by Team,26,20
127,2,11:48.0,O. Johnson misses 2-pt jump shot from 19 ft,,26,20
128,2,11:42.0,Offensive rebound by M. Henry,,26,20
129,2,11:33.0,K. Simmons misses 3-pt jump shot from 25 ft,,26,20
130,2,11:31.0,,Defensive rebound by K. Towns,26,20
