,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
0,1,11:39.0,I. Smith makes 2-pt layup from 1 ft (assist by R. Bullock),,2,0
1,1,11:30.0,Violation by T. Harris (kicked ball),,2,0
2,1,11:23.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by K. Dunn),2,3
3,1,11:03.0,R. Bullock misses 2-pt layup from 2 ft,,2,3
4,1,10:59.0,Offensive rebound by A. Drummond,,2,3
5,1,10:59.0,A. Drummond makes 2-pt layup at rim,,4,3
6,1,10:41.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by Z. LaVine),4,5
7,1,10:19.0,I. Smith makes 2-pt jump shot from 19 ft (assist by A. Bradley),,6,5
8,1,10:01.0,,Turnover by J. Holiday (bad pass; steal by A. Bradley),6,5
9,1,9:57.0,T. Harris misses 3-pt jump shot from 25 ft,,6,5
10,1,9:53.0,,Defensive rebound by J. Holiday,6,5
11,1,9:49.0,,Turnover by J. Holiday (lost ball; steal by T. Harris),6,5
12,1,9:35.0,Turnover by A. Bradley (out of bounds lost ball),,6,5
13,1,9:17.0,,K. Dunn makes 2-pt jump shot from 12 ft,6,7
14,1,8:54.0,T. Harris makes 2-pt layup from 1 ft (assist by A. Drummond),,8,7
15,1,8:42.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by J. Holiday),8,10
16,1,8:21.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by T. Harris),,11,10
17,1,8:12.0,,Z. LaVine makes 2-pt jump shot from 14 ft,11,12
18,1,7:57.0,Detroit full timeout,,11,12
19,1,7:57.0,,D. Valentine enters the game for Z. LaVine,11,12
20,1,7:54.0,Turnover by R. Bullock (bad pass; steal by K. Dunn),,11,12
21,1,7:50.0,,K. Dunn makes 2-pt dunk at rim,11,14
22,1,7:40.0,T. Harris misses 3-pt jump shot from 25 ft,,11,14
23,1,7:37.0,,Defensive rebound by D. Valentine,11,14
24,1,7:25.0,,L. Markkanen misses 2-pt layup from 4 ft (block by A. Drummond),11,14
25,1,7:21.0,,Offensive rebound by L. Markkanen,11,14
26,1,7:21.0,,L. Markkanen misses 2-pt layup from 2 ft (block by A. Drummond),11,14
27,1,7:18.0,Defensive rebound by R. Bullock,,11,14
28,1,7:16.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by I. Smith),,14,14
29,1,6:51.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),14,17
30,1,6:23.0,A. Bradley makes 2-pt layup from 6 ft (assist by A. Drummond),,16,17
31,1,6:08.0,,K. Dunn misses 2-pt jump shot from 13 ft,16,17
32,1,6:03.0,Defensive rebound by T. Harris,,16,17
33,1,5:57.0,Turnover by T. Harris (bad pass; steal by L. Markkanen),,16,17
34,1,5:51.0,,R. Lopez makes 2-pt jump shot from 18 ft (assist by D. Valentine),16,19
35,1,5:37.0,Shooting foul by J. Holiday (drawn by A. Drummond),,16,19
36,1,5:37.0,A. Drummond makes free throw 1 of 2,,17,19
37,1,5:37.0,A. Drummond misses free throw 2 of 2,,17,19
38,1,5:33.0,,Defensive rebound by D. Valentine,17,19
39,1,5:18.0,,Turnover by R. Lopez (lost ball; steal by A. Drummond),17,19
40,1,5:10.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by I. Smith),,20,19
41,1,5:00.0,,L. Markkanen makes 3-pt jump shot from 24 ft (assist by R. Lopez),20,22
42,1,4:42.0,Shooting foul by D. Valentine (drawn by A. Drummond),,20,22
43,1,4:42.0,A. Drummond makes free throw 1 of 2,,21,22
44,1,4:42.0,L. Kennard enters the game for R. Bullock,,21,22
45,1,4:42.0,A. Drummond makes free throw 2 of 2,,22,22
46,1,4:31.0,,K. Dunn misses 2-pt layup from 1 ft,22,22
47,1,4:31.0,,Offensive rebound by R. Lopez,22,22
48,1,4:31.0,,R. Lopez makes 2-pt layup at rim,22,24
49,1,4:15.0,Turnover by A. Bradley (bad pass; steal by K. Dunn),,22,24
50,1,4:11.0,,J. Holiday makes 3-pt jump shot from 22 ft (assist by K. Dunn),22,27
51,1,3:54.0,A. Bradley misses 2-pt jump shot from 11 ft,,22,27
52,1,3:50.0,Offensive rebound by A. Drummond,,22,27
53,1,3:48.0,A. Drummond makes 2-pt jump shot from 2 ft,,24,27
54,1,3:39.0,,R. Lopez makes 2-pt dunk from 1 ft (assist by K. Dunn),24,29
55,1,3:22.0,A. Bradley misses 2-pt jump shot from 15 ft,,24,29
56,1,3:19.0,,Defensive rebound by K. Dunn,24,29
57,1,3:16.0,,Personal foul by A. Drummond (drawn by K. Dunn),24,29
58,1,3:16.0,,N. Mirotić enters the game for L. Markkanen,24,29
59,1,3:16.0,D. Buycks enters the game for I. Smith,,24,29
60,1,3:02.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by K. Dunn),24,31
61,1,2:38.0,Turnover by T. Harris (lost ball; steal by K. Dunn),,24,31
62,1,2:33.0,,J. Holiday makes 3-pt jump shot from 22 ft (assist by K. Dunn),24,34
63,1,2:10.0,A. Drummond makes 2-pt layup from 2 ft,,26,34
64,1,2:01.0,,R. Lopez makes 2-pt dunk at rim (assist by D. Valentine),26,36
65,1,1:45.0,A. Bradley misses 3-pt jump shot from 25 ft,,26,36
66,1,1:45.0,,Defensive rebound by J. Holiday,26,36
67,1,1:32.0,,R. Lopez misses 2-pt hook shot from 3 ft,26,36
68,1,1:30.0,Defensive rebound by A. Drummond,,26,36
69,1,1:24.0,D. Buycks misses 2-pt layup from 6 ft (block by K. Dunn),,26,36
70,1,1:24.0,,Defensive rebound by K. Dunn,26,36
71,1,1:11.0,,Turnover by R. Lopez (bad pass),26,36
72,1,1:11.0,,Chicago full timeout,26,36
73,1,1:11.0,,J. Grant enters the game for K. Dunn,26,36
74,1,0:50.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by D. Buycks),,29,36
75,1,0:35.0,,R. Lopez misses 2-pt layup from 3 ft,29,36
76,1,0:33.0,Defensive rebound by A. Drummond,,29,36
77,1,0:24.0,L. Kennard makes 2-pt jump shot from 20 ft (assist by A. Drummond),,31,36
78,1,0:05.0,,N. Mirotić misses 3-pt jump shot from 25 ft,31,36
79,1,0:03.0,Defensive rebound by T. Harris,,31,36
80,1,0:00.0,T. Harris misses 3-pt jump shot from 34 ft,,31,36
81,1,0:00.0,Offensive rebound by Team,,31,36
82,2,11:37.0,,B. Portis makes 2-pt jump shot from 7 ft (assist by Z. LaVine),31,38
83,2,11:14.0,E. Moreland makes 2-pt jump shot from 6 ft (assist by D. Buycks),,33,38
84,2,11:14.0,Shooting foul by N. Mirotić (drawn by E. Moreland),,33,38
85,2,11:14.0,E. Moreland makes free throw 1 of 1,,34,38
86,2,10:59.0,,D. Nwaba misses 2-pt hook shot from 3 ft,34,38
87,2,10:57.0,Defensive rebound by A. Tolliver,,34,38
88,2,10:47.0,Turnover by L. Kennard (bad pass; steal by D. Nwaba),,34,38
89,2,10:43.0,,Z. LaVine misses 2-pt layup from 1 ft,34,38
90,2,10:41.0,Defensive rebound by L. Kennard,,34,38
91,2,10:27.0,A. Tolliver misses 3-pt jump shot from 22 ft,,34,38
92,2,10:24.0,,Defensive rebound by J. Grant,34,38
93,2,10:15.0,,B. Portis makes 2-pt jump shot from 9 ft (assist by J. Grant),34,40
94,2,9:55.0,L. Kennard misses 3-pt jump shot from 26 ft,,34,40
95,2,9:51.0,,Defensive rebound by J. Grant,34,40
96,2,9:42.0,,B. Portis makes 2-pt jump shot from 12 ft (assist by N. Mirotić),34,42
97,2,9:35.0,Detroit full timeout,,34,42
98,2,9:16.0,D. Buycks misses 2-pt jump shot from 23 ft,,34,42
99,2,9:12.0,,Defensive rebound by D. Nwaba,34,42
100,2,8:58.0,,J. Grant misses 2-pt jump shot from 22 ft,34,42
