,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHARLOTTE_ACTION,PORTLAND_SCORE,CHARLOTTE_SCORE
0,1,11:32.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 21 ft,0,0
1,1,11:32.0,,Offensive rebound by Team,0,0
2,1,11:32.0,,Turnover by Team (shot clock),0,0
3,1,11:20.0,C. McCollum makes 2-pt jump shot from 19 ft (assist by D. Lillard),,2,0
4,1,10:59.0,,D. Howard misses 2-pt jump shot from 17 ft,2,0
5,1,10:56.0,Defensive rebound by J. Nurkić,,2,0
6,1,10:50.0,D. Lillard misses 2-pt jump shot from 19 ft,,2,0
7,1,10:48.0,,Defensive rebound by N. Batum,2,0
8,1,10:38.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,2,2
9,1,10:15.0,E. Turner misses 2-pt jump shot from 13 ft,,2,2
10,1,10:13.0,,Defensive rebound by M. Kidd-Gilchrist,2,2
11,1,10:08.0,,K. Walker misses 3-pt jump shot from 25 ft,2,2
12,1,10:06.0,Defensive rebound by Team,,2,2
13,1,9:53.0,C. McCollum makes 2-pt jump shot from 17 ft (assist by D. Lillard),,4,2
14,1,9:41.0,,M. Williams misses 3-pt jump shot from 26 ft,4,2
15,1,9:38.0,Defensive rebound by E. Turner,,4,2
16,1,9:32.0,Shooting foul by D. Howard (drawn by J. Nurkić),,4,2
17,1,9:32.0,J. Nurkić makes free throw 1 of 2,,5,2
18,1,9:32.0,J. Nurkić makes free throw 2 of 2,,6,2
19,1,9:18.0,,Shooting foul by C. McCollum (drawn by M. Kidd-Gilchrist),6,2
20,1,9:18.0,,M. Kidd-Gilchrist misses free throw 1 of 2,6,2
21,1,9:18.0,,Offensive rebound by Team,6,2
22,1,9:18.0,,M. Kidd-Gilchrist makes free throw 2 of 2,6,3
23,1,9:06.0,J. Nurkić misses 2-pt layup from 4 ft,,6,3
24,1,9:05.0,,Defensive rebound by M. Kidd-Gilchrist,6,3
25,1,8:44.0,,K. Walker misses 2-pt jump shot from 18 ft,6,3
26,1,8:42.0,Defensive rebound by D. Lillard,,6,3
27,1,8:35.0,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),,8,3
28,1,8:35.0,,Charlotte full timeout,8,3
29,1,8:14.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),8,6
30,1,7:55.0,Turnover by A. Aminu (lost ball; steal by D. Howard),,8,6
31,1,7:47.0,,M. Williams makes 2-pt jump shot at rim (assist by K. Walker),8,8
32,1,7:30.0,J. Nurkić makes 2-pt dunk from 5 ft (assist by D. Lillard),,10,8
33,1,7:30.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Nurkić),,10,8
34,1,7:30.0,J. Nurkić misses free throw 1 of 1,,10,8
35,1,7:25.0,,Defensive rebound by M. Williams,10,8
36,1,7:19.0,,K. Walker makes 2-pt layup at rim,10,10
37,1,7:09.0,C. McCollum makes 3-pt jump shot from 27 ft (assist by D. Lillard),,13,10
38,1,7:04.0,,Offensive foul by D. Howard (drawn by J. Nurkić),13,10
39,1,7:04.0,,Turnover by D. Howard (offensive foul),13,10
40,1,7:04.0,,J. Lamb enters the game for N. Batum,13,10
41,1,6:44.0,D. Lillard makes 2-pt jump shot from 14 ft (assist by E. Turner),,15,10
42,1,6:25.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 11 ft,15,10
43,1,6:21.0,,Offensive rebound by D. Howard,15,10
44,1,6:18.0,,M. Williams misses 3-pt jump shot from 24 ft,15,10
45,1,6:18.0,,Offensive rebound by D. Howard,15,10
46,1,6:15.0,,M. Williams makes 2-pt layup from 1 ft (assist by D. Howard),15,12
47,1,5:52.0,Personal foul by J. Lamb (drawn by J. Nurkić),,15,12
48,1,5:52.0,Z. Collins enters the game for E. Turner,,15,12
49,1,5:52.0,E. Davis enters the game for J. Nurkić,,15,12
50,1,5:40.0,C. McCollum misses 3-pt jump shot from 26 ft,,15,12
51,1,5:37.0,,Defensive rebound by D. Howard,15,12
52,1,5:27.0,,Shooting foul by Z. Collins (drawn by M. Williams),15,12
53,1,5:27.0,,M. Williams makes free throw 1 of 2,15,13
54,1,5:27.0,,M. Williams misses free throw 2 of 2,15,13
55,1,5:25.0,Defensive rebound by Z. Collins,,15,13
56,1,5:16.0,D. Lillard misses 2-pt jump shot from 19 ft,,15,13
57,1,5:14.0,,Defensive rebound by D. Howard,15,13
58,1,5:06.0,,K. Walker makes 2-pt jump shot from 10 ft,15,15
59,1,4:50.0,A. Aminu misses 2-pt jump shot from 15 ft,,15,15
60,1,4:49.0,Offensive rebound by Team,,15,15
61,1,4:49.0,,F. Kaminsky enters the game for M. Williams,15,15
62,1,4:40.0,A. Aminu misses 3-pt jump shot from 28 ft,,15,15
63,1,4:37.0,,Defensive rebound by D. Howard,15,15
