,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SACRAMENTO_ACTION,PHILADELPHIA_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,Shooting foul by W. Cauley-Stein (drawn by J. Embiid),,0,0
1,1,11:47.0,J. Embiid makes free throw 1 of 2,,1,0
2,1,11:47.0,J. Embiid makes free throw 2 of 2,,2,0
3,1,11:27.0,,B. Bogdanović misses 3-pt jump shot from 22 ft,2,0
4,1,11:24.0,Defensive rebound by D. Šarić,,2,0
5,1,11:19.0,Turnover by D. Šarić (out of bounds lost ball),,2,0
6,1,11:08.0,,Z. Randolph misses 2-pt jump shot from 12 ft,2,0
7,1,11:06.0,Defensive rebound by B. Simmons,,2,0
8,1,11:01.0,J. Embiid misses 3-pt jump shot from 25 ft,,2,0
9,1,10:55.0,,Defensive rebound by Z. Randolph,2,0
10,1,10:44.0,,G. Hill misses 2-pt layup from 2 ft,2,0
11,1,10:44.0,,W. Cauley-Stein misses 2-pt layup from 1 ft,2,0
12,1,10:44.0,,Offensive rebound by Team,2,0
13,1,10:42.0,,Offensive rebound by W. Cauley-Stein,2,0
14,1,10:24.0,,Z. Randolph misses 2-pt jump shot from 3 ft,2,0
15,1,10:21.0,Defensive rebound by J. Embiid,,2,0
16,1,10:15.0,Turnover by D. Šarić (step out of bounds),,2,0
17,1,10:10.0,,Personal foul by B. Simmons (drawn by W. Cauley-Stein),2,0
18,1,9:57.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,2,0
19,1,9:54.0,Defensive rebound by J. Redick,,2,0
20,1,9:49.0,R. Covington misses 3-pt jump shot from 24 ft,,2,0
21,1,9:44.0,,Defensive rebound by G. Temple,2,0
22,1,9:37.0,,W. Cauley-Stein makes 2-pt jump shot from 13 ft,2,2
23,1,9:28.0,Shooting foul by B. Bogdanović (drawn by R. Covington),,2,2
24,1,9:28.0,R. Covington makes free throw 1 of 3,,3,2
25,1,9:28.0,R. Covington makes free throw 2 of 3,,4,2
26,1,9:28.0,R. Covington makes free throw 3 of 3,,5,2
27,1,9:12.0,,B. Bogdanović misses 2-pt jump shot from 9 ft,5,2
28,1,9:08.0,Defensive rebound by D. Šarić,,5,2
29,1,8:58.0,D. Šarić makes 2-pt layup from 1 ft (assist by J. Embiid),,7,2
30,1,8:37.0,,Z. Randolph makes 2-pt layup from 2 ft (assist by G. Hill),7,4
31,1,8:25.0,B. Simmons misses 2-pt jump shot from 13 ft,,7,4
32,1,8:22.0,,Defensive rebound by W. Cauley-Stein,7,4
33,1,8:15.0,,Turnover by G. Hill (bad pass; steal by R. Covington),7,4
34,1,7:55.0,D. Šarić misses 3-pt jump shot from 25 ft,,7,4
35,1,7:53.0,,Defensive rebound by B. Bogdanović,7,4
36,1,7:47.0,T. McConnell enters the game for D. Šarić,,7,4
37,1,7:47.0,R. Holmes enters the game for J. Embiid,,7,4
38,1,7:40.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by G. Hill),7,6
39,1,7:27.0,R. Covington makes 3-pt jump shot from 25 ft (assist by B. Simmons),,10,6
40,1,7:15.0,,Z. Randolph makes 2-pt jump shot from 5 ft,10,8
41,1,7:06.0,Shooting foul by G. Temple (drawn by B. Simmons),,10,8
42,1,7:06.0,B. Simmons makes free throw 1 of 2,,11,8
43,1,7:06.0,T. Luwawu-Cabarrot enters the game for J. Redick,,11,8
44,1,7:06.0,B. Simmons makes free throw 2 of 2,,12,8
45,1,6:52.0,,Def 3 sec tech foul by T. Luwawu-Cabarrot,12,8
46,1,6:52.0,,Sacramento full timeout,12,8
47,1,6:52.0,,B. Bogdanović makes technical free throw,12,9
48,1,6:40.0,,G. Temple misses 2-pt jump shot from 14 ft,12,9
49,1,6:35.0,Defensive rebound by R. Holmes,,12,9
50,1,6:27.0,Turnover by T. McConnell (lost ball; steal by B. Bogdanović),,12,9
51,1,6:20.0,,Shooting foul by R. Covington (drawn by W. Cauley-Stein),12,9
52,1,6:20.0,,W. Cauley-Stein misses free throw 1 of 1,12,9
53,1,6:20.0,,Offensive rebound by Team,12,9
