,QUARTER,TIME_REMAINING,BOSTON_ACTION,BROOKLYN_ACTION,BOSTON_SCORE,BROOKLYN_SCORE
0,1,11:39.0,,S. Dinwiddie makes 2-pt jump shot from 10 ft,0,2
1,1,11:19.0,A. Baynes misses 2-pt jump shot from 11 ft,,0,2
2,1,11:15.0,,Defensive rebound by A. Crabbe,0,2
3,1,10:59.0,,R. Hollis-Jefferson makes 2-pt jump shot from 6 ft (assist by T. Zeller),0,4
4,1,10:41.0,J. Brown makes 2-pt jump shot from 19 ft,,2,4
5,1,10:23.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,2,4
6,1,10:22.0,,Offensive rebound by T. Zeller,2,4
7,1,10:21.0,,T. Zeller makes 2-pt layup from 1 ft,2,6
8,1,10:21.0,Boston full timeout,,2,6
9,1,10:11.0,K. Irving misses 3-pt jump shot from 25 ft,,2,6
10,1,10:10.0,,Defensive rebound by Team,2,6
11,1,9:45.0,,A. Crabbe misses 3-pt jump shot from 31 ft,2,6
12,1,9:42.0,Defensive rebound by K. Irving,,2,6
13,1,9:30.0,A. Baynes makes 2-pt jump shot from 15 ft,,4,6
14,1,9:04.0,,D. Carroll misses 2-pt layup from 2 ft (block by J. Tatum),4,6
15,1,9:01.0,Defensive rebound by J. Tatum,,4,6
16,1,8:56.0,J. Tatum misses 2-pt layup from 1 ft (block by T. Zeller),,4,6
17,1,8:54.0,Offensive rebound by A. Baynes,,4,6
18,1,8:51.0,M. Morris misses 3-pt jump shot from 25 ft,,4,6
19,1,8:51.0,,Defensive rebound by S. Dinwiddie,4,6
20,1,8:31.0,,R. Hollis-Jefferson misses 3-pt jump shot from 23 ft,4,6
21,1,8:28.0,Defensive rebound by M. Morris,,4,6
22,1,8:22.0,M. Morris makes 2-pt jump shot from 14 ft,,6,6
23,1,8:02.0,,D. Carroll makes 3-pt jump shot from 22 ft (assist by R. Hollis-Jefferson),6,9
24,1,7:45.0,Shooting foul by A. Crabbe (drawn by J. Brown),,6,9
25,1,7:45.0,J. Brown misses free throw 1 of 2,,6,9
26,1,7:45.0,Offensive rebound by Team,,6,9
27,1,7:45.0,M. Smart enters the game for J. Tatum,,6,9
28,1,7:45.0,J. Brown misses free throw 2 of 2,,6,9
29,1,7:43.0,,Defensive rebound by R. Hollis-Jefferson,6,9
30,1,7:22.0,,Shooting foul by M. Smart (drawn by D. Carroll),6,9
31,1,7:22.0,,D. Carroll makes free throw 1 of 2,6,10
32,1,7:22.0,,D. Carroll makes free throw 2 of 2,6,11
33,1,7:06.0,M. Smart misses 2-pt jump shot from 19 ft,,6,11
34,1,6:59.0,Offensive rebound by A. Baynes,,6,11
35,1,6:59.0,A. Baynes makes 2-pt layup at rim,,8,11
36,1,6:45.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft (block by M. Morris),8,11
37,1,6:45.0,,Offensive rebound by Team,8,11
38,1,6:41.0,,R. Hollis-Jefferson misses 2-pt jump shot from 3 ft,8,11
39,1,6:40.0,,Offensive rebound by R. Hollis-Jefferson,8,11
40,1,6:34.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft (block by M. Smart),8,11
41,1,6:34.0,,Offensive rebound by Team,8,11
42,1,6:29.0,,T. Zeller makes 2-pt layup from 1 ft,8,13
43,1,6:14.0,A. Baynes makes 2-pt dunk from 1 ft (assist by M. Smart),,10,13
44,1,5:59.0,,T. Zeller makes 2-pt hook shot from 6 ft (assist by D. Carroll),10,15
45,1,5:43.0,M. Smart makes 2-pt jump shot from 18 ft,,12,15
46,1,5:31.0,,D. Carroll misses 3-pt jump shot from 25 ft,12,15
47,1,5:27.0,Defensive rebound by A. Baynes,,12,15
48,1,5:16.0,M. Smart misses 3-pt jump shot from 24 ft,,12,15
49,1,5:15.0,,Defensive rebound by A. Crabbe,12,15
50,1,5:08.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,12,15
51,1,5:04.0,,Offensive rebound by T. Zeller,12,15
52,1,5:03.0,,Offensive foul by S. Dinwiddie (drawn by A. Baynes),12,15
53,1,5:03.0,,Turnover by S. Dinwiddie (offensive foul),12,15
54,1,5:03.0,,J. Harris enters the game for R. Hollis-Jefferson,12,15
55,1,5:03.0,,J. Allen enters the game for A. Crabbe,12,15
56,1,5:03.0,,Q. Acy enters the game for T. Zeller,12,15
57,1,5:03.0,D. Theis enters the game for M. Morris,,12,15
58,1,5:03.0,T. Rozier enters the game for A. Baynes,,12,15
59,1,4:41.0,J. Brown misses 2-pt jump shot from 3 ft,,12,15
60,1,4:37.0,,Defensive rebound by J. Harris,12,15
61,1,4:23.0,,Turnover by J. Harris (bad pass; steal by D. Theis),12,15
62,1,4:16.0,J. Brown makes 2-pt dunk at rim,,14,15
63,1,3:58.0,,Turnover by J. Allen (out of bounds lost ball),14,15
64,1,3:58.0,,N. Stauskas enters the game for D. Carroll,14,15
65,1,3:37.0,K. Irving misses 2-pt jump shot from 13 ft,,14,15
66,1,3:33.0,,Defensive rebound by Q. Acy,14,15
67,1,3:21.0,,Q. Acy makes 3-pt jump shot from 22 ft (assist by S. Dinwiddie),14,18
68,1,3:03.0,T. Rozier misses 2-pt jump shot from 18 ft,,14,18
69,1,3:00.0,,Defensive rebound by J. Harris,14,18
70,1,2:52.0,,N. Stauskas misses 3-pt jump shot from 25 ft,14,18
71,1,2:50.0,Defensive rebound by D. Theis,,14,18
72,1,2:45.0,Shooting foul by Q. Acy (drawn by J. Brown),,14,18
73,1,2:45.0,,Brooklyn full timeout,14,18
74,1,2:45.0,,A. Crabbe enters the game for S. Dinwiddie,14,18
75,1,2:45.0,J. Tatum enters the game for K. Irving,,14,18
76,1,2:45.0,J. Brown misses free throw 1 of 2,,14,18
77,1,2:45.0,Offensive rebound by Team,,14,18
78,1,2:45.0,J. Brown misses free throw 2 of 2,,14,18
79,1,2:43.0,,Defensive rebound by J. Allen,14,18
80,1,2:24.0,,J. Harris makes 2-pt layup from 1 ft,14,20
81,1,2:08.0,T. Rozier misses 3-pt jump shot from 22 ft,,14,20
82,1,2:04.0,,Defensive rebound by N. Stauskas,14,20
83,1,1:56.0,,N. Stauskas makes 2-pt layup from 1 ft (assist by J. Harris),14,22
84,1,1:40.0,M. Smart misses 3-pt jump shot from 22 ft,,14,22
85,1,1:37.0,,Defensive rebound by A. Crabbe,14,22
86,1,1:31.0,,Turnover by A. Crabbe (bad pass; steal by M. Smart),14,22
87,1,1:31.0,Turnover by M. Smart (bad pass; steal by J. Allen),,14,22
88,1,1:31.0,,Turnover by J. Allen (bad pass; steal by M. Smart),14,22
89,1,1:27.0,,Loose ball foul by J. Allen (drawn by M. Smart),14,22
