,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA LAKERS_ACTION,DALLAS_SCORE,LA LAKERS_SCORE
0,1,11:40.0,,B. Lopez makes 2-pt hook shot from 4 ft,0,2
1,1,11:23.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,0,2
2,1,11:21.0,,Defensive rebound by B. Ingram,0,2
3,1,11:13.0,,Shooting foul by D. Nowitzki (drawn by B. Lopez),0,2
4,1,11:13.0,,B. Lopez makes free throw 1 of 2,0,3
5,1,11:13.0,,B. Lopez misses free throw 2 of 2,0,3
6,1,11:10.0,Defensive rebound by D. Nowitzki,,0,3
7,1,10:52.0,H. Barnes misses 2-pt jump shot from 15 ft,,0,3
8,1,10:50.0,,Defensive rebound by J. Randle,0,3
9,1,10:42.0,,Shooting foul by D. Nowitzki (drawn by B. Lopez),0,3
10,1,10:42.0,,B. Lopez misses free throw 1 of 2,0,3
11,1,10:42.0,,Offensive rebound by Team,0,3
12,1,10:42.0,S. Mejri enters the game for D. Nowitzki,,0,3
13,1,10:42.0,,B. Lopez misses free throw 2 of 2,0,3
14,1,10:39.0,Defensive rebound by H. Barnes,,0,3
15,1,10:19.0,J. Barea misses 3-pt jump shot from 24 ft,,0,3
16,1,10:15.0,,Defensive rebound by B. Ingram,0,3
17,1,10:08.0,,J. Hart makes 3-pt jump shot from 23 ft (assist by J. Randle),0,6
18,1,9:58.0,Personal foul by B. Lopez (drawn by D. Smith),,0,6
19,1,9:51.0,D. Smith misses 2-pt jump shot from 20 ft,,0,6
20,1,9:51.0,Offensive rebound by Team,,0,6
21,1,9:46.0,Turnover by W. Matthews (bad pass; steal by J. Hart),,0,6
22,1,9:43.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by J. Hart),0,8
23,1,9:42.0,Dallas full timeout,,0,8
24,1,9:22.0,D. Smith makes 2-pt jump shot from 19 ft (assist by J. Barea),,2,8
25,1,9:00.0,,B. Lopez makes 2-pt layup from 1 ft (assist by J. Randle),2,10
26,1,8:49.0,D. Smith misses 3-pt jump shot from 22 ft,,2,10
27,1,8:45.0,Offensive rebound by W. Matthews,,2,10
28,1,8:43.0,W. Matthews makes 3-pt jump shot from 26 ft,,5,10
29,1,8:31.0,,J. Hart misses 3-pt jump shot from 26 ft,5,10
30,1,8:28.0,Defensive rebound by S. Mejri,,5,10
31,1,8:22.0,Turnover by D. Smith (bad pass; steal by K. Caldwell-Pope),,5,10
32,1,8:20.0,,J. Randle makes 2-pt layup from 2 ft,5,12
33,1,8:20.0,,Shooting foul by J. Barea (drawn by J. Randle),5,12
34,1,8:20.0,Y. Ferrell enters the game for J. Barea,,5,12
35,1,8:20.0,D. Powell enters the game for S. Mejri,,5,12
36,1,8:20.0,,J. Randle misses free throw 1 of 1,5,12
37,1,8:17.0,Defensive rebound by H. Barnes,,5,12
38,1,8:05.0,H. Barnes misses 3-pt jump shot from 25 ft,,5,12
39,1,8:02.0,,Defensive rebound by K. Caldwell-Pope,5,12
40,1,7:51.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft,5,14
41,1,7:38.0,H. Barnes misses 2-pt jump shot from 17 ft,,5,14
42,1,7:36.0,,Defensive rebound by J. Hart,5,14
43,1,7:28.0,,B. Ingram misses 2-pt layup from 1 ft,5,14
44,1,7:28.0,,Offensive rebound by Team,5,14
45,1,7:25.0,,B. Ingram makes 2-pt jump shot from 10 ft (assist by K. Caldwell-Pope),5,16
46,1,7:15.0,Personal foul by J. Hart (drawn by W. Matthews),,5,16
47,1,7:07.0,Turnover by W. Matthews (bad pass; steal by K. Caldwell-Pope),,5,16
48,1,7:04.0,,K. Caldwell-Pope makes 2-pt dunk at rim,5,18
49,1,6:46.0,H. Barnes misses 2-pt jump shot from 21 ft,,5,18
50,1,6:42.0,,Defensive rebound by B. Lopez,5,18
51,1,6:39.0,Violation by D. Smith (kicked ball),,5,18
52,1,6:34.0,,Personal foul by W. Matthews (drawn by J. Randle),5,18
53,1,6:27.0,,J. Randle makes 2-pt layup from 2 ft,5,20
54,1,6:19.0,D. Smith misses 2-pt layup from 15 ft (block by B. Ingram),,5,20
55,1,6:19.0,,Defensive rebound by J. Hart,5,20
56,1,6:13.0,,Turnover by J. Hart (bad pass; steal by Y. Ferrell),5,20
57,1,6:01.0,,I. Thomas enters the game for K. Caldwell-Pope,5,20
58,1,6:01.0,,L. Ball enters the game for J. Hart,5,20
59,1,5:53.0,D. Smith misses 2-pt layup at rim,,5,20
60,1,5:51.0,,Defensive rebound by B. Ingram,5,20
61,1,5:46.0,,L. Ball makes 3-pt jump shot from 25 ft (assist by B. Ingram),5,23
62,1,5:44.0,Dallas full timeout,,5,23
63,1,5:44.0,D. McDermott enters the game for D. Smith,,5,23
64,1,5:44.0,D. Nowitzki enters the game for W. Matthews,,5,23
65,1,5:44.0,J. Barea enters the game for H. Barnes,,5,23
66,1,5:23.0,Turnover by D. McDermott (step out of bounds),,5,23
67,1,5:12.0,,L. Ball misses 3-pt jump shot from 26 ft,5,23
68,1,5:09.0,Defensive rebound by Team,,5,23
69,1,4:56.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,5,23
70,1,4:53.0,,Defensive rebound by J. Randle,5,23
71,1,4:45.0,,B. Lopez misses 3-pt jump shot from 24 ft,5,23
72,1,4:42.0,Defensive rebound by D. Powell,,5,23
73,1,4:33.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by D. McDermott),,8,23
74,1,4:16.0,,I. Thomas misses 3-pt jump shot from 26 ft,8,23
75,1,4:12.0,,Offensive rebound by B. Ingram,8,23
76,1,4:09.0,,B. Ingram makes 2-pt jump shot from 14 ft,8,25
77,1,3:57.0,D. Powell misses 2-pt layup from 2 ft,,8,25
78,1,3:55.0,,Defensive rebound by B. Lopez,8,25
79,1,3:37.0,,I. Thomas misses 3-pt jump shot from 23 ft,8,25
80,1,3:36.0,,Offensive rebound by J. Randle,8,25
81,1,3:34.0,,J. Randle makes 2-pt layup from 2 ft,8,27
82,1,3:20.0,D. Powell misses 2-pt layup from 1 ft,,8,27
83,1,3:17.0,,Defensive rebound by L. Ball,8,27
84,1,3:10.0,,Turnover by J. Randle (lost ball; steal by Y. Ferrell),8,27
85,1,3:05.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by J. Barea),,11,27
86,1,3:03.0,,LA Lakers full timeout,11,27
87,1,3:03.0,,K. Kuzma enters the game for B. Lopez,11,27
88,1,2:46.0,,I. Thomas misses 2-pt layup from 2 ft,11,27
89,1,2:45.0,Defensive rebound by Team,,11,27
90,1,2:45.0,,Loose ball foul by J. Randle (drawn by D. Nowitzki),11,27
91,1,2:26.0,Y. Ferrell misses 2-pt jump shot from 14 ft,,11,27
92,1,2:24.0,,Defensive rebound by J. Randle,11,27
93,1,2:22.0,,Turnover by B. Ingram (traveling),11,27
94,1,2:07.0,D. Powell makes 2-pt layup from 3 ft (assist by J. Barea),,13,27
95,1,1:49.0,,J. Randle misses 2-pt jump shot from 1 ft (block by D. Nowitzki),13,27
96,1,1:49.0,,Offensive rebound by Team,13,27
97,1,1:49.0,,I. Zubac enters the game for J. Randle,13,27
98,1,1:49.0,H. Barnes enters the game for D. Nowitzki,,13,27
99,1,1:49.0,Technical foul by D. McDermott,,13,27
100,1,1:49.0,,I. Thomas makes free throw 1 of 1,13,28
101,1,1:44.0,,B. Ingram misses 2-pt jump shot from 11 ft,13,28
102,1,1:41.0,,Offensive rebound by K. Kuzma,13,28
103,1,1:36.0,,B. Ingram misses 2-pt layup from 2 ft,13,28
104,1,1:36.0,Defensive rebound by D. Powell,,13,28
105,1,1:25.0,H. Barnes misses 2-pt layup from 1 ft,,13,28
106,1,1:23.0,,Defensive rebound by I. Zubac,13,28
107,1,1:16.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by L. Ball),13,30
108,1,1:02.0,J. Barea makes 2-pt layup from 1 ft,,15,30
109,1,0:53.0,,Turnover by I. Thomas (bad pass; steal by Y. Ferrell),15,30
110,1,0:49.0,Y. Ferrell misses 2-pt layup from 2 ft,,15,30
111,1,0:47.0,,Defensive rebound by I. Thomas,15,30
112,1,0:44.0,,Turnover by K. Kuzma (out of bounds lost ball),15,30
113,1,0:31.0,D. McDermott misses 3-pt jump shot from 27 ft,,15,30
114,1,0:28.0,,Defensive rebound by B. Ingram,15,30
115,1,0:08.0,,L. Ball misses 3-pt jump shot from 25 ft,15,30
116,1,0:06.0,,Offensive rebound by I. Zubac,15,30
117,1,0:06.0,,Shooting foul by D. Powell (drawn by I. Zubac),15,30
118,1,0:06.0,,I. Zubac makes free throw 1 of 2,15,31
119,1,0:06.0,,K. Caldwell-Pope enters the game for B. Ingram,15,31
120,1,0:06.0,D. Smith enters the game for J. Barea,,15,31
121,1,0:06.0,W. Matthews enters the game for Y. Ferrell,,15,31
122,1,0:06.0,,I. Zubac makes free throw 2 of 2,15,32
123,1,0:04.0,Personal take foul by I. Thomas (drawn by D. Smith),,15,32
124,1,0:01.0,H. Barnes makes 2-pt jump shot from 7 ft,,17,32
125,2,11:42.0,J. Barea misses 2-pt jump shot from 21 ft,,17,32
126,2,11:41.0,,Defensive rebound by L. Ball,17,32
127,2,11:37.0,,K. Kuzma misses 3-pt jump shot from 25 ft,17,32
128,2,11:37.0,Defensive rebound by D. Smith,,17,32
129,2,11:22.0,D. Powell misses 2-pt jump shot from 16 ft,,17,32
130,2,11:20.0,,Defensive rebound by L. Ball,17,32
131,2,11:05.0,,I. Thomas makes 2-pt layup at rim (assist by I. Zubac),17,34
132,2,10:55.0,J. Barea makes 3-pt jump shot from 26 ft,,20,34
133,2,10:42.0,,I. Zubac misses 2-pt jump shot from 6 ft (block by D. Nowitzki),20,34
134,2,10:39.0,Defensive rebound by D. Smith,,20,34
135,2,10:37.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by D. Smith),,23,34
136,2,10:23.0,,I. Thomas misses 3-pt jump shot from 26 ft,23,34
137,2,10:20.0,Defensive rebound by D. Nowitzki,,23,34
138,2,10:14.0,J. Barea makes 3-pt jump shot from 27 ft,,26,34
139,2,10:10.0,,LA Lakers full timeout,26,34
140,2,9:57.0,,L. Ball makes 3-pt jump shot from 26 ft (assist by K. Kuzma),26,37
141,2,9:42.0,Turnover by D. McDermott (bad pass; steal by K. Caldwell-Pope),,26,37
142,2,9:41.0,,Turnover by L. Ball (bad pass),26,37
143,2,9:38.0,Personal foul by K. Kuzma (drawn by D. Nowitzki),,26,37
144,2,9:24.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by J. Barea),,29,37
145,2,9:06.0,,L. Ball misses 2-pt jump shot from 11 ft,29,37
146,2,9:06.0,Defensive rebound by D. Nowitzki,,29,37
147,2,8:58.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,29,37
148,2,8:55.0,,Defensive rebound by K. Caldwell-Pope,29,37
149,2,8:48.0,,I. Zubac makes 2-pt dunk at rim (assist by L. Ball),29,39
150,2,8:30.0,Turnover by D. Nowitzki (bad pass; steal by I. Thomas),,29,39
151,2,8:18.0,,L. Ball makes 3-pt jump shot from 26 ft,29,42
152,2,8:17.0,Dallas full timeout,,29,42
153,2,8:17.0,,J. Hart enters the game for L. Ball,29,42
154,2,8:17.0,H. Barnes enters the game for D. Powell,,29,42
155,2,8:17.0,M. Kleber enters the game for D. McDermott,,29,42
156,2,8:17.0,Y. Ferrell enters the game for D. Nowitzki,,29,42
157,2,8:17.0,W. Matthews enters the game for J. Barea,,29,42
158,2,8:07.0,W. Matthews misses 3-pt jump shot from 26 ft,,29,42
159,2,8:02.0,,Defensive rebound by I. Zubac,29,42
160,2,7:51.0,,K. Kuzma misses 3-pt jump shot from 24 ft,29,42
161,2,7:48.0,Defensive rebound by Y. Ferrell,,29,42
162,2,7:43.0,D. Smith makes 3-pt jump shot from 26 ft,,32,42
163,2,7:28.0,,K. Kuzma misses 3-pt jump shot from 22 ft,32,42
164,2,7:28.0,,Offensive rebound by K. Kuzma,32,42
165,2,7:28.0,,K. Kuzma misses 3-pt layup from 22 ft (block by D. Smith),32,42
166,2,7:28.0,,Offensive rebound by Team,32,42
167,2,7:22.0,,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,32,42
168,2,7:19.0,Defensive rebound by Y. Ferrell,,32,42
169,2,7:15.0,Y. Ferrell misses 2-pt layup from 2 ft (block by K. Kuzma),,32,42
170,2,7:15.0,Offensive rebound by Team,,32,42
171,2,7:15.0,,B. Ingram enters the game for I. Thomas,32,42
172,2,7:00.0,M. Kleber misses 2-pt jump shot from 19 ft,,32,42
173,2,6:57.0,,Defensive rebound by K. Caldwell-Pope,32,42
174,2,6:43.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,32,42
175,2,6:42.0,,Offensive rebound by I. Zubac,32,42
176,2,6:42.0,,Personal foul by H. Barnes (drawn by I. Zubac),32,42
177,2,6:32.0,,J. Hart misses 3-pt jump shot from 26 ft,32,42
178,2,6:28.0,Defensive rebound by H. Barnes,,32,42
179,2,6:20.0,D. Smith misses 2-pt jump shot from 17 ft,,32,42
180,2,6:20.0,Offensive rebound by Team,,32,42
181,2,6:20.0,,J. Randle enters the game for K. Kuzma,32,42
182,2,6:18.0,H. Barnes misses 2-pt jump shot from 20 ft,,32,42
183,2,6:14.0,,Defensive rebound by K. Caldwell-Pope,32,42
184,2,6:10.0,,Personal foul by D. Smith (drawn by I. Zubac),32,42
185,2,5:56.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,32,42
186,2,5:52.0,Defensive rebound by H. Barnes,,32,42
187,2,5:48.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,32,42
188,2,5:44.0,,Defensive rebound by K. Caldwell-Pope,32,42
189,2,5:25.0,,J. Hart misses 2-pt layup from 2 ft,32,42
190,2,5:22.0,,Offensive rebound by I. Zubac,32,42
191,2,5:22.0,,I. Zubac makes 2-pt layup at rim,32,44
192,2,5:07.0,Personal foul by B. Ingram (drawn by D. Smith),,32,44
193,2,4:54.0,M. Kleber misses 3-pt jump shot from 25 ft,,32,44
194,2,4:52.0,,Defensive rebound by J. Hart,32,44
195,2,4:49.0,,Personal foul by W. Matthews (drawn by B. Ingram),32,44
196,2,4:49.0,,B. Lopez enters the game for I. Zubac,32,44
197,2,4:42.0,,B. Ingram makes 2-pt layup from 1 ft,32,46
198,2,4:31.0,D. Smith misses 3-pt jump shot from 27 ft,,32,46
199,2,4:28.0,,Defensive rebound by J. Randle,32,46
200,2,4:20.0,Offensive charge foul by B. Ingram (drawn by Y. Ferrell),,32,46
201,2,4:20.0,,Turnover by B. Ingram (offensive foul),32,46
202,2,4:20.0,D. McDermott enters the game for D. Smith,,32,46
203,2,4:10.0,D. McDermott misses 3-pt jump shot from 24 ft (block by B. Ingram),,32,46
204,2,4:08.0,,Defensive rebound by B. Lopez,32,46
205,2,4:03.0,,J. Randle makes 2-pt dunk from 3 ft (assist by B. Ingram),32,48
206,2,4:03.0,Dallas full timeout,,32,48
207,2,4:03.0,,I. Thomas enters the game for K. Caldwell-Pope,32,48
208,2,3:48.0,W. Matthews misses 2-pt jump shot from 15 ft,,32,48
209,2,3:45.0,,Defensive rebound by I. Thomas,32,48
210,2,3:32.0,,B. Ingram makes 2-pt dunk from 2 ft (assist by J. Randle),32,50
211,2,3:17.0,H. Barnes makes 2-pt jump shot from 15 ft (assist by Y. Ferrell),,34,50
212,2,3:04.0,,Turnover by J. Randle (traveling),34,50
213,2,2:46.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),,37,50
214,2,2:35.0,,Personal foul by Y. Ferrell (drawn by I. Thomas),37,50
215,2,2:25.0,,J. Randle makes 2-pt layup from 2 ft (assist by I. Thomas),37,52
216,2,2:08.0,H. Barnes makes 2-pt jump shot from 19 ft,,39,52
217,2,1:53.0,,Shooting foul by M. Kleber (drawn by B. Ingram),39,52
218,2,1:53.0,,B. Ingram makes free throw 1 of 2,39,53
219,2,1:53.0,D. Smith enters the game for Y. Ferrell,,39,53
220,2,1:53.0,,B. Ingram makes free throw 2 of 2,39,54
221,2,1:45.0,,K. Caldwell-Pope enters the game for B. Ingram,39,54
222,2,1:45.0,Personal foul by B. Ingram (drawn by H. Barnes),,39,54
223,2,1:38.0,Personal foul by I. Thomas (drawn by D. Smith),,39,54
224,2,1:38.0,D. Smith makes free throw 1 of 2,,40,54
225,2,1:38.0,D. Smith makes free throw 2 of 2,,41,54
226,2,1:20.0,,J. Hart makes 2-pt layup from 1 ft (assist by J. Randle),41,56
227,2,1:07.0,H. Barnes misses 2-pt layup from 2 ft,,41,56
228,2,1:04.0,,Defensive rebound by J. Hart,41,56
229,2,1:00.0,,J. Hart makes 2-pt layup from 2 ft (assist by J. Randle),41,58
230,2,0:46.0,D. Smith misses 2-pt layup from 2 ft (block by B. Lopez),,41,58
231,2,0:45.0,,Defensive rebound by J. Randle,41,58
232,2,0:42.0,,I. Thomas makes 3-pt jump shot from 26 ft (assist by J. Randle),41,61
233,2,0:31.0,D. Smith misses 3-pt jump shot from 27 ft,,41,61
234,2,0:29.0,,Defensive rebound by J. Randle,41,61
235,2,0:09.0,,J. Randle makes 2-pt hook shot from 1 ft (assist by I. Thomas),41,63
236,2,0:03.0,Turnover by H. Barnes (out of bounds lost ball),,41,63
237,2,0:01.0,,J. Hart misses 3-pt jump shot from 26 ft,41,63
238,2,0:00.0,,Offensive rebound by Team,41,63
239,3,11:42.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),,44,63
240,3,11:19.0,,B. Lopez misses 3-pt jump shot from 26 ft,44,63
241,3,11:14.0,,Offensive rebound by J. Hart,44,63
242,3,11:14.0,,J. Hart misses 2-pt layup at rim,44,63
243,3,11:13.0,Defensive rebound by D. Smith,,44,63
244,3,11:10.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Smith),,47,63
245,3,11:10.0,,LA Lakers full timeout,47,63
246,3,10:57.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by B. Lopez),47,66
247,3,10:40.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by H. Barnes),,50,66
248,3,10:27.0,,J. Randle misses 2-pt layup from 2 ft (block by D. Nowitzki),50,66
249,3,10:25.0,Defensive rebound by J. Barea,,50,66
250,3,10:13.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Smith),,53,66
251,3,9:54.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by B. Lopez),53,69
252,3,9:33.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,53,69
253,3,9:30.0,,Defensive rebound by B. Ingram,53,69
254,3,9:26.0,,B. Ingram makes 2-pt jump shot from 22 ft,53,71
255,3,9:09.0,J. Barea misses 2-pt jump shot from 20 ft,,53,71
256,3,9:06.0,,Defensive rebound by B. Ingram,53,71
257,3,8:59.0,,Turnover by B. Ingram (lost ball; steal by W. Matthews),53,71
258,3,8:43.0,D. Smith misses 3-pt jump shot from 26 ft,,53,71
259,3,8:41.0,,Defensive rebound by J. Hart,53,71
260,3,8:31.0,,J. Hart makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),53,73
261,3,8:10.0,J. Barea misses 3-pt jump shot from 28 ft,,53,73
262,3,8:07.0,,Defensive rebound by J. Randle,53,73
263,3,7:54.0,,Turnover by J. Randle (bad pass; steal by H. Barnes),53,73
264,3,7:38.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by W. Matthews),,56,73
265,3,7:22.0,,J. Hart makes 2-pt layup from 1 ft (assist by B. Ingram),56,75
266,3,6:56.0,W. Matthews misses 3-pt jump shot from 26 ft,,56,75
267,3,6:55.0,,Defensive rebound by J. Randle,56,75
268,3,6:49.0,,B. Lopez misses 2-pt jump shot from 14 ft,56,75
269,3,6:46.0,Defensive rebound by H. Barnes,,56,75
270,3,6:30.0,D. Nowitzki makes 2-pt layup from 1 ft (assist by W. Matthews),,58,75
271,3,6:07.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by J. Randle),58,78
272,3,5:56.0,W. Matthews misses 3-pt jump shot from 26 ft,,58,78
273,3,5:52.0,,Defensive rebound by J. Randle,58,78
274,3,5:45.0,,J. Randle makes 2-pt hook shot from 5 ft,58,80
275,3,5:45.0,Dallas full timeout,,58,80
276,3,5:45.0,D. Powell enters the game for J. Barea,,58,80
277,3,5:45.0,Y. Ferrell enters the game for D. Nowitzki,,58,80
278,3,5:31.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Smith),,61,80
279,3,5:03.0,,K. Caldwell-Pope misses 2-pt jump shot from 8 ft,61,80
280,3,5:01.0,Defensive rebound by D. Smith,,61,80
281,3,4:52.0,D. Smith misses 2-pt jump shot from 15 ft,,61,80
282,3,4:49.0,,Defensive rebound by B. Lopez,61,80
283,3,4:36.0,,I. Thomas enters the game for K. Caldwell-Pope,61,80
284,3,4:36.0,,L. Ball enters the game for J. Hart,61,80
285,3,4:26.0,,J. Randle makes 2-pt layup from 3 ft (assist by L. Ball),61,82
286,3,4:17.0,Shooting foul by B. Ingram (drawn by H. Barnes),,61,82
287,3,4:17.0,H. Barnes makes free throw 1 of 2,,62,82
