,QUARTER,TIME_REMAINING,NEW YORK_ACTION,INDIANA_ACTION,NEW YORK_SCORE,INDIANA_SCORE
0,1,11:38.0,C. Lee misses 3-pt jump shot from 26 ft,,0,0
1,1,11:33.0,Offensive rebound by J. Jack,,0,0
2,1,11:29.0,M. Beasley makes 2-pt jump shot from 4 ft (assist by C. Lee),,2,0
3,1,11:18.0,,B. Bogdanović makes 2-pt layup at rim (assist by T. Young),2,2
4,1,11:18.0,,Shooting foul by C. Lee (drawn by B. Bogdanović),2,2
5,1,11:18.0,,B. Bogdanović misses free throw 1 of 1,2,2
6,1,11:16.0,Defensive rebound by E. Freedom,,2,2
7,1,11:05.0,E. Freedom makes 2-pt jump shot from 7 ft (assist by C. Lee),,4,2
8,1,10:50.0,,M. Turner misses 2-pt jump shot from 19 ft,4,2
9,1,10:48.0,Defensive rebound by E. Freedom,,4,2
10,1,10:37.0,Shooting foul by M. Turner (drawn by E. Freedom),,4,2
11,1,10:37.0,E. Freedom misses free throw 1 of 2,,4,2
12,1,10:37.0,Offensive rebound by Team,,4,2
13,1,10:37.0,E. Freedom makes free throw 2 of 2,,5,2
14,1,10:32.0,,Personal foul by M. Beasley (drawn by T. Young),5,2
15,1,10:25.0,,M. Turner misses 2-pt jump shot from 21 ft,5,2
16,1,10:22.0,Defensive rebound by M. Beasley,,5,2
17,1,10:09.0,Shooting foul by C. Joseph (drawn by J. Jack),,5,2
18,1,10:09.0,J. Jack makes free throw 1 of 2,,6,2
19,1,10:09.0,J. Jack makes free throw 2 of 2,,7,2
20,1,10:00.0,,C. Joseph makes 2-pt jump shot from 18 ft,7,4
21,1,9:42.0,C. Lee misses 2-pt jump shot from 14 ft,,7,4
22,1,9:39.0,,Defensive rebound by M. Turner,7,4
23,1,9:31.0,,B. Bogdanović makes 2-pt layup at rim (assist by C. Joseph),7,6
24,1,9:13.0,T. Hardaway misses 3-pt jump shot from 30 ft,,7,6
25,1,9:12.0,Offensive rebound by Team,,7,6
26,1,9:12.0,,Loose ball foul by C. Joseph (drawn by E. Freedom),7,6
27,1,9:12.0,,J. Young enters the game for C. Joseph,7,6
28,1,9:10.0,Personal foul by J. Young (drawn by J. Jack),,7,6
29,1,8:59.0,M. Beasley misses 2-pt layup from 2 ft,,7,6
30,1,8:56.0,,Defensive rebound by T. Young,7,6
31,1,8:55.0,,T. Young misses 2-pt layup from 1 ft,7,6
32,1,8:52.0,Defensive rebound by E. Freedom,,7,6
33,1,8:47.0,T. Hardaway misses 3-pt jump shot from 26 ft,,7,6
34,1,8:43.0,Offensive rebound by M. Beasley,,7,6
35,1,8:43.0,M. Beasley misses 2-pt layup at rim,,7,6
36,1,8:42.0,Offensive rebound by M. Beasley,,7,6
37,1,8:41.0,M. Beasley misses 2-pt jump shot from 4 ft,,7,6
38,1,8:38.0,,Defensive rebound by T. Young,7,6
39,1,8:32.0,,B. Bogdanović makes 2-pt layup at rim (assist by V. Oladipo),7,8
40,1,8:20.0,Personal foul by B. Bogdanović (drawn by E. Freedom),,7,8
41,1,8:20.0,E. Freedom makes free throw 1 of 2,,8,8
42,1,8:20.0,E. Freedom makes free throw 2 of 2,,9,8
43,1,8:09.0,,V. Oladipo misses 2-pt jump shot from 19 ft,9,8
44,1,8:05.0,Defensive rebound by J. Jack,,9,8
45,1,8:01.0,T. Hardaway makes 2-pt jump shot from 10 ft,,11,8
46,1,7:56.0,,Personal take foul by T. Hardaway (drawn by V. Oladipo),11,8
47,1,7:56.0,F. Ntilikina enters the game for J. Jack,,11,8
48,1,7:45.0,,V. Oladipo misses 2-pt jump shot from 7 ft,11,8
49,1,7:42.0,,Offensive rebound by T. Young,11,8
50,1,7:41.0,C. Lee makes technical free throw,,12,8
51,1,7:37.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,12,8
52,1,7:35.0,Defensive rebound by M. Beasley,,12,8
53,1,7:25.0,M. Beasley makes 2-pt layup at rim (assist by T. Hardaway),,14,8
54,1,7:07.0,,V. Oladipo makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),14,11
55,1,6:54.0,C. Lee misses 2-pt jump shot from 20 ft,,14,11
56,1,6:51.0,Offensive rebound by M. Beasley,,14,11
57,1,6:51.0,M. Beasley makes 2-pt dunk at rim,,16,11
58,1,6:46.0,,V. Oladipo makes 2-pt dunk from 1 ft,16,13
59,1,6:38.0,New York full timeout,,16,13
60,1,6:38.0,E. Mudiay enters the game for C. Lee,,16,13
61,1,6:32.0,T. Hardaway misses 2-pt jump shot from 19 ft,,16,13
62,1,6:28.0,,Defensive rebound by M. Turner,16,13
63,1,6:17.0,,Shooting foul by T. Hardaway (drawn by T. Young),16,13
64,1,6:17.0,,T. Young misses free throw 1 of 2,16,13
65,1,6:17.0,,Offensive rebound by Team,16,13
66,1,6:17.0,,T. Young makes free throw 2 of 2,16,14
67,1,6:00.0,E. Freedom makes 2-pt hook shot from 7 ft,,18,14
68,1,5:44.0,,Shooting foul by M. Beasley (drawn by T. Young),18,14
69,1,5:44.0,,T. Young makes free throw 1 of 2,18,15
70,1,5:44.0,L. Thomas enters the game for M. Beasley,,18,15
71,1,5:44.0,,T. Young misses free throw 2 of 2,18,15
72,1,5:42.0,Defensive rebound by T. Hardaway,,18,15
73,1,5:30.0,E. Freedom misses 2-pt layup from 1 ft,,18,15
74,1,5:27.0,,Defensive rebound by M. Turner,18,15
75,1,5:16.0,,J. Young makes 2-pt layup at rim,18,17
76,1,5:02.0,E. Mudiay makes 2-pt jump shot from 19 ft,,20,17
77,1,4:50.0,,V. Oladipo misses 2-pt jump shot from 20 ft,20,17
78,1,4:46.0,,Offensive rebound by T. Young,20,17
79,1,4:46.0,,T. Young makes 2-pt layup at rim,20,19
80,1,4:29.0,T. Hardaway misses 3-pt jump shot from 25 ft,,20,19
81,1,4:27.0,,Defensive rebound by V. Oladipo,20,19
82,1,4:22.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,20,19
83,1,4:19.0,Defensive rebound by E. Freedom,,20,19
84,1,4:13.0,T. Hardaway makes 3-pt jump shot from 22 ft (assist by E. Mudiay),,23,19
85,1,3:51.0,,J. Young makes 2-pt jump shot from 18 ft,23,21
86,1,3:39.0,E. Freedom makes 2-pt jump shot from 5 ft,,25,21
87,1,3:31.0,,Indiana full timeout,25,21
88,1,3:31.0,,L. Stephenson enters the game for T. Young,25,21
89,1,3:31.0,,D. Sabonis enters the game for B. Bogdanović,25,21
90,1,3:31.0,C. Lee enters the game for T. Hardaway,,25,21
91,1,3:22.0,,V. Oladipo misses 2-pt jump shot from 20 ft,25,21
92,1,3:19.0,,Offensive rebound by D. Sabonis,25,21
93,1,3:17.0,,D. Sabonis makes 2-pt layup from 1 ft,25,23
94,1,3:01.0,C. Lee makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,28,23
95,1,2:50.0,,Personal foul by F. Ntilikina (drawn by V. Oladipo),28,23
96,1,2:50.0,,V. Oladipo makes free throw 1 of 2,28,24
97,1,2:50.0,,V. Oladipo makes free throw 2 of 2,28,25
98,1,2:35.0,F. Ntilikina makes 2-pt layup from 2 ft (assist by E. Mudiay),,30,25
99,1,2:17.0,,J. Young misses 3-pt jump shot from 25 ft,30,25
100,1,2:16.0,,Offensive rebound by M. Turner,30,25
101,1,2:15.0,,M. Turner makes 2-pt layup at rim,30,27
102,1,1:57.0,E. Freedom makes 2-pt layup from 2 ft,,32,27
103,1,1:45.0,,M. Turner misses 3-pt jump shot from 27 ft,32,27
104,1,1:43.0,Defensive rebound by E. Freedom,,32,27
105,1,1:33.0,E. Freedom misses 2-pt jump shot from 13 ft,,32,27
106,1,1:30.0,,Defensive rebound by D. Sabonis,32,27
107,1,1:23.0,,L. Stephenson makes 3-pt jump shot from 24 ft (assist by D. Sabonis),32,30
108,1,1:09.0,L. Thomas misses 3-pt jump shot from 25 ft,,32,30
109,1,1:05.0,Offensive rebound by E. Freedom,,32,30
110,1,0:57.0,C. Lee misses 3-pt jump shot from 25 ft,,32,30
111,1,0:54.0,,Defensive rebound by V. Oladipo,32,30
112,1,0:46.0,,M. Turner makes 2-pt layup at rim (assist by V. Oladipo),32,32
113,1,0:33.0,E. Mudiay makes 2-pt jump shot from 15 ft,,34,32
114,1,0:29.0,,Personal foul by C. Lee (drawn by V. Oladipo),34,32
115,1,0:29.0,,V. Oladipo makes free throw 1 of 2,34,33
116,1,0:29.0,,T. Young enters the game for M. Turner,34,33
117,1,0:29.0,,V. Oladipo makes free throw 2 of 2,34,34
118,1,0:06.0,L. Thomas makes 3-pt jump shot from 23 ft (assist by C. Lee),,37,34
119,1,0:03.0,,V. Oladipo misses 3-pt jump shot from 28 ft,37,34
120,1,0:00.0,,Offensive rebound by T. Young,37,34
121,1,0:00.0,,T. Young misses 2-pt layup at rim,37,34
122,1,0:00.0,,Offensive rebound by T. Young,37,34
