,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MIAMI_ACTION,NEW YORK_SCORE,MIAMI_SCORE
0,1,11:45.0,,T. Johnson makes 2-pt jump shot from 21 ft (assist by J. Richardson),0,2
1,1,11:25.0,M. Beasley makes 2-pt jump shot from 21 ft,,2,2
2,1,11:15.0,,Turnover by T. Johnson (lost ball; steal by E. Mudiay),2,2
3,1,11:11.0,E. Mudiay misses 2-pt layup at rim,,2,2
4,1,11:06.0,Offensive rebound by T. Hardaway,,2,2
5,1,10:58.0,C. Lee makes 2-pt jump shot from 12 ft,,4,2
6,1,10:48.0,,Turnover by B. Adebayo (bad pass),4,2
7,1,10:30.0,E. Freedom makes 2-pt hook shot from 8 ft,,6,2
8,1,10:10.0,,T. Johnson makes 3-pt jump shot from 22 ft (assist by J. Richardson),6,5
9,1,9:56.0,C. Lee misses 2-pt jump shot from 8 ft,,6,5
10,1,9:52.0,,Defensive rebound by J. Johnson,6,5
11,1,9:49.0,,Turnover by G. Dragić (lost ball; steal by M. Beasley),6,5
12,1,9:35.0,E. Mudiay misses 3-pt jump shot from 25 ft,,6,5
13,1,9:32.0,,Defensive rebound by T. Johnson,6,5
14,1,9:20.0,,G. Dragić misses 2-pt jump shot from 14 ft,6,5
15,1,9:16.0,Defensive rebound by E. Freedom,,6,5
16,1,9:00.0,E. Freedom misses 2-pt hook shot from 4 ft,,6,5
17,1,8:57.0,,Defensive rebound by B. Adebayo,6,5
18,1,8:46.0,,J. Richardson makes 2-pt layup at rim (assist by G. Dragić),6,7
19,1,8:29.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by C. Lee),,9,7
20,1,8:13.0,,J. Johnson misses 2-pt layup at rim,9,7
21,1,8:11.0,Defensive rebound by E. Freedom,,9,7
22,1,7:56.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by E. Freedom),,12,7
23,1,7:38.0,,B. Adebayo makes 2-pt dunk at rim (assist by G. Dragić),12,9
24,1,7:22.0,E. Mudiay misses 2-pt jump shot from 11 ft,,12,9
25,1,7:16.0,,Defensive rebound by J. Johnson,12,9
26,1,7:06.0,,J. Johnson makes 2-pt dunk from 1 ft (assist by G. Dragić),12,11
27,1,6:53.0,Shooting foul by T. Johnson (drawn by E. Freedom),,12,11
28,1,6:53.0,,Miami full timeout,12,11
29,1,6:53.0,E. Freedom makes free throw 1 of 2,,13,11
30,1,6:53.0,E. Freedom misses free throw 2 of 2,,13,11
31,1,6:51.0,,Defensive rebound by J. Johnson,13,11
32,1,6:37.0,,T. Johnson makes 2-pt jump shot from 15 ft,13,13
33,1,6:17.0,T. Hardaway makes 2-pt layup from 1 ft (assist by M. Beasley),,15,13
34,1,6:05.0,,Personal foul by T. Hardaway (drawn by J. Richardson),15,13
35,1,5:57.0,,J. Richardson misses 3-pt jump shot from 24 ft,15,13
36,1,5:54.0,Defensive rebound by M. Beasley,,15,13
37,1,5:46.0,T. Hardaway misses 2-pt jump shot from 5 ft,,15,13
38,1,5:44.0,Offensive rebound by T. Hardaway,,15,13
39,1,5:44.0,E. Mudiay misses 2-pt jump shot from 4 ft,,15,13
40,1,5:44.0,Offensive rebound by Team,,15,13
41,1,5:44.0,,Loose ball foul by B. Adebayo (drawn by E. Freedom),15,13
42,1,5:44.0,,W. Ellington enters the game for J. Richardson,15,13
43,1,5:37.0,T. Hardaway makes 2-pt layup from 2 ft (assist by M. Beasley),,17,13
44,1,5:19.0,,T. Johnson misses 2-pt jump shot from 19 ft,17,13
45,1,5:16.0,Defensive rebound by E. Mudiay,,17,13
46,1,5:08.0,T. Hardaway misses 3-pt jump shot from 28 ft,,17,13
47,1,4:58.0,Offensive rebound by E. Freedom,,17,13
48,1,4:58.0,E. Freedom makes 2-pt layup at rim,,19,13
49,1,4:49.0,,G. Dragić misses 3-pt jump shot from 24 ft,19,13
50,1,4:46.0,,Offensive rebound by B. Adebayo,19,13
51,1,4:31.0,,W. Ellington misses 2-pt jump shot from 19 ft,19,13
52,1,4:29.0,,Offensive rebound by G. Dragić,19,13
53,1,4:18.0,,G. Dragić misses 2-pt jump shot from 5 ft,19,13
54,1,4:13.0,Defensive rebound by E. Mudiay,,19,13
55,1,4:13.0,Turnover by C. Lee (out of bounds lost ball),,19,13
56,1,4:13.0,,K. Olynyk enters the game for B. Adebayo,19,13
57,1,4:13.0,,J. Winslow enters the game for J. Johnson,19,13
58,1,4:13.0,F. Ntilikina enters the game for E. Mudiay,,19,13
59,1,3:49.0,,T. Johnson misses 3-pt jump shot from 26 ft,19,13
60,1,3:46.0,,Offensive rebound by W. Ellington,19,13
61,1,3:29.0,,J. Winslow misses 3-pt jump shot from 23 ft,19,13
62,1,3:25.0,Defensive rebound by C. Lee,,19,13
63,1,3:19.0,T. Hardaway misses 3-pt jump shot from 24 ft,,19,13
64,1,3:17.0,,Defensive rebound by T. Johnson,19,13
65,1,3:12.0,,G. Dragić makes 2-pt layup from 1 ft (assist by J. Winslow),19,15
66,1,3:05.0,New York full timeout,,19,15
67,1,3:05.0,T. Williams enters the game for C. Lee,,19,15
68,1,2:59.0,M. Beasley makes 2-pt jump shot from 16 ft (assist by F. Ntilikina),,21,15
69,1,2:41.0,,J. Winslow makes 2-pt layup from 1 ft (assist by K. Olynyk),21,17
70,1,2:27.0,Turnover by M. Beasley (traveling),,21,17
71,1,2:27.0,,J. Richardson enters the game for G. Dragić,21,17
72,1,2:27.0,,R. McGruder enters the game for T. Johnson,21,17
73,1,2:16.0,,K. Olynyk makes 2-pt jump shot from 16 ft (assist by J. Richardson),21,19
74,1,1:59.0,F. Ntilikina misses 2-pt layup from 3 ft (block by J. Richardson),,21,19
75,1,1:56.0,,Defensive rebound by J. Winslow,21,19
76,1,1:54.0,,W. Ellington misses 3-pt jump shot from 24 ft,21,19
77,1,1:49.0,Defensive rebound by M. Beasley,,21,19
78,1,1:41.0,E. Freedom makes 2-pt layup from 1 ft,,23,19
79,1,1:41.0,Shooting foul by K. Olynyk (drawn by E. Freedom),,23,19
80,1,1:41.0,I. Hicks enters the game for M. Beasley,,23,19
81,1,1:41.0,E. Freedom makes free throw 1 of 1,,24,19
82,1,1:26.0,,J. Winslow makes 2-pt layup from 1 ft,24,21
83,1,1:26.0,,Shooting foul by I. Hicks (drawn by J. Winslow),24,21
84,1,1:26.0,K. O'Quinn enters the game for E. Freedom,,24,21
85,1,1:26.0,,J. Winslow makes free throw 1 of 1,24,22
86,1,1:19.0,Turnover by I. Hicks (bad pass; steal by J. Richardson),,24,22
87,1,1:13.0,,W. Ellington misses 2-pt jump shot from 4 ft,24,22
88,1,1:10.0,Defensive rebound by K. O'Quinn,,24,22
89,1,1:07.0,T. Hardaway misses 3-pt jump shot from 23 ft,,24,22
90,1,1:02.0,,Defensive rebound by W. Ellington,24,22
91,1,0:51.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Richardson),24,24
92,1,0:38.0,Turnover by K. O'Quinn (bad pass),,24,24
93,1,0:38.0,T. Burke enters the game for T. Hardaway,,24,24
94,1,0:27.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by K. Olynyk),24,27
95,1,0:04.0,K. O'Quinn makes 2-pt layup from 3 ft,,26,27
96,1,0:00.0,,J. Winslow misses 3-pt jump shot from 25 ft,26,27
97,1,0:00.0,,Offensive rebound by Team,26,27
98,2,11:39.0,Turnover by T. Williams (bad pass; steal by J. Richardson),,26,27
99,2,11:18.0,,K. Olynyk makes 2-pt jump shot from 12 ft,26,29
100,2,11:07.0,F. Ntilikina misses 3-pt jump shot from 25 ft,,26,29
101,2,11:05.0,,Defensive rebound by R. McGruder,26,29
102,2,11:01.0,,Shooting block foul by I. Hicks (drawn by J. Winslow),26,29
103,2,11:01.0,,J. Winslow misses free throw 1 of 2,26,29
104,2,11:01.0,,Offensive rebound by Team,26,29
105,2,11:01.0,,J. Winslow makes free throw 2 of 2,26,30
106,2,10:41.0,I. Hicks misses 3-pt jump shot from 22 ft,,26,30
107,2,10:40.0,,Defensive rebound by Team,26,30
108,2,10:40.0,Loose ball foul by T. Williams (drawn by R. McGruder),,26,30
109,2,10:27.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by K. Olynyk),26,33
110,2,10:08.0,K. O'Quinn makes 2-pt jump shot from 12 ft (assist by F. Ntilikina),,28,33
111,2,9:55.0,,K. Olynyk makes 2-pt layup from 1 ft,28,35
112,2,9:55.0,,Shooting foul by I. Hicks (drawn by K. Olynyk),28,35
113,2,9:55.0,M. Beasley enters the game for I. Hicks,,28,35
114,2,9:55.0,,K. Olynyk makes free throw 1 of 1,28,36
