,QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHILADELPHIA_ACTION,PORTLAND_SCORE,PHILADELPHIA_SCORE
0,1,11:42.0,Personal foul by J. Embiid (drawn by J. Nurkić),,0,0
1,1,11:42.0,,Turnover by J. Embiid (turnover),0,0
2,1,11:23.0,C. McCollum misses 2-pt jump shot from 19 ft,,0,0
3,1,11:20.0,,Defensive rebound by R. Covington,0,0
4,1,10:58.0,,B. Simmons misses 2-pt jump shot from 18 ft,0,0
5,1,10:53.0,,R. Covington makes 3-pt jump shot from 27 ft,0,3
6,1,10:52.0,,Offensive rebound by D. Šarić,0,3
7,1,10:32.0,Turnover by J. Nurkić (bad pass; steal by B. Simmons),,0,3
8,1,10:23.0,,Turnover by J. Redick (lost ball; steal by D. Lillard),0,3
9,1,10:12.0,N. Vonleh misses 2-pt jump shot from 20 ft,,0,3
10,1,10:08.0,,Defensive rebound by B. Simmons,0,3
11,1,9:58.0,,B. Simmons makes 2-pt jump shot from 8 ft,0,5
12,1,9:45.0,J. Nurkić misses 2-pt jump shot from 21 ft,,0,5
13,1,9:42.0,,Defensive rebound by J. Embiid,0,5
14,1,9:35.0,,B. Simmons makes 2-pt layup from 1 ft,0,7
15,1,9:34.0,Portland full timeout,,0,7
16,1,9:15.0,D. Lillard misses 3-pt jump shot from 28 ft,,0,7
17,1,9:11.0,,Defensive rebound by J. Redick,0,7
18,1,9:04.0,,J. Embiid misses 2-pt jump shot from 13 ft,0,7
19,1,9:04.0,Defensive rebound by N. Vonleh,,0,7
20,1,8:52.0,M. Harkless misses 3-pt jump shot from 25 ft,,0,7
21,1,8:50.0,,Defensive rebound by J. Embiid,0,7
22,1,8:45.0,,D. Šarić misses 2-pt hook shot from 3 ft,0,7
23,1,8:42.0,Defensive rebound by N. Vonleh,,0,7
24,1,8:31.0,J. Nurkić misses 2-pt jump shot from 5 ft,,0,7
25,1,8:30.0,,Defensive rebound by D. Šarić,0,7
26,1,8:23.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),0,10
27,1,8:07.0,M. Harkless misses 2-pt jump shot from 19 ft,,0,10
28,1,8:04.0,,Defensive rebound by D. Šarić,0,10
29,1,7:52.0,,J. Redick misses 3-pt jump shot from 25 ft,0,10
30,1,7:50.0,Defensive rebound by N. Vonleh,,0,10
31,1,7:35.0,C. McCollum misses 2-pt layup from 8 ft,,0,10
32,1,7:34.0,,Defensive rebound by J. Redick,0,10
33,1,7:29.0,,J. Redick misses 3-pt jump shot from 25 ft,0,10
34,1,7:24.0,Defensive rebound by J. Nurkić,,0,10
35,1,7:05.0,J. Nurkić misses 2-pt jump shot from 18 ft,,0,10
36,1,7:02.0,,Defensive rebound by B. Simmons,0,10
37,1,6:56.0,,Shooting foul by C. McCollum (drawn by D. Šarić),0,10
38,1,6:56.0,,D. Šarić makes free throw 1 of 2,0,11
39,1,6:56.0,,A. Johnson enters the game for J. Embiid,0,11
40,1,6:56.0,,J. Bayless enters the game for J. Redick,0,11
41,1,6:56.0,M. Leonard enters the game for M. Harkless,,0,11
42,1,6:56.0,E. Turner enters the game for J. Nurkić,,0,11
43,1,6:56.0,,D. Šarić makes free throw 2 of 2,0,12
44,1,6:43.0,D. Lillard misses 2-pt jump shot from 10 ft,,0,12
45,1,6:38.0,,Defensive rebound by B. Simmons,0,12
46,1,6:33.0,,B. Simmons misses 2-pt layup from 3 ft,0,12
47,1,6:33.0,,Offensive rebound by Team,0,12
48,1,6:33.0,,Personal foul by M. Leonard (drawn by D. Šarić),0,12
49,1,6:33.0,,T. McConnell enters the game for D. Šarić,0,12
50,1,6:14.0,,T. McConnell makes 2-pt jump shot from 8 ft (assist by B. Simmons),0,14
51,1,5:57.0,D. Lillard misses 2-pt layup from 4 ft (block by A. Johnson),,0,14
52,1,5:53.0,,Defensive rebound by R. Covington,0,14
53,1,5:49.0,,A. Johnson makes 2-pt layup at rim (assist by T. McConnell),0,16
54,1,5:49.0,,Shooting foul by N. Vonleh (drawn by A. Johnson),0,16
55,1,5:49.0,S. Napier enters the game for C. McCollum,,0,16
56,1,5:49.0,,A. Johnson misses free throw 1 of 1,0,16
57,1,5:49.0,Defensive rebound by N. Vonleh,,0,16
58,1,5:28.0,E. Turner misses 3-pt jump shot from 22 ft,,0,16
59,1,5:26.0,,Defensive rebound by A. Johnson,0,16
60,1,5:19.0,,R. Covington misses 3-pt jump shot from 26 ft,0,16
61,1,5:16.0,Defensive rebound by N. Vonleh,,0,16
62,1,5:10.0,M. Leonard misses 3-pt jump shot from 26 ft,,0,16
63,1,5:04.0,Offensive rebound by N. Vonleh,,0,16
64,1,5:01.0,S. Napier makes 2-pt jump shot from 12 ft (assist by N. Vonleh),,2,16
65,1,4:49.0,,T. McConnell makes 3-pt jump shot from 25 ft (assist by B. Simmons),2,19
66,1,4:34.0,D. Lillard misses 3-pt jump shot from 27 ft,,2,19
67,1,4:32.0,,Defensive rebound by B. Simmons,2,19
68,1,4:18.0,,J. Bayless misses 3-pt jump shot from 25 ft,2,19
69,1,4:15.0,Defensive rebound by N. Vonleh,,2,19
70,1,4:15.0,S. Napier makes 3-pt jump shot from 26 ft,,5,19
71,1,4:15.0,,Philadelphia full timeout,5,19
72,1,4:15.0,,J. Redick enters the game for B. Simmons,5,19
73,1,4:15.0,P. Connaughton enters the game for N. Vonleh,,5,19
74,1,4:15.0,,Philadelphia full timeout,5,19
75,1,4:01.0,,R. Covington misses 3-pt jump shot from 25 ft,5,19
76,1,3:59.0,,Offensive rebound by A. Johnson,5,19
