,QUARTER,TIME_REMAINING,DALLAS_ACTION,UTAH_ACTION,DALLAS_SCORE,UTAH_SCORE
0,1,11:45.0,,D. Mitchell makes 2-pt jump shot from 5 ft,0,2
1,1,11:45.0,,Shooting foul by D. Smith (drawn by D. Mitchell),0,2
2,1,11:45.0,,D. Mitchell makes free throw 1 of 1,0,3
3,1,11:34.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,0,3
4,1,11:31.0,,Defensive rebound by D. Favors,0,3
5,1,11:20.0,,D. Favors makes 2-pt layup from 1 ft (assist by J. Ingles),0,5
6,1,11:04.0,H. Barnes makes 2-pt dunk from 2 ft (assist by D. Nowitzki),,2,5
7,1,11:04.0,Shooting foul by D. Favors (drawn by H. Barnes),,2,5
8,1,11:04.0,H. Barnes makes free throw 1 of 1,,3,5
9,1,10:52.0,,Turnover by R. Rubio (traveling),3,5
10,1,10:44.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by J. Barea),,5,5
11,1,10:30.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by D. Favors),5,8
12,1,10:16.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,5,8
13,1,10:13.0,Offensive rebound by D. Smith,,5,8
14,1,10:11.0,D. Smith misses 2-pt jump shot from 19 ft,,5,8
15,1,10:06.0,,Defensive rebound by R. Gobert,5,8
16,1,9:57.0,,R. Rubio misses 3-pt jump shot from 26 ft,5,8
17,1,9:53.0,Defensive rebound by H. Barnes,,5,8
18,1,9:49.0,H. Barnes misses 3-pt jump shot from 25 ft,,5,8
19,1,9:47.0,,Defensive rebound by R. Gobert,5,8
20,1,9:36.0,,D. Favors makes 2-pt dunk from 1 ft (assist by R. Gobert),5,10
21,1,9:22.0,J. Barea makes 2-pt layup from 2 ft,,7,10
22,1,9:09.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),7,13
23,1,8:49.0,J. Barea misses 2-pt jump shot from 13 ft,,7,13
24,1,8:48.0,,Defensive rebound by D. Favors,7,13
25,1,8:42.0,,R. Rubio misses 2-pt jump shot from 11 ft,7,13
26,1,8:38.0,Defensive rebound by H. Barnes,,7,13
27,1,8:18.0,Turnover by J. Barea (lost ball; steal by D. Mitchell),,7,13
28,1,8:12.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),7,15
29,1,8:12.0,Dallas full timeout,,7,15
30,1,7:59.0,D. Smith misses 3-pt jump shot from 24 ft,,7,15
31,1,7:56.0,,Defensive rebound by R. Gobert,7,15
32,1,7:44.0,,D. Favors misses 2-pt jump shot from 16 ft,7,15
33,1,7:41.0,Defensive rebound by D. Nowitzki,,7,15
34,1,7:28.0,Def 3 sec tech foul by R. Gobert,,7,15
35,1,7:28.0,D. Nowitzki makes technical free throw,,8,15
36,1,7:23.0,W. Matthews makes 2-pt jump shot from 15 ft,,10,15
37,1,7:09.0,,D. Mitchell misses 2-pt jump shot from 20 ft,10,15
38,1,7:07.0,Defensive rebound by D. Smith,,10,15
39,1,6:58.0,D. Smith misses 2-pt layup from 5 ft,,10,15
40,1,6:56.0,Offensive rebound by D. Smith,,10,15
41,1,6:52.0,D. Smith misses 3-pt jump shot from 25 ft,,10,15
42,1,6:48.0,,Defensive rebound by J. Ingles,10,15
43,1,6:40.0,,J. Ingles misses 3-pt jump shot from 26 ft,10,15
44,1,6:38.0,Defensive rebound by D. Nowitzki,,10,15
45,1,6:32.0,J. Barea makes 2-pt layup from 4 ft,,12,15
46,1,6:18.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by J. Ingles),12,18
