,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,OKLAHOMA CITY_ACTION,LA LAKERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:38.0,,R. Westbrook makes 2-pt layup from 1 ft,0,2
1,1,11:15.0,J. Randle misses 3-pt jump shot from 25 ft,,0,2
2,1,11:13.0,,Defensive rebound by P. George,0,2
3,1,11:07.0,,Turnover by P. George (bad pass; steal by K. Caldwell-Pope),0,2
4,1,10:54.0,T. Ennis misses 3-pt jump shot from 25 ft,,0,2
5,1,10:51.0,,Defensive rebound by A. Roberson,0,2
6,1,10:46.0,,Turnover by S. Adams (lost ball; steal by K. Caldwell-Pope),0,2
7,1,10:27.0,Turnover by J. Randle (lost ball; steal by R. Westbrook),,0,2
8,1,10:23.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),0,4
9,1,10:21.0,LA Lakers full timeout,,0,4
10,1,10:06.0,J. Randle makes 2-pt dunk from 1 ft,,2,4
11,1,9:45.0,,R. Westbrook misses 2-pt layup from 1 ft,2,4
12,1,9:45.0,,Offensive rebound by Team,2,4
13,1,9:45.0,Loose ball foul by J. Randle (drawn by S. Adams),,2,4
14,1,9:33.0,,C. Anthony makes 2-pt layup at rim,2,6
15,1,9:12.0,B. Lopez makes 3-pt jump shot from 23 ft (assist by J. Randle),,5,6
16,1,8:53.0,,A. Roberson makes 2-pt layup at rim (assist by R. Westbrook),5,8
17,1,8:42.0,Personal foul by C. Anthony (drawn by J. Randle),,5,8
18,1,8:34.0,Turnover by J. Randle (bad pass; steal by A. Roberson),,5,8
19,1,8:29.0,,R. Westbrook misses 2-pt layup from 1 ft (block by J. Randle),5,8
20,1,8:25.0,Defensive rebound by T. Ennis,,5,8
21,1,8:22.0,B. Ingram misses 2-pt jump shot from 13 ft,,5,8
22,1,8:18.0,,Defensive rebound by S. Adams,5,8
23,1,8:10.0,,C. Anthony makes 3-pt jump shot from 23 ft (assist by P. George),5,11
24,1,7:51.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by B. Ingram),,8,11
25,1,7:38.0,,S. Adams makes 2-pt dunk at rim (assist by P. George),8,13
26,1,7:17.0,Turnover by B. Lopez (bad pass; steal by A. Roberson),,8,13
27,1,7:09.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by P. George),8,16
28,1,7:07.0,LA Lakers full timeout,,8,16
29,1,6:55.0,Personal foul by A. Roberson (drawn by K. Caldwell-Pope),,8,16
30,1,6:50.0,B. Ingram makes 2-pt jump shot from 10 ft (assist by B. Lopez),,10,16
31,1,6:33.0,,C. Anthony misses 3-pt jump shot from 24 ft,10,16
32,1,6:31.0,,Offensive rebound by Team,10,16
33,1,6:23.0,,R. Westbrook misses 2-pt jump shot from 14 ft,10,16
34,1,6:19.0,Defensive rebound by B. Ingram,,10,16
35,1,6:11.0,B. Lopez misses 3-pt jump shot from 25 ft,,10,16
36,1,6:09.0,,Defensive rebound by C. Anthony,10,16
37,1,6:03.0,,R. Westbrook misses 2-pt layup from 2 ft,10,16
38,1,6:02.0,,Offensive rebound by S. Adams,10,16
39,1,6:02.0,,S. Adams makes 2-pt layup at rim,10,18
40,1,5:43.0,B. Ingram misses 2-pt jump shot from 23 ft,,10,18
41,1,5:43.0,,Defensive rebound by R. Westbrook,10,18
42,1,5:34.0,,S. Adams misses 2-pt jump shot from 3 ft,10,18
43,1,5:33.0,,Offensive rebound by Team,10,18
44,1,5:33.0,Loose ball foul by B. Lopez (drawn by S. Adams),,10,18
45,1,5:33.0,,T. Ferguson enters the game for A. Roberson,10,18
46,1,5:27.0,,P. George misses 3-pt jump shot from 24 ft,10,18
47,1,5:22.0,,Offensive rebound by T. Ferguson,10,18
48,1,5:20.0,,P. George makes 2-pt dunk at rim (assist by C. Anthony),10,20
49,1,5:08.0,B. Lopez makes 2-pt jump shot from 6 ft (assist by T. Ennis),,12,20
50,1,4:50.0,,Turnover by S. Adams (turnover),12,20
51,1,4:50.0,K. Kuzma enters the game for J. Randle,,12,20
52,1,4:31.0,T. Ennis makes 2-pt jump shot from 16 ft,,14,20
53,1,4:08.0,,S. Adams makes 2-pt dunk at rim (assist by C. Anthony),14,22
54,1,4:02.0,T. Ennis makes 2-pt layup from 1 ft,,16,22
55,1,3:46.0,,S. Adams misses 2-pt layup at rim,16,22
56,1,3:45.0,,Offensive rebound by S. Adams,16,22
57,1,3:44.0,,S. Adams makes 2-pt layup from 1 ft,16,24
