,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,M. Gasol misses 2-pt jump shot from 10 ft,,0,0
1,1,11:43.0,Offensive rebound by Team,,0,0
2,1,11:32.0,D. Brooks makes 3-pt jump shot from 25 ft (assist by M. Gasol),,3,0
3,1,11:09.0,,Turnover by J. Bell (lost ball; steal by J. Green),3,0
4,1,10:57.0,D. Brooks misses 3-pt jump shot from 25 ft,,3,0
5,1,10:50.0,,Defensive rebound by K. Durant,3,0
6,1,10:45.0,,J. McGee makes 2-pt hook shot from 8 ft (assist by J. Bell),3,2
7,1,10:23.0,A. Harrison misses 3-pt jump shot from 24 ft,,3,2
8,1,10:19.0,,Defensive rebound by J. McGee,3,2
9,1,10:06.0,,Turnover by K. Thompson (lost ball; steal by T. Evans),3,2
10,1,10:00.0,M. Gasol makes 3-pt jump shot from 27 ft (assist by T. Evans),,6,2
11,1,9:46.0,,Turnover by J. Bell (bad pass; steal by J. Green),6,2
12,1,9:28.0,J. Green makes 2-pt layup at rim (assist by T. Evans),,8,2
13,1,9:14.0,,Golden State full timeout,8,2
14,1,9:11.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by J. McGee),8,4
15,1,8:43.0,Turnover by J. Green (lost ball; steal by K. Thompson),,8,4
16,1,8:34.0,,Q. Cook misses 2-pt jump shot from 18 ft,8,4
17,1,8:31.0,Defensive rebound by M. Gasol,,8,4
18,1,8:24.0,A. Harrison makes 3-pt jump shot from 24 ft (assist by M. Gasol),,11,4
19,1,8:12.0,,Personal foul by D. Brooks (drawn by J. Bell),11,4
20,1,8:09.0,,K. Thompson makes 2-pt jump shot from 18 ft,11,6
21,1,8:08.0,,Shooting foul by J. Green (drawn by K. Thompson),11,6
22,1,8:08.0,,K. Thompson makes free throw 1 of 1,11,7
23,1,7:52.0,M. Gasol misses 2-pt jump shot from 12 ft,,11,7
24,1,7:46.0,Offensive rebound by J. Green,,11,7
25,1,7:36.0,T. Evans misses 3-pt jump shot from 24 ft,,11,7
26,1,7:34.0,,Defensive rebound by Team,11,7
27,1,7:34.0,Loose ball foul by D. Brooks (drawn by J. Bell),,11,7
28,1,7:34.0,J. Ennis enters the game for D. Brooks,,11,7
29,1,7:23.0,,K. Durant misses 3-pt jump shot from 24 ft,11,7
30,1,7:20.0,,Offensive rebound by J. Bell,11,7
31,1,7:19.0,,K. Durant makes 2-pt dunk at rim (assist by K. Thompson),11,9
32,1,7:01.0,M. Gasol misses 2-pt jump shot from 11 ft,,11,9
33,1,6:57.0,,Defensive rebound by K. Durant,11,9
34,1,6:52.0,,K. Durant misses 3-pt jump shot from 25 ft,11,9
35,1,6:48.0,Defensive rebound by T. Evans,,11,9
36,1,6:46.0,Turnover by T. Evans (lost ball; steal by J. McGee),,11,9
37,1,6:44.0,,K. Thompson makes 2-pt dunk from 1 ft (assist by Q. Cook),11,11
38,1,6:44.0,Memphis full timeout,,11,11
39,1,6:44.0,M. Chalmers enters the game for J. Green,,11,11
40,1,6:44.0,J. Martin enters the game for T. Evans,,11,11
41,1,6:29.0,M. Gasol misses 2-pt jump shot from 16 ft,,11,11
42,1,6:24.0,Offensive rebound by M. Chalmers,,11,11
43,1,6:22.0,M. Chalmers makes 3-pt jump shot from 26 ft,,14,11
44,1,6:05.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),14,14
45,1,5:58.0,Personal foul by Q. Cook (drawn by M. Chalmers),,14,14
46,1,5:58.0,,K. Looney enters the game for J. McGee,14,14
47,1,5:58.0,,P. McCaw enters the game for Q. Cook,14,14
48,1,5:48.0,Turnover by M. Chalmers (bad pass),,14,14
49,1,5:42.0,,Turnover by P. McCaw (step out of bounds),14,14
50,1,5:13.0,J. Martin makes 2-pt jump shot from 17 ft (assist by A. Harrison),,16,14
51,1,4:55.0,,Personal foul by A. Harrison (drawn by K. Durant),16,14
52,1,4:50.0,,K. Durant makes 2-pt dunk at rim (assist by J. Bell),16,16
53,1,4:25.0,M. Chalmers misses 3-pt jump shot from 23 ft,,16,16
54,1,4:21.0,,Defensive rebound by K. Looney,16,16
55,1,4:20.0,,N. Young enters the game for K. Thompson,16,16
