,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
0,1,11:42.0,Shooting foul by M. Plumlee (drawn by M. Gasol),,0,0
1,1,11:42.0,M. Gasol makes free throw 1 of 2,,1,0
2,1,11:42.0,M. Gasol makes free throw 2 of 2,,2,0
3,1,11:30.0,,Personal foul by A. Harrison (drawn by M. Plumlee),2,0
4,1,11:20.0,,Turnover by N. Jokić (out of bounds lost ball),2,0
5,1,11:01.0,D. Brooks misses 3-pt jump shot from 22 ft,,2,0
6,1,10:57.0,,Defensive rebound by N. Jokić,2,0
7,1,10:44.0,,W. Barton misses 2-pt jump shot from 4 ft,2,0
8,1,10:42.0,Defensive rebound by J. Green,,2,0
9,1,10:29.0,M. Gasol misses 2-pt layup from 2 ft,,2,0
10,1,10:29.0,,Defensive rebound by Team,2,0
11,1,10:16.0,,W. Chandler misses 2-pt jump shot from 12 ft,2,0
12,1,10:13.0,,Offensive rebound by M. Plumlee,2,0
13,1,10:12.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by M. Plumlee),2,3
14,1,9:52.0,T. Evans makes 3-pt jump shot from 23 ft,,5,3
15,1,9:26.0,,N. Jokić misses 2-pt layup from 4 ft (block by J. Green),5,3
16,1,9:23.0,,Offensive rebound by N. Jokić,5,3
17,1,9:23.0,,M. Plumlee misses 2-pt hook shot from 4 ft,5,3
18,1,9:22.0,Defensive rebound by M. Gasol,,5,3
19,1,9:22.0,Personal foul by N. Jokić (drawn by M. Gasol),,5,3
20,1,9:15.0,Personal foul by W. Barton (drawn by T. Evans),,5,3
21,1,9:03.0,J. Green makes 3-pt jump shot from 22 ft (assist by A. Harrison),,8,3
22,1,8:51.0,,Shooting foul by J. Green (drawn by N. Jokić),8,3
23,1,8:51.0,,N. Jokić makes free throw 1 of 2,8,4
24,1,8:51.0,,N. Jokić makes free throw 2 of 2,8,5
25,1,8:33.0,M. Gasol misses 3-pt jump shot from 23 ft,,8,5
26,1,8:31.0,,Defensive rebound by M. Plumlee,8,5
27,1,8:25.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by M. Plumlee),8,8
