,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHOENIX_ACTION,HOUSTON_SCORE,PHOENIX_SCORE
0,1,11:41.0,,D. Bender misses 2-pt hook shot from 7 ft,0,0
1,1,11:38.0,Defensive rebound by C. Capela,,0,0
2,1,11:25.0,Def 3 sec tech foul by T. Chandler,,0,0
3,1,11:25.0,C. Paul makes technical free throw,,1,0
4,1,11:18.0,T. Ariza misses 3-pt jump shot from 22 ft,,1,0
5,1,11:15.0,,Defensive rebound by T. Ulis,1,0
6,1,11:09.0,,T. Chandler makes 2-pt layup at rim (assist by D. Booker),1,2
7,1,10:45.0,E. Gordon misses 2-pt jump shot from 8 ft,,1,2
8,1,10:43.0,,Defensive rebound by T. Chandler,1,2
9,1,10:37.0,,D. Bender misses 2-pt layup at rim,1,2
10,1,10:35.0,Defensive rebound by C. Capela,,1,2
11,1,10:27.0,E. Gordon misses 3-pt jump shot from 24 ft,,1,2
12,1,10:23.0,Offensive rebound by C. Capela,,1,2
13,1,10:12.0,C. Paul misses 3-pt jump shot from 24 ft,,1,2
14,1,10:09.0,,Defensive rebound by T. Chandler,1,2
15,1,10:00.0,,D. Booker makes 2-pt layup at rim (assist by T. Chandler),1,4
16,1,9:50.0,Turnover by E. Gordon (lost ball; steal by D. Booker),,1,4
17,1,9:45.0,,T. Warren makes 2-pt layup at rim (assist by D. Booker),1,6
18,1,9:30.0,T. Ariza misses 2-pt layup from 2 ft,,1,6
19,1,9:27.0,Offensive rebound by T. Ariza,,1,6
20,1,9:23.0,Turnover by T. Ariza (bad pass; steal by D. Booker),,1,6
21,1,9:20.0,,D. Booker misses 2-pt jump shot from 22 ft,1,6
22,1,9:16.0,Defensive rebound by C. Paul,,1,6
23,1,9:14.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by C. Paul),,4,6
24,1,8:46.0,,T. Chandler misses 2-pt jump shot from 19 ft,4,6
25,1,8:43.0,Defensive rebound by C. Capela,,4,6
26,1,8:38.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by E. Gordon),,7,6
27,1,8:23.0,,T. Chandler makes 2-pt layup at rim (assist by T. Ulis),7,8
28,1,8:11.0,E. Gordon misses 3-pt jump shot from 25 ft,,7,8
29,1,8:09.0,,Defensive rebound by D. Bender,7,8
30,1,7:57.0,,D. Booker makes 3-pt jump shot from 27 ft,7,11
31,1,7:39.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by C. Paul),,10,11
32,1,7:12.0,,T. Ulis misses 2-pt jump shot from 10 ft,10,11
33,1,7:06.0,,Offensive rebound by T. Chandler,10,11
34,1,7:06.0,,T. Chandler makes 2-pt layup at rim,10,13
35,1,6:54.0,C. Paul misses 3-pt jump shot from 24 ft,,10,13
36,1,6:51.0,,Defensive rebound by T. Chandler,10,13
37,1,6:42.0,,T. Warren makes 2-pt jump shot from 7 ft (assist by D. Booker),10,15
38,1,6:41.0,Houston full timeout,,10,15
39,1,6:41.0,G. Green enters the game for C. Capela,,10,15
40,1,6:41.0,P. Tucker enters the game for C. Paul,,10,15
41,1,6:18.0,G. Green misses 2-pt layup from 1 ft,,10,15
42,1,6:14.0,,Defensive rebound by T. Chandler,10,15
43,1,6:12.0,,T. Ulis makes 3-pt jump shot from 25 ft,10,18
44,1,5:55.0,E. Gordon misses 3-pt jump shot from 25 ft,,10,18
45,1,5:53.0,,Defensive rebound by D. Booker,10,18
46,1,5:45.0,,Turnover by D. Booker (bad pass; steal by T. Ariza),10,18
47,1,5:40.0,Offensive foul by T. Ariza (drawn by D. Bender),,10,18
48,1,5:40.0,Turnover by T. Ariza (offensive foul),,10,18
49,1,5:20.0,,D. Bender makes 3-pt jump shot from 25 ft (assist by T. Warren),10,21
50,1,5:05.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by G. Green),,13,21
51,1,4:48.0,,Offensive foul by T. Chandler (drawn by G. Green),13,21
52,1,4:48.0,,Turnover by T. Chandler (offensive foul),13,21
53,1,4:48.0,,T. Daniels enters the game for D. Booker,13,21
54,1,4:38.0,E. Gordon misses 3-pt jump shot from 24 ft,,13,21
55,1,4:35.0,Offensive rebound by R. Anderson,,13,21
56,1,4:31.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by R. Anderson),,16,21
57,1,4:29.0,,Turnover by T. Warren (traveling),16,21
58,1,4:18.0,T. Ariza misses 3-pt jump shot from 24 ft,,16,21
59,1,4:14.0,,Defensive rebound by T. Warren,16,21
60,1,3:52.0,,T. Warren misses 2-pt jump shot from 19 ft,16,21
61,1,3:49.0,Defensive rebound by P. Tucker,,16,21
62,1,3:44.0,Turnover by P. Tucker (bad pass),,16,21
63,1,3:25.0,,T. Warren misses 2-pt jump shot from 16 ft,16,21
64,1,3:21.0,Defensive rebound by R. Anderson,,16,21
65,1,3:19.0,E. Gordon misses 2-pt layup from 6 ft,,16,21
66,1,3:19.0,,Defensive rebound by Team,16,21
67,1,3:19.0,,A. Len enters the game for T. Chandler,16,21
68,1,3:19.0,C. Capela enters the game for R. Anderson,,16,21
69,1,3:02.0,,T. Daniels misses 3-pt jump shot from 27 ft,16,21
70,1,2:58.0,Defensive rebound by C. Capela,,16,21
71,1,2:51.0,G. Green makes 2-pt jump shot from 11 ft,,18,21
72,1,2:43.0,,Phoenix full timeout,18,21
73,1,2:43.0,C. Paul enters the game for E. Gordon,,18,21
74,1,2:23.0,,T. Ulis misses 3-pt jump shot from 26 ft,18,21
75,1,2:19.0,Defensive rebound by C. Capela,,18,21
76,1,2:11.0,G. Green makes 3-pt jump shot from 25 ft,,21,21
77,1,1:50.0,,T. Warren misses 2-pt jump shot from 5 ft,21,21
78,1,1:48.0,Defensive rebound by C. Capela,,21,21
79,1,1:40.0,Turnover by G. Green (traveling),,21,21
80,1,1:40.0,,J. Dudley enters the game for T. Ulis,21,21
81,1,1:40.0,,D. Booker enters the game for T. Warren,21,21
82,1,1:40.0,,D. House enters the game for D. Bender,21,21
83,1,1:21.0,,A. Len makes 2-pt dunk at rim (assist by D. Booker),21,23
84,1,1:04.0,Shooting foul by T. Daniels (drawn by G. Green),,21,23
85,1,1:04.0,G. Green makes free throw 1 of 3,,22,23
86,1,1:04.0,G. Green makes free throw 2 of 3,,23,23
87,1,1:04.0,G. Green makes free throw 3 of 3,,24,23
88,1,0:42.0,,A. Len misses 2-pt jump shot from 20 ft,24,23
89,1,0:40.0,Defensive rebound by P. Tucker,,24,23
90,1,0:34.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by C. Paul),,27,23
91,1,0:10.0,,Turnover by D. House (bad pass; steal by P. Tucker),27,23
92,1,0:00.0,C. Paul misses 3-pt jump shot from 25 ft,,27,23
93,1,0:00.0,Offensive rebound by Team,,27,23
94,2,11:50.0,G. Green misses 3-pt jump shot from 24 ft,,27,23
95,2,11:46.0,,Defensive rebound by T. Daniels,27,23
96,2,11:34.0,,T. Daniels misses 3-pt jump shot from 25 ft,27,23
97,2,11:30.0,Defensive rebound by P. Tucker,,27,23
98,2,11:24.0,R. Anderson misses 3-pt jump shot from 25 ft,,27,23
99,2,11:22.0,,Defensive rebound by D. Booker,27,23
100,2,11:05.0,,Turnover by A. Len (turnover),27,23
