,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
0,1,11:47.0,,Turnover by D. Brooks (bad pass),0,0
1,1,11:25.0,Turnover by Z. Randolph (lost ball; steal by A. Harrison),,0,0
2,1,11:15.0,,M. Gasol makes 2-pt jump shot from 18 ft (assist by A. Harrison),0,2
3,1,11:10.0,Personal foul by A. Harrison (drawn by D. Fox),,0,2
4,1,11:03.0,D. Fox makes 2-pt layup from 1 ft,,2,2
5,1,10:50.0,,A. Harrison misses 3-pt jump shot from 25 ft,2,2
6,1,10:48.0,Defensive rebound by W. Cauley-Stein,,2,2
7,1,10:34.0,J. Jackson misses 3-pt jump shot from 25 ft,,2,2
8,1,10:32.0,,Defensive rebound by A. Harrison,2,2
9,1,10:29.0,,T. Evans misses 2-pt layup from 1 ft,2,2
10,1,10:25.0,Defensive rebound by W. Cauley-Stein,,2,2
11,1,10:08.0,B. Bogdanović makes 2-pt layup from 1 ft,,4,2
12,1,9:56.0,,T. Evans makes 2-pt jump shot from 19 ft,4,4
13,1,9:43.0,D. Fox makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,7,4
14,1,9:42.0,,Memphis full timeout,7,4
15,1,9:21.0,,Personal foul by W. Cauley-Stein (drawn by M. Gasol),7,4
16,1,9:10.0,,J. Green misses 3-pt jump shot from 25 ft,7,4
17,1,9:08.0,Defensive rebound by W. Cauley-Stein,,7,4
18,1,8:53.0,Z. Randolph makes 2-pt layup from 1 ft,,9,4
19,1,8:44.0,,Turnover by T. Evans (bad pass),9,4
20,1,8:35.0,B. Bogdanović makes 2-pt layup at rim,,11,4
21,1,8:21.0,,Shooting foul by D. Fox (drawn by A. Harrison),11,4
22,1,8:21.0,,A. Harrison makes free throw 1 of 2,11,5
23,1,8:21.0,,W. Selden enters the game for D. Brooks,11,5
24,1,8:21.0,,A. Harrison makes free throw 2 of 2,11,6
25,1,8:06.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,11,6
26,1,8:04.0,,Defensive rebound by J. Green,11,6
27,1,7:56.0,,Personal foul by W. Cauley-Stein (drawn by J. Green),11,6
28,1,7:56.0,,M. Chalmers enters the game for A. Harrison,11,6
29,1,7:42.0,,T. Evans misses 3-pt jump shot from 27 ft,11,6
30,1,7:39.0,Defensive rebound by W. Cauley-Stein,,11,6
31,1,7:34.0,Shooting foul by W. Selden (drawn by J. Jackson),,11,6
32,1,7:34.0,J. Jackson misses free throw 1 of 2,,11,6
33,1,7:34.0,Offensive rebound by Team,,11,6
34,1,7:34.0,,J. Martin enters the game for J. Green,11,6
35,1,7:34.0,V. Carter enters the game for W. Cauley-Stein,,11,6
36,1,7:34.0,J. Jackson misses free throw 2 of 2,,11,6
37,1,7:32.0,,Defensive rebound by J. Martin,11,6
38,1,7:19.0,,T. Evans makes 2-pt layup at rim,11,8
39,1,7:13.0,D. Fox misses 2-pt jump shot from 5 ft,,11,8
40,1,7:10.0,,Defensive rebound by M. Gasol,11,8
41,1,7:07.0,,W. Selden makes 2-pt layup at rim (assist by M. Gasol),11,10
42,1,6:50.0,Personal foul by W. Selden (drawn by B. Bogdanović),,11,10
43,1,6:39.0,Z. Randolph misses 2-pt hook shot from 13 ft,,11,10
44,1,6:36.0,,Defensive rebound by M. Gasol,11,10
45,1,6:32.0,,J. Martin makes 2-pt layup at rim (assist by M. Chalmers),11,12
46,1,6:26.0,Sacramento full timeout,,11,12
47,1,6:13.0,D. Fox misses 2-pt jump shot from 19 ft,,11,12
48,1,6:09.0,,Defensive rebound by T. Evans,11,12
49,1,6:08.0,,Shooting foul by V. Carter (drawn by T. Evans),11,12
50,1,6:08.0,,T. Evans makes free throw 1 of 2,11,13
51,1,6:08.0,,T. Evans makes free throw 2 of 2,11,14
52,1,5:52.0,Z. Randolph misses 2-pt jump shot from 14 ft,,11,14
53,1,5:49.0,,Defensive rebound by T. Evans,11,14
54,1,5:44.0,,T. Evans misses 2-pt layup from 2 ft,11,14
55,1,5:42.0,,Offensive rebound by J. Martin,11,14
56,1,5:30.0,,M. Chalmers misses 3-pt jump shot from 25 ft,11,14
57,1,5:27.0,,Offensive rebound by J. Martin,11,14
58,1,5:16.0,,M. Chalmers misses 3-pt jump shot from 23 ft,11,14
59,1,5:15.0,,Offensive rebound by Team,11,14
60,1,5:15.0,,D. Brooks enters the game for T. Evans,11,14
61,1,5:00.0,,Turnover by W. Selden (lost ball; steal by B. Bogdanović),11,14
62,1,4:48.0,G. Temple enters the game for B. Bogdanović,,11,14
63,1,4:46.0,Turnover by V. Carter (bad pass; steal by W. Selden),,11,14
64,1,4:37.0,,M. Chalmers misses 2-pt layup from 4 ft (block by D. Fox),11,14
65,1,4:34.0,,Offensive rebound by M. Chalmers,11,14
