,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
0,1,11:47.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by B. Lopez),0,2
1,1,11:20.0,J. Martin misses 3-pt jump shot from 26 ft,,0,2
2,1,11:17.0,,Defensive rebound by K. Caldwell-Pope,0,2
3,1,11:07.0,,B. Lopez misses 2-pt hook shot from 16 ft,0,2
4,1,11:04.0,Defensive rebound by J. Martin,,0,2
5,1,10:57.0,D. Brooks makes 2-pt layup from 1 ft (assist by M. Gasol),,2,2
6,1,10:36.0,,B. Ingram misses 2-pt jump shot from 3 ft,2,2
7,1,10:32.0,Defensive rebound by D. Brooks,,2,2
8,1,10:28.0,M. Gasol misses 3-pt jump shot from 26 ft,,2,2
9,1,10:23.0,,Defensive rebound by B. Ingram,2,2
10,1,10:16.0,,L. Ball misses 3-pt jump shot from 25 ft,2,2
11,1,10:13.0,Defensive rebound by J. Ennis,,2,2
12,1,9:53.0,D. Brooks makes 2-pt layup from 1 ft (assist by M. Gasol),,4,2
13,1,9:37.0,,K. Kuzma misses 3-pt jump shot from 26 ft,4,2
14,1,9:36.0,,Offensive rebound by Team,4,2
15,1,9:36.0,Loose ball foul by D. Brooks (drawn by B. Ingram),,4,2
16,1,9:23.0,,B. Ingram makes 2-pt dunk at rim,4,4
17,1,9:12.0,Personal foul by B. Ingram (drawn by M. Gasol),,4,4
18,1,9:03.0,M. Gasol misses 3-pt jump shot from 25 ft,,4,4
19,1,8:58.0,,Defensive rebound by L. Ball,4,4
20,1,8:46.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by L. Ball),4,7
21,1,8:24.0,J. Ennis misses 3-pt jump shot from 26 ft,,4,7
22,1,8:19.0,Offensive rebound by J. Martin,,4,7
23,1,8:13.0,Turnover by D. Brooks (bad pass; steal by B. Lopez),,4,7
24,1,8:10.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft (block by M. Gasol),4,7
25,1,8:07.0,Defensive rebound by M. Gasol,,4,7
26,1,7:47.0,M. Gasol makes 2-pt hook shot from 6 ft,,6,7
27,1,7:42.0,,K. Kuzma makes 2-pt dunk from 2 ft (assist by B. Lopez),6,9
28,1,7:31.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Conley),,8,9
29,1,7:20.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by B. Lopez),8,11
30,1,6:57.0,M. Conley makes 2-pt layup from 3 ft (assist by J. Martin),,10,11
31,1,6:44.0,,K. Kuzma misses 2-pt hook shot from 8 ft,10,11
32,1,6:44.0,Defensive rebound by J. Martin,,10,11
33,1,6:36.0,M. Conley makes 3-pt jump shot from 26 ft (assist by J. Martin),,13,11
34,1,6:13.0,,B. Lopez misses 2-pt jump shot from 15 ft (block by J. Martin),13,11
35,1,6:10.0,Defensive rebound by M. Gasol,,13,11
36,1,6:04.0,M. Conley misses 2-pt layup from 2 ft,,13,11
37,1,6:02.0,,Defensive rebound by K. Kuzma,13,11
38,1,5:58.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,13,11
39,1,5:53.0,Defensive rebound by M. Gasol,,13,11
40,1,5:34.0,M. Gasol makes 2-pt jump shot from 14 ft,,15,11
41,1,5:26.0,,LA Lakers full timeout,15,11
42,1,5:26.0,T. Evans enters the game for D. Brooks,,15,11
43,1,5:26.0,M. Chalmers enters the game for M. Conley,,15,11
44,1,5:18.0,,Shooting foul by J. Martin (drawn by K. Kuzma),15,11
45,1,5:18.0,,K. Kuzma makes free throw 1 of 2,15,12
46,1,5:18.0,,J. Randle enters the game for B. Lopez,15,12
47,1,5:18.0,,K. Kuzma makes free throw 2 of 2,15,13
48,1,4:56.0,J. Ennis misses 3-pt jump shot from 26 ft,,15,13
49,1,4:53.0,,Defensive rebound by B. Ingram,15,13
50,1,4:47.0,,B. Ingram makes 2-pt layup from 1 ft,15,15
51,1,4:24.0,M. Gasol misses 2-pt hook shot from 2 ft,,15,15
52,1,4:21.0,,Defensive rebound by J. Randle,15,15
53,1,4:15.0,,J. Clarkson enters the game for K. Kuzma,15,15
54,1,4:15.0,B. Wright enters the game for J. Martin,,15,15
55,1,4:05.0,,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,15,15
56,1,4:03.0,Defensive rebound by B. Wright,,15,15
57,1,3:51.0,Personal foul by L. Ball (drawn by M. Gasol),,15,15
