,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MIAMI_ACTION,CHICAGO_SCORE,MIAMI_SCORE
0,1,11:39.0,,Turnover by J. Johnson (bad pass),0,0
1,1,11:25.0,R. Lopez misses 2-pt hook shot from 3 ft,,0,0
2,1,11:23.0,,Defensive rebound by J. Richardson,0,0
3,1,11:10.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by G. Dragić),0,3
4,1,10:49.0,D. Nwaba misses 2-pt jump shot from 7 ft (block by H. Whiteside),,0,3
5,1,10:47.0,Offensive rebound by D. Nwaba,,0,3
6,1,10:44.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by N. Vonleh),,2,3
7,1,10:30.0,,T. Johnson misses 3-pt jump shot from 22 ft (block by D. Nwaba),2,3
8,1,10:26.0,,Offensive rebound by H. Whiteside,2,3
9,1,10:25.0,,J. Johnson misses 2-pt layup at rim,2,3
10,1,10:19.0,,Offensive rebound by J. Johnson,2,3
11,1,10:19.0,,J. Johnson misses 2-pt layup at rim,2,3
12,1,10:18.0,Defensive rebound by N. Vonleh,,2,3
13,1,10:16.0,C. Payne misses 2-pt layup from 1 ft,,2,3
14,1,10:10.0,,Defensive rebound by H. Whiteside,2,3
15,1,10:05.0,,T. Johnson misses 3-pt jump shot from 25 ft,2,3
16,1,10:03.0,Defensive rebound by N. Vonleh,,2,3
17,1,9:58.0,D. Nwaba makes 2-pt layup from 1 ft (assist by C. Payne),,4,3
18,1,9:44.0,,J. Richardson makes 2-pt hook shot from 8 ft,4,5
19,1,9:29.0,R. Lopez misses 3-pt jump shot from 26 ft,,4,5
20,1,9:26.0,,Defensive rebound by G. Dragić,4,5
21,1,9:20.0,,J. Richardson misses 3-pt jump shot from 24 ft,4,5
22,1,9:18.0,Defensive rebound by D. Nwaba,,4,5
23,1,9:15.0,Shooting foul by T. Johnson (drawn by D. Nwaba),,4,5
24,1,9:15.0,D. Nwaba misses free throw 1 of 2,,4,5
25,1,9:15.0,Offensive rebound by Team,,4,5
26,1,9:15.0,D. Nwaba makes free throw 2 of 2,,5,5
27,1,9:01.0,,H. Whiteside makes 2-pt jump shot from 8 ft (assist by G. Dragić),5,7
28,1,8:37.0,N. Vonleh misses 2-pt jump shot from 13 ft,,5,7
29,1,8:33.0,,Defensive rebound by H. Whiteside,5,7
30,1,8:26.0,,Shooting foul by C. Payne (drawn by G. Dragić),5,7
31,1,8:26.0,,G. Dragić makes free throw 1 of 2,5,8
32,1,8:26.0,,G. Dragić makes free throw 2 of 2,5,9
33,1,8:12.0,Turnover by J. Holiday (bad pass; steal by H. Whiteside),,5,9
34,1,8:07.0,,Shooting foul by J. Holiday (drawn by G. Dragić),5,9
35,1,8:07.0,,G. Dragić makes free throw 1 of 2,5,10
36,1,8:07.0,,G. Dragić makes free throw 2 of 2,5,11
37,1,7:48.0,D. Nwaba misses 2-pt layup from 1 ft,,5,11
38,1,7:44.0,Offensive rebound by R. Lopez,,5,11
39,1,7:44.0,R. Lopez makes 2-pt layup at rim,,7,11
40,1,7:33.0,,H. Whiteside misses 2-pt jump shot from 10 ft,7,11
41,1,7:31.0,Defensive rebound by N. Vonleh,,7,11
42,1,7:25.0,D. Nwaba makes 2-pt dunk at rim,,9,11
43,1,7:11.0,,J. Richardson misses 3-pt jump shot from 25 ft,9,11
44,1,7:08.0,Defensive rebound by D. Nwaba,,9,11
45,1,7:04.0,J. Holiday misses 3-pt jump shot from 23 ft,,9,11
46,1,7:01.0,,Defensive rebound by J. Johnson,9,11
47,1,6:51.0,,Shooting foul by J. Holiday (drawn by H. Whiteside),9,11
48,1,6:51.0,,Miami full timeout,9,11
49,1,6:51.0,D. Valentine enters the game for J. Holiday,,9,11
50,1,6:51.0,,H. Whiteside makes free throw 1 of 2,9,12
51,1,6:51.0,,H. Whiteside makes free throw 2 of 2,9,13
52,1,6:36.0,C. Payne makes 2-pt jump shot from 7 ft,,11,13
53,1,6:24.0,,T. Johnson makes 2-pt jump shot from 18 ft (assist by H. Whiteside),11,15
54,1,6:10.0,Shooting foul by J. Richardson (drawn by R. Lopez),,11,15
55,1,6:10.0,R. Lopez makes free throw 1 of 2,,12,15
56,1,6:10.0,,W. Ellington enters the game for J. Richardson,12,15
57,1,6:10.0,R. Lopez misses free throw 2 of 2,,12,15
58,1,6:06.0,,Defensive rebound by H. Whiteside,12,15
59,1,5:49.0,,J. Johnson misses 2-pt jump shot from 19 ft,12,15
60,1,5:45.0,Defensive rebound by N. Vonleh,,12,15
61,1,5:36.0,D. Nwaba makes 3-pt jump shot from 23 ft (assist by C. Payne),,15,15
62,1,5:15.0,,H. Whiteside misses 2-pt jump shot from 16 ft,15,15
63,1,5:13.0,,Offensive rebound by H. Whiteside,15,15
64,1,5:11.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by H. Whiteside),15,18
65,1,4:51.0,Personal foul by J. Johnson (drawn by D. Valentine),,15,18
66,1,4:51.0,,J. Winslow enters the game for T. Johnson,15,18
67,1,4:51.0,,K. Olynyk enters the game for J. Johnson,15,18
68,1,4:51.0,,D. Wade enters the game for H. Whiteside,15,18
69,1,4:51.0,B. Portis enters the game for N. Vonleh,,15,18
70,1,4:44.0,C. Payne misses 3-pt jump shot from 25 ft,,15,18
71,1,4:42.0,,Defensive rebound by J. Winslow,15,18
72,1,4:30.0,,K. Olynyk misses 3-pt jump shot from 23 ft,15,18
73,1,4:29.0,Defensive rebound by B. Portis,,15,18
74,1,4:27.0,Turnover by C. Payne (bad pass),,15,18
75,1,4:20.0,,G. Dragić makes 2-pt layup from 1 ft,15,20
76,1,4:06.0,D. Valentine misses 2-pt jump shot from 23 ft,,15,20
77,1,4:06.0,,Defensive rebound by Team,15,20
78,1,4:06.0,J. Grant enters the game for C. Payne,,15,20
79,1,3:39.0,,J. Winslow makes 2-pt jump shot from 1 ft,15,22
80,1,3:30.0,B. Portis misses 2-pt hook shot from 3 ft,,15,22
81,1,3:27.0,Offensive rebound by B. Portis,,15,22
82,1,3:25.0,B. Portis makes 2-pt jump shot from 3 ft,,17,22
83,1,3:11.0,,Turnover by D. Wade (bad pass; steal by B. Portis),17,22
84,1,3:05.0,Turnover by B. Portis (step out of bounds),,17,22
85,1,2:52.0,,G. Dragić misses 2-pt layup from 1 ft,17,22
86,1,2:52.0,Defensive rebound by Team,,17,22
87,1,2:52.0,,Loose ball foul by K. Olynyk (drawn by J. Grant),17,22
88,1,2:52.0,Chicago full timeout,,17,22
89,1,2:52.0,N. Vonleh enters the game for R. Lopez,,17,22
90,1,2:26.0,B. Portis misses 3-pt jump shot from 26 ft,,17,22
91,1,2:26.0,Offensive rebound by N. Vonleh,,17,22
92,1,2:26.0,Personal foul by K. Olynyk (drawn by N. Vonleh),,17,22
93,1,2:26.0,N. Vonleh makes free throw 1 of 2,,18,22
94,1,2:26.0,,B. Adebayo enters the game for K. Olynyk,18,22
95,1,2:26.0,N. Vonleh makes free throw 2 of 2,,19,22
96,1,2:14.0,,D. Wade makes 2-pt jump shot from 6 ft (assist by J. Winslow),19,24
97,1,2:00.0,D. Nwaba misses 2-pt jump shot from 5 ft,,19,24
98,1,1:58.0,,Defensive rebound by G. Dragić,19,24
99,1,1:53.0,,Shooting foul by J. Grant (drawn by B. Adebayo),19,24
100,1,1:53.0,,B. Adebayo makes free throw 1 of 2,19,25
101,1,1:53.0,,J. Richardson enters the game for G. Dragić,19,25
102,1,1:53.0,S. Kilpatrick enters the game for D. Nwaba,,19,25
103,1,1:53.0,,B. Adebayo misses free throw 2 of 2,19,25
104,1,1:50.0,Defensive rebound by B. Portis,,19,25
105,1,1:42.0,Turnover by N. Vonleh (bad pass),,19,25
106,1,1:30.0,,W. Ellington misses 3-pt jump shot from 24 ft,19,25
107,1,1:28.0,Defensive rebound by N. Vonleh,,19,25
108,1,1:18.0,N. Vonleh makes 2-pt hook shot from 2 ft (assist by D. Valentine),,21,25
109,1,1:04.0,,Shooting foul by J. Grant (drawn by J. Richardson),21,25
110,1,1:04.0,,J. Richardson makes free throw 1 of 2,21,26
111,1,1:04.0,,J. Richardson makes free throw 2 of 2,21,27
112,1,0:45.0,B. Portis misses 2-pt hook shot from 11 ft,,21,27
113,1,0:42.0,,Defensive rebound by J. Winslow,21,27
114,1,0:38.0,,J. Winslow makes 2-pt layup from 1 ft,21,29
115,1,0:28.0,N. Vonleh misses 3-pt jump shot from 25 ft,,21,29
116,1,0:25.0,Offensive rebound by B. Portis,,21,29
117,1,0:04.0,B. Portis misses 2-pt layup from 2 ft (block by J. Richardson),,21,29
118,1,0:04.0,,Defensive rebound by J. Winslow,21,29
119,1,0:00.0,,Turnover by J. Winslow (bad pass; steal by N. Vonleh),21,29
120,2,11:41.0,S. Kilpatrick misses 2-pt jump shot from 8 ft,,21,29
121,2,11:30.0,,Defensive rebound by J. Winslow,21,29
122,2,11:26.0,,D. Wade makes 2-pt jump shot from 18 ft,21,31
123,2,11:17.0,D. Valentine makes 2-pt jump shot from 10 ft,,23,31
124,2,10:59.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Wade),23,33
125,2,10:48.0,R. Lopez makes 2-pt dunk from 1 ft (assist by J. Grant),,25,33
126,2,10:23.0,,J. Richardson misses 3-pt jump shot from 25 ft,25,33
127,2,10:21.0,Defensive rebound by D. Valentine,,25,33
128,2,10:14.0,D. Valentine misses 2-pt layup from 1 ft,,25,33
129,2,10:14.0,Offensive rebound by B. Portis,,25,33
130,2,10:14.0,Shooting foul by J. Winslow (drawn by B. Portis),,25,33
131,2,10:14.0,B. Portis misses free throw 1 of 2,,25,33
132,2,10:14.0,Offensive rebound by Team,,25,33
133,2,10:14.0,B. Portis makes free throw 2 of 2,,26,33
134,2,9:54.0,,D. Wade misses 2-pt jump shot from 10 ft,26,33
135,2,9:52.0,Defensive rebound by R. Lopez,,26,33
136,2,9:42.0,Personal foul by J. Richardson (drawn by B. Portis),,26,33
137,2,9:42.0,,J. Johnson enters the game for J. Richardson,26,33
138,2,9:35.0,Turnover by D. Valentine (step out of bounds),,26,33
139,2,9:12.0,,Personal foul by D. Valentine (drawn by J. Winslow),26,33
140,2,9:05.0,,B. Adebayo misses 2-pt jump shot from 10 ft,26,33
141,2,9:03.0,Defensive rebound by B. Portis,,26,33
142,2,8:58.0,J. Grant makes 2-pt layup from 1 ft,,28,33
143,2,8:58.0,Shooting foul by B. Adebayo (drawn by J. Grant),,28,33
144,2,8:58.0,,K. Olynyk enters the game for B. Adebayo,28,33
145,2,8:58.0,J. Grant misses free throw 1 of 1,,28,33
146,2,8:55.0,,Defensive rebound by J. Johnson,28,33
147,2,8:51.0,,Shooting block foul by J. Grant (drawn by J. Winslow),28,33
148,2,8:51.0,,J. Winslow makes free throw 1 of 2,28,34
149,2,8:51.0,C. Payne enters the game for J. Grant,,28,34
150,2,8:51.0,,J. Winslow makes free throw 2 of 2,28,35
151,2,8:45.0,Turnover by B. Portis (bad pass; steal by J. Winslow),,28,35
152,2,8:42.0,,D. Wade misses 2-pt hook shot from 3 ft (block by R. Lopez),28,35
153,2,8:42.0,,Offensive rebound by Team,28,35
154,2,8:41.0,,Personal foul by R. Lopez (drawn by K. Olynyk),28,35
