,QUARTER,TIME_REMAINING,DENVER_ACTION,HOUSTON_ACTION,DENVER_SCORE,HOUSTON_SCORE
0,1,11:38.0,W. Chandler misses 2-pt jump shot from 16 ft,,0,0
1,1,11:36.0,,Defensive rebound by C. Capela,0,0
2,1,11:20.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),0,2
3,1,11:05.0,W. Barton misses 3-pt jump shot from 25 ft,,0,2
4,1,11:03.0,,Defensive rebound by C. Capela,0,2
5,1,10:58.0,,Shooting foul by W. Chandler (drawn by J. Harden),0,2
6,1,10:58.0,,J. Harden misses free throw 1 of 2,0,2
7,1,10:58.0,,Offensive rebound by Team,0,2
8,1,10:58.0,,J. Harden makes free throw 2 of 2,0,3
9,1,10:48.0,N. Jokić makes 2-pt jump shot from 14 ft (assist by G. Harris),,2,3
10,1,10:28.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),2,5
11,1,10:11.0,G. Harris misses 2-pt layup at rim (block by C. Capela),,2,5
12,1,10:10.0,,Defensive rebound by C. Capela,2,5
13,1,10:06.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by C. Paul),2,8
14,1,9:48.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,4,8
15,1,9:36.0,,L. Mbah a Moute makes 3-pt jump shot from 22 ft (assist by C. Paul),4,11
16,1,9:17.0,Shooting foul by J. Harden (drawn by N. Jokić),,4,11
17,1,9:17.0,N. Jokić misses free throw 1 of 2,,4,11
18,1,9:17.0,Offensive rebound by Team,,4,11
19,1,9:17.0,N. Jokić makes free throw 2 of 2,,5,11
20,1,8:57.0,,C. Paul misses 3-pt jump shot from 24 ft,5,11
21,1,8:55.0,Defensive rebound by W. Chandler,,5,11
22,1,8:47.0,G. Harris misses 3-pt jump shot from 24 ft,,5,11
23,1,8:45.0,,Defensive rebound by C. Capela,5,11
24,1,8:37.0,,C. Capela misses 2-pt layup from 1 ft,5,11
25,1,8:35.0,Defensive rebound by W. Barton,,5,11
26,1,8:31.0,G. Harris misses 3-pt jump shot from 24 ft,,5,11
27,1,8:29.0,Offensive rebound by W. Chandler,,5,11
28,1,8:28.0,J. Murray misses 3-pt jump shot from 25 ft,,5,11
29,1,8:28.0,Offensive rebound by Team,,5,11
30,1,8:18.0,Turnover by J. Murray (lost ball; steal by C. Paul),,5,11
31,1,8:14.0,,P. Tucker misses 2-pt layup from 1 ft,5,11
32,1,8:14.0,,Offensive rebound by C. Capela,5,11
33,1,8:14.0,,C. Capela misses 2-pt layup at rim,5,11
34,1,8:12.0,,Offensive rebound by C. Capela,5,11
35,1,8:10.0,,C. Capela misses 2-pt layup at rim,5,11
36,1,8:09.0,Defensive rebound by N. Jokić,,5,11
37,1,8:02.0,Turnover by G. Harris (bad pass),,5,11
38,1,7:57.0,,Personal foul by W. Barton (drawn by J. Harden),5,11
39,1,7:55.0,,Turnover by C. Capela (bad pass),5,11
40,1,7:46.0,Turnover by G. Harris (bad pass; steal by L. Mbah a Moute),,5,11
41,1,7:40.0,,P. Tucker misses 3-pt jump shot from 25 ft,5,11
42,1,7:37.0,Defensive rebound by W. Barton,,5,11
43,1,7:29.0,W. Chandler makes 2-pt layup from 1 ft,,7,11
44,1,7:10.0,,Shooting foul by J. Murray (drawn by C. Capela),7,11
45,1,7:10.0,,C. Capela makes free throw 1 of 2,7,12
46,1,7:10.0,,E. Gordon enters the game for C. Paul,7,12
47,1,7:10.0,,C. Capela misses free throw 2 of 2,7,12
48,1,7:10.0,Defensive rebound by N. Jokić,,7,12
49,1,6:56.0,G. Harris misses 3-pt jump shot from 23 ft,,7,12
50,1,6:54.0,,Defensive rebound by L. Mbah a Moute,7,12
51,1,6:46.0,,L. Mbah a Moute makes 2-pt jump shot from 4 ft,7,14
52,1,6:40.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,9,14
53,1,6:40.0,Shooting foul by P. Tucker (drawn by J. Murray),,9,14
54,1,6:40.0,,Houston full timeout,9,14
55,1,6:40.0,,R. Anderson enters the game for P. Tucker,9,14
56,1,6:40.0,J. Murray misses free throw 1 of 1,,9,14
57,1,6:40.0,,Defensive rebound by J. Harden,9,14
58,1,6:25.0,,Turnover by J. Harden (bad pass; steal by N. Jokić),9,14
59,1,6:17.0,J. Murray misses 3-pt jump shot from 25 ft,,9,14
