,QUARTER,TIME_REMAINING,TORONTO_ACTION,PORTLAND_ACTION,TORONTO_SCORE,PORTLAND_SCORE
0,1,11:45.0,,A. Aminu makes 2-pt dunk at rim (assist by D. Lillard),0,2
1,1,11:28.0,Shooting foul by M. Harkless (drawn by D. DeRozan),,0,2
2,1,11:28.0,D. DeRozan misses free throw 1 of 2,,0,2
3,1,11:28.0,Offensive rebound by Team,,0,2
4,1,11:28.0,D. DeRozan makes free throw 2 of 2,,1,2
5,1,11:15.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by C. McCollum),1,4
6,1,11:03.0,D. DeRozan makes 2-pt jump shot from 15 ft,,3,4
7,1,10:50.0,,C. McCollum misses 2-pt layup from 1 ft (block by N. Powell),3,4
8,1,10:46.0,Defensive rebound by P. Siakam,,3,4
9,1,10:32.0,L. Nogueira makes 2-pt layup at rim (assist by D. DeRozan),,5,4
10,1,10:19.0,,D. Lillard makes 2-pt jump shot from 20 ft,5,6
11,1,10:00.0,N. Powell misses 2-pt hook shot from 8 ft,,5,6
12,1,9:58.0,,Defensive rebound by J. Nurkić,5,6
13,1,9:52.0,,J. Nurkić makes 2-pt jump shot from 22 ft (assist by D. Lillard),5,8
14,1,9:32.0,D. DeRozan makes 2-pt jump shot from 16 ft,,7,8
15,1,9:20.0,,A. Aminu makes 2-pt jump shot from 8 ft (assist by M. Harkless),7,10
16,1,9:10.0,D. DeRozan makes 2-pt jump shot from 14 ft,,9,10
17,1,8:57.0,,D. Lillard makes 3-pt jump shot from 26 ft,9,13
18,1,8:47.0,Turnover by K. Lowry (bad pass; steal by J. Nurkić),,9,13
19,1,8:40.0,,Turnover by D. Lillard (bad pass; steal by L. Nogueira),9,13
20,1,8:38.0,D. DeRozan makes 2-pt layup from 2 ft,,11,13
21,1,8:38.0,Shooting foul by M. Harkless (drawn by D. DeRozan),,11,13
22,1,8:38.0,,E. Turner enters the game for M. Harkless,11,13
23,1,8:38.0,D. DeRozan makes free throw 1 of 1,,12,13
24,1,8:19.0,,J. Nurkić misses 2-pt jump shot from 13 ft,12,13
25,1,8:16.0,Defensive rebound by K. Lowry,,12,13
26,1,8:10.0,Shooting foul by E. Turner (drawn by D. DeRozan),,12,13
27,1,8:10.0,D. DeRozan misses free throw 1 of 2,,12,13
28,1,8:10.0,Offensive rebound by Team,,12,13
29,1,8:10.0,D. DeRozan makes free throw 2 of 2,,13,13
30,1,7:52.0,,C. McCollum makes 3-pt jump shot from 22 ft,13,16
31,1,7:32.0,N. Powell misses 2-pt layup from 3 ft,,13,16
32,1,7:31.0,,Defensive rebound by A. Aminu,13,16
33,1,7:31.0,,Personal foul by L. Nogueira (drawn by A. Aminu),13,16
34,1,7:20.0,,C. McCollum misses 2-pt jump shot from 14 ft (block by N. Powell),13,16
