,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BROOKLYN_ACTION,CLEVELAND_SCORE,BROOKLYN_SCORE
0,1,11:43.0,K. Love misses 2-pt jump shot from 13 ft,,0,0
1,1,11:40.0,,Defensive rebound by C. LeVert,0,0
2,1,11:27.0,,C. LeVert misses 2-pt jump shot from 10 ft,0,0
3,1,11:24.0,Defensive rebound by L. James,,0,0
4,1,11:19.0,Shooting foul by S. Dinwiddie (drawn by L. James),,0,0
5,1,11:19.0,L. James makes free throw 1 of 2,,1,0
6,1,11:19.0,L. James makes free throw 2 of 2,,2,0
7,1,11:04.0,,R. Hollis-Jefferson misses 2-pt jump shot from 15 ft,2,0
8,1,11:01.0,Defensive rebound by L. James,,2,0
9,1,10:56.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,5,0
10,1,10:47.0,,Turnover by S. Dinwiddie (bad pass; steal by J. Smith),5,0
11,1,10:37.0,K. Love misses 2-pt hook shot from 6 ft,,5,0
12,1,10:34.0,,Defensive rebound by T. Mozgov,5,0
13,1,10:22.0,,C. LeVert misses 2-pt layup from 3 ft,5,0
14,1,10:20.0,Defensive rebound by K. Love,,5,0
15,1,10:14.0,J. Crowder misses 3-pt jump shot from 25 ft,,5,0
16,1,10:10.0,,Defensive rebound by D. Carroll,5,0
17,1,10:06.0,,C. LeVert misses 2-pt layup from 5 ft,5,0
18,1,10:03.0,Defensive rebound by J. Smith,,5,0
19,1,9:50.0,Turnover by K. Love (traveling),,5,0
20,1,9:34.0,,S. Dinwiddie makes 2-pt jump shot from 19 ft,5,2
21,1,9:21.0,J. Smith misses 2-pt jump shot from 14 ft,,5,2
22,1,9:18.0,Offensive rebound by J. Smith,,5,2
23,1,9:18.0,Cleveland full timeout,,5,2
24,1,9:08.0,L. James makes 2-pt jump shot from 18 ft,,7,2
25,1,8:56.0,,Turnover by R. Hollis-Jefferson (out of bounds lost ball),7,2
26,1,8:44.0,K. Love makes 2-pt jump shot from 12 ft (assist by J. Smith),,9,2
27,1,8:35.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,9,2
28,1,8:33.0,Defensive rebound by T. Thompson,,9,2
29,1,8:29.0,Turnover by L. James (turnover),,9,2
30,1,8:15.0,,C. LeVert misses 3-pt jump shot from 25 ft,9,2
31,1,8:13.0,Defensive rebound by K. Love,,9,2
32,1,8:08.0,Turnover by K. Love (turnover; steal by T. Mozgov),,9,2
33,1,8:02.0,,S. Dinwiddie misses 2-pt layup from 8 ft,9,2
34,1,8:02.0,Defensive rebound by Team,,9,2
35,1,8:02.0,,Loose ball foul by T. Mozgov (drawn by K. Love),9,2
36,1,7:52.0,Offensive foul by T. Thompson (drawn by S. Dinwiddie),,9,2
37,1,7:52.0,Turnover by T. Thompson (offensive foul),,9,2
38,1,7:34.0,,C. LeVert misses 3-pt jump shot from 25 ft,9,2
39,1,7:31.0,Defensive rebound by L. James,,9,2
40,1,7:25.0,L. James makes 2-pt jump shot from 19 ft,,11,2
41,1,7:04.0,,S. Dinwiddie makes 2-pt layup from 5 ft,11,4
42,1,6:54.0,L. James makes 2-pt jump shot from 15 ft,,13,4
43,1,6:44.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,13,4
44,1,6:40.0,Defensive rebound by T. Thompson,,13,4
45,1,6:33.0,L. James misses 2-pt jump shot from 17 ft,,13,4
46,1,6:29.0,,A. Crabbe enters the game for T. Mozgov,13,4
47,1,6:29.0,,T. Booker enters the game for C. LeVert,13,4
48,1,6:28.0,Defensive rebound by K. Love,,13,4
49,1,6:26.0,Offensive foul by L. James (drawn by D. Carroll),,13,4
50,1,6:26.0,Turnover by L. James (offensive foul),,13,4
51,1,6:16.0,,D. Carroll makes 3-pt jump shot from 27 ft (assist by T. Booker),13,7
52,1,5:59.0,Turnover by J. Crowder (bad pass; steal by D. Carroll),,13,7
53,1,5:53.0,,D. Carroll makes 3-pt jump shot from 25 ft,13,10
54,1,5:18.0,,A. Crabbe makes 2-pt jump shot from 18 ft (assist by T. Booker),13,12
55,1,5:00.0,L. James misses 2-pt layup from 10 ft,,13,12
56,1,4:58.0,,Defensive rebound by D. Carroll,13,12
57,1,4:54.0,,A. Crabbe misses 3-pt jump shot from 26 ft,13,12
58,1,4:51.0,Defensive rebound by K. Love,,13,12
59,1,4:47.0,L. James misses 2-pt layup from 6 ft (block by R. Hollis-Jefferson),,13,12
60,1,4:47.0,Offensive rebound by Team,,13,12
61,1,4:47.0,,Q. Acy enters the game for R. Hollis-Jefferson,13,12
62,1,4:44.0,J. Crowder makes 2-pt jump shot from 21 ft (assist by L. James),,15,12
63,1,4:23.0,,D. Carroll makes 2-pt layup from 5 ft,15,14
64,1,4:07.0,J. Smith misses 3-pt jump shot from 23 ft,,15,14
65,1,4:04.0,,Defensive rebound by T. Booker,15,14
66,1,3:48.0,,T. Booker makes 2-pt hook shot from 7 ft,15,16
67,1,3:47.0,Cleveland full timeout,,15,16
68,1,3:47.0,J. Green enters the game for K. Love,,15,16
69,1,3:47.0,J. Calderón enters the game for J. Smith,,15,16
70,1,3:47.0,I. Shumpert enters the game for L. James,,15,16
71,1,3:47.0,K. Korver enters the game for J. Crowder,,15,16
72,1,3:30.0,J. Calderón makes 2-pt layup from 5 ft,,17,16
73,1,3:16.0,,A. Crabbe misses 3-pt jump shot from 25 ft,17,16
74,1,3:13.0,Defensive rebound by J. Green,,17,16
75,1,3:07.0,K. Korver makes 3-pt jump shot from 26 ft (assist by J. Green),,20,16
76,1,2:55.0,,D. Carroll misses 3-pt jump shot from 25 ft,20,16
77,1,2:52.0,Defensive rebound by J. Green,,20,16
78,1,2:47.0,J. Green misses 2-pt layup from 6 ft,,20,16
79,1,2:46.0,,Defensive rebound by Team,20,16
80,1,2:46.0,,C. LeVert enters the game for S. Dinwiddie,20,16
81,1,2:46.0,,J. Harris enters the game for D. Carroll,20,16
82,1,2:39.0,,Shooting foul by K. Korver (drawn by A. Crabbe),20,16
83,1,2:39.0,,A. Crabbe makes free throw 1 of 3,20,17
84,1,2:39.0,,A. Crabbe makes free throw 2 of 3,20,18
85,1,2:39.0,,A. Crabbe makes free throw 3 of 3,20,19
86,1,2:19.0,I. Shumpert makes 2-pt jump shot from 18 ft,,22,19
87,1,2:05.0,,C. LeVert makes 2-pt layup from 2 ft,22,21
88,1,1:43.0,J. Calderón misses 2-pt jump shot from 20 ft,,22,21
89,1,1:37.0,Offensive rebound by T. Thompson,,22,21
90,1,1:36.0,I. Shumpert misses 3-pt jump shot from 26 ft,,22,21
91,1,1:32.0,,Defensive rebound by T. Booker,22,21
92,1,1:29.0,,J. Harris makes 3-pt jump shot from 27 ft (assist by T. Booker),22,24
93,1,1:19.0,K. Korver misses 3-pt jump shot from 26 ft,,22,24
94,1,1:17.0,,Defensive rebound by Q. Acy,22,24
95,1,1:07.0,,A. Crabbe misses 3-pt jump shot from 28 ft,22,24
96,1,1:07.0,Defensive rebound by J. Green,,22,24
97,1,1:00.0,Personal foul by Q. Acy (drawn by J. Green),,22,24
98,1,0:53.0,Shooting foul by C. LeVert (drawn by T. Thompson),,22,24
99,1,0:53.0,T. Thompson misses free throw 1 of 2,,22,24
100,1,0:53.0,Offensive rebound by Team,,22,24
101,1,0:53.0,T. Thompson makes free throw 2 of 2,,23,24
102,1,0:43.0,,Q. Acy misses 3-pt jump shot from 26 ft,23,24
103,1,0:40.0,Defensive rebound by I. Shumpert,,23,24
104,1,0:34.0,J. Green misses 3-pt jump shot from 28 ft,,23,24
105,1,0:30.0,,Defensive rebound by A. Crabbe,23,24
106,1,0:10.0,,C. LeVert makes 2-pt layup from 3 ft,23,26
107,1,0:03.0,Turnover by J. Calderón (bad pass),,23,26
108,1,0:00.0,,J. Harris misses 3-pt jump shot from 32 ft (block by J. Green),23,26
109,1,0:00.0,,Offensive rebound by Team,23,26
110,2,11:46.0,,J. Harris misses 2-pt layup from 5 ft (block by L. James),23,26
111,2,11:46.0,,Offensive rebound by Team,23,26
112,2,11:38.0,,Turnover by T. Booker (turnover),23,26
113,2,11:26.0,J. Green makes 3-pt jump shot from 23 ft (assist by J. Calderón),,26,26
114,2,11:26.0,Shooting foul by T. Mozgov (drawn by J. Green),,26,26
115,2,11:26.0,,R. Hollis-Jefferson enters the game for T. Mozgov,26,26
116,2,11:26.0,J. Green makes free throw 1 of 1,,27,26
117,2,11:17.0,,S. Kilpatrick misses 2-pt jump shot from 20 ft,27,26
118,2,11:14.0,,Offensive rebound by T. Booker,27,26
119,2,11:13.0,,J. Harris misses 3-pt jump shot from 22 ft,27,26
120,2,11:09.0,Defensive rebound by I. Shumpert,,27,26
121,2,11:03.0,Turnover by K. Korver (out of bounds lost ball),,27,26
122,2,10:48.0,,C. LeVert misses 3-pt jump shot from 24 ft,27,26
123,2,10:47.0,,Offensive rebound by T. Booker,27,26
124,2,10:47.0,,Shooting foul by K. Korver (drawn by T. Booker),27,26
125,2,10:47.0,,T. Booker misses free throw 1 of 2,27,26
126,2,10:47.0,,Offensive rebound by Team,27,26
127,2,10:47.0,,T. Booker misses free throw 2 of 2,27,26
128,2,10:44.0,Defensive rebound by L. James,,27,26
129,2,10:31.0,K. Korver misses 3-pt jump shot from 26 ft,,27,26
130,2,10:27.0,,Defensive rebound by T. Booker,27,26
131,2,10:19.0,,J. Harris misses 3-pt jump shot from 22 ft,27,26
132,2,10:16.0,Defensive rebound by I. Shumpert,,27,26
133,2,10:00.0,J. Green misses 2-pt jump shot from 17 ft,,27,26
134,2,9:57.0,,Defensive rebound by T. Booker,27,26
135,2,9:52.0,,R. Hollis-Jefferson misses 2-pt layup from 6 ft (block by J. Green),27,26
136,2,9:49.0,,Offensive rebound by T. Booker,27,26
137,2,9:48.0,,T. Booker makes 2-pt layup from 1 ft,27,28
138,2,9:45.0,Personal foul by C. LeVert (drawn by L. James),,27,28
139,2,9:36.0,J. Green makes 3-pt jump shot from 25 ft (assist by L. James),,30,28
140,2,9:22.0,,S. Kilpatrick misses 3-pt jump shot from 26 ft,30,28
141,2,9:19.0,Defensive rebound by J. Green,,30,28
142,2,9:13.0,Turnover by L. James (lost ball; steal by S. Kilpatrick),,30,28
143,2,9:09.0,,S. Kilpatrick misses 2-pt layup from 4 ft (block by L. James),30,28
