,QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
0,1,11:39.0,D. Dedmon makes 2-pt jump shot from 16 ft (assist by J. Collins),,2,0
1,1,11:14.0,,C. Joseph makes 3-pt jump shot from 22 ft (assist by V. Oladipo),2,3
2,1,10:49.0,K. Bazemore misses 2-pt jump shot from 17 ft,,2,3
3,1,10:48.0,Offensive rebound by Team,,2,3
4,1,10:45.0,J. Collins misses 3-pt jump shot from 23 ft,,2,3
5,1,10:42.0,,Defensive rebound by V. Oladipo,2,3
6,1,10:33.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by D. Dedmon),2,3
7,1,10:33.0,,Offensive rebound by Team,2,3
8,1,10:25.0,,T. Young misses 3-pt jump shot from 23 ft,2,3
9,1,10:22.0,Defensive rebound by D. Dedmon,,2,3
10,1,10:16.0,T. Prince misses 2-pt jump shot from 12 ft,,2,3
11,1,10:14.0,,Defensive rebound by M. Turner,2,3
12,1,10:03.0,,C. Joseph makes 2-pt layup from 1 ft,2,5
13,1,9:46.0,K. Bazemore misses 3-pt jump shot from 25 ft,,2,5
14,1,9:43.0,,Defensive rebound by M. Turner,2,5
15,1,9:34.0,,B. Bogdanović makes 2-pt jump shot from 17 ft,2,7
16,1,9:08.0,J. Collins makes 2-pt layup at rim (assist by D. Schröder),,4,7
17,1,8:49.0,,M. Turner misses 2-pt layup from 7 ft,4,7
18,1,8:47.0,Defensive rebound by D. Dedmon,,4,7
19,1,8:36.0,Turnover by D. Schröder (bad pass; steal by M. Turner),,4,7
20,1,8:29.0,,T. Young makes 2-pt layup from 1 ft (assist by C. Joseph),4,9
21,1,8:02.0,D. Dedmon makes 2-pt layup at rim,,6,9
22,1,7:48.0,,T. Young misses 2-pt jump shot from 12 ft,6,9
23,1,7:47.0,,Offensive rebound by M. Turner,6,9
24,1,7:36.0,,C. Joseph makes 2-pt jump shot from 16 ft,6,11
25,1,7:35.0,Atlanta full timeout,,6,11
26,1,7:21.0,D. Schröder misses 3-pt jump shot from 30 ft,,6,11
27,1,7:18.0,,Defensive rebound by V. Oladipo,6,11
28,1,7:10.0,,B. Bogdanović makes 2-pt layup from 2 ft,6,13
29,1,6:53.0,D. Schröder misses 3-pt jump shot from 26 ft,,6,13
30,1,6:51.0,,Defensive rebound by V. Oladipo,6,13
31,1,6:46.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by V. Oladipo),6,16
32,1,6:32.0,Turnover by D. Dedmon (out of bounds lost ball),,6,16
33,1,6:13.0,,Turnover by M. Turner (lost ball; steal by D. Dedmon),6,16
34,1,6:00.0,D. Schröder misses 2-pt layup at rim,,6,16
35,1,5:58.0,,Defensive rebound by V. Oladipo,6,16
36,1,5:42.0,,Turnover by T. Young (bad pass; steal by J. Collins),6,16
37,1,5:35.0,D. Dedmon makes 2-pt layup from 2 ft (assist by D. Schröder),,8,16
38,1,5:15.0,,C. Joseph makes 3-pt jump shot from 25 ft (assist by V. Oladipo),8,19
39,1,4:52.0,D. Schröder makes 2-pt jump shot from 20 ft (assist by T. Prince),,10,19
40,1,4:35.0,,M. Turner makes 3-pt jump shot from 23 ft (assist by T. Young),10,22
41,1,4:10.0,K. Bazemore misses 3-pt jump shot from 23 ft,,10,22
42,1,4:08.0,,Defensive rebound by T. Young,10,22
43,1,4:04.0,,B. Bogdanović makes 2-pt layup at rim,10,24
44,1,4:04.0,,Shooting foul by T. Prince (drawn by B. Bogdanović),10,24
45,1,4:04.0,,D. Sabonis enters the game for T. Young,10,24
46,1,4:04.0,I. Taylor enters the game for T. Prince,,10,24
47,1,4:04.0,T. Dorsey enters the game for D. Dedmon,,10,24
48,1,4:04.0,J. Morris enters the game for D. Schröder,,10,24
49,1,4:04.0,M. Muscala enters the game for J. Collins,,10,24
50,1,4:04.0,M. Plumlee enters the game for K. Bazemore,,10,24
51,1,4:04.0,,B. Bogdanović makes free throw 1 of 1,10,25
52,1,3:51.0,I. Taylor misses 3-pt jump shot from 27 ft,,10,25
53,1,3:49.0,,Defensive rebound by B. Bogdanović,10,25
54,1,3:42.0,,Turnover by B. Bogdanović (lost ball; steal by J. Morris),10,25
55,1,3:39.0,,G. Robinson enters the game for B. Bogdanović,10,25
56,1,3:26.0,T. Dorsey misses 3-pt jump shot from 24 ft,,10,25
57,1,3:22.0,,Defensive rebound by G. Robinson,10,25
58,1,3:17.0,,C. Joseph misses 2-pt jump shot from 18 ft,10,25
59,1,3:15.0,Defensive rebound by J. Morris,,10,25
60,1,3:10.0,I. Taylor makes 2-pt jump shot from 7 ft,,12,25
61,1,3:10.0,,Indiana full timeout,12,25
62,1,3:10.0,,D. Collison enters the game for C. Joseph,12,25
63,1,2:52.0,,V. Oladipo makes 2-pt jump shot from 11 ft,12,27
64,1,2:32.0,Turnover by I. Taylor (bad pass; steal by D. Sabonis),,12,27
65,1,2:23.0,,D. Sabonis misses 2-pt hook shot from 4 ft,12,27
66,1,2:22.0,,Offensive rebound by Team,12,27
67,1,2:22.0,,L. Stephenson enters the game for V. Oladipo,12,27
68,1,2:11.0,,M. Turner misses 2-pt jump shot from 20 ft,12,27
69,1,2:07.0,Defensive rebound by M. Muscala,,12,27
70,1,1:54.0,,T. Booker enters the game for M. Turner,12,27
71,1,1:45.0,M. Muscala makes 3-pt jump shot from 23 ft (assist by I. Taylor),,15,27
72,1,1:23.0,,D. Collison makes 2-pt layup from 1 ft (assist by G. Robinson),15,29
73,1,1:15.0,Personal foul by D. Collison (drawn by I. Taylor),,15,29
74,1,1:01.0,Turnover by M. Plumlee (out of bounds lost ball),,15,29
75,1,0:46.0,,L. Stephenson makes 2-pt jump shot from 16 ft,15,31
76,1,0:29.0,M. Plumlee misses 2-pt dunk at rim,,15,31
77,1,0:26.0,,Defensive rebound by G. Robinson,15,31
78,1,0:13.0,,Offensive foul by D. Sabonis (drawn by I. Taylor),15,31
79,1,0:13.0,,Turnover by D. Sabonis (offensive foul),15,31
80,1,0:13.0,T. Prince enters the game for M. Plumlee,,15,31
81,1,0:03.0,Turnover by I. Taylor (traveling),,15,31
82,1,0:00.0,,D. Collison makes 3-pt jump shot from 25 ft,15,34
83,2,11:51.0,,G. Robinson misses 2-pt jump shot from 18 ft,15,34
84,2,11:48.0,Defensive rebound by T. Dorsey,,15,34
85,2,11:25.0,J. Morris misses 2-pt jump shot from 18 ft,,15,34
86,2,11:22.0,,Defensive rebound by T. Booker,15,34
87,2,11:12.0,,D. Collison makes 2-pt jump shot from 18 ft,15,36
88,2,11:05.0,Shooting foul by D. Sabonis (drawn by I. Taylor),,15,36
89,2,11:05.0,I. Taylor makes free throw 1 of 2,,16,36
90,2,11:05.0,I. Taylor makes free throw 2 of 2,,17,36
91,2,10:55.0,,L. Stephenson misses 2-pt jump shot from 21 ft,17,36
92,2,10:52.0,Defensive rebound by Team,,17,36
93,2,10:52.0,J. Collins enters the game for M. Plumlee,,17,36
94,2,10:40.0,T. Dorsey misses 2-pt jump shot from 22 ft,,17,36
95,2,10:36.0,,Defensive rebound by D. Collison,17,36
96,2,10:28.0,,Turnover by L. Stephenson (lost ball; steal by J. Morris),17,36
97,2,10:20.0,T. Dorsey misses 3-pt jump shot from 27 ft,,17,36
98,2,10:17.0,,Defensive rebound by T. Booker,17,36
99,2,10:13.0,,Personal foul by I. Taylor (drawn by D. Sabonis),17,36
100,2,10:13.0,,B. Bogdanović enters the game for G. Robinson,17,36
101,2,10:13.0,T. Prince enters the game for T. Dorsey,,17,36
102,2,10:13.0,K. Bazemore enters the game for M. Muscala,,17,36
103,2,10:00.0,,L. Stephenson misses 3-pt jump shot from 26 ft,17,36
104,2,9:56.0,Defensive rebound by K. Bazemore,,17,36
105,2,9:51.0,K. Bazemore makes 2-pt layup at rim,,19,36
106,2,9:39.0,,D. Collison makes 3-pt jump shot from 23 ft (assist by T. Booker),19,39
107,2,9:38.0,Atlanta full timeout,,19,39
108,2,9:38.0,D. Schröder enters the game for I. Taylor,,19,39
109,2,9:29.0,D. Schröder makes 2-pt layup at rim,,21,39
110,2,9:09.0,,T. Booker misses 2-pt jump shot from 7 ft,21,39
111,2,9:07.0,,Offensive rebound by D. Collison,21,39
112,2,8:59.0,,L. Stephenson misses 3-pt jump shot from 26 ft,21,39
113,2,8:57.0,Defensive rebound by J. Collins,,21,39
114,2,8:50.0,Turnover by D. Schröder (traveling),,21,39
115,2,8:50.0,,C. Joseph enters the game for D. Collison,21,39
116,2,8:42.0,,Turnover by B. Bogdanović (traveling),21,39
117,2,8:22.0,Turnover by D. Schröder (lost ball; steal by C. Joseph),,21,39
118,2,8:18.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by T. Prince),21,39
119,2,8:17.0,,Offensive rebound by Team,21,39
120,2,8:15.0,,C. Joseph misses 3-pt jump shot from 29 ft,21,39
121,2,8:11.0,Defensive rebound by T. Prince,,21,39
122,2,8:06.0,K. Bazemore misses 3-pt jump shot from 24 ft,,21,39
123,2,8:03.0,,Defensive rebound by L. Stephenson,21,39
124,2,7:56.0,,Shooting foul by K. Bazemore (drawn by D. Sabonis),21,39
125,2,7:56.0,,D. Sabonis misses free throw 1 of 2,21,39
126,2,7:56.0,,Offensive rebound by Team,21,39
127,2,7:56.0,,D. Sabonis makes free throw 2 of 2,21,40
128,2,7:38.0,T. Prince misses 2-pt jump shot from 15 ft,,21,40
129,2,7:37.0,,Defensive rebound by T. Booker,21,40
130,2,7:18.0,,L. Stephenson makes 2-pt layup at rim,21,42
131,2,7:03.0,J. Collins makes 2-pt dunk from 1 ft (assist by D. Schröder),,23,42
132,2,6:43.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,23,42
133,2,6:39.0,Defensive rebound by J. Collins,,23,42
134,2,6:29.0,K. Bazemore misses 2-pt jump shot from 6 ft,,23,42
135,2,6:27.0,,Defensive rebound by D. Sabonis,23,42
136,2,6:27.0,,Personal foul by K. Bazemore (drawn by L. Stephenson),23,42
137,2,6:27.0,,V. Oladipo enters the game for L. Stephenson,23,42
138,2,6:27.0,,T. Young enters the game for T. Booker,23,42
139,2,6:27.0,D. Dedmon enters the game for J. Morris,,23,42
140,2,6:18.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,23,42
141,2,6:16.0,Defensive rebound by D. Dedmon,,23,42
142,2,6:06.0,D. Schröder misses 2-pt jump shot from 20 ft,,23,42
143,2,6:03.0,Offensive rebound by D. Schröder,,23,42
144,2,6:02.0,T. Prince makes 3-pt jump shot from 28 ft (assist by D. Schröder),,26,42
145,2,6:00.0,,Indiana full timeout,26,42
146,2,6:00.0,,M. Turner enters the game for D. Sabonis,26,42
147,2,5:55.0,,Personal foul by D. Schröder (drawn by C. Joseph),26,42
148,2,5:37.0,,M. Turner misses 3-pt jump shot from 26 ft,26,42
149,2,5:34.0,Defensive rebound by K. Bazemore,,26,42
150,2,5:27.0,Turnover by D. Dedmon (lost ball; steal by T. Young),,26,42
151,2,5:22.0,,Turnover by V. Oladipo (out of bounds lost ball),26,42
152,2,5:05.0,K. Bazemore misses 2-pt layup from 1 ft,,26,42
153,2,5:02.0,Offensive rebound by J. Collins,,26,42
154,2,5:01.0,J. Collins makes 2-pt layup from 1 ft,,28,42
155,2,4:44.0,,C. Joseph makes 2-pt jump shot from 13 ft,28,44
156,2,4:20.0,J. Collins makes 2-pt dunk from 1 ft,,30,44
157,2,4:04.0,,V. Oladipo misses 3-pt jump shot from 28 ft,30,44
158,2,4:01.0,Defensive rebound by D. Dedmon,,30,44
159,2,3:50.0,D. Dedmon misses 2-pt jump shot from 19 ft,,30,44
160,2,3:48.0,,Defensive rebound by M. Turner,30,44
161,2,3:41.0,,Personal foul by T. Prince (drawn by B. Bogdanović),30,44
162,2,3:41.0,,B. Bogdanović makes free throw 1 of 2,30,45
163,2,3:41.0,T. Dorsey enters the game for D. Dedmon,,30,45
164,2,3:41.0,M. Muscala enters the game for K. Bazemore,,30,45
165,2,3:41.0,,B. Bogdanović makes free throw 2 of 2,30,46
166,2,3:28.0,D. Schröder makes 2-pt jump shot from 22 ft (assist by J. Collins),,32,46
