,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PORTLAND_ACTION,ATLANTA_SCORE,PORTLAND_SCORE
0,1,11:47.0,,D. Lillard makes 2-pt jump shot from 9 ft (assist by J. Nurkić),0,2
1,1,11:22.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Schröder),,2,2
2,1,11:13.0,,Turnover by D. Lillard (bad pass),2,2
3,1,11:01.0,K. Bazemore makes 2-pt jump shot from 19 ft (assist by E. İlyasova),,4,2
4,1,10:41.0,,A. Aminu misses 3-pt jump shot from 24 ft,4,2
5,1,10:38.0,Defensive rebound by T. Prince,,4,2
6,1,10:27.0,K. Bazemore misses 2-pt jump shot from 6 ft,,4,2
7,1,10:22.0,,Defensive rebound by A. Aminu,4,2
8,1,10:16.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by A. Aminu),4,5
9,1,9:59.0,E. İlyasova misses 2-pt jump shot from 21 ft,,4,5
10,1,9:56.0,,Defensive rebound by D. Lillard,4,5
11,1,9:51.0,,C. McCollum misses 2-pt jump shot from 15 ft,4,5
12,1,9:48.0,Defensive rebound by T. Prince,,4,5
13,1,9:32.0,D. Schröder makes 2-pt jump shot from 17 ft,,6,5
14,1,9:13.0,,E. Turner makes 3-pt jump shot from 24 ft (assist by C. McCollum),6,8
15,1,9:02.0,Shooting foul by A. Aminu (drawn by D. Schröder),,6,8
16,1,9:02.0,D. Schröder makes free throw 1 of 2,,7,8
17,1,9:02.0,D. Schröder makes free throw 2 of 2,,8,8
18,1,8:48.0,,D. Lillard misses 2-pt jump shot from 22 ft,8,8
19,1,8:46.0,Defensive rebound by E. İlyasova,,8,8
20,1,8:25.0,E. İlyasova misses 2-pt layup from 1 ft,,8,8
21,1,8:20.0,Offensive rebound by E. İlyasova,,8,8
22,1,8:20.0,E. İlyasova makes 2-pt layup at rim,,10,8
23,1,8:07.0,,D. Lillard misses 3-pt jump shot from 24 ft,10,8
24,1,8:04.0,Defensive rebound by T. Prince,,10,8
25,1,7:53.0,D. Schröder misses 2-pt jump shot from 3 ft,,10,8
26,1,7:51.0,,Defensive rebound by J. Nurkić,10,8
27,1,7:44.0,,Shooting foul by T. Prince (drawn by A. Aminu),10,8
28,1,7:44.0,,A. Aminu makes free throw 1 of 2,10,9
29,1,7:44.0,,A. Aminu misses free throw 2 of 2,10,9
30,1,7:41.0,Defensive rebound by E. İlyasova,,10,9
31,1,7:27.0,T. Prince misses 2-pt jump shot from 18 ft,,10,9
