,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA CLIPPERS_ACTION,BROOKLYN_SCORE,LA CLIPPERS_SCORE
0,1,11:37.0,,M. Teodosić makes 2-pt jump shot from 16 ft,0,2
1,1,11:15.0,A. Crabbe misses 3-pt jump shot from 26 ft,,0,2
2,1,11:11.0,Offensive rebound by J. Allen,,0,2
3,1,11:09.0,Turnover by J. Allen (lost ball; steal by W. Johnson),,0,2
4,1,11:07.0,,T. Harris makes 2-pt dunk from 1 ft (assist by M. Teodosić),0,4
5,1,10:51.0,D. Russell misses 2-pt jump shot from 12 ft,,0,4
6,1,10:49.0,,Defensive rebound by D. Jordan,0,4
7,1,10:35.0,,T. Harris misses 2-pt jump shot from 18 ft,0,4
8,1,10:32.0,Defensive rebound by S. Dinwiddie,,0,4
9,1,10:22.0,Turnover by J. Allen (bad pass; steal by W. Johnson),,0,4
10,1,10:18.0,,W. Johnson misses 2-pt layup at rim,0,4
11,1,10:14.0,,Offensive rebound by T. Harris,0,4
12,1,10:14.0,,T. Harris makes 2-pt layup at rim,0,6
13,1,10:07.0,Turnover by J. Allen (bad pass; steal by W. Johnson),,0,6
14,1,10:03.0,,D. Jordan misses 2-pt layup from 1 ft,0,6
15,1,10:00.0,Defensive rebound by A. Crabbe,,0,6
16,1,9:42.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,0,6
17,1,9:38.0,,Defensive rebound by W. Johnson,0,6
18,1,9:29.0,,Personal foul by D. Carroll (drawn by D. Jordan),0,6
19,1,9:22.0,,D. Jordan makes 2-pt hook shot from 2 ft (assist by A. Rivers),0,8
20,1,8:54.0,A. Crabbe misses 2-pt jump shot from 20 ft,,0,8
21,1,8:52.0,,Defensive rebound by D. Jordan,0,8
22,1,8:46.0,,A. Rivers makes 2-pt layup at rim,0,10
23,1,8:45.0,Brooklyn full timeout,,0,10
24,1,8:32.0,D. Carroll misses 3-pt jump shot from 24 ft,,0,10
25,1,8:27.0,Offensive rebound by D. Russell,,0,10
26,1,8:24.0,A. Crabbe misses 3-pt jump shot from 27 ft,,0,10
27,1,8:22.0,Offensive rebound by D. Carroll,,0,10
28,1,8:20.0,D. Russell makes 3-pt jump shot from 26 ft (assist by A. Crabbe),,3,10
29,1,8:02.0,,A. Rivers misses 3-pt jump shot from 23 ft,3,10
30,1,7:59.0,Defensive rebound by D. Russell,,3,10
31,1,7:55.0,Personal foul by W. Johnson (drawn by D. Russell),,3,10
32,1,7:48.0,A. Crabbe misses 2-pt layup from 2 ft (block by T. Harris),,3,10
33,1,7:45.0,,Defensive rebound by A. Rivers,3,10
34,1,7:38.0,,M. Teodosić makes 3-pt jump shot from 26 ft,3,13
35,1,7:19.0,D. Carroll misses 2-pt hook shot from 5 ft,,3,13
36,1,7:17.0,,Defensive rebound by T. Harris,3,13
37,1,7:11.0,,Turnover by A. Rivers (bad pass),3,13
38,1,6:57.0,J. Allen makes 2-pt layup from 2 ft (assist by A. Crabbe),,5,13
39,1,6:57.0,Shooting foul by W. Johnson (drawn by J. Allen),,5,13
40,1,6:57.0,J. Allen makes free throw 1 of 1,,6,13
41,1,6:46.0,,T. Harris misses 3-pt jump shot from 24 ft,6,13
42,1,6:43.0,Defensive rebound by S. Dinwiddie,,6,13
43,1,6:38.0,Personal foul by T. Harris (drawn by D. Russell),,6,13
44,1,6:38.0,,S. Thornwell enters the game for W. Johnson,6,13
45,1,6:33.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by D. Russell),,9,13
46,1,6:23.0,,M. Teodosić makes 3-pt jump shot from 25 ft,9,16
47,1,6:10.0,D. Russell misses 3-pt jump shot from 26 ft,,9,16
48,1,6:08.0,,Defensive rebound by A. Rivers,9,16
49,1,6:00.0,,D. Jordan makes 2-pt layup at rim (assist by A. Rivers),9,18
50,1,5:45.0,Turnover by S. Dinwiddie (step out of bounds),,9,18
51,1,5:45.0,D. Cunningham enters the game for D. Russell,,9,18
52,1,5:45.0,J. Harris enters the game for J. Allen,,9,18
