,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHILADELPHIA_ACTION,MEMPHIS_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,A. Harrison misses 2-pt jump shot from 15 ft,,0,0
1,1,11:38.0,,Defensive rebound by B. Simmons,0,0
2,1,11:33.0,,R. Covington makes 2-pt layup from 2 ft (assist by J. Redick),0,2
3,1,11:26.0,D. Brooks misses 3-pt jump shot from 25 ft,,0,2
4,1,11:26.0,,Defensive rebound by R. Covington,0,2
5,1,11:20.0,Violation by D. Brooks (kicked ball),,0,2
6,1,11:12.0,,Personal foul by A. Harrison (drawn by J. Redick),0,2
7,1,11:03.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Embiid),0,4
8,1,10:47.0,J. Green makes 3-pt jump shot from 25 ft (assist by D. Brooks),,3,4
9,1,10:34.0,,B. Simmons misses 2-pt layup from 4 ft,3,4
10,1,10:32.0,Defensive rebound by J. Green,,3,4
11,1,10:15.0,Personal foul by R. Covington (drawn by M. Gasol),,3,4
12,1,10:08.0,Turnover by D. Brooks (offensive goaltending),,3,4
13,1,9:51.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),3,7
14,1,9:33.0,D. Brooks makes 2-pt layup from 2 ft (assist by J. Green),,5,7
15,1,9:16.0,,Shooting foul by M. Gasol (drawn by J. Redick),5,7
16,1,9:16.0,,J. Redick makes free throw 1 of 2,5,8
17,1,9:16.0,,J. Redick makes free throw 2 of 2,5,9
18,1,8:56.0,M. Gasol misses 3-pt jump shot from 25 ft,,5,9
19,1,8:53.0,,Defensive rebound by J. Redick,5,9
20,1,8:48.0,,D. Šarić misses 3-pt jump shot from 25 ft,5,9
21,1,8:45.0,Defensive rebound by J. Martin,,5,9
22,1,8:40.0,M. Gasol misses 2-pt layup from 3 ft (block by D. Šarić),,5,9
23,1,8:37.0,,Defensive rebound by D. Šarić,5,9
24,1,8:31.0,,J. Embiid misses 2-pt layup from 3 ft,5,9
25,1,8:29.0,Defensive rebound by M. Gasol,,5,9
26,1,8:21.0,J. Martin misses 3-pt jump shot from 26 ft,,5,9
27,1,8:19.0,,Defensive rebound by J. Embiid,5,9
28,1,8:07.0,,J. Embiid misses 3-pt jump shot from 26 ft,5,9
29,1,8:04.0,Defensive rebound by J. Green,,5,9
30,1,7:52.0,M. Gasol misses 2-pt jump shot from 13 ft,,5,9
31,1,7:49.0,,Defensive rebound by B. Simmons,5,9
32,1,7:41.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by R. Covington),5,12
33,1,7:24.0,D. Brooks misses 3-pt jump shot from 23 ft,,5,12
34,1,7:21.0,,Defensive rebound by B. Simmons,5,12
35,1,7:12.0,,Turnover by J. Redick (turnover),5,12
36,1,7:12.0,,M. Belinelli enters the game for J. Redick,5,12
37,1,7:03.0,A. Harrison makes 2-pt layup at rim,,7,12
38,1,7:03.0,,Philadelphia full timeout,7,12
39,1,7:03.0,,A. Johnson enters the game for J. Embiid,7,12
40,1,6:48.0,,D. Šarić makes 2-pt hook shot from 3 ft,7,14
41,1,6:48.0,,Shooting foul by A. Harrison (drawn by D. Šarić),7,14
42,1,6:48.0,B. Weber enters the game for A. Harrison,,7,14
43,1,6:48.0,,D. Šarić misses free throw 1 of 1,7,14
44,1,6:48.0,Defensive rebound by M. Gasol,,7,14
45,1,6:41.0,Shooting foul by M. Belinelli (drawn by J. Green),,7,14
46,1,6:41.0,J. Green makes free throw 1 of 2,,8,14
47,1,6:41.0,J. Green makes free throw 2 of 2,,9,14
48,1,6:21.0,,A. Johnson makes 2-pt layup from 3 ft (assist by B. Simmons),9,16
49,1,6:01.0,J. Green makes 2-pt jump shot from 8 ft,,11,16
50,1,5:45.0,,M. Belinelli makes 2-pt jump shot from 19 ft,11,18
51,1,5:28.0,Offensive foul by B. Weber (drawn by B. Simmons),,11,18
52,1,5:28.0,Turnover by B. Weber (offensive foul),,11,18
53,1,5:28.0,W. Selden enters the game for J. Martin,,11,18
54,1,5:07.0,,Turnover by D. Šarić (bad pass; steal by D. Brooks),11,18
55,1,4:59.0,B. Weber misses 2-pt jump shot from 19 ft,,11,18
56,1,4:57.0,,Defensive rebound by A. Johnson,11,18
57,1,4:56.0,,Turnover by B. Simmons (lost ball; steal by B. Weber),11,18
58,1,4:39.0,J. Green misses 2-pt layup from 2 ft,,11,18
59,1,4:36.0,,Defensive rebound by D. Šarić,11,18
60,1,4:28.0,,A. Johnson misses 2-pt hook shot from 2 ft,11,18
61,1,4:25.0,Defensive rebound by M. Gasol,,11,18
62,1,4:17.0,M. Gasol misses 2-pt jump shot from 20 ft,,11,18
63,1,4:16.0,Offensive rebound by Team,,11,18
64,1,4:16.0,,Loose ball foul by D. Šarić (drawn by J. Green),11,18
65,1,4:16.0,,J. Anderson enters the game for D. Šarić,11,18
66,1,4:16.0,,E. İlyasova enters the game for R. Covington,11,18
67,1,4:16.0,C. Parsons enters the game for J. Green,,11,18
68,1,4:16.0,D. Davis enters the game for M. Gasol,,11,18
69,1,4:08.0,,J. Embiid enters the game for A. Johnson,11,18
70,1,4:08.0,,T. McConnell enters the game for B. Simmons,11,18
71,1,3:54.0,C. Parsons misses 2-pt jump shot from 5 ft,,11,18
72,1,3:50.0,Offensive rebound by D. Davis,,11,18
73,1,3:50.0,D. Davis makes 2-pt layup at rim,,13,18
74,1,3:33.0,,J. Embiid misses 2-pt layup from 2 ft,13,18
75,1,3:32.0,,Offensive rebound by E. İlyasova,13,18
76,1,3:29.0,,E. İlyasova makes 2-pt layup from 5 ft,13,20
77,1,3:23.0,W. Selden misses 3-pt jump shot from 25 ft,,13,20
78,1,3:23.0,,Defensive rebound by E. İlyasova,13,20
79,1,3:02.0,,J. Anderson makes 2-pt layup from 2 ft (assist by J. Embiid),13,22
80,1,3:02.0,Memphis full timeout,,13,22
81,1,3:02.0,,J. Redick enters the game for M. Belinelli,13,22
82,1,3:02.0,J. Martin enters the game for D. Brooks,,13,22
83,1,2:49.0,Personal foul by J. Anderson (drawn by B. Weber),,13,22
84,1,2:39.0,J. Martin misses 2-pt jump shot from 17 ft,,13,22
85,1,2:35.0,Offensive rebound by D. Davis,,13,22
86,1,2:34.0,D. Davis misses 2-pt layup at rim,,13,22
87,1,2:33.0,,Defensive rebound by J. Embiid,13,22
88,1,2:18.0,,J. Embiid makes 2-pt jump shot from 14 ft,13,24
89,1,1:56.0,D. Davis makes 2-pt jump shot from 14 ft (assist by W. Selden),,15,24
90,1,1:39.0,,J. Embiid misses 3-pt jump shot from 25 ft,15,24
91,1,1:39.0,Defensive rebound by C. Parsons,,15,24
92,1,1:30.0,C. Parsons misses 2-pt jump shot from 13 ft,,15,24
93,1,1:26.0,,Defensive rebound by T. McConnell,15,24
94,1,1:16.0,B. McLemore enters the game for B. Weber,,15,24
95,1,1:16.0,M. Chalmers enters the game for W. Selden,,15,24
96,1,1:14.0,,J. Redick makes 2-pt jump shot from 16 ft (assist by T. McConnell),15,26
97,1,1:05.0,B. McLemore misses 2-pt layup from 3 ft,,15,26
98,1,1:03.0,,Defensive rebound by J. Embiid,15,26
99,1,0:51.0,,J. Embiid misses 2-pt jump shot from 9 ft,15,26
100,1,0:48.0,Defensive rebound by D. Davis,,15,26
101,1,0:40.0,B. McLemore makes 3-pt jump shot from 23 ft (assist by M. Chalmers),,18,26
102,1,0:31.0,,Turnover by T. McConnell (turnover),18,26
103,1,0:31.0,,Loose ball foul by T. McConnell (drawn by J. Martin),18,26
