,QUARTER,TIME_REMAINING,BOSTON_ACTION,MINNESOTA_ACTION,BOSTON_SCORE,MINNESOTA_SCORE
25,1,8:36.0,,Turnover by A. Wiggins (bad pass; steal by K. Irving),9,7
26,1,8:29.0,A. Horford makes 2-pt jump shot from 11 ft (assist by K. Irving),,11,7
27,1,8:12.0,,J. Teague makes 2-pt jump shot from 10 ft,11,9
28,1,7:52.0,K. Irving makes 2-pt jump shot from 15 ft,,13,9
29,1,7:26.0,,J. Teague makes 3-pt jump shot from 22 ft (assist by A. Wiggins),13,12
30,1,7:04.0,Turnover by K. Irving (bad pass; steal by J. Teague),,13,12
31,1,6:59.0,,A. Wiggins makes 2-pt layup from 4 ft (assist by J. Teague),13,14
32,1,6:50.0,K. Irving misses 2-pt jump shot from 10 ft,,13,14
33,1,6:47.0,,Defensive rebound by N. Bjelica,13,14
34,1,6:43.0,,N. Bjelica makes 3-pt jump shot from 25 ft,13,17
35,1,6:39.0,Boston full timeout,,13,17
36,1,6:39.0,M. Morris enters the game for A. Baynes,,13,17
37,1,6:39.0,M. Smart enters the game for J. Tatum,,13,17
38,1,6:25.0,A. Horford makes 2-pt jump shot from 16 ft (assist by K. Irving),,15,17
39,1,6:04.0,,J. Teague misses 3-pt jump shot from 23 ft,15,17
40,1,6:02.0,Defensive rebound by K. Irving,,15,17
41,1,5:59.0,,Violation by A. Wiggins (kicked ball),15,17
42,1,5:53.0,K. Irving makes 3-pt jump shot from 23 ft (assist by M. Smart),,18,17
43,1,5:37.0,,T. Gibson makes 2-pt layup from 5 ft,18,19
44,1,5:16.0,M. Morris misses 2-pt jump shot from 20 ft,,18,19
45,1,5:13.0,Offensive rebound by A. Horford,,18,19
46,1,5:06.0,M. Smart misses 3-pt jump shot from 22 ft,,18,19
47,1,5:03.0,Offensive rebound by J. Brown,,18,19
48,1,5:03.0,J. Brown makes 2-pt jump shot from 10 ft,,20,19
49,1,5:03.0,Shooting foul by J. Teague (drawn by J. Brown),,20,19
50,1,5:03.0,,T. Jones enters the game for J. Teague,20,19
51,1,5:03.0,J. Brown makes free throw 1 of 1,,21,19
52,1,4:46.0,,N. Bjelica makes 3-pt jump shot from 28 ft (assist by T. Jones),21,22
53,1,4:35.0,Personal foul by K. Towns (drawn by A. Horford),,21,22
54,1,4:35.0,,G. Dieng enters the game for T. Gibson,21,22
55,1,4:24.0,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Horford),,24,22
56,1,4:04.0,,G. Dieng misses 2-pt layup from 1 ft (block by A. Horford),24,22
57,1,4:03.0,,Offensive rebound by G. Dieng,24,22
58,1,4:02.0,,G. Dieng misses 2-pt jump shot from 4 ft,24,22
59,1,4:01.0,Defensive rebound by K. Irving,,24,22
60,1,3:50.0,A. Horford misses 2-pt jump shot from 8 ft,,24,22
61,1,3:50.0,,Defensive rebound by G. Dieng,24,22
62,1,3:43.0,,T. Jones misses 2-pt jump shot from 1 ft,24,22
63,1,3:43.0,,Offensive rebound by K. Towns,24,22
64,1,3:43.0,,Personal foul by A. Horford (drawn by G. Dieng),24,22
65,1,3:43.0,,J. Crawford enters the game for N. Bjelica,24,22
66,1,3:43.0,T. Rozier enters the game for K. Irving,,24,22
67,1,3:39.0,,A. Wiggins misses 2-pt jump shot from 16 ft,24,22
68,1,3:34.0,Defensive rebound by M. Morris,,24,22
69,1,3:21.0,M. Morris makes 2-pt jump shot from 16 ft,,26,22
70,1,3:10.0,,Offensive foul by K. Towns (drawn by A. Horford),26,22
71,1,3:10.0,,Turnover by K. Towns (offensive foul),26,22
72,1,3:10.0,,T. Gibson enters the game for K. Towns,26,22
73,1,3:10.0,D. Theis enters the game for A. Horford,,26,22
74,1,2:58.0,M. Morris makes 2-pt jump shot from 19 ft (assist by M. Smart),,28,22
75,1,2:41.0,,J. Crawford makes 2-pt jump shot from 14 ft,28,24
76,1,2:21.0,M. Morris makes 2-pt jump shot from 15 ft,,30,24
77,1,2:02.0,,A. Wiggins misses 2-pt jump shot from 14 ft,30,24
78,1,1:59.0,Defensive rebound by D. Theis,,30,24
79,1,1:48.0,M. Morris misses 2-pt layup from 2 ft,,30,24
80,1,1:44.0,,Defensive rebound by G. Dieng,30,24
81,1,1:39.0,,Turnover by T. Jones (lost ball; steal by T. Rozier),30,24
82,1,1:35.0,Turnover by M. Smart (bad pass),,30,24
83,1,1:35.0,,Minnesota full timeout,30,24
84,1,1:22.0,,T. Gibson makes 2-pt layup at rim (assist by A. Wiggins),30,26
85,1,1:03.0,M. Morris makes 3-pt jump shot from 24 ft (assist by T. Rozier),,33,26
86,1,0:51.0,,A. Wiggins makes 2-pt jump shot from 8 ft,33,28
87,1,0:36.0,J. Brown misses 2-pt jump shot from 13 ft,,33,28
88,1,0:33.0,,Defensive rebound by T. Gibson,33,28
89,1,0:21.0,,Turnover by A. Wiggins (bad pass; steal by D. Theis),33,28
90,1,0:17.0,T. Rozier makes 2-pt layup from 1 ft (assist by D. Theis),,35,28
91,1,0:02.0,,J. Crawford misses 3-pt jump shot from 30 ft,35,28
92,1,0:02.0,Defensive rebound by M. Morris,,35,28
93,2,11:46.0,Offensive foul by T. Rozier (drawn by T. Jones),,35,28
94,2,11:46.0,Turnover by T. Rozier (offensive foul),,35,28
95,2,11:33.0,,Shooting foul by J. Tatum (drawn by N. Bjelica),35,28
96,2,11:33.0,,N. Bjelica makes free throw 1 of 2,35,29
97,2,11:33.0,,N. Bjelica makes free throw 2 of 2,35,30
98,2,11:18.0,Shooting foul by N. Bjelica (drawn by J. Tatum),,35,30
99,2,11:18.0,J. Tatum makes free throw 1 of 2,,36,30
100,2,11:18.0,J. Tatum makes free throw 2 of 2,,37,30
101,2,10:59.0,,J. Crawford misses 2-pt jump shot from 19 ft,37,30
102,2,10:56.0,Defensive rebound by G. Monroe,,37,30
103,2,10:54.0,T. Rozier misses 3-pt jump shot from 26 ft,,37,30
104,2,10:50.0,,Defensive rebound by G. Dieng,37,30
105,2,10:47.0,,Shooting foul by M. Smart (drawn by T. Gibson),37,30
