,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
0,1,11:39.0,,Violation by M. Kleber (kicked ball),0,0
1,1,11:32.0,T. Chandler misses 2-pt dunk from 1 ft (block by M. Kleber),,0,0
2,1,11:30.0,,Defensive rebound by W. Matthews,0,0
3,1,11:19.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),0,3
4,1,11:05.0,J. Jackson misses 2-pt jump shot from 19 ft,,0,3
5,1,11:03.0,,Defensive rebound by M. Kleber,0,3
6,1,10:57.0,,Y. Ferrell misses 2-pt jump shot from 17 ft,0,3
7,1,10:57.0,Defensive rebound by T. Ulis,,0,3
8,1,10:48.0,T. Ulis misses 2-pt jump shot from 2 ft,,0,3
9,1,10:48.0,Offensive rebound by J. Jackson,,0,3
10,1,10:43.0,J. Jackson misses 2-pt layup at rim,,0,3
11,1,10:42.0,,Defensive rebound by W. Matthews,0,3
12,1,10:32.0,,M. Kleber misses 3-pt jump shot from 22 ft,0,3
13,1,10:28.0,Defensive rebound by J. Jackson,,0,3
14,1,10:15.0,T. Chandler makes 2-pt dunk at rim (assist by T. Ulis),,2,3
15,1,9:54.0,,H. Barnes misses 2-pt layup from 2 ft,2,3
16,1,9:52.0,Defensive rebound by T. Chandler,,2,3
17,1,9:47.0,J. Jackson misses 3-pt jump shot from 22 ft,,2,3
18,1,9:47.0,,Defensive rebound by M. Kleber,2,3
19,1,9:29.0,,Turnover by W. Matthews (lost ball; steal by J. Jackson),2,3
20,1,9:26.0,J. Jackson makes 2-pt dunk at rim,,4,3
21,1,9:10.0,,M. Kleber misses 2-pt jump shot from 2 ft,4,3
22,1,9:08.0,Defensive rebound by M. Chriss,,4,3
23,1,9:08.0,Personal take foul by D. Nowitzki (drawn by T. Warren),,4,3
24,1,9:04.0,T. Warren misses 2-pt jump shot from 17 ft,,4,3
25,1,9:00.0,,Defensive rebound by D. Nowitzki,4,3
26,1,8:52.0,,Shooting foul by T. Chandler (drawn by Y. Ferrell),4,3
27,1,8:52.0,,Y. Ferrell makes free throw 1 of 2,4,4
28,1,8:52.0,,Y. Ferrell makes free throw 2 of 2,4,5
29,1,8:39.0,J. Jackson misses 2-pt jump shot from 14 ft,,4,5
30,1,8:36.0,,Defensive rebound by Y. Ferrell,4,5
31,1,8:25.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by M. Kleber),4,8
32,1,8:14.0,T. Chandler makes 2-pt jump shot from 13 ft (assist by T. Warren),,6,8
33,1,7:59.0,,Turnover by Y. Ferrell (bad pass; steal by T. Warren),6,8
34,1,7:55.0,T. Warren makes 2-pt layup from 2 ft,,8,8
35,1,7:41.0,,H. Barnes makes 2-pt layup from 1 ft (assist by D. Nowitzki),8,10
36,1,7:32.0,M. Chriss misses 2-pt jump shot from 10 ft,,8,10
37,1,7:32.0,,Defensive rebound by W. Matthews,8,10
38,1,7:21.0,,Turnover by H. Barnes (lost ball; steal by T. Ulis),8,10
39,1,7:21.0,,S. Mejri enters the game for D. Nowitzki,8,10
40,1,7:04.0,M. Chriss makes 2-pt jump shot from 2 ft,,10,10
41,1,6:51.0,,H. Barnes misses 2-pt jump shot from 15 ft,10,10
42,1,6:46.0,,Offensive rebound by S. Mejri,10,10
43,1,6:46.0,,S. Mejri misses 2-pt layup at rim,10,10
44,1,6:45.0,Defensive rebound by T. Chandler,,10,10
45,1,6:41.0,T. Chandler misses 2-pt dunk from 2 ft,,10,10
46,1,6:38.0,Offensive rebound by M. Chriss,,10,10
47,1,6:38.0,M. Chriss misses 2-pt jump shot from 11 ft,,10,10
48,1,6:38.0,,Defensive rebound by H. Barnes,10,10
