,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHARLOTTE_ACTION,HOUSTON_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by J. Lamb),0,3
1,1,11:26.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),,3,3
2,1,11:11.0,,D. Howard misses 2-pt jump shot from 12 ft,3,3
3,1,11:08.0,Defensive rebound by C. Capela,,3,3
4,1,11:02.0,J. Harden misses 2-pt jump shot from 5 ft (block by M. Kidd-Gilchrist),,3,3
5,1,11:02.0,Offensive rebound by Team,,3,3
6,1,11:00.0,E. Gordon misses 2-pt jump shot from 13 ft,,3,3
7,1,11:00.0,,Defensive rebound by M. Kidd-Gilchrist,3,3
8,1,10:47.0,,K. Walker misses 3-pt jump shot from 25 ft,3,3
9,1,10:47.0,,Offensive rebound by D. Howard,3,3
10,1,10:39.0,,D. Howard makes 2-pt layup from 2 ft,3,5
11,1,10:39.0,,Shooting foul by J. Harden (drawn by D. Howard),3,5
12,1,10:39.0,,D. Howard misses free throw 1 of 1,3,5
13,1,10:36.0,Defensive rebound by J. Harden,,3,5
14,1,10:25.0,Turnover by J. Harden (bad pass; steal by M. Kidd-Gilchrist),,3,5
15,1,10:21.0,,K. Walker misses 2-pt layup from 2 ft (block by L. Mbah a Moute),3,5
16,1,10:21.0,,Offensive rebound by M. Kidd-Gilchrist,3,5
17,1,10:15.0,,J. Lamb makes 3-pt jump shot from 26 ft (assist by M. Kidd-Gilchrist),3,8
18,1,10:06.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),,6,8
19,1,9:52.0,Violation by L. Mbah a Moute (kicked ball),,6,8
20,1,9:41.0,,M. Williams misses 2-pt layup from 2 ft (block by C. Capela),6,8
21,1,9:38.0,Defensive rebound by C. Capela,,6,8
22,1,9:35.0,R. Anderson misses 3-pt jump shot from 25 ft,,6,8
23,1,9:35.0,Offensive rebound by C. Capela,,6,8
24,1,9:21.0,R. Anderson makes 3-pt jump shot from 22 ft (assist by J. Harden),,9,8
25,1,9:05.0,,D. Howard makes 2-pt layup from 1 ft,9,10
26,1,9:05.0,,Shooting foul by C. Capela (drawn by D. Howard),9,10
27,1,9:05.0,,D. Howard misses free throw 1 of 1,9,10
28,1,9:02.0,Defensive rebound by R. Anderson,,9,10
29,1,8:52.0,E. Gordon misses 3-pt jump shot from 26 ft,,9,10
30,1,8:47.0,,Defensive rebound by D. Howard,9,10
31,1,8:41.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,9,10
32,1,8:38.0,Defensive rebound by C. Capela,,9,10
33,1,8:33.0,R. Anderson misses 3-pt jump shot from 30 ft,,9,10
34,1,8:30.0,,Defensive rebound by D. Howard,9,10
35,1,8:26.0,Violation by C. Capela (kicked ball),,9,10
36,1,8:21.0,,Turnover by M. Williams (bad pass; steal by R. Anderson),9,10
37,1,8:14.0,E. Gordon misses 3-pt jump shot from 25 ft,,9,10
38,1,8:10.0,,Defensive rebound by D. Howard,9,10
39,1,8:05.0,,J. Lamb misses 2-pt layup from 1 ft (block by L. Mbah a Moute),9,10
40,1,7:59.0,Defensive rebound by E. Gordon,,9,10
41,1,7:59.0,L. Mbah a Moute misses 2-pt layup from 1 ft (block by K. Walker),,9,10
42,1,7:59.0,Offensive rebound by Team,,9,10
43,1,7:57.0,E. Gordon misses 3-pt jump shot from 24 ft,,9,10
44,1,7:54.0,,Defensive rebound by M. Kidd-Gilchrist,9,10
45,1,7:42.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by K. Walker),9,12
46,1,7:34.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Harden),,9,12
47,1,7:34.0,J. Harden makes free throw 1 of 2,,10,12
48,1,7:34.0,J. Harden makes free throw 2 of 2,,11,12
49,1,7:20.0,,J. Lamb makes 3-pt jump shot from 22 ft (assist by K. Walker),11,15
50,1,7:04.0,Turnover by E. Gordon (lost ball; steal by D. Howard),,11,15
51,1,6:58.0,,K. Walker misses 2-pt layup from 1 ft,11,15
52,1,6:50.0,,Offensive rebound by D. Howard,11,15
53,1,6:50.0,,D. Howard makes 2-pt dunk at rim,11,17
54,1,6:40.0,J. Harden misses 3-pt jump shot from 27 ft,,11,17
55,1,6:39.0,,Defensive rebound by Team,11,17
56,1,6:39.0,,Charlotte full timeout,11,17
57,1,6:39.0,,D. Bacon enters the game for M. Kidd-Gilchrist,11,17
58,1,6:39.0,P. Tucker enters the game for R. Anderson,,11,17
59,1,6:29.0,,D. Howard makes 2-pt layup from 2 ft (assist by J. Lamb),11,19
60,1,6:12.0,C. Capela makes 2-pt layup from 1 ft (assist by E. Gordon),,13,19
61,1,6:12.0,Shooting foul by M. Williams (drawn by C. Capela),,13,19
62,1,6:12.0,C. Capela makes free throw 1 of 1,,14,19
63,1,5:59.0,,J. Lamb misses 2-pt jump shot from 10 ft,14,19
64,1,5:56.0,Defensive rebound by P. Tucker,,14,19
65,1,5:51.0,P. Tucker misses 2-pt jump shot from 19 ft,,14,19
66,1,5:48.0,,Defensive rebound by D. Bacon,14,19
67,1,5:41.0,,Turnover by D. Bacon (bad pass; steal by J. Harden),14,19
68,1,5:37.0,J. Harden makes 2-pt layup at rim,,16,19
69,1,5:17.0,,D. Howard misses 2-pt layup from 2 ft,16,19
70,1,5:14.0,,Offensive rebound by D. Howard,16,19
71,1,5:11.0,,D. Bacon misses 3-pt jump shot from 25 ft,16,19
72,1,5:11.0,Defensive rebound by J. Harden,,16,19
73,1,5:00.0,Turnover by E. Gordon (bad pass; steal by K. Walker),,16,19
74,1,4:45.0,,D. Howard misses 2-pt jump shot from 17 ft,16,19
75,1,4:43.0,Defensive rebound by P. Tucker,,16,19
76,1,4:35.0,P. Tucker misses 2-pt jump shot from 22 ft,,16,19
77,1,4:30.0,,Defensive rebound by M. Williams,16,19
78,1,4:20.0,,K. Walker makes 3-pt jump shot from 25 ft,16,22
79,1,4:02.0,J. Harden misses 3-pt jump shot from 26 ft,,16,22
80,1,3:58.0,,Defensive rebound by J. Lamb,16,22
81,1,3:48.0,,M. Williams misses 2-pt jump shot from 16 ft,16,22
82,1,3:46.0,,Offensive rebound by D. Howard,16,22
83,1,3:46.0,,Shooting foul by C. Capela (drawn by D. Howard),16,22
84,1,3:46.0,,D. Howard misses free throw 1 of 2,16,22
85,1,3:46.0,,Offensive rebound by Team,16,22
86,1,3:46.0,,M. Monk enters the game for M. Williams,16,22
87,1,3:46.0,,F. Kaminsky enters the game for K. Walker,16,22
88,1,3:46.0,B. Brown enters the game for E. Gordon,,16,22
89,1,3:46.0,T. Black enters the game for C. Capela,,16,22
90,1,3:46.0,,D. Howard misses free throw 2 of 2,16,22
91,1,3:43.0,Defensive rebound by P. Tucker,,16,22
92,1,3:36.0,Turnover by J. Harden (bad pass; steal by J. Lamb),,16,22
93,1,3:21.0,,Turnover by J. Lamb (bad pass; steal by L. Mbah a Moute),16,22
94,1,3:05.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by J. Harden),,19,22
95,1,2:54.0,,M. Monk misses 3-pt jump shot from 28 ft,19,22
96,1,2:51.0,Defensive rebound by B. Brown,,19,22
97,1,2:44.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,19,22
98,1,2:41.0,Offensive rebound by L. Mbah a Moute,,19,22
99,1,2:39.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,21,22
100,1,2:33.0,,Charlotte full timeout,21,22
101,1,2:33.0,,J. O'Bryant enters the game for D. Howard,21,22
102,1,2:33.0,R. Anderson enters the game for L. Mbah a Moute,,21,22
103,1,2:24.0,,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by M. Monk),21,25
104,1,2:06.0,B. Brown makes 3-pt jump shot from 28 ft (assist by J. Harden),,24,25
105,1,1:48.0,,J. Lamb makes 3-pt jump shot from 24 ft (assist by J. O'Bryant),24,28
106,1,1:37.0,J. Harden makes 2-pt layup from 1 ft,,26,28
107,1,1:37.0,Shooting foul by D. Bacon (drawn by J. Harden),,26,28
108,1,1:37.0,J. Harden makes free throw 1 of 1,,27,28
109,1,1:17.0,,D. Bacon misses 2-pt jump shot from 20 ft,27,28
110,1,1:13.0,Defensive rebound by P. Tucker,,27,28
111,1,1:07.0,Turnover by J. Harden (bad pass; steal by M. Monk),,27,28
112,1,1:06.0,,Shooting foul by P. Tucker (drawn by M. Monk),27,28
113,1,1:06.0,,M. Monk makes free throw 1 of 2,27,29
114,1,1:06.0,,M. Monk makes free throw 2 of 2,27,30
115,1,0:44.0,J. Harden misses 2-pt jump shot from 16 ft,,27,30
116,1,0:42.0,Offensive rebound by T. Black,,27,30
117,1,0:40.0,B. Brown misses 3-pt jump shot from 27 ft,,27,30
118,1,0:40.0,,Defensive rebound by D. Bacon,27,30
