,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DETROIT_ACTION,PORTLAND_SCORE,DETROIT_SCORE
0,1,11:47.0,Turnover by A. Aminu (bad pass),,0,0
1,1,11:32.0,,S. Johnson misses 2-pt jump shot from 6 ft,0,0
2,1,11:29.0,Defensive rebound by A. Aminu,,0,0
3,1,11:14.0,J. Nurkić makes 2-pt layup from 1 ft (assist by A. Aminu),,2,0
4,1,10:52.0,,B. Griffin misses 2-pt hook shot from 5 ft,2,0
5,1,10:50.0,Defensive rebound by A. Aminu,,2,0
6,1,10:42.0,D. Lillard misses 3-pt jump shot from 25 ft,,2,0
7,1,10:39.0,,Defensive rebound by A. Drummond,2,0
8,1,10:26.0,,Turnover by A. Drummond (out of bounds lost ball),2,0
9,1,10:07.0,,Violation by A. Drummond (kicked ball),2,0
10,1,10:00.0,J. Nurkić misses 2-pt jump shot from 17 ft,,2,0
11,1,9:57.0,,Defensive rebound by A. Drummond,2,0
12,1,9:45.0,,B. Griffin misses 2-pt jump shot from 10 ft,2,0
13,1,9:41.0,Defensive rebound by D. Lillard,,2,0
14,1,9:36.0,D. Lillard makes 2-pt layup from 2 ft,,4,0
15,1,9:22.0,,Shooting foul by J. Nurkić (drawn by R. Bullock),4,0
16,1,9:22.0,,R. Bullock makes free throw 1 of 2,4,1
17,1,9:22.0,,R. Bullock makes free throw 2 of 2,4,2
18,1,9:10.0,Turnover by D. Lillard (bad pass),,4,2
19,1,8:59.0,,Turnover by S. Johnson (bad pass; steal by J. Nurkić),4,2
20,1,8:53.0,C. McCollum misses 2-pt layup from 2 ft,,4,2
21,1,8:50.0,,Defensive rebound by B. Griffin,4,2
22,1,8:48.0,,A. Drummond makes 2-pt dunk at rim (assist by B. Griffin),4,4
23,1,8:31.0,C. McCollum makes 3-pt jump shot from 27 ft (assist by M. Harkless),,7,4
24,1,8:19.0,,I. Smith misses 2-pt layup from 2 ft (block by D. Lillard),7,4
25,1,8:17.0,,Offensive rebound by A. Drummond,7,4
26,1,8:15.0,,A. Drummond makes 2-pt layup from 2 ft,7,6
27,1,8:01.0,Personal foul by A. Drummond (drawn by J. Nurkić),,7,6
28,1,7:48.0,J. Nurkić misses 2-pt layup from 6 ft,,7,6
29,1,7:45.0,,Defensive rebound by I. Smith,7,6
30,1,7:40.0,,Turnover by I. Smith (bad pass; steal by C. McCollum),7,6
31,1,7:34.0,J. Nurkić misses 2-pt layup from 2 ft (block by S. Johnson),,7,6
32,1,7:30.0,,Defensive rebound by R. Bullock,7,6
33,1,7:27.0,,R. Bullock makes 3-pt jump shot from 28 ft (assist by S. Johnson),7,9
34,1,7:08.0,Turnover by J. Nurkić (bad pass; steal by I. Smith),,7,9
35,1,7:01.0,,I. Smith misses 2-pt jump shot from 16 ft,7,9
36,1,6:57.0,Defensive rebound by A. Aminu,,7,9
37,1,6:42.0,M. Harkless makes 2-pt layup from 1 ft,,9,9
38,1,6:22.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),9,12
39,1,6:04.0,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),,11,12
40,1,5:49.0,,B. Griffin misses 3-pt jump shot from 25 ft,11,12
41,1,5:46.0,Defensive rebound by D. Lillard,,11,12
42,1,5:39.0,A. Aminu misses 3-pt jump shot from 26 ft,,11,12
43,1,5:36.0,,Defensive rebound by A. Drummond,11,12
44,1,5:32.0,,Personal foul by A. Aminu (drawn by B. Griffin),11,12
45,1,5:32.0,,Detroit full timeout,11,12
46,1,5:32.0,,A. Tolliver enters the game for A. Drummond,11,12
47,1,5:32.0,,L. Kennard enters the game for S. Johnson,11,12
48,1,5:32.0,E. Davis enters the game for J. Nurkić,,11,12
49,1,5:22.0,,B. Griffin makes 2-pt hook shot from 5 ft,11,14
50,1,5:04.0,M. Harkless misses 3-pt jump shot from 23 ft,,11,14
51,1,5:01.0,,Defensive rebound by I. Smith,11,14
52,1,4:51.0,,B. Griffin makes 3-pt jump shot from 24 ft (assist by I. Smith),11,17
53,1,4:30.0,E. Davis misses 2-pt layup from 4 ft,,11,17
