,QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
0,1,11:41.0,A. Gordon makes 2-pt jump shot from 17 ft,,2,0
1,1,11:17.0,,D. Sabonis misses 2-pt jump shot from 16 ft,2,0
2,1,11:15.0,Defensive rebound by B. Biyombo,,2,0
3,1,10:52.0,B. Biyombo makes 2-pt jump shot from 10 ft (assist by A. Gordon),,4,0
4,1,10:34.0,,V. Oladipo misses 2-pt layup from 1 ft,4,0
5,1,10:32.0,Defensive rebound by E. Payton,,4,0
6,1,10:22.0,E. Fournier makes 2-pt layup at rim (assist by E. Payton),,6,0
7,1,10:07.0,,Shooting foul by E. Payton (drawn by B. Bogdanović),6,0
8,1,10:07.0,,B. Bogdanović makes free throw 1 of 2,6,1
9,1,10:07.0,,B. Bogdanović makes free throw 2 of 2,6,2
10,1,9:58.0,Shooting foul by D. Sabonis (drawn by B. Biyombo),,6,2
11,1,9:58.0,B. Biyombo makes free throw 1 of 2,,7,2
12,1,9:58.0,B. Biyombo makes free throw 2 of 2,,8,2
13,1,9:47.0,,T. Young makes 2-pt layup from 1 ft (assist by D. Collison),8,4
14,1,9:35.0,A. Gordon misses 3-pt jump shot from 26 ft,,8,4
15,1,9:32.0,Offensive rebound by A. Gordon,,8,4
16,1,9:12.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by E. Payton),,10,4
17,1,8:50.0,,V. Oladipo makes 2-pt layup at rim,10,6
18,1,8:36.0,B. Biyombo makes 2-pt dunk at rim (assist by A. Gordon),,12,6
19,1,8:24.0,,D. Sabonis misses 3-pt jump shot from 26 ft,12,6
20,1,8:20.0,Defensive rebound by E. Payton,,12,6
21,1,8:12.0,Turnover by B. Biyombo (lost ball; steal by D. Collison),,12,6
22,1,8:07.0,,D. Collison misses 2-pt layup from 2 ft,12,6
23,1,8:06.0,Defensive rebound by A. Gordon,,12,6
24,1,8:02.0,E. Payton makes 2-pt layup at rim (assist by A. Gordon),,14,6
25,1,8:02.0,,Indiana full timeout,14,6
26,1,7:52.0,,D. Sabonis misses 2-pt layup from 8 ft (block by J. Simmons),14,6
27,1,7:52.0,Defensive rebound by Team,,14,6
28,1,7:41.0,A. Gordon misses 3-pt jump shot from 26 ft,,14,6
29,1,7:38.0,Offensive rebound by Team,,14,6
30,1,7:36.0,J. Simmons misses 2-pt jump shot from 16 ft,,14,6
31,1,7:32.0,,Defensive rebound by T. Young,14,6
32,1,7:20.0,,Shooting foul by J. Simmons (drawn by T. Young),14,6
33,1,7:20.0,,T. Young misses free throw 1 of 2,14,6
34,1,7:20.0,,Offensive rebound by Team,14,6
35,1,7:20.0,,T. Young makes free throw 2 of 2,14,7
36,1,7:11.0,E. Payton makes 3-pt jump shot from 24 ft (assist by E. Fournier),,17,7
37,1,6:47.0,,T. Young misses 2-pt layup at rim (block by B. Biyombo),17,7
38,1,6:45.0,,Offensive rebound by D. Sabonis,17,7
39,1,6:45.0,,D. Sabonis makes 2-pt hook shot at rim,17,9
40,1,6:35.0,Turnover by B. Biyombo (bad pass; steal by T. Young),,17,9
41,1,6:33.0,,T. Young makes 2-pt dunk from 1 ft,17,11
42,1,6:33.0,Orlando full timeout,,17,11
43,1,6:21.0,E. Fournier misses 2-pt jump shot from 17 ft,,17,11
44,1,6:19.0,Offensive rebound by B. Biyombo,,17,11
45,1,6:12.0,E. Payton misses 2-pt layup at rim (block by T. Young),,17,11
46,1,6:10.0,,Defensive rebound by D. Sabonis,17,11
47,1,6:00.0,,Turnover by T. Young (bad pass; steal by J. Simmons),17,11
48,1,5:56.0,,Offensive charge foul by A. Gordon (drawn by V. Oladipo),17,11
