,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
0,1,11:42.0,,D. Brooks makes 2-pt jump shot from 16 ft (assist by M. Gasol),0,2
1,1,11:24.0,T. Gibson misses 2-pt jump shot from 18 ft,,0,2
2,1,11:21.0,,Defensive rebound by B. McLemore,0,2
3,1,11:13.0,,J. Green makes 2-pt jump shot from 10 ft,0,4
4,1,10:54.0,T. Gibson misses 2-pt jump shot from 15 ft,,0,4
5,1,10:51.0,,Defensive rebound by J. Green,0,4
6,1,10:48.0,,Shooting foul by T. Gibson (drawn by M. Gasol),0,4
7,1,10:48.0,,M. Gasol makes free throw 1 of 2,0,5
8,1,10:48.0,,M. Gasol makes free throw 2 of 2,0,6
9,1,10:27.0,J. Butler makes 3-pt jump shot from 25 ft,,3,6
10,1,10:06.0,,D. Brooks misses 2-pt layup from 4 ft,3,6
11,1,10:02.0,Defensive rebound by T. Gibson,,3,6
12,1,9:51.0,J. Butler makes 2-pt layup from 3 ft,,5,6
13,1,9:33.0,,J. Green misses 2-pt jump shot from 16 ft,5,6
14,1,9:30.0,Defensive rebound by A. Wiggins,,5,6
15,1,9:16.0,J. Butler makes 2-pt jump shot from 13 ft (assist by J. Teague),,7,6
16,1,9:03.0,,M. Gasol misses 2-pt jump shot from 21 ft,7,6
17,1,9:00.0,Defensive rebound by T. Gibson,,7,6
18,1,8:58.0,Personal foul by M. Gasol (drawn by K. Towns),,7,6
19,1,8:52.0,T. Gibson misses 3-pt jump shot from 23 ft,,7,6
20,1,8:48.0,,Defensive rebound by T. Evans,7,6
21,1,8:44.0,,T. Evans makes 2-pt layup from 3 ft,7,8
22,1,8:33.0,J. Teague misses 2-pt layup from 3 ft (block by T. Evans),,7,8
23,1,8:29.0,,Defensive rebound by B. McLemore,7,8
24,1,8:22.0,,M. Gasol makes 2-pt layup at rim (assist by T. Evans),7,10
25,1,8:01.0,A. Wiggins misses 2-pt jump shot from 16 ft,,7,10
26,1,7:58.0,Offensive rebound by K. Towns,,7,10
27,1,7:56.0,A. Wiggins makes 2-pt dunk from 2 ft (assist by K. Towns),,9,10
28,1,7:43.0,,Turnover by M. Gasol (lost ball; steal by J. Butler),9,10
29,1,7:30.0,T. Gibson makes 2-pt dunk from 3 ft (assist by J. Butler),,11,10
30,1,7:30.0,,Memphis full timeout,11,10
31,1,7:30.0,,A. Harrison enters the game for T. Evans,11,10
32,1,7:16.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by A. Harrison),11,13
33,1,6:58.0,J. Teague makes 2-pt layup from 4 ft,,13,13
34,1,6:35.0,,A. Harrison makes 2-pt layup from 2 ft,13,15
35,1,6:17.0,A. Wiggins misses 3-pt jump shot from 27 ft,,13,15
36,1,6:14.0,,Defensive rebound by D. Brooks,13,15
37,1,6:00.0,,M. Gasol misses 2-pt hook shot from 6 ft,13,15
38,1,5:57.0,Defensive rebound by J. Teague,,13,15
39,1,5:48.0,J. Teague makes 2-pt jump shot from 12 ft,,15,15
40,1,5:36.0,,B. McLemore makes 2-pt layup from 2 ft,15,17
41,1,5:24.0,T. Gibson misses 2-pt layup from 2 ft,,15,17
42,1,5:20.0,,Defensive rebound by D. Brooks,15,17
43,1,5:12.0,,Turnover by A. Harrison (traveling),15,17
44,1,5:12.0,,J. Martin enters the game for J. Green,15,17
45,1,5:12.0,,J. Ennis enters the game for B. McLemore,15,17
46,1,4:54.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Butler),,17,17
47,1,4:42.0,,M. Gasol misses 2-pt jump shot from 9 ft,17,17
48,1,4:39.0,Defensive rebound by A. Wiggins,,17,17
49,1,4:27.0,Personal foul by D. Brooks (drawn by A. Wiggins),,17,17
50,1,4:27.0,,M. Chalmers enters the game for D. Brooks,17,17
51,1,4:27.0,G. Dieng enters the game for K. Towns,,17,17
52,1,4:27.0,Personal foul by A. Harrison (drawn by J. Butler),,17,17
53,1,4:19.0,Turnover by G. Dieng (traveling),,17,17
54,1,4:02.0,,M. Gasol makes 2-pt jump shot from 11 ft,17,19
55,1,3:43.0,Shooting foul by A. Harrison (drawn by J. Butler),,17,19
56,1,3:43.0,J. Butler makes free throw 1 of 2,,18,19
57,1,3:43.0,J. Butler makes free throw 2 of 2,,19,19
58,1,3:23.0,,J. Martin misses 2-pt jump shot from 20 ft (block by G. Dieng),19,19
59,1,3:19.0,Defensive rebound by T. Gibson,,19,19
60,1,3:11.0,J. Butler makes 3-pt jump shot from 25 ft,,22,19
61,1,2:54.0,,J. Ennis misses 2-pt jump shot from 8 ft,22,19
62,1,2:52.0,,Offensive rebound by J. Ennis,22,19
63,1,2:40.0,,Shooting foul by A. Wiggins (drawn by M. Gasol),22,19
64,1,2:40.0,Minnesota full timeout,,22,19
65,1,2:40.0,,J. Green enters the game for J. Martin,22,19
66,1,2:40.0,,T. Evans enters the game for A. Harrison,22,19
67,1,2:40.0,T. Jones enters the game for J. Teague,,22,19
68,1,2:40.0,J. Crawford enters the game for J. Butler,,22,19
69,1,2:40.0,,M. Gasol makes free throw 1 of 2,22,20
70,1,2:40.0,,M. Gasol makes free throw 2 of 2,22,21
71,1,2:26.0,Turnover by A. Wiggins (bad pass; steal by J. Green),,22,21
72,1,2:21.0,,J. Ennis makes 2-pt layup from 2 ft (assist by M. Chalmers),22,23
73,1,1:59.0,J. Crawford misses 3-pt jump shot from 27 ft,,22,23
74,1,1:56.0,,Defensive rebound by J. Green,22,23
75,1,1:41.0,,J. Ennis makes 2-pt jump shot from 20 ft (assist by M. Gasol),22,25
76,1,1:22.0,G. Dieng makes 2-pt hook shot from 5 ft (assist by T. Gibson),,24,25
