,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,HOUSTON_ACTION,PHILADELPHIA_SCORE,HOUSTON_SCORE
0,1,11:50.0,B. Simmons makes 2-pt layup from 2 ft,,2,0
1,1,11:31.0,,J. Harden misses 2-pt jump shot from 16 ft,2,0
2,1,11:29.0,Defensive rebound by R. Covington,,2,0
3,1,11:18.0,J. Embiid makes 2-pt hook shot from 4 ft (assist by D. Šarić),,4,0
4,1,11:00.0,,J. Harden misses 2-pt jump shot at rim,4,0
5,1,10:58.0,Defensive rebound by J. Embiid,,4,0
6,1,10:54.0,B. Simmons makes 2-pt layup from 3 ft,,6,0
7,1,10:29.0,,J. Harden makes 2-pt jump shot from 15 ft (assist by T. Ariza),6,2
8,1,10:15.0,B. Simmons misses 2-pt layup from 9 ft,,6,2
9,1,10:12.0,,Defensive rebound by C. Capela,6,2
10,1,10:07.0,,Turnover by J. Harden (lost ball; steal by R. Covington),6,2
11,1,9:59.0,J. Embiid makes 2-pt dunk at rim (assist by B. Simmons),,8,2
12,1,9:47.0,,Turnover by J. Harden (bad pass; steal by R. Covington),8,2
13,1,9:47.0,Personal foul by E. Gordon (drawn by R. Covington),,8,2
14,1,9:36.0,Turnover by J. Bayless (bad pass; steal by C. Capela),,8,2
15,1,9:34.0,,Personal foul by B. Simmons (drawn by J. Harden),8,2
16,1,9:27.0,,T. Ariza misses 3-pt jump shot from 23 ft,8,2
17,1,9:24.0,Defensive rebound by B. Simmons,,8,2
18,1,9:21.0,Turnover by B. Simmons (bad pass; steal by J. Harden),,8,2
19,1,9:15.0,,J. Harden makes 2-pt layup from 2 ft,8,4
20,1,9:15.0,,Shooting foul by R. Covington (drawn by J. Harden),8,4
21,1,9:15.0,,J. Harden makes free throw 1 of 1,8,5
22,1,9:05.0,D. Šarić misses 2-pt layup from 2 ft,,8,5
23,1,9:02.0,,Defensive rebound by C. Capela,8,5
24,1,8:52.0,,J. Harden misses 2-pt layup from 9 ft,8,5
25,1,8:49.0,Defensive rebound by D. Šarić,,8,5
26,1,8:32.0,J. Embiid misses 2-pt hook shot from 11 ft,,8,5
27,1,8:30.0,,Defensive rebound by C. Capela,8,5
28,1,8:26.0,,T. Ariza makes 2-pt layup at rim (assist by J. Harden),8,7
29,1,8:17.0,Personal foul by J. Harden (drawn by J. Bayless),,8,7
30,1,8:17.0,A. Johnson enters the game for J. Embiid,,8,7
31,1,8:10.0,A. Johnson makes 2-pt layup from 4 ft (assist by J. Bayless),,10,7
32,1,7:59.0,,Personal foul by D. Šarić (drawn by E. Gordon),10,7
33,1,7:50.0,,R. Anderson misses 3-pt jump shot from 29 ft,10,7
34,1,7:46.0,Defensive rebound by R. Covington,,10,7
35,1,7:41.0,D. Šarić misses 3-pt jump shot from 25 ft,,10,7
36,1,7:38.0,,Defensive rebound by J. Harden,10,7
37,1,7:31.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),10,9
38,1,7:12.0,D. Šarić makes 2-pt jump shot from 20 ft (assist by J. Bayless),,12,9
39,1,6:59.0,,T. Ariza misses 3-pt jump shot from 25 ft,12,9
40,1,6:56.0,Defensive rebound by J. Bayless,,12,9
41,1,6:47.0,A. Johnson makes 2-pt hook shot from 6 ft (assist by B. Simmons),,14,9
42,1,6:36.0,,Shooting foul by J. Bayless (drawn by J. Harden),14,9
43,1,6:36.0,,Houston full timeout,14,9
44,1,6:36.0,,P. Tucker enters the game for R. Anderson,14,9
45,1,6:36.0,T. McConnell enters the game for J. Bayless,,14,9
46,1,6:36.0,T. Luwawu-Cabarrot enters the game for D. Šarić,,14,9
47,1,6:36.0,,J. Harden makes free throw 1 of 2,14,10
48,1,6:36.0,,J. Harden makes free throw 2 of 2,14,11
49,1,6:26.0,B. Simmons makes 2-pt jump shot from 16 ft,,16,11
50,1,6:14.0,,P. Tucker misses 3-pt jump shot from 25 ft,16,11
51,1,6:10.0,Defensive rebound by T. McConnell,,16,11
52,1,6:05.0,R. Covington misses 3-pt jump shot from 26 ft,,16,11
53,1,6:03.0,,Defensive rebound by P. Tucker,16,11
54,1,6:00.0,,Shooting foul by T. McConnell (drawn by J. Harden),16,11
55,1,6:00.0,,J. Harden makes free throw 1 of 2,16,12
56,1,6:00.0,,L. Mbah a Moute enters the game for E. Gordon,16,12
57,1,6:00.0,,J. Harden makes free throw 2 of 2,16,13
58,1,5:46.0,A. Johnson misses 2-pt hook shot from 6 ft,,16,13
59,1,5:42.0,,Defensive rebound by C. Capela,16,13
60,1,5:37.0,,J. Harden makes 3-pt jump shot from 28 ft,16,16
61,1,5:26.0,Personal foul by T. Ariza (drawn by R. Covington),,16,16
62,1,5:16.0,A. Johnson makes 2-pt hook shot from 5 ft (assist by T. McConnell),,18,16
63,1,4:51.0,,Turnover by J. Harden (bad pass; steal by A. Johnson),18,16
64,1,4:45.0,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by B. Simmons),,20,16
65,1,4:23.0,,Turnover by C. Capela (traveling),20,16
66,1,4:16.0,Personal foul by J. Harden (drawn by T. Luwawu-Cabarrot),,20,16
67,1,4:03.0,Turnover by T. McConnell (traveling),,20,16
68,1,3:52.0,,Turnover by L. Mbah a Moute (turnover),20,16
69,1,3:52.0,Philadelphia full timeout,,20,16
70,1,3:52.0,,R. Anderson enters the game for T. Ariza,20,16
71,1,3:52.0,,N. Hilário enters the game for C. Capela,20,16
72,1,3:52.0,J. Bayless enters the game for A. Johnson,,20,16
73,1,3:52.0,D. Šarić enters the game for B. Simmons,,20,16
74,1,3:52.0,J. Embiid enters the game for R. Covington,,20,16
75,1,3:41.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by T. McConnell),,23,16
76,1,3:26.0,,L. Mbah a Moute makes 2-pt layup from 1 ft,23,18
77,1,3:26.0,,Shooting foul by J. Embiid (drawn by L. Mbah a Moute),23,18
78,1,3:26.0,,L. Mbah a Moute makes free throw 1 of 1,23,19
79,1,3:18.0,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by T. McConnell),,25,19
80,1,3:18.0,Shooting foul by L. Mbah a Moute (drawn by T. Luwawu-Cabarrot),,25,19
81,1,3:18.0,T. Luwawu-Cabarrot makes free throw 1 of 1,,26,19
82,1,3:07.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by N. Hilário),26,19
83,1,3:07.0,,N. Hilário misses free throw 1 of 2,26,19
84,1,3:07.0,,Offensive rebound by Team,26,19
85,1,3:07.0,,N. Hilário makes free throw 2 of 2,26,20
86,1,2:53.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by J. Bayless),,29,20
87,1,2:36.0,,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by P. Tucker),29,23
88,1,2:25.0,J. Embiid misses 3-pt jump shot from 25 ft,,29,23
89,1,2:22.0,,Defensive rebound by R. Anderson,29,23
90,1,2:16.0,,R. Anderson misses 3-pt jump shot from 27 ft,29,23
91,1,2:15.0,Defensive rebound by Team,,29,23
92,1,2:02.0,D. Šarić makes 2-pt jump shot from 20 ft (assist by J. Embiid),,31,23
93,1,1:47.0,,Shooting foul by T. McConnell (drawn by J. Harden),31,23
94,1,1:47.0,,J. Harden makes free throw 1 of 2,31,24
95,1,1:47.0,B. Simmons enters the game for T. McConnell,,31,24
96,1,1:47.0,,J. Harden misses free throw 2 of 2,31,24
97,1,1:45.0,Defensive rebound by D. Šarić,,31,24
98,1,1:38.0,Personal foul by N. Hilário (drawn by J. Embiid),,31,24
99,1,1:38.0,J. Embiid misses free throw 1 of 2,,31,24
100,1,1:38.0,Offensive rebound by Team,,31,24
101,1,1:38.0,J. Embiid makes free throw 2 of 2,,32,24
102,1,1:15.0,,R. Anderson makes 2-pt jump shot from 21 ft,32,26
103,1,0:58.0,B. Simmons makes 2-pt jump shot from 16 ft,,34,26
104,1,0:49.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by R. Anderson),34,26
105,1,0:49.0,,R. Anderson makes free throw 1 of 2,34,27
106,1,0:49.0,,R. Anderson misses free throw 2 of 2,34,27
107,1,0:48.0,Defensive rebound by B. Simmons,,34,27
108,1,0:35.0,Shooting foul by L. Mbah a Moute (drawn by J. Embiid),,34,27
109,1,0:35.0,J. Embiid makes free throw 1 of 2,,35,27
110,1,0:35.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,35,27
111,1,0:35.0,J. Embiid makes free throw 2 of 2,,36,27
112,1,0:29.0,,J. Harden misses 3-pt jump shot from 26 ft,36,27
113,1,0:25.0,Defensive rebound by J. Embiid,,36,27
114,1,0:07.0,D. Šarić misses 3-pt jump shot from 24 ft,,36,27
115,1,0:06.0,Offensive rebound by Team,,36,27
116,1,0:06.0,,Loose ball foul by N. Hilário (drawn by J. Embiid),36,27
117,1,0:06.0,J. Embiid misses free throw 1 of 2,,36,27
118,1,0:06.0,Offensive rebound by Team,,36,27
119,1,0:06.0,J. Embiid makes free throw 2 of 2,,37,27
120,2,11:46.0,,Turnover by R. Anderson (traveling),37,27
121,2,11:31.0,J. Bayless makes 3-pt jump shot from 25 ft (assist by B. Simmons),,40,27
122,2,11:14.0,,Turnover by E. Gordon (bad pass; steal by J. Embiid),40,27
123,2,11:05.0,J. Anderson misses 3-pt jump shot from 23 ft,,40,27
124,2,11:03.0,,Defensive rebound by N. Hilário,40,27
125,2,10:59.0,,E. Gordon makes 3-pt jump shot from 27 ft,40,30
126,2,10:41.0,J. Embiid makes 2-pt jump shot from 13 ft (assist by B. Simmons),,42,30
127,2,10:25.0,,Personal foul by J. Embiid (drawn by E. Gordon),42,30
128,2,10:25.0,A. Johnson enters the game for J. Embiid,,42,30
129,2,10:17.0,,Shooting foul by J. Anderson (drawn by N. Hilário),42,30
130,2,10:17.0,,N. Hilário makes free throw 1 of 2,42,31
131,2,10:17.0,,N. Hilário makes free throw 2 of 2,42,32
132,2,10:08.0,Turnover by B. Simmons (bad pass),,42,32
133,2,9:54.0,,P. Tucker misses 3-pt jump shot from 23 ft,42,32
134,2,9:51.0,Defensive rebound by A. Johnson,,42,32
135,2,9:43.0,D. Šarić misses 2-pt layup from 2 ft (block by N. Hilário),,42,32
136,2,9:41.0,,Defensive rebound by N. Hilário,42,32
137,2,9:37.0,,E. Gordon misses 3-pt jump shot from 26 ft,42,32
138,2,9:33.0,,Offensive rebound by P. Tucker,42,32
139,2,9:28.0,,Personal foul by J. Anderson (drawn by L. Mbah a Moute),42,32
140,2,9:28.0,,C. Capela enters the game for N. Hilário,42,32
141,2,9:23.0,Offensive charge foul by E. Gordon (drawn by A. Johnson),,42,32
142,2,9:23.0,,Turnover by E. Gordon (offensive foul),42,32
143,2,9:23.0,R. Covington enters the game for J. Anderson,,42,32
144,2,9:12.0,D. Šarić makes 2-pt layup from 1 ft (assist by B. Simmons),,44,32
145,2,9:00.0,,R. Anderson makes 3-pt jump shot from 27 ft (assist by E. Gordon),44,35
146,2,8:41.0,,T. Ariza enters the game for P. Tucker,44,35
147,2,8:35.0,,Personal foul by A. Johnson (drawn by C. Capela),44,35
148,2,8:34.0,A. Johnson misses 2-pt layup from 1 ft (block by C. Capela),,44,35
149,2,8:34.0,,Defensive rebound by C. Capela,44,35
150,2,8:18.0,,E. Gordon makes 2-pt layup from 5 ft,44,37
151,2,8:11.0,Personal foul by L. Mbah a Moute (drawn by A. Johnson),,44,37
152,2,7:57.0,B. Simmons makes 2-pt jump shot from 16 ft,,46,37
153,2,7:47.0,,T. Ariza misses 3-pt jump shot from 24 ft,46,37
154,2,7:44.0,Defensive rebound by D. Šarić,,46,37
155,2,7:35.0,Turnover by J. Bayless (lost ball; steal by T. Ariza),,46,37
156,2,7:28.0,,Turnover by T. Ariza (lost ball; steal by R. Covington),46,37
157,2,7:28.0,Philadelphia full timeout,,46,37
158,2,7:28.0,T. McConnell enters the game for D. Šarić,,46,37
159,2,7:20.0,Shooting foul by L. Mbah a Moute (drawn by B. Simmons),,46,37
160,2,7:20.0,B. Simmons makes free throw 1 of 2,,47,37
161,2,7:20.0,,J. Harden enters the game for L. Mbah a Moute,47,37
162,2,7:20.0,T. Luwawu-Cabarrot enters the game for J. Bayless,,47,37
163,2,7:20.0,B. Simmons makes free throw 2 of 2,,48,37
164,2,7:12.0,,E. Gordon misses 3-pt jump shot from 27 ft,48,37
165,2,7:08.0,Defensive rebound by T. McConnell,,48,37
166,2,6:59.0,Turnover by R. Covington (step out of bounds),,48,37
167,2,6:52.0,,Shooting foul by R. Covington (drawn by C. Capela),48,37
168,2,6:52.0,,C. Capela makes free throw 1 of 2,48,38
169,2,6:52.0,,C. Capela makes free throw 2 of 2,48,39
170,2,6:40.0,T. McConnell misses 2-pt jump shot from 16 ft,,48,39
171,2,6:37.0,Offensive rebound by A. Johnson,,48,39
172,2,6:36.0,A. Johnson misses 2-pt hook shot from 5 ft,,48,39
173,2,6:36.0,,Defensive rebound by Team,48,39
174,2,6:36.0,D. Šarić enters the game for B. Simmons,,48,39
175,2,6:25.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Harden),48,42
176,2,6:10.0,R. Covington misses 2-pt layup from 1 ft,,48,42
177,2,6:04.0,Offensive rebound by A. Johnson,,48,42
178,2,6:04.0,A. Johnson makes 2-pt layup at rim,,50,42
179,2,5:51.0,,Turnover by J. Harden (bad pass; steal by A. Johnson),50,42
180,2,5:27.0,D. Šarić misses 2-pt layup from 1 ft,,50,42
181,2,5:20.0,,Defensive rebound by C. Capela,50,42
182,2,5:14.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),50,44
183,2,4:54.0,T. McConnell misses 2-pt jump shot from 8 ft,,50,44
184,2,4:51.0,,Defensive rebound by J. Harden,50,44
185,2,4:37.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Harden),50,47
186,2,4:25.0,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft (block by J. Harden),,50,47
187,2,4:25.0,,Defensive rebound by C. Capela,50,47
188,2,4:18.0,,J. Harden makes 2-pt layup from 1 ft,50,49
189,2,3:59.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by T. McConnell),,53,49
190,2,3:48.0,,Shooting foul by A. Johnson (drawn by E. Gordon),53,49
191,2,3:48.0,,E. Gordon makes free throw 1 of 2,53,50
192,2,3:48.0,,P. Tucker enters the game for C. Capela,53,50
193,2,3:48.0,B. Simmons enters the game for A. Johnson,,53,50
194,2,3:48.0,J. Embiid enters the game for T. Luwawu-Cabarrot,,53,50
195,2,3:48.0,J. Bayless enters the game for T. McConnell,,53,50
196,2,3:48.0,,E. Gordon makes free throw 2 of 2,53,51
197,2,3:31.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by J. Embiid),,56,51
198,2,3:13.0,,E. Gordon misses 3-pt jump shot from 28 ft,56,51
199,2,3:11.0,Defensive rebound by D. Šarić,,56,51
200,2,2:58.0,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),,58,51
201,2,2:43.0,,E. Gordon misses 3-pt jump shot from 23 ft,58,51
202,2,2:41.0,,Offensive rebound by J. Harden,58,51
203,2,2:40.0,,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),58,54
204,2,2:23.0,B. Simmons misses 2-pt layup from 3 ft,,58,54
205,2,2:22.0,Offensive rebound by R. Covington,,58,54
206,2,2:22.0,R. Covington misses 2-pt dunk at rim,,58,54
207,2,2:21.0,,Defensive rebound by T. Ariza,58,54
208,2,2:13.0,,P. Tucker misses 3-pt jump shot from 23 ft,58,54
209,2,2:10.0,Defensive rebound by J. Bayless,,58,54
210,2,2:07.0,J. Bayless misses 3-pt jump shot from 25 ft,,58,54
211,2,2:03.0,Offensive rebound by J. Embiid,,58,54
212,2,1:53.0,Turnover by J. Embiid (lost ball; steal by P. Tucker),,58,54
213,2,1:46.0,,R. Anderson misses 3-pt jump shot from 23 ft,58,54
214,2,1:44.0,Defensive rebound by B. Simmons,,58,54
215,2,1:33.0,Offensive foul by J. Embiid (drawn by E. Gordon),,58,54
216,2,1:33.0,Turnover by J. Embiid (offensive foul),,58,54
217,2,1:33.0,,Houston full timeout,58,54
218,2,1:33.0,T. Luwawu-Cabarrot enters the game for J. Embiid,,58,54
219,2,1:13.0,,J. Harden misses 3-pt jump shot from 23 ft,58,54
220,2,1:09.0,,Offensive rebound by T. Ariza,58,54
221,2,1:08.0,,E. Gordon misses 3-pt jump shot from 25 ft,58,54
222,2,1:05.0,Defensive rebound by R. Covington,,58,54
223,2,0:49.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,,58,54
224,2,0:47.0,,Defensive rebound by P. Tucker,58,54
225,2,0:24.0,,E. Gordon misses 3-pt jump shot from 27 ft,58,54
226,2,0:21.0,Defensive rebound by J. Bayless,,58,54
227,2,0:03.0,Turnover by B. Simmons (bad pass; steal by E. Gordon),,58,54
228,2,0:01.0,,E. Gordon makes 2-pt dunk at rim,58,56
229,2,0:00.0,B. Simmons misses 3-pt jump shot from 65 ft,,58,56
230,2,0:00.0,Offensive rebound by Team,,58,56
231,3,11:49.0,,Turnover by J. Harden (bad pass; steal by R. Covington),58,56
232,3,11:44.0,R. Covington makes 2-pt layup at rim,,60,56
233,3,11:27.0,,J. Harden makes 2-pt jump shot from 15 ft,60,58
234,3,11:06.0,R. Covington misses 3-pt jump shot from 25 ft,,60,58
235,3,11:06.0,Offensive rebound by Team,,60,58
236,3,10:56.0,J. Embiid misses 2-pt hook shot from 5 ft,,60,58
237,3,10:53.0,,Defensive rebound by J. Harden,60,58
238,3,10:49.0,,Shooting foul by B. Simmons (drawn by C. Capela),60,58
239,3,10:49.0,,C. Capela misses free throw 1 of 2,60,58
240,3,10:49.0,,Offensive rebound by Team,60,58
241,3,10:49.0,,C. Capela misses free throw 2 of 2,60,58
242,3,10:46.0,Defensive rebound by R. Covington,,60,58
243,3,10:32.0,J. Embiid makes 2-pt jump shot from 9 ft,,62,58
244,3,10:17.0,Violation by J. Bayless (kicked ball),,62,58
245,3,10:04.0,,J. Harden misses 3-pt jump shot from 26 ft,62,58
246,3,10:02.0,Defensive rebound by R. Covington,,62,58
247,3,9:53.0,B. Simmons makes 2-pt dunk at rim (assist by J. Embiid),,64,58
248,3,9:35.0,,E. Gordon makes 2-pt layup from 1 ft (assist by C. Capela),66,60
249,3,9:25.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Embiid),,66,58
250,3,9:12.0,,C. Capela misses 2-pt layup from 1 ft,66,58
251,3,9:10.0,Defensive rebound by B. Simmons,,66,58
252,3,9:05.0,R. Covington misses 3-pt jump shot from 25 ft,,66,58
253,3,9:03.0,,Defensive rebound by Team,66,58
254,3,9:03.0,T. McConnell enters the game for D. Šarić,,66,58
255,3,8:39.0,,Shooting foul by J. Bayless (drawn by E. Gordon),66,58
256,3,8:39.0,,E. Gordon makes free throw 1 of 2,66,61
257,3,8:39.0,,E. Gordon makes free throw 2 of 2,66,62
258,3,8:15.0,Turnover by Team (shot clock),,66,62
259,3,8:15.0,A. Johnson enters the game for J. Embiid,,66,62
260,3,8:04.0,,Def 3 sec tech foul by A. Johnson,66,62
261,3,8:04.0,,J. Harden makes technical free throw,66,63
262,3,7:58.0,,E. Gordon misses 3-pt jump shot from 22 ft,66,63
263,3,7:55.0,,Offensive rebound by C. Capela,66,63
264,3,7:49.0,,T. Ariza misses 2-pt layup from 2 ft,66,63
265,3,7:46.0,Defensive rebound by A. Johnson,,66,63
266,3,7:42.0,R. Covington makes 3-pt jump shot from 25 ft (assist by B. Simmons),,69,63
267,3,7:27.0,,J. Harden makes 2-pt layup from 1 ft,69,65
268,3,7:20.0,A. Johnson makes 2-pt hook shot from 6 ft (assist by B. Simmons),,71,65
269,3,7:10.0,,C. Capela makes 2-pt layup from 1 ft (assist by T. Ariza),71,67
270,3,7:10.0,,Shooting foul by A. Johnson (drawn by T. Ariza),71,67
271,3,7:10.0,,C. Capela makes free throw 1 of 1,71,68
