,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
71,1,2:52.0,S. Livingston makes 2-pt jump shot from 10 ft (assist by D. West),,18,17
72,1,2:29.0,,P. Gasol makes 2-pt jump shot from 12 ft,18,19
73,1,2:19.0,K. Durant makes 2-pt jump shot from 16 ft,,20,19
74,1,2:07.0,,T. Parker misses 2-pt jump shot from 18 ft,20,19
75,1,2:07.0,Defensive rebound by D. West,,20,19
76,1,1:55.0,D. West misses 2-pt jump shot from 19 ft,,20,19
77,1,1:50.0,,Defensive rebound by P. Gasol,20,19
78,1,1:41.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,20,19
79,1,1:37.0,Defensive rebound by Q. Cook,,20,19
80,1,1:25.0,Shooting foul by M. Ginóbili (drawn by S. Livingston),,20,19
81,1,1:25.0,S. Livingston makes free throw 1 of 2,,21,19
82,1,1:25.0,,D. Bertāns enters the game for L. Aldridge,21,19
83,1,1:25.0,S. Livingston makes free throw 2 of 2,,22,19
84,1,1:08.0,,T. Parker makes 2-pt jump shot from 19 ft (assist by D. Bertāns),22,21
85,1,0:57.0,K. Durant misses 3-pt jump shot from 25 ft,,22,21
86,1,0:52.0,,Defensive rebound by T. Parker,22,21
87,1,0:52.0,,K. Anderson makes 2-pt dunk from 1 ft (assist by T. Parker),22,23
88,1,0:41.0,D. West makes 2-pt layup at rim (assist by S. Livingston),,24,23
89,1,0:20.0,,P. Gasol misses 3-pt jump shot from 24 ft,24,23
90,1,0:20.0,Defensive rebound by K. Looney,,24,23
91,1,0:04.0,K. Durant makes 2-pt jump shot from 15 ft,,26,23
92,1,0:00.0,,K. Anderson misses 3-pt jump shot from 49 ft,26,23
93,1,0:00.0,,Offensive rebound by Team,26,23
94,2,11:37.0,K. Thompson misses 3-pt jump shot from 23 ft (block by P. Gasol),,26,23
95,2,11:34.0,,Defensive rebound by R. Gay,26,23
96,2,11:30.0,,Shooting foul by Q. Cook (drawn by T. Parker),26,23
97,2,11:30.0,,T. Parker misses free throw 1 of 2,26,23
98,2,11:30.0,,Offensive rebound by Team,26,23
99,2,11:30.0,,T. Parker makes free throw 2 of 2,26,24
100,2,11:20.0,S. Livingston makes 2-pt jump shot from 13 ft (assist by D. Green),,28,24
101,2,11:08.0,,Shooting foul by D. Green (drawn by T. Parker),28,24
102,2,11:08.0,,T. Parker makes free throw 1 of 2,28,25
103,2,11:08.0,,D. Green enters the game for M. Ginóbili,28,25
104,2,11:08.0,,T. Parker makes free throw 2 of 2,28,26
105,2,10:53.0,K. Thompson misses 2-pt jump shot from 15 ft,,28,26
106,2,10:50.0,,Defensive rebound by D. Green,28,26
107,2,10:43.0,,D. Green misses 2-pt jump shot from 19 ft,28,26
108,2,10:40.0,Defensive rebound by Q. Cook,,28,26
109,2,10:35.0,S. Livingston misses 2-pt jump shot from 13 ft,,28,26
110,2,10:31.0,,Defensive rebound by P. Gasol,28,26
111,2,10:21.0,,R. Gay misses 2-pt jump shot from 18 ft,28,26
112,2,10:18.0,Defensive rebound by S. Livingston,,28,26
113,2,10:13.0,Q. Cook makes 2-pt layup from 1 ft,,30,26
