,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
0,1,11:46.0,,Turnover by J. Richardson (bad pass; steal by R. Hollis-Jefferson),0,0
1,1,11:37.0,Turnover by R. Hollis-Jefferson (bad pass; steal by G. Dragić),,0,0
2,1,11:24.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by G. Dragić),0,2
3,1,11:00.0,T. Zeller misses 2-pt hook shot from 11 ft,,0,2
4,1,10:55.0,,Defensive rebound by H. Whiteside,0,2
5,1,10:49.0,,H. Whiteside makes 2-pt hook shot from 4 ft (assist by G. Dragić),0,4
6,1,10:30.0,Turnover by S. Dinwiddie (lost ball; steal by H. Whiteside),,0,4
7,1,10:14.0,,G. Dragić misses 3-pt jump shot from 26 ft,0,4
8,1,10:14.0,,Offensive rebound by Team,0,4
9,1,10:14.0,Loose ball foul by D. Carroll (drawn by K. Olynyk),,0,4
10,1,10:08.0,,T. Johnson misses 2-pt jump shot from 13 ft,0,4
11,1,10:03.0,,Offensive rebound by H. Whiteside,0,4
12,1,10:03.0,,H. Whiteside makes 2-pt layup at rim,0,6
13,1,9:55.0,R. Hollis-Jefferson misses 2-pt jump shot from 16 ft,,0,6
14,1,9:51.0,,Defensive rebound by G. Dragić,0,6
15,1,9:43.0,,J. Richardson makes 2-pt layup from 2 ft,0,8
16,1,9:26.0,T. Zeller makes 3-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),,3,8
17,1,9:12.0,,H. Whiteside makes 2-pt jump shot from 12 ft (assist by G. Dragić),3,10
18,1,9:02.0,Turnover by D. Carroll (step out of bounds),,3,10
19,1,8:48.0,,G. Dragić misses 2-pt jump shot from 6 ft,3,10
20,1,8:44.0,Defensive rebound by T. Zeller,,3,10
21,1,8:36.0,A. Crabbe makes 2-pt jump shot from 17 ft (assist by D. Carroll),,5,10
22,1,8:24.0,,J. Richardson misses 2-pt jump shot from 14 ft,5,10
23,1,8:20.0,Defensive rebound by T. Zeller,,5,10
24,1,8:14.0,D. Carroll misses 2-pt jump shot from 18 ft,,5,10
25,1,8:09.0,Offensive rebound by T. Zeller,,5,10
26,1,8:09.0,T. Zeller makes 2-pt layup at rim,,7,10
