,QUARTER,TIME_REMAINING,ATLANTA_ACTION,SACRAMENTO_ACTION,ATLANTA_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,T. Prince misses 3-pt jump shot from 25 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. Fox,0,0
2,1,11:26.0,,J. Jackson makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),0,3
3,1,10:57.0,Turnover by M. Muscala (lost ball; steal by D. Fox),,0,3
4,1,10:53.0,,Shooting foul by T. Prince (drawn by D. Fox),0,3
5,1,10:53.0,,D. Fox makes free throw 1 of 2,0,4
6,1,10:53.0,,D. Fox makes free throw 2 of 2,0,5
7,1,10:36.0,M. Muscala misses 2-pt jump shot from 13 ft,,0,5
8,1,10:33.0,,Defensive rebound by W. Cauley-Stein,0,5
9,1,10:17.0,,S. Labissière misses 2-pt jump shot from 17 ft,0,5
10,1,10:14.0,Defensive rebound by T. Prince,,0,5
11,1,10:04.0,I. Taylor makes 3-pt jump shot from 24 ft (assist by T. Prince),,3,5
12,1,9:49.0,,Turnover by D. Fox (lost ball; steal by I. Taylor),3,5
13,1,9:36.0,D. Lee makes 2-pt layup from 3 ft (assist by M. Muscala),,5,5
14,1,9:25.0,,B. Bogdanović misses 2-pt jump shot from 7 ft,5,5
15,1,9:22.0,Defensive rebound by M. Muscala,,5,5
16,1,9:16.0,I. Taylor misses 3-pt jump shot from 25 ft,,5,5
17,1,9:13.0,,Defensive rebound by W. Cauley-Stein,5,5
18,1,9:01.0,,Turnover by W. Cauley-Stein (out of bounds lost ball),5,5
19,1,8:44.0,I. Taylor makes 2-pt layup from 1 ft,,7,5
20,1,8:31.0,,J. Jackson misses 2-pt jump shot from 14 ft,7,5
21,1,8:28.0,,Offensive rebound by W. Cauley-Stein,7,5
22,1,8:23.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,7,5
23,1,8:20.0,Defensive rebound by D. Dedmon,,7,5
24,1,8:14.0,M. Muscala misses 3-pt jump shot from 24 ft,,7,5
25,1,8:12.0,Offensive rebound by D. Lee,,7,5
26,1,8:12.0,Shooting foul by W. Cauley-Stein (drawn by D. Lee),,7,5
27,1,8:12.0,D. Lee makes free throw 1 of 2,,8,5
28,1,8:12.0,D. Lee makes free throw 2 of 2,,9,5
29,1,7:58.0,,D. Fox misses 3-pt jump shot from 25 ft,9,5
30,1,7:55.0,Defensive rebound by D. Dedmon,,9,5
31,1,7:47.0,T. Prince misses 3-pt jump shot from 24 ft,,9,5
32,1,7:44.0,,Defensive rebound by J. Jackson,9,5
33,1,7:32.0,,Offensive foul by S. Labissière (drawn by I. Taylor),9,5
34,1,7:32.0,,Turnover by S. Labissière (offensive foul),9,5
35,1,7:13.0,D. Dedmon makes 2-pt dunk at rim (assist by D. Lee),,11,5
36,1,6:59.0,,S. Labissière misses 3-pt jump shot from 25 ft,11,5
37,1,6:56.0,Defensive rebound by D. Dedmon,,11,5
38,1,6:50.0,I. Taylor makes 2-pt layup from 3 ft,,13,5
39,1,6:50.0,,Violation by W. Cauley-Stein (def goaltending),13,5
40,1,6:50.0,,Sacramento full timeout,13,5
41,1,6:50.0,,K. Koufos enters the game for S. Labissière,13,5
42,1,6:50.0,T. Dorsey enters the game for D. Lee,,13,5
43,1,6:32.0,,B. Bogdanović makes 2-pt jump shot from 13 ft,13,7
44,1,6:07.0,T. Prince misses 2-pt jump shot from 2 ft,,13,7
45,1,6:07.0,,Defensive rebound by Team,13,7
46,1,6:02.0,,Turnover by D. Fox (bad pass; steal by T. Prince),13,7
47,1,5:58.0,T. Prince makes 3-pt jump shot from 24 ft (assist by I. Taylor),,16,7
48,1,5:37.0,,D. Fox makes 2-pt jump shot from 22 ft (assist by B. Bogdanović),16,9
49,1,5:30.0,Personal foul by D. Fox (drawn by I. Taylor),,16,9
50,1,5:30.0,,F. Mason enters the game for D. Fox,16,9
51,1,5:30.0,J. Magette enters the game for D. Dedmon,,16,9
52,1,5:30.0,T. Cavanaugh enters the game for I. Taylor,,16,9
53,1,5:30.0,M. Plumlee enters the game for M. Muscala,,16,9
54,1,5:22.0,T. Dorsey makes 2-pt layup from 2 ft,,18,9
55,1,5:02.0,,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by K. Koufos),18,11
56,1,4:49.0,M. Plumlee misses 2-pt layup from 3 ft (block by K. Koufos),,18,11
57,1,4:41.0,,Defensive rebound by K. Koufos,18,11
58,1,4:37.0,,B. Bogdanović makes 2-pt layup from 8 ft,18,13
59,1,4:24.0,T. Prince makes 2-pt layup from 5 ft (assist by J. Magette),,20,13
60,1,4:03.0,,J. Jackson makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),20,16
61,1,4:02.0,Atlanta full timeout,,20,16
62,1,4:02.0,,B. Hield enters the game for B. Bogdanović,20,16
63,1,4:02.0,A. White enters the game for T. Prince,,20,16
64,1,3:44.0,Offensive foul by M. Plumlee (drawn by W. Cauley-Stein),,20,16
65,1,3:44.0,Turnover by M. Plumlee (offensive foul),,20,16
66,1,3:32.0,,Offensive foul by B. Hield (drawn by T. Dorsey),20,16
67,1,3:32.0,,Turnover by B. Hield (offensive foul),20,16
68,1,3:10.0,T. Dorsey misses 2-pt jump shot from 8 ft (block by K. Koufos),,20,16
69,1,3:08.0,,Defensive rebound by F. Mason,20,16
70,1,3:08.0,Offensive charge foul by F. Mason (drawn by J. Magette),,20,16
71,1,3:08.0,,Turnover by F. Mason (offensive foul),20,16
72,1,2:46.0,M. Plumlee makes 2-pt hook shot from 7 ft,,22,16
73,1,2:36.0,,Personal foul by J. Magette (drawn by F. Mason),22,16
74,1,2:36.0,,S. Labissière enters the game for W. Cauley-Stein,22,16
75,1,2:36.0,,V. Carter enters the game for J. Jackson,22,16
76,1,2:30.0,,F. Mason makes 2-pt jump shot from 17 ft,22,18
77,1,2:16.0,Shooting foul by V. Carter (drawn by A. White),,22,18
78,1,2:16.0,A. White misses free throw 1 of 2,,22,18
79,1,2:16.0,Offensive rebound by Team,,22,18
80,1,2:16.0,A. White misses free throw 2 of 2,,22,18
81,1,2:11.0,,Defensive rebound by K. Koufos,22,18
82,1,1:56.0,,B. Hield misses 2-pt jump shot from 17 ft,22,18
83,1,1:53.0,Defensive rebound by A. White,,22,18
84,1,1:45.0,J. Magette makes 3-pt jump shot from 25 ft (assist by T. Cavanaugh),,25,18
85,1,1:32.0,,F. Mason makes 2-pt jump shot from 20 ft,25,20
86,1,1:16.0,M. Plumlee misses 2-pt layup from 3 ft (block by F. Mason),,25,20
87,1,1:16.0,Offensive rebound by Team,,25,20
88,1,1:10.0,T. Dorsey misses 2-pt jump shot from 22 ft,,25,20
89,1,1:07.0,,Defensive rebound by S. Labissière,25,20
90,1,1:02.0,,S. Labissière misses 2-pt jump shot from 8 ft,25,20
91,1,1:01.0,,Offensive rebound by Team,25,20
92,1,0:56.0,,F. Mason misses 2-pt jump shot from 19 ft,25,20
93,1,0:53.0,Defensive rebound by A. White,,25,20
94,1,0:43.0,T. Cavanaugh misses 3-pt jump shot from 24 ft,,25,20
95,1,0:40.0,,Defensive rebound by F. Mason,25,20
96,1,0:36.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by F. Mason),25,23
97,1,0:26.0,T. Dorsey makes 3-pt jump shot from 24 ft (assist by J. Magette),,28,23
98,1,0:07.0,,Personal foul by T. Dorsey (drawn by K. Koufos),28,23
99,1,0:02.0,,S. Labissière makes 2-pt jump shot from 15 ft (assist by F. Mason),28,25
100,1,0:00.0,J. Magette misses 3-pt jump shot from 48 ft,,28,25
101,1,0:00.0,Offensive rebound by Team,,28,25
102,2,11:47.0,,K. Koufos makes 2-pt hook shot from 9 ft (assist by B. Hield),28,27
103,2,11:32.0,A. White misses 3-pt jump shot from 23 ft,,28,27
104,2,11:29.0,,Defensive rebound by F. Mason,28,27
105,2,11:17.0,,S. Labissière misses 2-pt jump shot from 12 ft,28,27
106,2,11:13.0,Defensive rebound by M. Plumlee,,28,27
107,2,10:56.0,Turnover by M. Plumlee (lost ball; steal by K. Koufos),,28,27
108,2,10:51.0,,B. Hield misses 2-pt layup from 3 ft,28,27
109,2,10:49.0,,Offensive rebound by K. Koufos,28,27
110,2,10:46.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by K. Koufos),28,30
111,2,10:29.0,A. White makes 3-pt jump shot from 22 ft (assist by I. Taylor),,31,30
112,2,10:07.0,,V. Carter misses 3-pt jump shot from 26 ft,31,30
113,2,10:04.0,Defensive rebound by M. Plumlee,,31,30
114,2,10:02.0,Personal foul by K. Koufos (drawn by T. Prince),,31,30
115,2,10:02.0,M. Muscala enters the game for M. Plumlee,,31,30
116,2,9:54.0,I. Taylor misses 3-pt jump shot from 25 ft,,31,30
117,2,9:51.0,,Defensive rebound by S. Labissière,31,30
118,2,9:41.0,,Turnover by B. Hield (lost ball; steal by I. Taylor),31,30
119,2,9:37.0,T. Prince misses 3-pt jump shot from 24 ft,,31,30
120,2,9:35.0,,Defensive rebound by V. Carter,31,30
121,2,9:29.0,,B. Hield misses 2-pt layup from 2 ft,31,30
122,2,9:27.0,Defensive rebound by T. Dorsey,,31,30
123,2,9:19.0,Atlanta full timeout,,31,30
124,2,9:19.0,D. Dedmon enters the game for T. Dorsey,,31,30
125,2,9:19.0,D. Lee enters the game for A. White,,31,30
126,2,9:09.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by D. Lee),,34,30
127,2,8:47.0,,S. Labissière misses 2-pt hook shot from 8 ft,34,30
128,2,8:43.0,Defensive rebound by D. Dedmon,,34,30
129,2,8:27.0,M. Muscala misses 3-pt jump shot from 24 ft,,34,30
130,2,8:24.0,,Defensive rebound by S. Labissière,34,30
131,2,8:17.0,,S. Labissière misses 3-pt jump shot from 25 ft,34,30
132,2,8:11.0,Defensive rebound by I. Taylor,,34,30
133,2,7:58.0,T. Prince misses 3-pt jump shot from 24 ft,,34,30
134,2,7:55.0,,Defensive rebound by S. Labissière,34,30
135,2,7:49.0,,S. Labissière makes 3-pt jump shot from 25 ft (assist by F. Mason),34,33
136,2,7:32.0,I. Taylor makes 2-pt jump shot from 3 ft,,36,33
137,2,7:10.0,,S. Labissière misses 2-pt dunk from 2 ft (block by M. Muscala),36,33
138,2,7:06.0,,Offensive rebound by S. Labissière,36,33
139,2,7:05.0,,S. Labissière makes 2-pt layup from 2 ft,36,35
140,2,6:56.0,Shooting foul by B. Hield (drawn by D. Lee),,36,35
141,2,6:56.0,D. Lee makes free throw 1 of 2,,37,35
142,2,6:56.0,,B. Caboclo enters the game for K. Koufos,37,35
143,2,6:56.0,D. Lee makes free throw 2 of 2,,38,35
144,2,6:39.0,,S. Labissière misses 2-pt layup from 1 ft,38,35
145,2,6:35.0,,Offensive rebound by V. Carter,38,35
146,2,6:34.0,,B. Caboclo makes 2-pt jump shot from 10 ft (assist by V. Carter),38,37
147,2,6:12.0,I. Taylor misses 2-pt jump shot from 13 ft,,38,37
148,2,6:08.0,,Defensive rebound by F. Mason,38,37
149,2,6:00.0,,S. Labissière misses 2-pt jump shot from 17 ft,38,37
150,2,5:56.0,Defensive rebound by D. Dedmon,,38,37
151,2,5:52.0,D. Lee misses 2-pt jump shot from 5 ft,,38,37
152,2,5:49.0,,Defensive rebound by S. Labissière,38,37
153,2,5:31.0,,S. Labissière misses 2-pt jump shot from 7 ft,38,37
154,2,5:28.0,Defensive rebound by D. Dedmon,,38,37
155,2,5:11.0,D. Dedmon misses 2-pt jump shot from 11 ft,,38,37
156,2,5:09.0,Offensive rebound by Team,,38,37
