,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHARLOTTE_ACTION,CLEVELAND_SCORE,CHARLOTTE_SCORE
0,1,11:39.0,,Shooting foul by T. Thompson (drawn by D. Howard),0,0
1,1,11:39.0,,D. Howard makes free throw 1 of 2,0,1
2,1,11:39.0,,D. Howard makes free throw 2 of 2,0,2
3,1,11:22.0,J. Green misses 2-pt layup from 3 ft (block by D. Howard),,0,2
4,1,11:22.0,Offensive rebound by Team,,0,2
5,1,11:17.0,G. Hill makes 2-pt jump shot from 16 ft,,2,2
6,1,11:02.0,,M. Williams misses 3-pt jump shot from 24 ft,2,2
7,1,11:00.0,,Offensive rebound by Team,2,2
8,1,10:55.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),2,5
9,1,10:39.0,R. Hood misses 2-pt jump shot from 17 ft,,2,5
10,1,10:36.0,,Defensive rebound by M. Kidd-Gilchrist,2,5
11,1,10:25.0,,K. Walker misses 3-pt jump shot from 26 ft,2,5
12,1,10:22.0,Defensive rebound by R. Hood,,2,5
13,1,10:15.0,J. Green misses 2-pt hook shot from 1 ft,,2,5
14,1,10:11.0,Offensive rebound by J. Green,,2,5
15,1,10:11.0,J. Green makes 2-pt layup at rim,,4,5
16,1,10:03.0,,D. Howard misses 2-pt dunk from 2 ft,4,5
17,1,10:01.0,Defensive rebound by L. James,,4,5
18,1,9:58.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. James),,4,5
19,1,9:58.0,L. James makes free throw 1 of 2,,5,5
20,1,9:58.0,L. James makes free throw 2 of 2,,6,5
21,1,9:48.0,,N. Batum makes 2-pt jump shot from 16 ft (assist by K. Walker),6,7
22,1,9:36.0,G. Hill misses 2-pt jump shot from 17 ft,,6,7
23,1,9:33.0,,Defensive rebound by M. Williams,6,7
24,1,9:23.0,,Turnover by K. Walker (bad pass; steal by J. Green),6,7
25,1,9:22.0,Personal foul by M. Kidd-Gilchrist (drawn by L. James),,6,7
26,1,9:10.0,L. James misses 2-pt jump shot from 12 ft,,6,7
27,1,9:08.0,,Defensive rebound by D. Howard,6,7
28,1,8:58.0,,Shooting foul by T. Thompson (drawn by D. Howard),6,7
29,1,8:58.0,,D. Howard makes free throw 1 of 2,6,8
30,1,8:58.0,,D. Howard makes free throw 2 of 2,6,9
31,1,8:52.0,R. Hood misses 3-pt jump shot from 28 ft,,6,9
32,1,8:48.0,Offensive rebound by R. Hood,,6,9
33,1,8:45.0,G. Hill misses 3-pt jump shot from 25 ft,,6,9
34,1,8:43.0,,Defensive rebound by N. Batum,6,9
35,1,8:38.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),6,11
36,1,8:19.0,Shooting foul by D. Howard (drawn by R. Hood),,6,11
37,1,8:19.0,R. Hood makes free throw 1 of 2,,7,11
38,1,8:19.0,L. Nance enters the game for T. Thompson,,7,11
39,1,8:19.0,R. Hood misses free throw 2 of 2,,7,11
40,1,8:16.0,,Defensive rebound by N. Batum,7,11
41,1,8:06.0,,M. Williams misses 3-pt jump shot from 22 ft,7,11
42,1,8:02.0,Defensive rebound by L. Nance,,7,11
43,1,7:54.0,L. Nance makes 2-pt jump shot from 16 ft (assist by G. Hill),,9,11
44,1,7:37.0,,Turnover by K. Walker (bad pass; steal by L. Nance),9,11
45,1,7:32.0,R. Hood makes 2-pt dunk from 1 ft (assist by L. James),,11,11
46,1,7:14.0,,Turnover by M. Kidd-Gilchrist (traveling),11,11
47,1,7:01.0,Def 3 sec tech foul by D. Howard,,11,11
48,1,7:01.0,J. Green makes technical free throw,,12,11
49,1,6:51.0,L. Nance makes 2-pt jump shot from 19 ft (assist by L. James),,14,11
50,1,6:40.0,,Personal foul by L. Nance (drawn by D. Howard),14,11
51,1,6:40.0,,Charlotte full timeout,14,11
52,1,6:29.0,,K. Walker misses 3-pt jump shot from 25 ft,14,11
53,1,6:26.0,Defensive rebound by L. James,,14,11
54,1,6:22.0,L. James misses 2-pt jump shot from 16 ft,,14,11
55,1,6:19.0,,Defensive rebound by D. Howard,14,11
56,1,6:07.0,,N. Batum misses 3-pt jump shot from 25 ft,14,11
57,1,6:04.0,Defensive rebound by L. James,,14,11
58,1,5:59.0,R. Hood misses 3-pt jump shot from 22 ft,,14,11
59,1,5:55.0,,Defensive rebound by K. Walker,14,11
60,1,5:52.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by M. Williams),14,13
61,1,5:32.0,G. Hill misses 2-pt jump shot from 9 ft,,14,13
62,1,5:29.0,,Defensive rebound by M. Kidd-Gilchrist,14,13
63,1,5:25.0,,Shooting foul by R. Hood (drawn by M. Kidd-Gilchrist),14,13
64,1,5:25.0,,M. Kidd-Gilchrist misses free throw 1 of 2,14,13
65,1,5:25.0,,Offensive rebound by Team,14,13
66,1,5:25.0,J. Clarkson enters the game for J. Green,,14,13
67,1,5:25.0,,M. Kidd-Gilchrist makes free throw 2 of 2,14,14
68,1,5:12.0,L. James makes 2-pt layup from 1 ft (assist by G. Hill),,16,14
69,1,4:55.0,,N. Batum misses 2-pt jump shot from 6 ft,16,14
70,1,4:55.0,Defensive rebound by Team,,16,14
71,1,4:55.0,,Loose ball foul by D. Howard (drawn by L. Nance),16,14
72,1,4:55.0,,D. Bacon enters the game for M. Kidd-Gilchrist,16,14
73,1,4:36.0,G. Hill misses 3-pt jump shot from 23 ft,,16,14
74,1,4:34.0,,Defensive rebound by M. Williams,16,14
75,1,4:32.0,,Personal foul by J. Clarkson (drawn by N. Batum),16,14
76,1,4:32.0,,N. Batum makes free throw 1 of 2,16,15
77,1,4:32.0,,N. Batum makes free throw 2 of 2,16,16
78,1,4:22.0,Personal foul by D. Bacon (drawn by L. James),,16,16
79,1,4:22.0,L. James makes free throw 1 of 2,,17,16
80,1,4:22.0,L. James makes free throw 2 of 2,,18,16
81,1,3:58.0,,K. Walker misses 2-pt jump shot from 18 ft,18,16
82,1,3:56.0,Defensive rebound by L. Nance,,18,16
83,1,3:52.0,R. Hood misses 2-pt jump shot from 6 ft,,18,16
84,1,3:49.0,,Defensive rebound by D. Howard,18,16
85,1,3:42.0,,Shooting foul by J. Clarkson (drawn by M. Williams),18,16
86,1,3:42.0,,M. Williams makes free throw 1 of 2,18,17
87,1,3:42.0,,J. Lamb enters the game for N. Batum,18,17
88,1,3:42.0,J. Calderón enters the game for R. Hood,,18,17
89,1,3:42.0,J. Smith enters the game for G. Hill,,18,17
90,1,3:42.0,,M. Williams makes free throw 2 of 2,18,18
91,1,3:38.0,Cleveland full timeout,,18,18
92,1,3:30.0,L. Nance misses 2-pt dunk from 1 ft,,18,18
93,1,3:30.0,,Defensive rebound by Team,18,18
94,1,3:17.0,,Turnover by M. Williams (bad pass),18,18
95,1,3:01.0,J. Clarkson misses 2-pt jump shot from 10 ft,,18,18
96,1,2:59.0,Offensive rebound by L. Nance,,18,18
97,1,2:54.0,L. James misses 3-pt jump shot from 24 ft,,18,18
98,1,2:51.0,,Defensive rebound by D. Bacon,18,18
99,1,2:47.0,,D. Bacon makes 2-pt jump shot from 17 ft,18,20
100,1,2:33.0,Turnover by L. James (bad pass; steal by J. Lamb),,18,20
101,1,2:25.0,,K. Walker misses 3-pt jump shot from 24 ft,18,20
102,1,2:25.0,,D. Howard misses 2-pt layup at rim,18,20
103,1,2:25.0,,Offensive rebound by D. Howard,18,20
104,1,2:25.0,,Offensive rebound by D. Howard,18,20
105,1,2:23.0,,D. Howard makes 2-pt dunk at rim,18,22
106,1,2:08.0,J. Calderón makes 2-pt jump shot from 15 ft,,20,22
107,1,1:54.0,,D. Bacon misses 2-pt jump shot from 18 ft,20,22
108,1,1:50.0,Defensive rebound by L. Nance,,20,22
109,1,1:45.0,Turnover by L. James (lost ball; steal by M. Williams),,20,22
110,1,1:35.0,,M. Williams misses 2-pt jump shot from 7 ft (block by L. Nance),20,22
111,1,1:30.0,,Offensive rebound by D. Howard,20,22
112,1,1:30.0,,D. Howard makes 2-pt dunk at rim,20,24
113,1,1:15.0,J. Clarkson makes 2-pt jump shot from 12 ft,,22,24
114,1,1:04.0,,D. Howard makes 2-pt dunk from 1 ft (assist by K. Walker),22,26
115,1,0:51.0,L. James misses 3-pt jump shot from 25 ft,,22,26
116,1,0:48.0,,Defensive rebound by D. Bacon,22,26
117,1,0:40.0,,D. Bacon misses 2-pt jump shot from 6 ft,22,26
118,1,0:38.0,Defensive rebound by L. Nance,,22,26
119,1,0:32.0,J. Clarkson misses 3-pt jump shot from 25 ft,,22,26
120,1,0:29.0,,Defensive rebound by D. Bacon,22,26
121,1,0:13.0,,K. Walker misses 2-pt jump shot from 14 ft,22,26
122,1,0:09.0,Defensive rebound by J. Clarkson,,22,26
123,1,0:04.0,L. James misses 2-pt layup from 1 ft,,22,26
124,1,0:02.0,,Defensive rebound by J. Lamb,22,26
125,2,11:36.0,J. Green misses 2-pt hook shot from 8 ft,,22,26
126,2,11:33.0,,Defensive rebound by F. Kaminsky,22,26
127,2,11:24.0,,M. Monk misses 2-pt jump shot from 4 ft,22,26
128,2,11:22.0,Defensive rebound by L. Nance,,22,26
129,2,11:18.0,J. Calderón makes 2-pt jump shot from 18 ft,,24,26
130,2,11:04.0,,Turnover by M. Monk (bad pass; steal by J. Smith),24,26
131,2,11:00.0,J. Smith makes 2-pt dunk at rim (assist by J. Calderón),,26,26
132,2,10:36.0,,F. Kaminsky makes 2-pt jump shot from 5 ft,26,28
133,2,10:29.0,Personal foul by D. Bacon (drawn by J. Clarkson),,26,28
134,2,10:29.0,C. Osman enters the game for L. Nance,,26,28
135,2,10:22.0,J. Smith misses 3-pt jump shot from 24 ft,,26,28
136,2,10:19.0,,Defensive rebound by M. Monk,26,28
137,2,10:07.0,,T. Graham misses 2-pt layup from 2 ft,26,28
138,2,10:03.0,,Offensive rebound by T. Graham,26,28
139,2,10:03.0,,T. Graham makes 2-pt layup at rim,26,30
140,2,9:53.0,C. Osman misses 3-pt jump shot from 25 ft,,26,30
141,2,9:51.0,,Defensive rebound by D. Bacon,26,30
142,2,9:43.0,,D. Bacon makes 2-pt layup from 1 ft,26,32
143,2,9:29.0,J. Clarkson makes 3-pt jump shot from 23 ft (assist by J. Smith),,29,32
144,2,9:15.0,,F. Kaminsky makes 2-pt layup from 10 ft (assist by J. Lamb),29,34
145,2,8:55.0,J. Green makes 2-pt layup from 2 ft,,31,34
146,2,8:42.0,,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by D. Bacon),31,37
147,2,8:27.0,,Offensive charge foul by J. Clarkson (drawn by T. Graham),31,37
148,2,8:27.0,Turnover by J. Clarkson (offensive foul),,31,37
149,2,8:27.0,G. Hill enters the game for J. Clarkson,,31,37
150,2,8:14.0,,F. Kaminsky misses 2-pt jump shot from 11 ft,31,37
151,2,8:12.0,Defensive rebound by C. Osman,,31,37
152,2,8:01.0,J. Smith makes 2-pt layup from 1 ft,,33,37
153,2,8:01.0,Shooting foul by T. Graham (drawn by J. Smith),,33,37
154,2,8:01.0,J. Smith makes free throw 1 of 1,,34,37
155,2,7:42.0,,J. Lamb makes 2-pt jump shot from 11 ft (assist by T. Graham),34,39
156,2,7:32.0,J. Smith makes 2-pt layup from 5 ft (assist by J. Calderón),,36,39
157,2,7:32.0,Shooting foul by T. Graham (drawn by J. Smith),,36,39
158,2,7:32.0,L. James enters the game for J. Calderón,,36,39
159,2,7:32.0,,M. Williams enters the game for T. Graham,36,39
160,2,7:32.0,R. Hood enters the game for J. Green,,36,39
161,2,7:32.0,J. Smith makes free throw 1 of 1,,37,39
162,2,7:12.0,,J. Lamb makes 3-pt jump shot from 25 ft,37,42
163,2,6:57.0,J. Smith makes 2-pt layup from 2 ft,,39,42
164,2,6:44.0,,Turnover by M. Monk (bad pass; steal by J. Smith),39,42
165,2,6:39.0,L. James makes 2-pt layup at rim (assist by G. Hill),,41,42
166,2,6:32.0,,Charlotte full timeout,41,42
167,2,6:24.0,,M. Monk makes 3-pt jump shot from 24 ft (assist by D. Bacon),41,45
168,2,6:10.0,L. James makes 2-pt dunk from 1 ft (assist by J. Smith),,43,45
169,2,5:52.0,,M. Monk misses 3-pt jump shot from 30 ft,43,45
170,2,5:50.0,Defensive rebound by Team,,43,45
171,2,5:50.0,J. Green enters the game for C. Osman,,43,45
172,2,5:26.0,L. James makes 2-pt layup from 1 ft,,45,45
173,2,5:14.0,,M. Monk makes 2-pt jump shot from 18 ft,45,47
174,2,4:55.0,Shooting foul by M. Monk (drawn by J. Green),,45,47
175,2,4:55.0,J. Green makes free throw 1 of 2,,46,47
176,2,4:55.0,,K. Walker enters the game for M. Monk,46,47
177,2,4:55.0,,N. Batum enters the game for J. Lamb,46,47
178,2,4:55.0,,D. Howard enters the game for F. Kaminsky,46,47
179,2,4:55.0,T. Thompson enters the game for J. Smith,,46,47
180,2,4:55.0,J. Green makes free throw 2 of 2,,47,47
181,2,4:39.0,,D. Bacon misses 3-pt jump shot from 27 ft,47,47
