,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MILWAUKEE_ACTION,MINNESOTA_SCORE,MILWAUKEE_SCORE
0,1,11:36.0,,K. Middleton misses 2-pt jump shot from 11 ft,0,0
1,1,11:33.0,Defensive rebound by A. Wiggins,,0,0
2,1,11:19.0,K. Towns makes 3-pt jump shot from 23 ft (assist by T. Jones),,3,0
3,1,11:01.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),3,2
4,1,10:45.0,J. Butler makes 2-pt jump shot from 20 ft,,5,2
5,1,10:31.0,,G. Antetokounmpo makes 2-pt jump shot from 11 ft,5,4
6,1,10:05.0,A. Wiggins misses 2-pt jump shot from 16 ft,,5,4
7,1,10:05.0,,Defensive rebound by Team,5,4
8,1,10:05.0,,S. Brown enters the game for J. Henson,5,4
9,1,10:05.0,,T. Maker enters the game for T. Snell,5,4
10,1,9:46.0,,Turnover by E. Bledsoe (bad pass; steal by J. Butler),5,4
11,1,9:41.0,J. Butler misses 3-pt jump shot from 27 ft,,5,4
12,1,9:37.0,,Defensive rebound by T. Maker,5,4
13,1,9:30.0,,Turnover by K. Middleton (lost ball; steal by T. Jones),5,4
14,1,9:26.0,T. Jones makes 2-pt layup from 1 ft,,7,4
15,1,9:17.0,,T. Maker misses 2-pt jump shot from 15 ft,7,4
16,1,9:12.0,Defensive rebound by T. Gibson,,7,4
17,1,9:01.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Towns),,10,4
18,1,8:58.0,,Milwaukee full timeout,10,4
19,1,8:58.0,,M. Dellavedova enters the game for E. Bledsoe,10,4
20,1,8:36.0,,Turnover by G. Antetokounmpo (bad pass; steal by T. Jones),10,4
21,1,8:19.0,T. Gibson misses 3-pt jump shot from 22 ft,,10,4
22,1,8:16.0,,Defensive rebound by G. Antetokounmpo,10,4
23,1,8:11.0,,K. Middleton misses 3-pt jump shot from 26 ft,10,4
24,1,8:11.0,Defensive rebound by T. Jones,,10,4
25,1,7:59.0,K. Towns makes 3-pt jump shot from 28 ft (assist by T. Jones),,13,4
26,1,7:33.0,,M. Dellavedova makes 2-pt jump shot from 4 ft,13,6
27,1,7:13.0,K. Towns makes 2-pt layup from 1 ft (assist by A. Wiggins),,15,6
28,1,6:59.0,,Turnover by M. Dellavedova (lost ball; steal by T. Jones),15,6
29,1,6:43.0,A. Wiggins makes 2-pt jump shot from 18 ft,,17,6
30,1,6:29.0,,G. Antetokounmpo misses 2-pt layup at rim,17,6
31,1,6:27.0,Defensive rebound by T. Gibson,,17,6
32,1,6:14.0,J. Butler misses 2-pt jump shot from 12 ft,,17,6
33,1,6:14.0,Offensive rebound by Team,,17,6
34,1,6:14.0,,Loose ball foul by M. Dellavedova (drawn by K. Towns),17,6
35,1,5:59.0,T. Jones misses 2-pt jump shot from 7 ft,,17,6
36,1,5:56.0,Offensive rebound by K. Towns,,17,6
37,1,5:46.0,Shooting foul by S. Brown (drawn by J. Butler),,17,6
38,1,5:46.0,J. Butler makes free throw 1 of 2,,18,6
39,1,5:46.0,J. Butler makes free throw 2 of 2,,19,6
40,1,5:37.0,,Turnover by K. Middleton (bad pass; steal by A. Wiggins),19,6
41,1,5:37.0,Personal foul by K. Middleton (drawn by A. Wiggins),,19,6
42,1,5:20.0,Offensive foul by K. Towns (drawn by T. Maker),,19,6
43,1,5:20.0,Turnover by K. Towns (offensive foul),,19,6
44,1,5:03.0,,S. Brown misses 2-pt layup from 2 ft (block by K. Towns),19,6
45,1,5:01.0,Defensive rebound by J. Butler,,19,6
46,1,5:01.0,Technical foul by K. Towns,,19,6
47,1,5:01.0,,K. Middleton makes technical free throw,19,7
48,1,5:01.0,G. Dieng enters the game for K. Towns,,19,7
49,1,4:54.0,Turnover by J. Butler (bad pass),,19,7
50,1,4:47.0,,G. Antetokounmpo misses 2-pt jump shot from 20 ft,19,7
51,1,4:44.0,Defensive rebound by A. Wiggins,,19,7
52,1,4:32.0,A. Wiggins misses 2-pt jump shot from 6 ft,,19,7
53,1,4:30.0,,Defensive rebound by K. Middleton,19,7
54,1,4:28.0,,Personal foul by J. Butler (drawn by M. Dellavedova),19,7
55,1,4:11.0,,G. Antetokounmpo misses 3-pt jump shot from 22 ft,19,7
56,1,4:08.0,Defensive rebound by G. Dieng,,19,7
57,1,3:56.0,Shooting foul by T. Maker (drawn by J. Butler),,19,7
58,1,3:56.0,J. Butler makes free throw 1 of 2,,20,7
59,1,3:56.0,J. Butler makes free throw 2 of 2,,21,7
60,1,3:47.0,,Shooting foul by G. Dieng (drawn by S. Brown),21,7
61,1,3:47.0,,S. Brown makes free throw 1 of 2,21,8
62,1,3:47.0,,E. Bledsoe enters the game for M. Dellavedova,21,8
63,1,3:47.0,,J. Terry enters the game for K. Middleton,21,8
64,1,3:47.0,J. Crawford enters the game for T. Jones,,21,8
65,1,3:47.0,,S. Brown misses free throw 2 of 2,21,8
66,1,3:41.0,,Offensive rebound by T. Maker,21,8
67,1,3:40.0,,J. Terry misses 3-pt jump shot from 27 ft,21,8
68,1,3:37.0,,Offensive rebound by T. Maker,21,8
69,1,3:31.0,,E. Bledsoe misses 3-pt jump shot from 22 ft,21,8
70,1,3:28.0,Defensive rebound by G. Dieng,,21,8
71,1,3:08.0,J. Crawford misses 3-pt jump shot from 29 ft,,21,8
72,1,3:07.0,Offensive rebound by Team,,21,8
73,1,3:07.0,Turnover by Team (shot clock),,21,8
74,1,2:59.0,,Turnover by G. Antetokounmpo (bad pass),21,8
75,1,2:59.0,Minnesota full timeout,,21,8
76,1,2:59.0,,J. Henson enters the game for T. Maker,21,8
77,1,2:59.0,,T. Snell enters the game for S. Brown,21,8
78,1,2:44.0,J. Crawford misses 3-pt jump shot from 24 ft,,21,8
79,1,2:41.0,,Defensive rebound by Team,21,8
80,1,2:23.0,,E. Bledsoe misses 2-pt jump shot from 14 ft,21,8
81,1,2:21.0,Defensive rebound by A. Wiggins,,21,8
82,1,2:05.0,Turnover by T. Gibson (bad pass; steal by J. Terry),,21,8
83,1,1:59.0,,J. Terry makes 2-pt layup at rim (assist by E. Bledsoe),21,10
84,1,1:44.0,Shooting foul by E. Bledsoe (drawn by A. Wiggins),,21,10
85,1,1:44.0,A. Wiggins misses free throw 1 of 2,,21,10
86,1,1:44.0,Offensive rebound by Team,,21,10
87,1,1:44.0,N. Bjelica enters the game for T. Gibson,,21,10
88,1,1:44.0,A. Wiggins makes free throw 2 of 2,,22,10
89,1,1:29.0,,G. Antetokounmpo makes 2-pt jump shot from 9 ft,22,12
90,1,1:12.0,Personal foul by E. Bledsoe (drawn by A. Wiggins),,22,12
91,1,1:12.0,A. Wiggins misses free throw 1 of 2,,22,12
92,1,1:12.0,Offensive rebound by Team,,22,12
93,1,1:12.0,A. Wiggins makes free throw 2 of 2,,23,12
94,1,1:02.0,,E. Bledsoe misses 2-pt layup from 1 ft,23,12
95,1,1:00.0,Defensive rebound by G. Dieng,,23,12
96,1,0:52.0,A. Wiggins misses 2-pt jump shot from 15 ft,,23,12
97,1,0:52.0,,Defensive rebound by J. Henson,23,12
98,1,0:37.0,,J. Henson makes 2-pt layup at rim (assist by T. Snell),23,14
99,1,0:15.0,A. Wiggins makes 3-pt jump shot from 22 ft (assist by J. Crawford),,26,14
100,1,0:06.0,,Personal take foul by A. Wiggins (drawn by E. Bledsoe),26,14
101,1,0:06.0,M. Georges-Hunt enters the game for A. Wiggins,,26,14
102,1,0:00.0,,E. Bledsoe misses 2-pt layup from 1 ft,26,14
103,1,0:00.0,,Offensive rebound by G. Antetokounmpo,26,14
104,1,0:00.0,,G. Antetokounmpo makes 2-pt dunk at rim,26,16
105,2,11:48.0,Personal foul by J. Terry (drawn by J. Crawford),,26,16
106,2,11:41.0,Def 3 sec tech foul by E. Bledsoe,,26,16
107,2,11:41.0,J. Butler makes technical free throw,,27,16
108,2,11:30.0,J. Crawford makes 2-pt jump shot from 15 ft,,29,16
109,2,11:08.0,,Shooting foul by N. Bjelica (drawn by E. Bledsoe),29,16
110,2,11:08.0,,E. Bledsoe makes free throw 1 of 2,29,17
111,2,11:08.0,A. Brooks enters the game for M. Georges-Hunt,,29,17
112,2,11:08.0,K. Towns enters the game for J. Butler,,29,17
113,2,11:08.0,,E. Bledsoe makes free throw 2 of 2,29,18
114,2,10:51.0,J. Crawford makes 2-pt layup at rim,,31,18
115,2,10:38.0,,T. Snell makes 2-pt layup at rim,31,20
116,2,10:21.0,A. Brooks makes 2-pt hook shot from 6 ft,,33,20
117,2,10:18.0,,Turnover by J. Terry (bad pass),33,20
118,2,10:05.0,Turnover by N. Bjelica (bad pass; steal by E. Bledsoe),,33,20
119,2,10:00.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),33,23
120,2,10:00.0,,Shooting foul by K. Towns (drawn by K. Middleton),33,23
121,2,10:00.0,,K. Middleton makes free throw 1 of 1,33,24
122,2,9:48.0,,Personal foul by A. Brooks (drawn by E. Bledsoe),33,24
123,2,9:47.0,Turnover by A. Brooks (lost ball; steal by E. Bledsoe),,33,24
124,2,9:35.0,,K. Middleton makes 2-pt hook shot from 6 ft (assist by J. Terry),33,26
125,2,9:14.0,A. Brooks makes 2-pt jump shot from 12 ft (assist by K. Towns),,35,26
126,2,9:07.0,,K. Middleton makes 2-pt layup from 1 ft (assist by J. Terry),35,28
127,2,8:53.0,Turnover by J. Crawford (bad pass; steal by E. Bledsoe),,35,28
128,2,8:49.0,,E. Bledsoe makes 2-pt dunk at rim,35,30
129,2,8:40.0,Minnesota full timeout,,35,30
