,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
0,1,11:37.0,A. Davis makes 2-pt layup from 2 ft (assist by R. Rondo),,2,0
1,1,11:19.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),2,2
2,1,11:01.0,A. Davis makes 2-pt jump shot from 15 ft (assist by N. Mirotić),,4,2
3,1,10:44.0,,K. Thompson misses 2-pt jump shot from 10 ft,4,2
4,1,10:42.0,Defensive rebound by R. Rondo,,4,2
5,1,10:32.0,R. Rondo misses 3-pt jump shot from 24 ft,,4,2
6,1,10:31.0,,Defensive rebound by K. Durant,4,2
7,1,10:21.0,,K. Thompson makes 2-pt jump shot from 21 ft (assist by A. Iguodala),4,4
8,1,10:10.0,J. Holiday misses 2-pt jump shot from 4 ft (block by K. Durant),,4,4
9,1,10:08.0,,Defensive rebound by D. Green,4,4
10,1,10:02.0,,Shooting foul by J. Holiday (drawn by A. Iguodala),4,4
11,1,10:02.0,,A. Iguodala makes free throw 1 of 2,4,5
12,1,10:02.0,,A. Iguodala makes free throw 2 of 2,4,6
13,1,9:56.0,R. Rondo makes 2-pt layup from 2 ft,,6,6
14,1,9:47.0,,K. Thompson misses 2-pt jump shot from 15 ft,6,6
15,1,9:45.0,Defensive rebound by N. Mirotić,,6,6
16,1,9:36.0,E. Moore makes 2-pt layup at rim (assist by R. Rondo),,8,6
17,1,9:14.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Thompson),8,8
18,1,9:07.0,N. Mirotić misses 3-pt jump shot from 24 ft,,8,8
19,1,9:05.0,,Defensive rebound by D. Green,8,8
20,1,9:00.0,,K. Durant misses 3-pt jump shot from 27 ft,8,8
21,1,8:58.0,Defensive rebound by N. Mirotić,,8,8
22,1,8:53.0,Turnover by R. Rondo (bad pass; steal by D. Green),,8,8
23,1,8:48.0,,K. Durant makes 2-pt jump shot from 13 ft,8,10
24,1,8:43.0,,K. Durant makes technical free throw,8,11
25,1,8:37.0,A. Davis misses 2-pt jump shot from 16 ft,,8,11
26,1,8:35.0,,Defensive rebound by K. Durant,8,11
27,1,8:28.0,,K. Durant misses 2-pt jump shot from 19 ft,8,11
28,1,8:26.0,Defensive rebound by R. Rondo,,8,11
29,1,8:12.0,R. Rondo makes 2-pt jump shot from 14 ft,,10,11
30,1,7:51.0,,K. Thompson misses 2-pt layup from 2 ft,10,11
31,1,7:50.0,,Offensive rebound by D. Green,10,11
32,1,7:50.0,,D. Green misses 2-pt layup at rim,10,11
33,1,7:48.0,Defensive rebound by R. Rondo,,10,11
34,1,7:44.0,E. Moore makes 2-pt layup from 1 ft (assist by J. Holiday),,12,11
35,1,7:31.0,,Turnover by K. Durant (bad pass; steal by A. Davis),12,11
36,1,7:27.0,Turnover by N. Mirotić (out of bounds lost ball),,12,11
37,1,7:15.0,,N. Young makes 3-pt jump shot from 25 ft (assist by K. Durant),12,14
38,1,6:59.0,E. Moore makes 2-pt jump shot from 17 ft,,14,14
39,1,6:44.0,,Golden State full timeout,14,14
40,1,6:36.0,,K. Durant makes 2-pt layup from 2 ft (assist by D. Green),14,16
41,1,6:17.0,A. Davis makes 2-pt dunk from 1 ft (assist by R. Rondo),,16,16
42,1,5:58.0,,K. Durant misses 2-pt jump shot from 9 ft,16,16
43,1,5:56.0,,Offensive rebound by D. Green,16,16
44,1,5:56.0,,D. Green misses 2-pt layup at rim (block by A. Davis),16,16
45,1,5:55.0,,Offensive rebound by K. Durant,16,16
46,1,5:55.0,,K. Durant misses 2-pt layup at rim,16,16
47,1,5:54.0,,Offensive rebound by K. Durant,16,16
48,1,5:52.0,,K. Durant misses 2-pt layup at rim,16,16
49,1,5:52.0,Defensive rebound by A. Davis,,16,16
50,1,5:45.0,A. Davis makes 2-pt layup from 2 ft (assist by R. Rondo),,18,16
51,1,5:26.0,,K. Thompson misses 2-pt jump shot from 12 ft,18,16
52,1,5:25.0,Defensive rebound by A. Davis,,18,16
53,1,5:25.0,Personal foul by N. Young (drawn by A. Davis),,18,16
54,1,5:25.0,,K. Looney enters the game for N. Young,18,16
55,1,5:25.0,S. Hill enters the game for N. Mirotić,,18,16
56,1,5:05.0,S. Hill misses 3-pt jump shot from 22 ft,,18,16
57,1,5:03.0,,Defensive rebound by K. Thompson,18,16
58,1,4:52.0,,A. Iguodala misses 3-pt jump shot from 25 ft,18,16
59,1,4:50.0,Defensive rebound by E. Moore,,18,16
60,1,4:41.0,E. Moore makes 3-pt jump shot from 25 ft (assist by R. Rondo),,21,16
61,1,4:29.0,,Personal foul by E. Moore (drawn by D. Green),21,16
62,1,4:29.0,,S. Livingston enters the game for A. Iguodala,21,16
63,1,4:29.0,I. Clark enters the game for R. Rondo,,21,16
64,1,4:21.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),21,18
65,1,4:21.0,,Shooting foul by S. Hill (drawn by K. Thompson),21,18
66,1,4:21.0,,K. Thompson makes free throw 1 of 1,21,19
