,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHOENIX_ACTION,MIAMI_SCORE,PHOENIX_SCORE
0,1,11:44.0,J. Winslow makes 2-pt layup at rim,,2,0
1,1,11:20.0,,M. Chriss misses 2-pt jump shot from 8 ft,2,0
2,1,11:16.0,Defensive rebound by J. Richardson,,2,0
3,1,11:03.0,D. Waiters misses 2-pt jump shot from 17 ft,,2,0
4,1,11:03.0,H. Whiteside makes 2-pt dunk from 1 ft,,4,0
5,1,10:56.0,Offensive rebound by H. Whiteside,,4,0
6,1,10:43.0,,D. Booker misses 2-pt jump shot from 13 ft,4,0
7,1,10:39.0,Defensive rebound by H. Whiteside,,4,0
8,1,10:37.0,Personal foul by T. Warren (drawn by D. Waiters),,4,0
9,1,10:29.0,J. Richardson makes 2-pt layup at rim (assist by D. Waiters),,6,0
10,1,10:24.0,,Shooting foul by J. Richardson (drawn by D. Booker),6,0
11,1,10:24.0,,D. Booker makes free throw 1 of 2,6,1
12,1,10:24.0,,D. Booker makes free throw 2 of 2,6,2
13,1,10:13.0,J. Winslow misses 2-pt jump shot from 8 ft,,6,2
14,1,10:11.0,,Defensive rebound by T. Warren,6,2
15,1,10:03.0,,A. Len misses 2-pt jump shot from 17 ft,6,2
16,1,10:01.0,Defensive rebound by J. Richardson,,6,2
17,1,9:54.0,J. Richardson misses 3-pt jump shot from 24 ft,,6,2
18,1,9:50.0,,Defensive rebound by M. James,6,2
19,1,9:46.0,,D. Booker misses 2-pt jump shot from 8 ft,6,2
20,1,9:43.0,Defensive rebound by J. Richardson,,6,2
21,1,9:26.0,H. Whiteside makes 2-pt layup from 3 ft,,8,2
22,1,9:16.0,,Turnover by M. Chriss (lost ball; steal by J. Winslow),8,2
23,1,9:11.0,,Phoenix full timeout,8,2
24,1,9:10.0,G. Dragić makes 2-pt layup at rim (assist by J. Winslow),,10,2
25,1,8:55.0,,M. Chriss misses 3-pt jump shot from 22 ft,10,2
26,1,8:52.0,Defensive rebound by D. Waiters,,10,2
27,1,8:45.0,Turnover by H. Whiteside (turnover),,10,2
28,1,8:35.0,,Turnover by A. Len (bad pass; steal by J. Richardson),10,2
29,1,8:30.0,Shooting foul by M. Chriss (drawn by H. Whiteside),,10,2
30,1,8:30.0,H. Whiteside makes free throw 1 of 2,,11,2
