,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHICAGO_ACTION,LA LAKERS_SCORE,CHICAGO_SCORE
0,1,11:40.0,Turnover by J. Randle (lost ball; steal by J. Grant),,0,0
1,1,11:25.0,,J. Grant misses 2-pt jump shot from 10 ft,0,0
2,1,11:22.0,Defensive rebound by B. Ingram,,0,0
3,1,11:21.0,Personal foul by L. Markkanen (drawn by B. Lopez),,0,0
4,1,11:13.0,J. Randle misses 2-pt layup from 2 ft (block by L. Markkanen),,0,0
5,1,11:07.0,,Defensive rebound by J. Holiday,0,0
6,1,11:02.0,,Turnover by R. Lopez (bad pass),0,0
7,1,10:52.0,B. Lopez misses 3-pt jump shot from 25 ft,,0,0
8,1,10:48.0,,Defensive rebound by L. Markkanen,0,0
9,1,10:32.0,,J. Grant misses 2-pt jump shot from 13 ft,0,0
10,1,10:28.0,,Offensive rebound by R. Lopez,0,0
11,1,10:25.0,,Z. LaVine misses 2-pt jump shot from 22 ft,0,0
12,1,10:21.0,Defensive rebound by K. Caldwell-Pope,,0,0
13,1,10:15.0,B. Ingram misses 2-pt jump shot from 21 ft,,0,0
14,1,10:12.0,,Defensive rebound by Z. LaVine,0,0
15,1,10:07.0,,Z. LaVine makes 3-pt jump shot from 24 ft,0,3
16,1,9:56.0,B. Ingram misses 3-pt jump shot from 22 ft,,0,3
17,1,9:46.0,Offensive rebound by K. Caldwell-Pope,,0,3
18,1,9:46.0,K. Caldwell-Pope makes 2-pt layup at rim,,2,3
19,1,9:36.0,,L. Markkanen misses 2-pt layup from 2 ft,2,3
20,1,9:35.0,,Offensive rebound by R. Lopez,2,3
21,1,9:35.0,,R. Lopez misses 2-pt layup from 1 ft,2,3
22,1,9:35.0,Defensive rebound by Team,,2,3
23,1,9:10.0,T. Ennis makes 2-pt layup from 1 ft (assist by B. Lopez),,4,3
24,1,8:59.0,,R. Lopez misses 2-pt jump shot from 5 ft,4,3
25,1,8:57.0,Defensive rebound by B. Lopez,,4,3
26,1,8:51.0,B. Ingram makes 2-pt dunk from 1 ft (assist by T. Ennis),,6,3
27,1,8:41.0,,Shooting foul by B. Ingram (drawn by J. Holiday),6,3
28,1,8:41.0,,J. Holiday misses free throw 1 of 2,6,3
29,1,8:41.0,,Offensive rebound by Team,6,3
30,1,8:41.0,,J. Holiday misses free throw 2 of 2,6,3
31,1,8:38.0,Defensive rebound by B. Lopez,,6,3
32,1,8:32.0,B. Ingram misses 2-pt layup from 1 ft,,6,3
33,1,8:30.0,,Defensive rebound by J. Holiday,6,3
