,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,OKLAHOMA CITY_ACTION,GOLDEN STATE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,,S. Adams makes 2-pt jump shot from 6 ft (assist by R. Westbrook),0,2
1,1,11:24.0,S. Curry misses 3-pt jump shot from 24 ft,,0,2
2,1,11:21.0,Offensive rebound by K. Thompson,,0,2
3,1,11:17.0,K. Durant makes 3-pt jump shot from 25 ft (assist by D. Green),,3,2
4,1,10:54.0,,S. Adams misses 2-pt jump shot from 8 ft,3,2
5,1,10:52.0,Defensive rebound by K. Durant,,3,2
6,1,10:47.0,K. Durant misses 2-pt jump shot from 15 ft,,3,2
7,1,10:42.0,Offensive rebound by Z. Pachulia,,3,2
8,1,10:42.0,Z. Pachulia misses 2-pt layup at rim,,3,2
9,1,10:42.0,Offensive rebound by Team,,3,2
10,1,10:32.0,K. Thompson makes 3-pt jump shot from 32 ft (assist by D. Green),,6,2
11,1,10:10.0,,R. Westbrook makes 2-pt jump shot from 19 ft (assist by A. Roberson),6,4
12,1,9:53.0,K. Thompson misses 2-pt jump shot from 8 ft,,6,4
13,1,9:51.0,,Defensive rebound by S. Adams,6,4
14,1,9:41.0,,R. Westbrook misses 2-pt layup from 1 ft,6,4
15,1,9:39.0,Defensive rebound by K. Thompson,,6,4
16,1,9:23.0,D. Green misses 3-pt jump shot from 26 ft,,6,4
17,1,9:21.0,,Defensive rebound by C. Anthony,6,4
18,1,9:13.0,,C. Anthony misses 2-pt layup from 2 ft,6,4
19,1,9:11.0,Defensive rebound by Z. Pachulia,,6,4
20,1,9:05.0,K. Thompson misses 3-pt jump shot from 23 ft,,6,4
21,1,9:03.0,,Defensive rebound by Team,6,4
22,1,8:52.0,,P. George misses 2-pt jump shot from 12 ft,6,4
23,1,8:50.0,Defensive rebound by K. Durant,,6,4
24,1,8:39.0,Turnover by K. Thompson (bad pass; steal by S. Adams),,6,4
25,1,8:35.0,,Turnover by S. Adams (bad pass; steal by S. Curry),6,4
26,1,8:32.0,S. Curry misses 2-pt jump shot from 16 ft,,6,4
27,1,8:30.0,,Defensive rebound by S. Adams,6,4
28,1,8:23.0,,S. Adams misses 2-pt jump shot from 8 ft,6,4
29,1,8:19.0,,Offensive rebound by S. Adams,6,4
30,1,8:19.0,,Shooting foul by K. Durant (drawn by S. Adams),6,4
31,1,8:19.0,,S. Adams misses free throw 1 of 2,6,4
32,1,8:19.0,,Offensive rebound by Team,6,4
33,1,8:19.0,,S. Adams misses free throw 2 of 2,6,4
34,1,8:19.0,Violation by K. Durant (lane),,6,4
35,1,8:17.0,Offensive rebound by D. Green,,6,4
36,1,7:55.0,Turnover by K. Durant (bad pass; steal by S. Adams),,6,4
37,1,7:45.0,,S. Adams misses 2-pt hook shot from 8 ft (block by K. Thompson),6,4
