,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SACRAMENTO_ACTION,OKLAHOMA CITY_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,P. George misses 2-pt jump shot from 16 ft,,0,0
1,1,11:41.0,,Defensive rebound by Z. Randolph,0,0
2,1,11:30.0,,Personal block foul by J. Huestis (drawn by W. Cauley-Stein),0,0
3,1,11:20.0,,Turnover by B. Bogdanović (bad pass; steal by S. Adams),0,0
4,1,11:17.0,R. Westbrook makes 2-pt layup from 2 ft (assist by P. George),,2,0
5,1,11:06.0,,G. Temple misses 2-pt jump shot from 15 ft,2,0
6,1,11:03.0,Defensive rebound by S. Adams,,2,0
7,1,10:54.0,Turnover by S. Adams (lost ball; steal by G. Temple),,2,0
8,1,10:39.0,,Turnover by Z. Randolph (bad pass; steal by R. Westbrook),2,0
9,1,10:33.0,S. Adams makes 2-pt hook shot from 7 ft (assist by P. George),,4,0
10,1,10:21.0,,J. Jackson misses 2-pt jump shot from 17 ft,4,0
11,1,10:18.0,Defensive rebound by R. Westbrook,,4,0
12,1,10:15.0,S. Adams makes 2-pt dunk at rim (assist by P. George),,6,0
13,1,9:55.0,,Z. Randolph makes 3-pt jump shot from 25 ft (assist by G. Temple),6,3
14,1,9:43.0,P. George makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,9,3
15,1,9:34.0,,Turnover by B. Bogdanović (out of bounds lost ball),9,3
16,1,9:23.0,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,12,3
17,1,9:01.0,,Z. Randolph makes 2-pt jump shot from 4 ft,12,5
18,1,9:01.0,,Shooting foul by R. Westbrook (drawn by Z. Randolph),12,5
19,1,9:01.0,,Z. Randolph makes free throw 1 of 1,12,6
20,1,8:52.0,Turnover by R. Westbrook (bad pass; steal by W. Cauley-Stein),,12,6
21,1,8:34.0,,J. Jackson misses 2-pt jump shot from 5 ft (block by J. Huestis),12,6
22,1,8:31.0,Defensive rebound by R. Westbrook,,12,6
23,1,8:27.0,R. Westbrook misses 2-pt jump shot from 17 ft,,12,6
24,1,8:26.0,Offensive rebound by Team,,12,6
25,1,8:26.0,,Loose ball foul by W. Cauley-Stein (drawn by S. Adams),12,6
26,1,8:21.0,Shooting foul by J. Jackson (drawn by P. George),,12,6
27,1,8:21.0,P. George makes free throw 1 of 2,,13,6
28,1,8:21.0,P. George makes free throw 2 of 2,,14,6
29,1,8:04.0,,G. Temple misses 3-pt jump shot from 25 ft,14,6
30,1,8:00.0,,Offensive rebound by Z. Randolph,14,6
31,1,7:58.0,,Z. Randolph misses 2-pt layup from 2 ft,14,6
32,1,7:58.0,,Offensive rebound by Z. Randolph,14,6
33,1,7:56.0,,Z. Randolph makes 2-pt layup from 2 ft,14,8
