,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,Turnover by D. Cousins (lost ball; steal by D. Fox),0,0
1,1,11:31.0,D. Fox makes 3-pt jump shot from 26 ft (assist by G. Hill),,3,0
2,1,11:14.0,,D. Cousins misses 2-pt jump shot from 16 ft,3,0
3,1,11:10.0,Defensive rebound by Z. Randolph,,3,0
4,1,10:56.0,Z. Randolph misses 2-pt jump shot from 7 ft,,3,0
5,1,10:52.0,,Defensive rebound by A. Davis,3,0
6,1,10:48.0,,E. Moore makes 2-pt layup at rim (assist by A. Davis),3,2
7,1,10:23.0,Turnover by J. Sampson (turnover),,3,2
8,1,10:06.0,,I. Clark misses 2-pt jump shot from 7 ft,3,2
9,1,10:03.0,Defensive rebound by Z. Randolph,,3,2
10,1,9:58.0,D. Fox misses 2-pt layup from 1 ft,,3,2
11,1,9:58.0,,Defensive rebound by E. Moore,3,2
12,1,9:51.0,,I. Clark makes 3-pt jump shot from 23 ft (assist by D. Cousins),3,5
13,1,9:27.0,G. Temple misses 2-pt jump shot from 20 ft,,3,5
14,1,9:23.0,Offensive rebound by Z. Randolph,,3,5
15,1,9:21.0,Z. Randolph makes 2-pt layup from 2 ft,,5,5
16,1,9:14.0,,Personal foul by J. Sampson (drawn by A. Davis),5,5
17,1,9:10.0,,Turnover by D. Cousins (bad pass),5,5
18,1,8:59.0,G. Hill misses 3-pt jump shot from 26 ft,,5,5
19,1,8:54.0,Offensive rebound by Z. Randolph,,5,5
20,1,8:47.0,Z. Randolph makes 2-pt hook shot from 5 ft,,7,5
21,1,8:34.0,,J. Holiday misses 2-pt jump shot from 8 ft,7,5
22,1,8:32.0,Defensive rebound by G. Temple,,7,5
23,1,8:17.0,Z. Randolph makes 3-pt jump shot from 25 ft (assist by D. Fox),,10,5
24,1,8:07.0,,D. Cousins makes 2-pt layup from 1 ft,10,7
25,1,8:07.0,,Shooting foul by J. Sampson (drawn by D. Cousins),10,7
26,1,8:07.0,,D. Cousins makes free throw 1 of 1,10,8
27,1,7:55.0,Z. Randolph makes 2-pt jump shot from 16 ft (assist by G. Hill),,12,8
28,1,7:43.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by I. Clark),12,10
29,1,7:20.0,G. Temple misses 2-pt jump shot from 5 ft,,12,10
30,1,7:16.0,Offensive rebound by J. Sampson,,12,10
31,1,7:16.0,K. Koufos enters the game for J. Sampson,,12,10
32,1,7:05.0,Z. Randolph misses 2-pt layup from 2 ft,,12,10
33,1,7:04.0,Offensive rebound by K. Koufos,,12,10
34,1,7:04.0,Shooting foul by E. Moore (drawn by K. Koufos),,12,10
35,1,7:04.0,K. Koufos misses free throw 1 of 2,,12,10
36,1,7:04.0,Offensive rebound by Team,,12,10
37,1,7:04.0,K. Koufos misses free throw 2 of 2,,12,10
38,1,7:02.0,,Defensive rebound by D. Cousins,12,10
39,1,6:57.0,,E. Moore makes 2-pt layup at rim (assist by D. Cousins),12,12
40,1,6:31.0,G. Temple misses 3-pt jump shot from 43 ft,,12,12
41,1,6:30.0,Offensive rebound by Team,,12,12
42,1,6:30.0,Turnover by Team (shot clock),,12,12
43,1,6:30.0,,New Orleans full timeout,12,12
44,1,6:18.0,,Shooting foul by K. Koufos (drawn by A. Davis),12,12
45,1,6:18.0,,A. Davis makes free throw 1 of 2,12,13
46,1,6:18.0,,D. Miller enters the game for E. Moore,12,13
47,1,6:18.0,,A. Davis makes free throw 2 of 2,12,14
48,1,5:59.0,G. Hill makes 2-pt jump shot from 5 ft,,14,14
49,1,5:48.0,,Turnover by J. Holiday (bad pass; steal by G. Hill),14,14
50,1,5:47.0,Turnover by G. Hill (bad pass),,14,14
51,1,5:47.0,,D. Cunningham enters the game for A. Davis,14,14
52,1,5:39.0,,Turnover by D. Cousins (bad pass; steal by Z. Randolph),14,14
53,1,5:26.0,K. Koufos makes 2-pt hook shot from 5 ft (assist by Z. Randolph),,16,14
54,1,5:11.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by I. Clark),16,17
55,1,4:53.0,Personal foul by I. Clark (drawn by G. Temple),,16,17
56,1,4:53.0,B. Bogdanović enters the game for G. Hill,,16,17
57,1,4:40.0,Z. Randolph makes 2-pt hook shot from 5 ft,,18,17
58,1,4:30.0,,Turnover by J. Holiday (bad pass; steal by K. Koufos),18,17
59,1,4:21.0,D. Fox misses 3-pt jump shot from 26 ft,,18,17
60,1,4:18.0,,Defensive rebound by I. Clark,18,17
61,1,4:14.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Holiday),18,20
62,1,3:51.0,Turnover by G. Temple (bad pass; steal by D. Cousins),,18,20
63,1,3:45.0,,D. Cousins makes 2-pt dunk at rim,18,22
64,1,3:45.0,,Shooting foul by G. Temple (drawn by D. Cousins),18,22
65,1,3:45.0,V. Carter enters the game for Z. Randolph,,18,22
66,1,3:45.0,,D. Cousins makes free throw 1 of 1,18,23
67,1,3:41.0,Sacramento full timeout,,18,23
68,1,3:41.0,,Ö. Aşık enters the game for D. Cousins,18,23
69,1,3:41.0,,J. Nelson enters the game for I. Clark,18,23
70,1,3:41.0,B. Hield enters the game for G. Temple,,18,23
71,1,3:34.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,18,23
72,1,3:30.0,,Defensive rebound by Ö. Aşık,18,23
73,1,3:24.0,,D. Miller misses 3-pt jump shot from 25 ft,18,23
74,1,3:18.0,Defensive rebound by K. Koufos,,18,23
75,1,3:08.0,B. Hield misses 2-pt jump shot from 6 ft,,18,23
