,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
0,1,11:38.0,D. Brooks makes 2-pt hook shot from 9 ft,,2,0
1,1,11:20.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by K. Bazemore),2,2
2,1,11:08.0,Turnover by A. Harrison (bad pass; steal by K. Bazemore),,2,2
3,1,11:02.0,,T. Prince misses 3-pt jump shot from 24 ft,2,2
4,1,10:59.0,,Offensive rebound by T. Prince,2,2
5,1,10:57.0,,T. Prince misses 3-pt jump shot from 22 ft,2,2
6,1,10:55.0,,Offensive rebound by M. Plumlee,2,2
7,1,10:55.0,,M. Plumlee makes 2-pt dunk at rim,2,4
8,1,10:55.0,Memphis full timeout,,2,4
9,1,10:43.0,D. Brooks misses 3-pt jump shot from 25 ft,,2,4
10,1,10:39.0,Offensive rebound by J. Green,,2,4
11,1,10:38.0,J. Green misses 2-pt layup at rim,,2,4
12,1,10:37.0,,Defensive rebound by M. Plumlee,2,4
13,1,10:33.0,,M. Plumlee misses 2-pt hook shot from 4 ft,2,4
14,1,10:28.0,Defensive rebound by J. Green,,2,4
15,1,10:21.0,J. Green misses 2-pt jump shot from 17 ft,,2,4
16,1,10:18.0,,Defensive rebound by D. Schröder,2,4
17,1,10:02.0,,Personal foul by M. Gasol (drawn by D. Schröder),2,4
18,1,9:57.0,,E. İlyasova misses 3-pt jump shot from 24 ft,2,4
19,1,9:53.0,Defensive rebound by A. Harrison,,2,4
20,1,9:44.0,M. Gasol makes 2-pt hook shot from 5 ft,,4,4
21,1,9:44.0,,Violation by M. Plumlee (def goaltending),4,4
22,1,9:33.0,,D. Schröder makes 2-pt jump shot from 16 ft (assist by M. Plumlee),4,6
23,1,9:19.0,Turnover by M. Gasol (bad pass),,4,6
24,1,9:02.0,,K. Bazemore misses 2-pt jump shot from 19 ft,4,6
25,1,8:59.0,Defensive rebound by J. Green,,4,6
26,1,8:49.0,J. Green makes 2-pt jump shot from 17 ft (assist by D. Brooks),,6,6
27,1,8:37.0,,D. Schröder misses 2-pt jump shot from 13 ft,6,6
28,1,8:34.0,Defensive rebound by J. Green,,6,6
29,1,8:18.0,Turnover by A. Harrison (traveling),,6,6
30,1,8:18.0,M. Chalmers enters the game for A. Harrison,,6,6
31,1,8:05.0,,Turnover by M. Plumlee (lost ball; steal by W. Selden),6,6
32,1,8:03.0,Turnover by W. Selden (lost ball; steal by M. Plumlee),,6,6
33,1,8:03.0,,Turnover by M. Plumlee (traveling),6,6
34,1,7:53.0,Personal foul by M. Plumlee (drawn by M. Gasol),,6,6
35,1,7:42.0,M. Gasol misses 3-pt jump shot from 24 ft,,6,6
36,1,7:38.0,Offensive rebound by W. Selden,,6,6
37,1,7:37.0,W. Selden misses 3-pt jump shot from 27 ft,,6,6
38,1,7:35.0,,Defensive rebound by D. Schröder,6,6
39,1,7:26.0,,T. Prince misses 3-pt jump shot from 25 ft,6,6
