,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,WASHINGTON_ACTION,LA CLIPPERS_SCORE,WASHINGTON_SCORE
0,1,11:46.0,,M. Morris misses 2-pt jump shot from 11 ft,0,0
1,1,11:40.0,,Offensive rebound by O. Porter,0,0
2,1,11:40.0,,O. Porter makes 2-pt layup at rim,0,2
3,1,11:27.0,L. Williams misses 2-pt jump shot from 16 ft,,0,2
4,1,11:24.0,,Defensive rebound by B. Beal,0,2
5,1,11:10.0,,M. Morris misses 2-pt jump shot from 12 ft,0,2
6,1,11:06.0,Defensive rebound by W. Johnson,,0,2
7,1,10:53.0,Shooting foul by O. Porter (drawn by S. Thornwell),,0,2
8,1,10:53.0,S. Thornwell misses free throw 1 of 2,,0,2
9,1,10:53.0,Offensive rebound by Team,,0,2
10,1,10:53.0,S. Thornwell makes free throw 2 of 2,,1,2
11,1,10:42.0,,J. Wall misses 3-pt jump shot from 26 ft,1,2
12,1,10:37.0,Defensive rebound by S. Thornwell,,1,2
13,1,10:33.0,J. Wilson makes 2-pt jump shot from 17 ft (assist by S. Thornwell),,3,2
14,1,10:21.0,,J. Wall makes 2-pt layup at rim,3,4
15,1,10:15.0,Personal foul by M. Morris (drawn by L. Williams),,3,4
16,1,10:10.0,Personal foul by M. Gortat (drawn by L. Williams),,3,4
17,1,10:04.0,Personal foul by J. Wall (drawn by L. Williams),,3,4
18,1,9:58.0,D. Jordan misses 2-pt layup from 7 ft,,3,4
19,1,9:56.0,,Defensive rebound by M. Gortat,3,4
20,1,9:52.0,,Shooting foul by J. Wilson (drawn by J. Wall),3,4
21,1,9:52.0,,J. Wall misses free throw 1 of 2,3,4
22,1,9:52.0,,Offensive rebound by Team,3,4
23,1,9:52.0,,J. Wall misses free throw 2 of 2,3,4
24,1,9:50.0,Defensive rebound by D. Jordan,,3,4
25,1,9:39.0,Turnover by D. Jordan (bad pass; steal by J. Wall),,3,4
26,1,9:27.0,,O. Porter misses 3-pt jump shot from 23 ft,3,4
27,1,9:22.0,Defensive rebound by W. Johnson,,3,4
28,1,9:21.0,Shooting foul by B. Beal (drawn by L. Williams),,3,4
29,1,9:21.0,L. Williams makes free throw 1 of 2,,4,4
30,1,9:21.0,L. Williams makes free throw 2 of 2,,5,4
31,1,9:04.0,,M. Gortat makes 2-pt hook shot from 5 ft (assist by M. Morris),5,6
32,1,8:56.0,Shooting foul by O. Porter (drawn by D. Jordan),,5,6
33,1,8:56.0,D. Jordan misses free throw 1 of 2,,5,6
34,1,8:56.0,Offensive rebound by Team,,5,6
35,1,8:56.0,,K. Oubre enters the game for O. Porter,5,6
36,1,8:56.0,D. Jordan misses free throw 2 of 2,,5,6
37,1,8:53.0,,Defensive rebound by K. Oubre,5,6
38,1,8:44.0,,Personal foul by W. Johnson (drawn by B. Beal),5,6
39,1,8:31.0,,J. Wall misses 2-pt jump shot from 19 ft (block by J. Wilson),5,6
40,1,8:28.0,Defensive rebound by D. Jordan,,5,6
41,1,8:23.0,L. Williams misses 3-pt jump shot from 25 ft,,5,6
42,1,8:23.0,,Defensive rebound by K. Oubre,5,6
43,1,8:15.0,,B. Beal misses 3-pt jump shot from 25 ft,5,6
44,1,8:15.0,Defensive rebound by D. Jordan,,5,6
45,1,8:10.0,Turnover by L. Williams (bad pass),,5,6
46,1,7:55.0,,K. Oubre makes 2-pt jump shot from 20 ft (assist by M. Morris),5,8
47,1,7:42.0,Turnover by L. Williams (bad pass; steal by M. Gortat),,5,8
48,1,7:33.0,,M. Gortat misses 2-pt hook shot from 9 ft,5,8
49,1,7:28.0,,Offensive rebound by M. Morris,5,8
50,1,7:28.0,,M. Morris makes 2-pt layup at rim,5,10
51,1,7:16.0,W. Johnson misses 2-pt jump shot from 19 ft,,5,10
52,1,7:16.0,Offensive rebound by L. Williams,,5,10
53,1,7:12.0,L. Williams misses 2-pt jump shot from 9 ft,,5,10
54,1,7:12.0,,Defensive rebound by Team,5,10
55,1,7:02.0,,J. Wall misses 3-pt jump shot from 27 ft,5,10
56,1,6:59.0,Defensive rebound by J. Wilson,,5,10
57,1,6:46.0,D. Jordan misses 2-pt hook shot from 4 ft,,5,10
58,1,6:46.0,Offensive rebound by D. Jordan,,5,10
59,1,6:44.0,D. Jordan makes 2-pt layup from 1 ft,,7,10
60,1,6:34.0,,B. Beal misses 3-pt jump shot from 24 ft,7,10
61,1,6:34.0,Defensive rebound by D. Jordan,,7,10
62,1,6:15.0,S. Thornwell misses 3-pt jump shot from 23 ft,,7,10
63,1,6:14.0,,Defensive rebound by Team,7,10
64,1,6:14.0,Loose ball foul by D. Jordan (drawn by M. Gortat),,7,10
65,1,6:14.0,,Washington full timeout,7,10
66,1,6:14.0,J. Evans enters the game for S. Thornwell,,7,10
67,1,6:14.0,S. Dekker enters the game for J. Wilson,,7,10
68,1,6:14.0,C. Williams enters the game for W. Johnson,,7,10
69,1,6:05.0,,Personal foul by C. Williams (drawn by M. Morris),7,10
70,1,5:55.0,,B. Beal misses 2-pt jump shot from 18 ft,7,10
71,1,5:52.0,Defensive rebound by S. Dekker,,7,10
72,1,5:37.0,D. Jordan misses 2-pt hook shot from 5 ft,,7,10
73,1,5:36.0,,Defensive rebound by B. Beal,7,10
74,1,5:27.0,,Personal foul by J. Evans (drawn by J. Wall),7,10
75,1,5:27.0,,J. Wall makes free throw 1 of 2,7,11
76,1,5:27.0,,J. Wall makes free throw 2 of 2,7,12
77,1,5:18.0,Shooting foul by M. Morris (drawn by L. Williams),,7,12
78,1,5:18.0,L. Williams makes free throw 1 of 2,,8,12
79,1,5:18.0,,T. Satoranský enters the game for J. Wall,8,12
80,1,5:18.0,,M. Scott enters the game for M. Morris,8,12
81,1,5:18.0,L. Williams makes free throw 2 of 2,,9,12
82,1,5:08.0,,Turnover by T. Satoranský (lost ball; steal by J. Evans),9,12
83,1,5:04.0,J. Evans misses 2-pt layup from 1 ft,,9,12
84,1,5:03.0,Offensive rebound by C. Williams,,9,12
85,1,5:03.0,C. Williams makes 2-pt layup at rim,,11,12
86,1,4:49.0,,K. Oubre misses 2-pt jump shot from 17 ft,11,12
87,1,4:49.0,Defensive rebound by D. Jordan,,11,12
88,1,4:39.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Williams),,13,12
89,1,4:22.0,,M. Scott makes 2-pt jump shot from 14 ft (assist by B. Beal),13,14
90,1,3:59.0,S. Dekker misses 2-pt jump shot from 16 ft,,13,14
91,1,3:57.0,,Defensive rebound by M. Gortat,13,14
92,1,3:51.0,,T. Satoranský makes 2-pt jump shot from 12 ft,13,16
93,1,3:49.0,LA Clippers full timeout,,13,16
94,1,3:49.0,,I. Mahinmi enters the game for M. Gortat,13,16
95,1,3:25.0,L. Williams misses 3-pt jump shot from 26 ft,,13,16
96,1,3:21.0,,Defensive rebound by M. Scott,13,16
97,1,3:03.0,,M. Scott makes 3-pt jump shot from 24 ft (assist by T. Satoranský),13,19
98,1,2:46.0,Turnover by D. Jordan (bad pass; steal by B. Beal),,13,19
99,1,2:42.0,,B. Beal makes 3-pt jump shot from 24 ft,13,22
100,1,2:20.0,J. Evans misses 2-pt jump shot from 21 ft,,13,22
101,1,2:17.0,,Defensive rebound by B. Beal,13,22
102,1,2:04.0,,B. Beal makes 2-pt jump shot from 17 ft,13,24
103,1,1:53.0,Turnover by L. Williams (bad pass; steal by T. Satoranský),,13,24
104,1,1:49.0,,J. Meeks enters the game for B. Beal,13,24
105,1,1:49.0,S. Thornwell enters the game for D. Jordan,,13,24
106,1,1:49.0,M. Harrell enters the game for L. Williams,,13,24
107,1,1:35.0,,Turnover by M. Scott (bad pass; steal by C. Williams),13,24
108,1,1:16.0,M. Harrell misses 2-pt jump shot from 13 ft,,13,24
109,1,1:13.0,,Defensive rebound by K. Oubre,13,24
110,1,0:56.0,,I. Mahinmi misses 2-pt hook shot from 7 ft,13,24
111,1,0:55.0,,Offensive rebound by I. Mahinmi,13,24
112,1,0:55.0,,Shooting foul by C. Williams (drawn by I. Mahinmi),13,24
113,1,0:55.0,,I. Mahinmi misses free throw 1 of 2,13,24
114,1,0:55.0,,Offensive rebound by Team,13,24
115,1,0:55.0,,I. Mahinmi makes free throw 2 of 2,13,25
116,1,0:36.0,S. Thornwell makes 2-pt layup from 1 ft,,15,25
117,1,0:28.0,,T. Satoranský misses 3-pt jump shot from 25 ft,15,25
118,1,0:23.0,Defensive rebound by M. Harrell,,15,25
119,1,0:19.0,Turnover by S. Thornwell (bad pass),,15,25
120,1,0:16.0,,Offensive foul by M. Scott (drawn by J. Evans),15,25
121,1,0:16.0,,Turnover by M. Scott (offensive foul),15,25
122,1,0:16.0,L. Williams enters the game for S. Thornwell,,15,25
123,1,0:16.0,J. Wilson enters the game for J. Evans,,15,25
124,1,0:01.0,C. Williams makes 3-pt jump shot from 26 ft (assist by L. Williams),,18,25
125,2,11:37.0,C. Williams makes 3-pt jump shot from 25 ft (assist by J. Evans),,21,25
126,2,11:30.0,,Turnover by T. Satoranský (lost ball; steal by J. Evans),21,25
127,2,11:22.0,Turnover by J. Evans (turnover; steal by M. Scott),,21,25
128,2,11:06.0,,Turnover by T. Satoranský (bad pass; steal by J. Evans),21,25
129,2,10:54.0,Offensive foul by S. Dekker (drawn by T. Satoranský),,21,25
130,2,10:54.0,Turnover by S. Dekker (offensive foul),,21,25
131,2,10:41.0,,Shooting foul by S. Thornwell (drawn by K. Oubre),21,25
132,2,10:41.0,,K. Oubre makes free throw 1 of 2,21,26
133,2,10:41.0,,K. Oubre makes free throw 2 of 2,21,27
134,2,10:27.0,S. Dekker misses 2-pt jump shot from 23 ft,,21,27
135,2,10:24.0,,Defensive rebound by T. Satoranský,21,27
136,2,10:10.0,,J. Meeks misses 3-pt jump shot from 22 ft,21,27
137,2,10:07.0,Defensive rebound by Team,,21,27
138,2,10:07.0,W. Reed enters the game for S. Dekker,,21,27
139,2,9:51.0,,Loose ball foul by J. Meeks (drawn by S. Thornwell),21,27
140,2,9:34.0,C. Williams misses 2-pt jump shot from 14 ft,,21,27
141,2,9:31.0,,Defensive rebound by K. Oubre,21,27
142,2,9:19.0,,M. Scott makes 2-pt jump shot from 6 ft (assist by J. Meeks),21,29
143,2,9:11.0,Offensive foul by W. Reed (drawn by I. Mahinmi),,21,29
144,2,9:11.0,Turnover by W. Reed (offensive foul),,21,29
145,2,8:54.0,,Shooting foul by C. Williams (drawn by M. Scott),21,29
146,2,8:54.0,,M. Scott misses free throw 1 of 2,21,29
147,2,8:54.0,,Offensive rebound by Team,21,29
148,2,8:54.0,W. Johnson enters the game for C. Williams,,21,29
149,2,8:54.0,,M. Scott makes free throw 2 of 2,21,30
150,2,8:53.0,Personal foul by K. Oubre (drawn by J. Evans),,21,30
151,2,8:45.0,W. Johnson misses 3-pt jump shot from 26 ft,,21,30
152,2,8:41.0,,Defensive rebound by T. Satoranský,21,30
153,2,8:36.0,,Shooting foul by J. Evans (drawn by T. Satoranský),21,30
