,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,UTAH_ACTION,SAN ANTONIO_SCORE,UTAH_SCORE
0,1,11:38.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by J. Jerebko),0,3
1,1,11:14.0,B. Forbes misses 3-pt jump shot from 25 ft,,0,3
2,1,11:11.0,,Defensive rebound by J. Ingles,0,3
3,1,11:04.0,,D. Favors misses 2-pt jump shot from 13 ft,0,3
4,1,11:01.0,Defensive rebound by L. Aldridge,,0,3
5,1,10:52.0,L. Aldridge makes 3-pt jump shot from 25 ft (assist by T. Parker),,3,3
6,1,10:23.0,,R. Rubio misses 3-pt jump shot from 23 ft (block by K. Leonard),3,3
7,1,10:23.0,,Offensive rebound by Team,3,3
8,1,10:22.0,,D. Favors misses 2-pt layup from 7 ft,3,3
9,1,10:22.0,,Offensive rebound by Team,3,3
10,1,10:22.0,,Turnover by Team (shot clock),3,3
11,1,10:13.0,Personal foul by J. Ingles (drawn by K. Leonard),,3,3
12,1,10:06.0,K. Leonard misses 2-pt jump shot from 15 ft,,3,3
13,1,10:03.0,,Defensive rebound by R. Rubio,3,3
14,1,9:58.0,,R. Hood misses 3-pt jump shot from 25 ft,3,3
15,1,9:56.0,,Offensive rebound by D. Favors,3,3
16,1,9:53.0,,R. Rubio misses 2-pt jump shot from 1 ft,3,3
17,1,9:53.0,Defensive rebound by B. Forbes,,3,3
18,1,9:45.0,T. Parker misses 2-pt jump shot from 14 ft,,3,3
19,1,9:45.0,,Defensive rebound by R. Hood,3,3
20,1,9:29.0,,J. Ingles misses 3-pt jump shot from 23 ft,3,3
21,1,9:26.0,,Offensive rebound by D. Favors,3,3
22,1,9:25.0,,D. Favors makes 2-pt dunk from 1 ft,3,5
23,1,9:06.0,Turnover by K. Leonard (bad pass),,3,5
24,1,8:55.0,,D. Favors makes 2-pt dunk at rim (assist by J. Ingles),3,7
25,1,8:41.0,T. Parker makes 2-pt layup from 1 ft,,5,7
26,1,8:19.0,,J. Jerebko makes 2-pt jump shot from 9 ft,5,9
27,1,8:04.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by T. Parker),,8,9
28,1,7:43.0,,J. Jerebko makes 2-pt jump shot from 13 ft,8,11
29,1,7:27.0,J. Lauvergne makes 2-pt dunk from 1 ft (assist by T. Parker),,10,11
30,1,7:08.0,,Shooting foul by J. Lauvergne (drawn by J. Ingles),10,11
31,1,7:08.0,,J. Ingles misses free throw 1 of 2,10,11
32,1,7:08.0,,Offensive rebound by Team,10,11
33,1,7:08.0,,J. Ingles misses free throw 2 of 2,10,11
34,1,7:05.0,Defensive rebound by K. Leonard,,10,11
35,1,6:47.0,J. Lauvergne makes 2-pt jump shot from 3 ft,,12,11
36,1,6:41.0,,Utah full timeout,12,11
37,1,6:32.0,,R. Hood makes 2-pt jump shot from 19 ft (assist by J. Jerebko),12,13
38,1,6:18.0,Offensive foul by B. Forbes (drawn by R. Rubio),,12,13
39,1,6:18.0,Turnover by B. Forbes (offensive foul),,12,13
40,1,6:18.0,R. Gay enters the game for J. Lauvergne,,12,13
41,1,6:18.0,P. Mills enters the game for B. Forbes,,12,13
42,1,6:08.0,,Turnover by R. Hood (bad pass),12,13
43,1,6:08.0,D. Murray enters the game for T. Parker,,12,13
44,1,5:54.0,K. Leonard makes 2-pt layup from 2 ft,,14,13
45,1,5:45.0,,R. Rubio misses 2-pt jump shot from 15 ft,14,13
46,1,5:38.0,,Offensive rebound by D. Favors,14,13
47,1,5:38.0,,D. Favors makes 2-pt layup at rim,14,15
48,1,5:27.0,R. Gay misses 2-pt jump shot from 16 ft,,14,15
49,1,5:23.0,,Defensive rebound by D. Favors,14,15
50,1,5:06.0,,D. Favors misses 2-pt layup from 2 ft (block by L. Aldridge),14,15
51,1,5:06.0,,Offensive rebound by Team,14,15
52,1,5:06.0,,J. Johnson enters the game for R. Rubio,14,15
53,1,5:06.0,,A. Burks enters the game for J. Jerebko,14,15
54,1,5:06.0,K. Anderson enters the game for K. Leonard,,14,15
55,1,5:01.0,,A. Burks makes 3-pt jump shot from 26 ft,14,18
56,1,4:45.0,K. Anderson misses 2-pt layup from 2 ft,,14,18
57,1,4:43.0,,Defensive rebound by A. Burks,14,18
58,1,4:32.0,,R. Hood makes 2-pt jump shot from 22 ft,14,20
59,1,4:32.0,San Antonio full timeout,,14,20
60,1,4:32.0,J. Lauvergne enters the game for L. Aldridge,,14,20
61,1,4:19.0,R. Gay misses 2-pt jump shot from 7 ft,,14,20
62,1,4:17.0,,Defensive rebound by A. Burks,14,20
63,1,4:06.0,,R. Hood misses 3-pt jump shot from 25 ft,14,20
64,1,4:04.0,Defensive rebound by D. Murray,,14,20
65,1,3:57.0,J. Lauvergne makes 2-pt jump shot from 10 ft (assist by D. Murray),,16,20
66,1,3:39.0,,Turnover by A. Burks (bad pass; steal by R. Gay),16,20
67,1,3:19.0,J. Lauvergne misses 2-pt hook shot from 10 ft,,16,20
68,1,3:17.0,,Defensive rebound by J. Johnson,16,20
69,1,3:07.0,,J. Johnson makes 2-pt jump shot from 15 ft,16,22
70,1,2:51.0,D. Murray misses 2-pt jump shot from 10 ft,,16,22
