,QUARTER,TIME_REMAINING,PHOENIX_ACTION,UTAH_ACTION,PHOENIX_SCORE,UTAH_SCORE
0,1,11:46.0,,R. Gobert makes 2-pt layup from 3 ft,0,2
1,1,11:32.0,D. Bender makes 3-pt jump shot from 25 ft (assist by D. Booker),,3,2
2,1,11:15.0,,J. Ingles makes 3-pt jump shot from 26 ft (assist by D. Favors),3,5
3,1,11:00.0,D. Booker misses 3-pt jump shot from 26 ft,,3,5
4,1,10:57.0,,Defensive rebound by R. Gobert,3,5
5,1,10:43.0,,R. O'Neale misses 2-pt layup from 3 ft (block by A. Len),3,5
6,1,10:38.0,Defensive rebound by D. Bender,,3,5
7,1,10:32.0,T. Warren misses 2-pt jump shot from 17 ft,,3,5
8,1,10:31.0,,Defensive rebound by Team,3,5
9,1,10:16.0,,J. Ingles misses 3-pt jump shot from 25 ft,3,5
10,1,10:13.0,,Offensive rebound by R. O'Neale,3,5
11,1,10:02.0,,Personal foul by T. Warren (drawn by J. Ingles),3,5
12,1,9:56.0,,D. Mitchell makes 3-pt jump shot from 25 ft,3,8
13,1,9:43.0,Turnover by E. Payton (bad pass; steal by R. O'Neale),,3,8
14,1,9:42.0,,Personal foul by E. Payton (drawn by R. O'Neale),3,8
15,1,9:29.0,,D. Favors misses 2-pt jump shot from 16 ft,3,8
16,1,9:27.0,Defensive rebound by D. Booker,,3,8
17,1,9:21.0,Shooting foul by R. O'Neale (drawn by D. Booker),,3,8
18,1,9:21.0,D. Booker misses free throw 1 of 2,,3,8
19,1,9:21.0,Offensive rebound by Team,,3,8
20,1,9:21.0,D. Booker makes free throw 2 of 2,,4,8
21,1,9:09.0,,J. Ingles misses 2-pt layup from 3 ft,4,8
22,1,9:07.0,,Offensive rebound by D. Favors,4,8
23,1,9:01.0,,D. Mitchell misses 3-pt jump shot from 26 ft,4,8
24,1,8:57.0,Defensive rebound by D. Bender,,4,8
25,1,8:52.0,Shooting foul by R. O'Neale (drawn by D. Booker),,4,8
26,1,8:52.0,D. Booker makes free throw 1 of 2,,5,8
27,1,8:52.0,,J. Crowder enters the game for R. O'Neale,5,8
28,1,8:52.0,D. Booker makes free throw 2 of 2,,6,8
29,1,8:40.0,,D. Favors makes 2-pt jump shot from 18 ft (assist by D. Mitchell),6,10
30,1,8:19.0,T. Warren misses 2-pt jump shot from 15 ft,,6,10
31,1,8:16.0,,Defensive rebound by D. Mitchell,6,10
32,1,8:12.0,,D. Favors makes 2-pt layup from 4 ft (assist by J. Ingles),6,12
33,1,7:56.0,D. Bender misses 3-pt jump shot from 25 ft,,6,12
34,1,7:52.0,,Defensive rebound by J. Crowder,6,12
35,1,7:46.0,,Shooting foul by T. Warren (drawn by J. Crowder),6,12
36,1,7:46.0,,J. Crowder misses free throw 1 of 2,6,12
37,1,7:46.0,,Offensive rebound by Team,6,12
38,1,7:46.0,J. Jackson enters the game for T. Warren,,6,12
39,1,7:46.0,,J. Crowder makes free throw 2 of 2,6,13
40,1,7:31.0,D. Booker misses 3-pt jump shot from 25 ft,,6,13
41,1,7:27.0,,Defensive rebound by D. Favors,6,13
42,1,7:16.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Gobert),6,16
43,1,7:14.0,Phoenix full timeout,,6,16
44,1,6:59.0,E. Payton misses 2-pt jump shot from 12 ft,,6,16
45,1,6:58.0,Offensive rebound by E. Payton,,6,16
46,1,6:55.0,E. Payton makes 2-pt jump shot from 4 ft,,8,16
47,1,6:42.0,,Turnover by D. Favors (traveling),8,16
48,1,6:27.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Booker),,11,16
49,1,6:05.0,,J. Ingles misses 3-pt jump shot from 25 ft,11,16
50,1,6:01.0,Defensive rebound by J. Jackson,,11,16
51,1,5:53.0,J. Jackson misses 2-pt jump shot from 14 ft,,11,16
52,1,5:51.0,,Defensive rebound by R. Gobert,11,16
53,1,5:43.0,,J. Crowder misses 3-pt jump shot from 25 ft,11,16
54,1,5:41.0,Defensive rebound by Team,,11,16
55,1,5:41.0,,J. Jerebko enters the game for D. Favors,11,16
56,1,5:41.0,M. Chriss enters the game for D. Bender,,11,16
57,1,5:25.0,E. Payton misses 3-pt jump shot from 24 ft,,11,16
58,1,5:22.0,,Defensive rebound by R. Gobert,11,16
59,1,5:14.0,,D. Mitchell misses 2-pt layup from 4 ft,11,16
60,1,5:13.0,Defensive rebound by M. Chriss,,11,16
61,1,5:07.0,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Payton),,14,16
62,1,4:53.0,,J. Ingles makes 2-pt layup from 1 ft,14,18
63,1,4:44.0,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Payton),,17,18
64,1,4:31.0,,J. Crowder misses 3-pt jump shot from 25 ft,17,18
65,1,4:28.0,Defensive rebound by M. Chriss,,17,18
66,1,4:17.0,M. Chriss misses 2-pt layup from 3 ft,,17,18
67,1,4:14.0,,Defensive rebound by J. Crowder,17,18
68,1,4:12.0,,J. Crowder misses 2-pt layup from 2 ft (block by A. Len),17,18
69,1,4:08.0,Defensive rebound by D. Booker,,17,18
70,1,4:08.0,Personal foul by J. Ingles (drawn by D. Booker),,17,18
71,1,3:54.0,A. Len misses 2-pt hook shot from 5 ft,,17,18
72,1,3:52.0,,Defensive rebound by R. Gobert,17,18
73,1,3:47.0,,Personal foul by J. Jackson (drawn by J. Crowder),17,18
74,1,3:35.0,,D. Mitchell makes 2-pt jump shot from 17 ft,17,20
75,1,3:09.0,Turnover by D. Booker (bad pass; steal by J. Ingles),,17,20
76,1,2:51.0,,J. Crowder misses 2-pt jump shot from 21 ft,17,20
77,1,2:47.0,Defensive rebound by A. Len,,17,20
78,1,2:31.0,Shooting foul by J. Jerebko (drawn by A. Len),,17,20
79,1,2:31.0,,Utah full timeout,17,20
80,1,2:31.0,,A. Burks enters the game for J. Ingles,17,20
81,1,2:31.0,T. Daniels enters the game for D. Booker,,17,20
82,1,2:31.0,T. Ulis enters the game for E. Payton,,17,20
83,1,2:31.0,A. Len makes free throw 1 of 2,,18,20
84,1,2:31.0,A. Len misses free throw 2 of 2,,18,20
85,1,2:31.0,,Defensive rebound by D. Favors,18,20
86,1,2:31.0,,R. O'Neale enters the game for R. Gobert,18,20
87,1,2:31.0,,D. Favors enters the game for J. Crowder,18,20
88,1,2:13.0,,R. O'Neale misses 2-pt layup from 3 ft,18,20
89,1,2:11.0,,Offensive rebound by D. Favors,18,20
90,1,2:07.0,,D. Favors makes 2-pt layup from 1 ft,18,22
91,1,1:54.0,M. Chriss misses 2-pt dunk from 2 ft,,18,22
92,1,1:52.0,,Defensive rebound by D. Favors,18,22
93,1,1:46.0,,Turnover by D. Mitchell (bad pass; steal by A. Len),18,22
94,1,1:41.0,Shooting foul by J. Jerebko (drawn by A. Len),,18,22
95,1,1:41.0,,R. Neto enters the game for D. Mitchell,18,22
96,1,1:41.0,A. Len makes free throw 1 of 2,,19,22
97,1,1:41.0,A. Len misses free throw 2 of 2,,19,22
98,1,1:36.0,,Defensive rebound by A. Burks,19,22
99,1,1:19.0,,R. O'Neale makes 3-pt jump shot from 26 ft,19,25
100,1,1:05.0,T. Daniels misses 2-pt jump shot from 18 ft,,19,25
101,1,1:02.0,,Defensive rebound by A. Burks,19,25
102,1,0:47.0,,Turnover by A. Burks (bad pass; steal by J. Jackson),19,25
103,1,0:42.0,J. Jackson makes 2-pt layup from 4 ft,,21,25
104,1,0:28.0,,R. Neto misses 2-pt jump shot from 10 ft,21,25
105,1,0:26.0,Defensive rebound by A. Len,,21,25
106,1,0:25.0,Offensive foul by T. Ulis (drawn by R. Neto),,21,25
107,1,0:25.0,Turnover by T. Ulis (offensive foul),,21,25
108,1,0:25.0,D. Bender enters the game for A. Len,,21,25
109,1,0:03.0,,D. Favors makes 2-pt jump shot from 5 ft (assist by R. Neto),21,27
110,1,0:00.0,J. Jackson makes 2-pt layup from 2 ft,,23,27
111,2,11:48.0,T. Daniels makes 2-pt jump shot from 8 ft (assist by T. Ulis),,25,27
112,2,11:30.0,Violation by T. Ulis (kicked ball),,25,27
113,2,11:25.0,,Personal foul by T. Daniels (drawn by R. O'Neale),25,27
114,2,11:16.0,,J. Jerebko misses 3-pt jump shot from 23 ft,25,27
115,2,11:13.0,,Offensive rebound by D. Favors,25,27
116,2,10:58.0,,J. Jerebko misses 3-pt jump shot from 25 ft,25,27
117,2,10:55.0,Defensive rebound by J. Jackson,,25,27
118,2,10:45.0,T. Daniels misses 3-pt jump shot from 25 ft,,25,27
119,2,10:43.0,,Defensive rebound by A. Burks,25,27
