,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ORLANDO_ACTION,NEW ORLEANS_SCORE,ORLANDO_SCORE
0,1,11:43.0,Turnover by E. Moore (bad pass; steal by J. Simmons),,0,0
1,1,11:34.0,,M. Speights misses 2-pt jump shot from 19 ft,0,0
2,1,11:34.0,Defensive rebound by J. Holiday,,0,0
3,1,11:28.0,Shooting foul by E. Payton (drawn by R. Rondo),,0,0
4,1,11:28.0,R. Rondo makes free throw 1 of 2,,1,0
5,1,11:28.0,R. Rondo makes free throw 2 of 2,,2,0
6,1,11:10.0,,N. Vučević misses 2-pt jump shot from 15 ft,2,0
7,1,11:06.0,Defensive rebound by A. Davis,,2,0
8,1,10:59.0,E. Moore misses 2-pt jump shot from 8 ft,,2,0
9,1,10:57.0,,Defensive rebound by J. Simmons,2,0
10,1,10:49.0,Offensive charge foul by M. Speights (drawn by D. Cousins),,2,0
11,1,10:49.0,,Turnover by M. Speights (offensive foul),2,0
12,1,10:25.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by D. Cousins),,5,0
13,1,10:17.0,,Personal foul by R. Rondo (drawn by E. Payton),5,0
14,1,10:02.0,,Turnover by E. Payton (bad pass),5,0
15,1,9:57.0,E. Moore makes 3-pt jump shot from 23 ft (assist by R. Rondo),,8,0
16,1,9:40.0,,M. Speights misses 3-pt jump shot from 25 ft,8,0
17,1,9:37.0,Defensive rebound by R. Rondo,,8,0
18,1,9:23.0,Shooting foul by N. Vučević (drawn by D. Cousins),,8,0
19,1,9:23.0,D. Cousins misses free throw 1 of 2,,8,0
20,1,9:23.0,Offensive rebound by Team,,8,0
21,1,9:23.0,D. Cousins makes free throw 2 of 2,,9,0
22,1,8:59.0,,E. Payton makes 2-pt jump shot from 13 ft (assist by N. Vučević),9,2
23,1,8:33.0,J. Holiday misses 2-pt jump shot from 12 ft,,9,2
24,1,8:30.0,Offensive rebound by E. Moore,,9,2
25,1,8:30.0,,Violation by E. Payton (kicked ball),9,2
26,1,8:12.0,E. Moore misses 2-pt layup from 2 ft,,9,2
27,1,8:09.0,,Defensive rebound by N. Vučević,9,2
28,1,8:06.0,,D. Augustin misses 2-pt layup from 1 ft,9,2
29,1,8:03.0,Defensive rebound by A. Davis,,9,2
30,1,8:02.0,Shooting block foul by M. Speights (drawn by D. Cousins),,9,2
31,1,8:02.0,D. Cousins misses free throw 1 of 2,,9,2
32,1,8:02.0,Offensive rebound by Team,,9,2
33,1,8:02.0,D. Cousins makes free throw 2 of 2,,10,2
34,1,7:59.0,,Orlando full timeout,10,2
35,1,7:48.0,,J. Simmons makes 2-pt jump shot from 4 ft (assist by N. Vučević),10,4
36,1,7:30.0,D. Cousins misses 2-pt layup from 1 ft,,10,4
37,1,7:21.0,Offensive rebound by D. Cousins,,10,4
38,1,7:21.0,D. Cousins makes 2-pt layup at rim,,12,4
39,1,7:08.0,,N. Vučević misses 2-pt hook shot from 4 ft,12,4
40,1,7:08.0,Defensive rebound by D. Cousins,,12,4
41,1,6:48.0,R. Rondo misses 3-pt jump shot from 24 ft,,12,4
42,1,6:48.0,,Defensive rebound by J. Simmons,12,4
43,1,6:43.0,,J. Simmons makes 2-pt layup from 1 ft,12,6
