,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
0,1,11:31.0,M. Morris misses 2-pt jump shot from 13 ft,,0,0
1,1,11:25.0,,Defensive rebound by B. Simmons,0,0
2,1,11:14.0,,R. Covington misses 2-pt jump shot from 21 ft,0,0
3,1,11:14.0,Defensive rebound by O. Porter,,0,0
4,1,11:06.0,M. Morris misses 2-pt layup from 3 ft,,0,0
5,1,11:06.0,Offensive rebound by O. Porter,,0,0
6,1,11:00.0,O. Porter makes 2-pt layup from 2 ft,,2,0
7,1,10:50.0,,Turnover by R. Covington (bad pass),2,0
8,1,10:42.0,M. Gortat misses 2-pt jump shot from 9 ft,,2,0
9,1,10:39.0,,Defensive rebound by R. Covington,2,0
10,1,10:31.0,,B. Simmons makes 2-pt layup from 3 ft,2,2
11,1,10:15.0,M. Gortat misses 2-pt jump shot from 8 ft,,2,2
12,1,10:12.0,,Defensive rebound by D. Šarić,2,2
13,1,9:57.0,,B. Simmons misses 2-pt jump shot from 6 ft,2,2
14,1,9:55.0,Defensive rebound by O. Porter,,2,2
15,1,9:40.0,T. Frazier misses 3-pt jump shot from 26 ft,,2,2
16,1,9:38.0,,Defensive rebound by B. Simmons,2,2
17,1,9:32.0,,Personal foul by M. Gortat (drawn by J. Embiid),2,2
18,1,9:30.0,,R. Covington makes 2-pt layup from 2 ft (assist by J. Redick),2,4
19,1,9:18.0,O. Porter misses 2-pt jump shot from 20 ft,,2,4
20,1,9:15.0,,Defensive rebound by J. Embiid,2,4
21,1,9:04.0,,D. Šarić misses 3-pt jump shot from 25 ft,2,4
22,1,9:01.0,Defensive rebound by M. Gortat,,2,4
23,1,8:49.0,Shooting foul by D. Šarić (drawn by B. Beal),,2,4
24,1,8:49.0,B. Beal makes free throw 1 of 2,,3,4
25,1,8:49.0,B. Beal makes free throw 2 of 2,,4,4
26,1,8:35.0,,R. Covington misses 3-pt jump shot from 22 ft,4,4
27,1,8:32.0,Defensive rebound by M. Gortat,,4,4
28,1,8:24.0,O. Porter misses 2-pt layup from 2 ft,,4,4
29,1,8:21.0,,Defensive rebound by B. Simmons,4,4
30,1,8:15.0,,R. Covington makes 2-pt layup from 3 ft (assist by D. Šarić),4,6
31,1,8:04.0,M. Morris makes 2-pt jump shot from 13 ft,,6,6
32,1,7:45.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by R. Covington),6,9
