,QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
0,1,11:50.0,,L. James makes 2-pt layup at rim (assist by K. Love),0,2
1,1,11:50.0,,Shooting foul by B. Bogdanović (drawn by L. James),0,2
2,1,11:50.0,,L. James misses free throw 1 of 1,0,2
3,1,11:43.0,Defensive rebound by D. Collison,,0,2
4,1,11:26.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by D. Collison),,2,2
5,1,11:12.0,,L. James misses 3-pt jump shot from 26 ft,2,2
6,1,11:09.0,Defensive rebound by D. Sabonis,,2,2
7,1,10:56.0,D. Collison makes 2-pt layup at rim,,4,2
8,1,10:38.0,,Personal foul by T. Young (drawn by D. Rose),4,2
9,1,10:33.0,,Turnover by J. Smith (bad pass),4,2
10,1,10:12.0,T. Young makes 2-pt jump shot from 4 ft,,6,2
11,1,10:02.0,,D. Rose makes 2-pt layup from 1 ft,6,4
12,1,9:55.0,Offensive foul by D. Collison (drawn by D. Rose),,6,4
13,1,9:55.0,Turnover by D. Collison (offensive foul),,6,4
14,1,9:37.0,,L. James misses 2-pt layup from 1 ft,6,4
15,1,9:37.0,,Offensive rebound by T. Thompson,6,4
16,1,9:31.0,,T. Thompson makes 2-pt dunk from 1 ft,6,6
17,1,9:20.0,T. Young misses 3-pt jump shot from 25 ft,,6,6
18,1,9:16.0,,Defensive rebound by K. Love,6,6
19,1,9:09.0,,D. Rose makes 2-pt jump shot from 19 ft,6,8
20,1,8:56.0,Offensive foul by D. Sabonis (drawn by J. Smith),,6,8
21,1,8:56.0,Turnover by D. Sabonis (offensive foul),,6,8
22,1,8:41.0,,K. Love misses 2-pt jump shot from 9 ft (block by D. Sabonis),6,8
23,1,8:41.0,,Offensive rebound by K. Love,6,8
24,1,8:35.0,,K. Love makes 2-pt jump shot from 14 ft,6,10
25,1,8:23.0,D. Sabonis misses 2-pt jump shot from 18 ft,,6,10
26,1,8:23.0,,Defensive rebound by K. Love,6,10
27,1,8:13.0,,Turnover by J. Smith (bad pass; steal by B. Bogdanović),6,10
28,1,8:08.0,D. Collison makes 2-pt layup from 2 ft (assist by B. Bogdanović),,8,10
29,1,7:50.0,,L. James misses 2-pt layup at rim,8,10
30,1,7:47.0,Defensive rebound by D. Sabonis,,8,10
31,1,7:44.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by D. Collison),,10,10
32,1,7:44.0,,Cleveland full timeout,10,10
33,1,7:44.0,A. Jefferson enters the game for D. Sabonis,,10,10
34,1,7:26.0,,K. Love misses 3-pt jump shot from 22 ft,10,10
35,1,7:20.0,,Offensive rebound by L. James,10,10
36,1,7:17.0,,J. Smith misses 3-pt jump shot from 26 ft,10,10
37,1,7:16.0,,Offensive rebound by T. Thompson,10,10
38,1,7:16.0,,Personal foul by A. Jefferson (drawn by T. Thompson),10,10
39,1,7:10.0,,D. Rose misses 2-pt jump shot from 11 ft,10,10
40,1,7:07.0,Defensive rebound by A. Jefferson,,10,10
41,1,7:01.0,T. Young misses 3-pt jump shot from 25 ft,,10,10
42,1,7:01.0,,Defensive rebound by T. Thompson,10,10
43,1,6:40.0,,Turnover by L. James (bad pass; steal by T. Young),10,10
44,1,6:34.0,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by V. Oladipo),,13,10
45,1,6:25.0,,Turnover by D. Rose (out of bounds lost ball),13,10
46,1,6:15.0,V. Oladipo makes 3-pt jump shot from 26 ft,,16,10
47,1,6:02.0,,J. Smith misses 3-pt jump shot from 25 ft,16,10
48,1,5:59.0,,Offensive rebound by T. Thompson,16,10
49,1,5:56.0,,D. Rose makes 2-pt layup from 1 ft (assist by J. Smith),16,12
50,1,5:35.0,T. Young makes 2-pt jump shot from 16 ft (assist by D. Collison),,18,12
51,1,5:26.0,,J. Crowder enters the game for T. Thompson,18,12
52,1,5:23.0,,L. James makes 2-pt layup at rim (assist by J. Smith),18,14
53,1,5:08.0,A. Jefferson makes 2-pt jump shot from 17 ft (assist by V. Oladipo),,20,14
54,1,4:55.0,,K. Love misses 2-pt hook shot from 7 ft,20,14
55,1,4:52.0,Defensive rebound by A. Jefferson,,20,14
56,1,4:51.0,Shooting foul by D. Rose (drawn by D. Collison),,20,14
57,1,4:51.0,D. Collison makes free throw 1 of 2,,21,14
58,1,4:51.0,D. Collison makes free throw 2 of 2,,22,14
59,1,4:42.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),22,17
60,1,4:25.0,V. Oladipo misses 3-pt jump shot from 24 ft,,22,17
61,1,4:23.0,,Defensive rebound by J. Crowder,22,17
62,1,4:17.0,,K. Love misses 3-pt jump shot from 25 ft,22,17
63,1,4:17.0,Defensive rebound by D. Collison,,22,17
64,1,4:11.0,T. Young makes 2-pt layup at rim (assist by A. Jefferson),,24,17
65,1,3:53.0,,L. James makes 2-pt dunk at rim,24,19
66,1,3:48.0,Indiana full timeout,,24,19
67,1,3:48.0,,D. Wade enters the game for D. Rose,24,19
68,1,3:48.0,,J. Green enters the game for J. Smith,24,19
69,1,3:48.0,D. Sabonis enters the game for A. Jefferson,,24,19
70,1,3:40.0,D. Sabonis misses 2-pt layup from 1 ft,,24,19
71,1,3:37.0,,Defensive rebound by L. James,24,19
72,1,3:30.0,,D. Wade misses 3-pt jump shot from 23 ft,24,19
73,1,3:25.0,Defensive rebound by D. Sabonis,,24,19
74,1,3:21.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by V. Oladipo),,27,19
75,1,3:06.0,,L. James makes 2-pt layup at rim (assist by D. Wade),27,21
76,1,2:49.0,B. Bogdanović makes 2-pt jump shot from 16 ft (assist by D. Collison),,29,21
