,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW ORLEANS_ACTION,MILWAUKEE_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,J. Henson makes 2-pt layup at rim (assist by E. Bledsoe),,2,0
1,1,11:27.0,,Turnover by E. Moore (bad pass; steal by G. Antetokounmpo),2,0
2,1,11:19.0,E. Bledsoe misses 3-pt jump shot from 23 ft,,2,0
3,1,11:18.0,Offensive rebound by G. Payton,,2,0
4,1,11:18.0,G. Payton misses 2-pt layup at rim,,2,0
5,1,11:18.0,Offensive rebound by J. Henson,,2,0
6,1,11:18.0,J. Henson makes 2-pt layup at rim,,4,0
7,1,11:18.0,Shooting foul by R. Rondo (drawn by J. Henson),,4,0
8,1,11:18.0,J. Henson misses free throw 1 of 1,,4,0
9,1,11:18.0,,Defensive rebound by D. Cousins,4,0
10,1,10:53.0,,R. Rondo misses 3-pt jump shot from 25 ft,4,0
11,1,10:46.0,,Offensive rebound by E. Moore,4,0
12,1,10:46.0,,E. Moore makes 2-pt layup at rim,4,2
13,1,10:26.0,K. Middleton misses 3-pt jump shot from 26 ft,,4,2
14,1,10:26.0,Offensive rebound by G. Payton,,4,2
15,1,10:18.0,G. Antetokounmpo makes 2-pt dunk at rim,,6,2
16,1,10:05.0,,E. Moore makes 3-pt jump shot from 23 ft (assist by J. Holiday),6,5
17,1,9:46.0,Turnover by E. Bledsoe (bad pass; steal by J. Holiday),,6,5
18,1,9:41.0,,R. Rondo misses 2-pt layup from 2 ft (block by G. Payton),6,5
19,1,9:34.0,,Offensive rebound by A. Davis,6,5
20,1,9:34.0,,A. Davis makes 2-pt dunk at rim,6,7
21,1,9:29.0,K. Middleton makes 2-pt jump shot from 13 ft,,8,7
22,1,9:12.0,,A. Davis misses 2-pt jump shot from 17 ft,8,7
23,1,9:12.0,Defensive rebound by K. Middleton,,8,7
24,1,9:04.0,J. Henson makes 2-pt layup from 1 ft (assist by K. Middleton),,10,7
25,1,8:53.0,,J. Holiday misses 2-pt layup from 1 ft,10,7
26,1,8:53.0,Defensive rebound by G. Payton,,10,7
27,1,8:39.0,G. Payton misses 2-pt layup from 1 ft (block by R. Rondo),,10,7
28,1,8:39.0,Offensive rebound by Team,,10,7
