,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MINNESOTA_ACTION,NEW YORK_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,Personal foul by C. Lee (drawn by T. Gibson),0,0
1,1,11:34.0,,J. Teague misses 3-pt jump shot from 23 ft,0,0
2,1,11:32.0,,Offensive rebound by T. Gibson,0,0
3,1,11:30.0,,T. Gibson misses 2-pt layup from 1 ft,0,0
4,1,11:30.0,Defensive rebound by E. Freedom,,0,0
5,1,11:13.0,J. Jack misses 2-pt jump shot from 8 ft,,0,0
6,1,11:13.0,,Defensive rebound by K. Towns,0,0
7,1,11:02.0,,A. Wiggins makes 2-pt jump shot from 6 ft,0,2
8,1,10:50.0,,Offensive charge foul by E. Freedom (drawn by K. Towns),0,2
9,1,10:50.0,Turnover by E. Freedom (offensive foul),,0,2
10,1,10:37.0,,Offensive foul by K. Towns (drawn by L. Thomas),0,2
11,1,10:37.0,,Turnover by K. Towns (offensive foul),0,2
12,1,10:16.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by C. Lee),,2,2
13,1,9:53.0,,J. Butler misses 2-pt layup from 1 ft,2,2
14,1,9:50.0,Defensive rebound by K. Porziņģis,,2,2
15,1,9:44.0,L. Thomas misses 3-pt jump shot from 23 ft,,2,2
16,1,9:41.0,,Defensive rebound by K. Towns,2,2
17,1,9:27.0,,J. Teague misses 3-pt jump shot from 25 ft,2,2
18,1,9:25.0,Defensive rebound by E. Freedom,,2,2
19,1,9:19.0,J. Jack misses 2-pt jump shot from 17 ft,,2,2
20,1,9:19.0,Offensive rebound by E. Freedom,,2,2
21,1,9:14.0,E. Freedom makes 2-pt layup at rim,,4,2
22,1,9:06.0,,T. Gibson misses 2-pt layup at rim,4,2
23,1,9:06.0,Defensive rebound by K. Porziņģis,,4,2
24,1,8:54.0,Offensive foul by E. Freedom (drawn by J. Teague),,4,2
25,1,8:54.0,Turnover by E. Freedom (offensive foul),,4,2
26,1,8:33.0,,J. Butler makes 2-pt jump shot from 13 ft (assist by K. Towns),4,4
27,1,8:18.0,C. Lee makes 2-pt jump shot from 17 ft,,6,4
28,1,8:10.0,,Turnover by J. Teague (bad pass; steal by K. Porziņģis),6,4
29,1,8:02.0,E. Freedom makes 2-pt layup from 1 ft,,8,4
30,1,7:44.0,,K. Towns misses 2-pt layup from 3 ft,8,4
31,1,7:42.0,,Offensive rebound by K. Towns,8,4
32,1,7:41.0,,K. Towns makes 2-pt hook shot from 2 ft,8,6
33,1,7:32.0,Personal foul by T. Gibson (drawn by K. Porziņģis),,8,6
34,1,7:30.0,Personal foul by J. Teague (drawn by J. Jack),,8,6
35,1,7:18.0,E. Freedom makes 2-pt jump shot from 7 ft (assist by J. Jack),,10,6
36,1,7:07.0,,J. Teague misses 2-pt layup from 2 ft (block by K. Porziņģis),10,6
37,1,7:03.0,,Offensive rebound by A. Wiggins,10,6
38,1,7:03.0,,A. Wiggins makes 2-pt layup from 3 ft,10,8
39,1,6:56.0,E. Freedom makes 2-pt jump shot from 15 ft (assist by J. Jack),,12,8
40,1,6:42.0,,Turnover by J. Butler (bad pass; steal by K. Porziņģis),12,8
41,1,6:32.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by C. Lee),,15,8
42,1,6:08.0,,J. Teague makes 3-pt jump shot from 22 ft (assist by T. Gibson),15,11
43,1,5:56.0,C. Lee misses 3-pt jump shot from 26 ft,,15,11
44,1,5:52.0,,Defensive rebound by A. Wiggins,15,11
45,1,5:50.0,,A. Wiggins misses 2-pt layup from 3 ft (block by K. Porziņģis),15,11
46,1,5:50.0,Defensive rebound by Team,,15,11
47,1,5:50.0,,Minnesota full timeout,15,11
48,1,5:50.0,T. Hardaway enters the game for E. Freedom,,15,11
49,1,5:50.0,K. O'Quinn enters the game for C. Lee,,15,11
50,1,5:32.0,J. Jack makes 2-pt jump shot from 21 ft,,17,11
51,1,5:14.0,,A. Wiggins makes 2-pt jump shot from 20 ft (assist by K. Towns),17,13
52,1,4:55.0,K. O'Quinn misses 2-pt jump shot from 14 ft,,17,13
53,1,4:52.0,,Defensive rebound by J. Butler,17,13
54,1,4:46.0,,J. Teague misses 2-pt jump shot from 9 ft,17,13
55,1,4:44.0,,Offensive rebound by K. Towns,17,13
56,1,4:44.0,,K. Towns misses 2-pt jump shot from 4 ft,17,13
57,1,4:43.0,,Offensive rebound by Team,17,13
58,1,4:43.0,,G. Dieng enters the game for K. Towns,17,13
59,1,4:33.0,,J. Butler makes 2-pt jump shot from 13 ft (assist by J. Teague),17,15
60,1,4:09.0,T. Hardaway misses 3-pt jump shot from 22 ft,,17,15
61,1,4:07.0,,Defensive rebound by G. Dieng,17,15
62,1,3:58.0,,G. Dieng misses 2-pt jump shot from 18 ft,17,15
63,1,3:56.0,Defensive rebound by T. Hardaway,,17,15
64,1,3:53.0,T. Hardaway misses 2-pt jump shot from 13 ft,,17,15
65,1,3:50.0,,Defensive rebound by J. Butler,17,15
66,1,3:34.0,,J. Butler misses 2-pt jump shot from 12 ft,17,15
67,1,3:31.0,Defensive rebound by K. O'Quinn,,17,15
68,1,3:18.0,K. O'Quinn makes 2-pt layup at rim (assist by J. Jack),,19,15
69,1,3:11.0,,Minnesota full timeout,19,15
70,1,3:11.0,,T. Jones enters the game for J. Teague,19,15
71,1,3:11.0,,J. Crawford enters the game for J. Butler,19,15
72,1,3:11.0,F. Ntilikina enters the game for J. Jack,,19,15
73,1,3:05.0,,A. Wiggins misses 2-pt jump shot from 20 ft,19,15
74,1,3:01.0,,Offensive rebound by J. Crawford,19,15
75,1,3:00.0,,G. Dieng makes 2-pt dunk from 1 ft (assist by J. Crawford),19,17
76,1,2:42.0,Turnover by K. Porziņģis (lost ball; steal by G. Dieng),,19,17
77,1,2:35.0,,A. Wiggins misses 3-pt jump shot from 24 ft,19,17
78,1,2:32.0,Defensive rebound by K. O'Quinn,,19,17
79,1,2:23.0,K. Porziņģis misses 2-pt jump shot from 16 ft,,19,17
80,1,2:23.0,,Defensive rebound by A. Wiggins,19,17
81,1,2:15.0,,J. Crawford makes 3-pt jump shot from 24 ft,19,20
82,1,1:53.0,K. O'Quinn makes 2-pt jump shot from 7 ft (assist by F. Ntilikina),,21,20
83,1,1:40.0,,Personal foul by L. Thomas (drawn by G. Dieng),21,20
84,1,1:40.0,C. Lee enters the game for L. Thomas,,21,20
85,1,1:34.0,,T. Jones misses 3-pt jump shot from 25 ft,21,20
86,1,1:30.0,Defensive rebound by K. Porziņģis,,21,20
87,1,1:22.0,F. Ntilikina makes 2-pt layup from 1 ft,,23,20
88,1,1:11.0,,J. Crawford misses 3-pt jump shot from 24 ft,23,20
89,1,1:08.0,,Offensive rebound by G. Dieng,23,20
90,1,1:06.0,,Turnover by G. Dieng (traveling),23,20
91,1,1:06.0,,N. Bjelica enters the game for T. Gibson,23,20
92,1,0:52.0,K. Porziņģis misses 2-pt jump shot from 16 ft (block by A. Wiggins),,23,20
93,1,0:50.0,,Defensive rebound by T. Jones,23,20
94,1,0:48.0,,T. Jones makes 2-pt layup at rim,23,22
95,1,0:35.0,C. Lee makes 2-pt jump shot from 15 ft (assist by K. Porziņģis),,25,22
96,1,0:29.0,,J. Crawford makes 2-pt layup from 1 ft,25,24
97,1,0:09.0,T. Hardaway makes 2-pt jump shot from 22 ft,,27,24
98,1,0:00.0,,J. Crawford misses 2-pt jump shot from 15 ft,27,24
99,1,0:00.0,,Offensive rebound by Team,27,24
100,2,11:47.0,M. Beasley misses 2-pt jump shot from 14 ft,,27,24
101,2,11:43.0,,Defensive rebound by K. Towns,27,24
102,2,11:33.0,,J. Crawford makes 2-pt jump shot from 16 ft (assist by K. Towns),27,26
103,2,11:16.0,C. Lee makes 3-pt jump shot from 23 ft (assist by M. Beasley),,30,26
104,2,10:56.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by G. Dieng),30,28
105,2,10:42.0,M. Beasley makes 2-pt jump shot from 9 ft,,32,28
106,2,10:21.0,,G. Dieng makes 2-pt layup from 1 ft (assist by J. Crawford),32,30
107,2,9:55.0,M. Beasley makes 2-pt jump shot from 5 ft,,34,30
108,2,9:41.0,,T. Jones makes 2-pt layup from 2 ft (assist by J. Crawford),34,32
109,2,9:16.0,M. Beasley makes 2-pt hook shot from 4 ft,,36,32
110,2,9:10.0,,Minnesota full timeout,36,32
111,2,9:03.0,,Shooting foul by K. O'Quinn (drawn by K. Towns),36,32
112,2,9:03.0,,K. Towns makes free throw 1 of 2,36,33
113,2,9:03.0,,K. Towns makes free throw 2 of 2,36,34
114,2,8:45.0,F. Ntilikina misses 2-pt jump shot from 21 ft,,36,34
115,2,8:41.0,,Defensive rebound by T. Jones,36,34
116,2,8:34.0,,K. Towns misses 3-pt jump shot from 26 ft,36,34
