,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,L. Williams makes 3-pt jump shot from 24 ft (assist by M. Teodosić),,3,0
1,1,11:24.0,,Turnover by W. Cauley-Stein (step out of bounds),3,0
2,1,11:15.0,D. Jordan makes 2-pt dunk from 1 ft (assist by M. Teodosić),,5,0
3,1,11:01.0,,Z. Randolph misses 2-pt jump shot from 13 ft,5,0
4,1,10:59.0,Defensive rebound by T. Wallace,,5,0
5,1,10:54.0,L. Williams makes 3-pt jump shot from 24 ft (assist by B. Griffin),,8,0
6,1,10:48.0,,Sacramento full timeout,8,0
7,1,10:41.0,,Turnover by Z. Randolph (bad pass; steal by L. Williams),8,0
8,1,10:35.0,M. Teodosić misses 3-pt jump shot from 25 ft,,8,0
9,1,10:33.0,,Defensive rebound by W. Cauley-Stein,8,0
10,1,10:26.0,,Shooting foul by T. Wallace (drawn by G. Hill),8,0
11,1,10:26.0,,G. Hill makes free throw 1 of 2,8,1
12,1,10:26.0,,G. Hill makes free throw 2 of 2,8,2
13,1,10:12.0,L. Williams misses 2-pt jump shot from 11 ft,,8,2
14,1,10:08.0,,Defensive rebound by G. Temple,8,2
15,1,9:58.0,,Z. Randolph misses 2-pt jump shot from 15 ft,8,2
16,1,9:55.0,Defensive rebound by B. Griffin,,8,2
17,1,9:47.0,B. Griffin makes 3-pt jump shot from 23 ft (assist by L. Williams),,11,2
18,1,9:37.0,,D. Fox makes 2-pt jump shot from 11 ft,11,4
19,1,9:19.0,B. Griffin misses 3-pt jump shot from 23 ft,,11,4
20,1,9:17.0,,Defensive rebound by Z. Randolph,11,4
21,1,9:09.0,,D. Fox misses 2-pt dunk at rim (block by T. Wallace),11,4
22,1,9:05.0,Defensive rebound by D. Jordan,,11,4
23,1,8:52.0,L. Williams misses 3-pt jump shot from 23 ft,,11,4
24,1,8:48.0,,Defensive rebound by Z. Randolph,11,4
25,1,8:46.0,,G. Hill misses 3-pt jump shot from 24 ft,11,4
26,1,8:42.0,Defensive rebound by D. Jordan,,11,4
27,1,8:21.0,B. Griffin misses 3-pt jump shot from 25 ft,,11,4
28,1,8:21.0,,Defensive rebound by Team,11,4
29,1,8:10.0,,D. Fox makes 2-pt jump shot from 8 ft,11,6
30,1,7:49.0,M. Teodosić misses 2-pt jump shot from 16 ft,,11,6
31,1,7:46.0,,Defensive rebound by W. Cauley-Stein,11,6
32,1,7:31.0,,Z. Randolph makes 2-pt hook shot from 5 ft,11,8
33,1,7:16.0,L. Williams misses 3-pt jump shot from 25 ft,,11,8
34,1,7:13.0,,Defensive rebound by G. Hill,11,8
35,1,7:05.0,,Z. Randolph makes 2-pt hook shot from 5 ft,11,10
36,1,6:58.0,Personal foul by D. Fox (drawn by M. Teodosić),,11,10
37,1,6:58.0,W. Johnson enters the game for T. Wallace,,11,10
38,1,6:58.0,J. Evans enters the game for M. Teodosić,,11,10
39,1,6:50.0,B. Griffin misses 3-pt jump shot from 23 ft,,11,10
40,1,6:47.0,Offensive rebound by D. Jordan,,11,10
41,1,6:46.0,B. Griffin makes 2-pt dunk at rim (assist by D. Jordan),,13,10
42,1,6:27.0,,G. Hill misses 3-pt jump shot from 24 ft,13,10
43,1,6:24.0,Defensive rebound by W. Johnson,,13,10
44,1,6:21.0,D. Jordan makes 2-pt dunk from 2 ft (assist by B. Griffin),,15,10
45,1,5:54.0,,D. Fox misses 3-pt jump shot from 28 ft,15,10
46,1,5:50.0,Defensive rebound by D. Jordan,,15,10
47,1,5:39.0,Personal foul by W. Cauley-Stein (drawn by D. Jordan),,15,10
48,1,5:39.0,LA Clippers full timeout,,15,10
49,1,5:39.0,,S. Labissière enters the game for W. Cauley-Stein,15,10
50,1,5:39.0,,K. Koufos enters the game for Z. Randolph,15,10
51,1,5:30.0,Personal foul by S. Labissière (drawn by D. Jordan),,15,10
52,1,5:23.0,Personal foul by G. Hill (drawn by W. Johnson),,15,10
53,1,5:15.0,B. Griffin makes 2-pt layup at rim,,17,10
54,1,4:49.0,,Turnover by Team (shot clock),17,10
55,1,4:49.0,T. Wallace enters the game for L. Williams,,17,10
56,1,4:40.0,Shooting foul by S. Labissière (drawn by B. Griffin),,17,10
57,1,4:40.0,B. Griffin makes free throw 1 of 2,,18,10
58,1,4:40.0,B. Griffin makes free throw 2 of 2,,19,10
59,1,4:15.0,,Turnover by S. Labissière (bad pass; steal by J. Evans),19,10
60,1,4:11.0,,B. Bogdanović enters the game for G. Hill,19,10
61,1,4:11.0,,B. Hield enters the game for G. Temple,19,10
62,1,4:04.0,W. Johnson misses 2-pt jump shot from 22 ft,,19,10
63,1,4:00.0,,Defensive rebound by K. Koufos,19,10
64,1,3:54.0,,D. Fox misses 3-pt jump shot from 24 ft,19,10
65,1,3:51.0,Defensive rebound by B. Griffin,,19,10
66,1,3:46.0,Turnover by B. Griffin (bad pass),,19,10
67,1,3:30.0,,B. Bogdanović makes 2-pt layup from 2 ft,19,12
68,1,3:20.0,W. Johnson makes 2-pt jump shot from 21 ft (assist by D. Jordan),,21,12
69,1,3:05.0,,Turnover by S. Labissière (traveling),21,12
70,1,3:05.0,S. Dekker enters the game for B. Griffin,,21,12
71,1,2:55.0,Personal foul by D. Fox (drawn by J. Evans),,21,12
72,1,2:55.0,J. Evans makes free throw 1 of 2,,22,12
73,1,2:55.0,J. Evans makes free throw 2 of 2,,23,12
74,1,2:33.0,,Turnover by B. Hield (turnover),23,12
75,1,2:21.0,J. Evans misses 2-pt layup from 3 ft (block by K. Koufos),,23,12
76,1,2:17.0,Offensive rebound by D. Jordan,,23,12
77,1,2:16.0,D. Jordan makes 2-pt layup from 2 ft,,25,12
78,1,1:59.0,,B. Bogdanović misses 2-pt jump shot from 17 ft,25,12
79,1,1:56.0,Defensive rebound by D. Jordan,,25,12
80,1,1:49.0,J. Evans misses 2-pt jump shot from 20 ft,,25,12
81,1,1:46.0,,Defensive rebound by B. Bogdanović,25,12
82,1,1:42.0,,Shooting foul by J. Evans (drawn by B. Hield),25,12
83,1,1:42.0,,B. Hield misses free throw 1 of 3,25,12
84,1,1:42.0,,Offensive rebound by Team,25,12
85,1,1:42.0,,B. Hield makes free throw 2 of 3,25,13
86,1,1:42.0,M. Harrell enters the game for D. Jordan,,25,13
87,1,1:42.0,,B. Hield makes free throw 3 of 3,25,14
88,1,1:27.0,T. Wallace makes 2-pt layup from 2 ft (assist by W. Johnson),,27,14
89,1,1:11.0,,Shooting foul by W. Johnson (drawn by B. Bogdanović),27,14
90,1,1:11.0,,B. Bogdanović makes free throw 1 of 2,27,15
91,1,1:11.0,,B. Bogdanović makes free throw 2 of 2,27,16
92,1,0:56.0,J. Evans makes 2-pt layup from 2 ft,,29,16
93,1,0:55.0,,Sacramento full timeout,29,16
94,1,0:55.0,,G. Hill enters the game for D. Fox,29,16
95,1,0:37.0,,S. Labissière makes 3-pt jump shot from 22 ft (assist by B. Hield),29,19
96,1,0:12.0,M. Harrell misses 2-pt layup from 1 ft,,29,19
97,1,0:08.0,,Defensive rebound by S. Labissière,29,19
98,1,0:00.0,,B. Bogdanović misses 2-pt layup from 1 ft,29,19
99,1,0:00.0,,Offensive rebound by K. Koufos,29,19
100,1,0:00.0,,K. Koufos makes 2-pt layup at rim,29,21
101,2,11:46.0,,G. Hill misses 2-pt jump shot from 21 ft,29,21
102,2,11:41.0,Defensive rebound by W. Johnson,,29,21
103,2,11:24.0,M. Harrell makes 2-pt layup from 1 ft,,31,21
104,2,11:02.0,,K. Koufos makes 2-pt hook shot from 6 ft,31,23
105,2,10:44.0,Turnover by W. Johnson (out of bounds lost ball),,31,23
106,2,10:44.0,M. Teodosić enters the game for J. Evans,,31,23
107,2,10:23.0,,B. Hield misses 3-pt jump shot from 25 ft,31,23
108,2,10:19.0,Defensive rebound by W. Johnson,,31,23
109,2,10:18.0,M. Harrell makes 2-pt layup from 2 ft (assist by M. Teodosić),,33,23
110,2,10:18.0,Shooting foul by B. Bogdanović (drawn by M. Harrell),,33,23
111,2,10:18.0,M. Harrell misses free throw 1 of 1,,33,23
112,2,10:15.0,,Defensive rebound by K. Koufos,33,23
113,2,10:10.0,Violation by S. Dekker (kicked ball),,33,23
