,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,UTAH_ACTION,CLEVELAND_SCORE,UTAH_SCORE
0,1,11:43.0,,D. Favors misses 2-pt dunk from 2 ft (block by L. James),0,0
1,1,11:39.0,Defensive rebound by J. Crowder,,0,0
2,1,11:36.0,J. Smith misses 3-pt jump shot from 25 ft,,0,0
3,1,11:31.0,,Defensive rebound by T. Sefolosha,0,0
4,1,11:19.0,,R. Rubio makes 3-pt jump shot from 24 ft (assist by J. Ingles),0,3
5,1,10:57.0,K. Love makes 2-pt hook shot from 5 ft,,2,3
6,1,10:45.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,2,3
7,1,10:40.0,Defensive rebound by L. James,,2,3
8,1,10:34.0,J. Crowder makes 2-pt layup from 3 ft (assist by L. James),,4,3
9,1,10:18.0,,D. Favors misses 2-pt hook shot from 5 ft,4,3
10,1,10:14.0,Defensive rebound by K. Love,,4,3
11,1,10:04.0,Turnover by J. Calderón (bad pass; steal by D. Favors),,4,3
12,1,10:04.0,,Personal foul by J. Smith (drawn by R. Rubio),4,3
13,1,9:44.0,,R. Rubio misses 2-pt jump shot from 5 ft,4,3
14,1,9:42.0,,Offensive rebound by D. Favors,4,3
15,1,9:41.0,,D. Favors makes 2-pt dunk from 1 ft,4,5
16,1,9:30.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,7,5
17,1,9:14.0,Offensive charge foul by D. Favors (drawn by J. Calderón),,7,5
18,1,9:14.0,,Turnover by D. Favors (offensive foul),7,5
19,1,9:03.0,K. Love misses 3-pt jump shot from 26 ft,,7,5
20,1,8:58.0,,Defensive rebound by T. Sefolosha,7,5
21,1,8:49.0,,R. Rubio misses 2-pt layup from 2 ft,7,5
22,1,8:46.0,Defensive rebound by J. Calderón,,7,5
23,1,8:35.0,Shooting foul by D. Favors (drawn by K. Love),,7,5
24,1,8:35.0,K. Love makes free throw 1 of 2,,8,5
25,1,8:35.0,,E. Udoh enters the game for D. Favors,8,5
26,1,8:35.0,K. Love makes free throw 2 of 2,,9,5
27,1,8:26.0,,D. Mitchell makes 2-pt dunk from 2 ft (assist by R. Rubio),9,7
28,1,8:10.0,L. James makes 2-pt dunk from 1 ft (assist by J. Calderón),,11,7
29,1,8:00.0,,R. Rubio makes 2-pt layup from 2 ft,11,9
30,1,7:41.0,K. Love misses 2-pt jump shot from 17 ft,,11,9
31,1,7:39.0,,Defensive rebound by T. Sefolosha,11,9
32,1,7:34.0,,Turnover by T. Sefolosha (bad pass; steal by L. James),11,9
33,1,7:31.0,L. James makes 2-pt jump shot from 1 ft,,13,9
34,1,7:10.0,,D. Mitchell makes 3-pt jump shot from 22 ft (assist by J. Ingles),13,12
35,1,6:53.0,Turnover by J. Calderón (lost ball; steal by R. Rubio),,13,12
36,1,6:51.0,,Offensive foul by J. Ingles (drawn by K. Love),13,12
37,1,6:51.0,,Turnover by J. Ingles (offensive foul),13,12
38,1,6:51.0,,Utah full timeout,13,12
39,1,6:37.0,L. James misses 2-pt layup from 2 ft (block by R. Rubio),,13,12
40,1,6:35.0,,Defensive rebound by R. Rubio,13,12
41,1,6:29.0,,T. Sefolosha misses 2-pt layup from 1 ft,13,12
42,1,6:27.0,,Offensive rebound by T. Sefolosha,13,12
43,1,6:10.0,,R. Rubio misses 3-pt jump shot from 24 ft,13,12
44,1,6:06.0,Defensive rebound by K. Love,,13,12
45,1,5:48.0,K. Love misses 3-pt jump shot from 24 ft,,13,12
46,1,5:45.0,Offensive rebound by L. James,,13,12
47,1,5:45.0,L. James makes 2-pt layup from 2 ft,,15,12
48,1,5:24.0,,T. Sefolosha misses 3-pt jump shot from 25 ft,15,12
49,1,5:22.0,Defensive rebound by Team,,15,12
50,1,5:22.0,,R. Hood enters the game for R. Rubio,15,12
51,1,5:07.0,L. James makes 2-pt jump shot from 17 ft,,17,12
52,1,4:49.0,,D. Mitchell misses 3-pt jump shot from 28 ft,17,12
53,1,4:47.0,Defensive rebound by K. Love,,17,12
54,1,4:30.0,J. Smith makes 3-pt jump shot from 24 ft (assist by J. Calderón),,20,12
