,QUARTER,TIME_REMAINING,INDIANA_ACTION,LA CLIPPERS_ACTION,INDIANA_SCORE,LA CLIPPERS_SCORE
0,1,11:35.0,,D. Jordan misses 2-pt layup from 1 ft,0,0
1,1,11:34.0,,Offensive rebound by D. Jordan,0,0
2,1,11:34.0,,Shooting foul by M. Turner (drawn by D. Jordan),0,0
3,1,11:34.0,,D. Jordan misses free throw 1 of 2,0,0
4,1,11:34.0,,Offensive rebound by Team,0,0
5,1,11:34.0,,D. Jordan misses free throw 2 of 2,0,0
6,1,11:31.0,Defensive rebound by B. Bogdanović,,0,0
7,1,11:11.0,M. Turner misses 3-pt jump shot from 23 ft,,0,0
8,1,11:08.0,,Defensive rebound by T. Harris,0,0
9,1,10:57.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by A. Rivers),0,3
10,1,10:42.0,Personal foul by T. Harris (drawn by B. Bogdanović),,0,3
11,1,10:34.0,Turnover by D. Collison (bad pass),,0,3
12,1,10:12.0,,D. Gallinari misses 2-pt jump shot from 8 ft,0,3
13,1,10:07.0,,Offensive rebound by D. Jordan,0,3
14,1,10:07.0,,D. Jordan makes 2-pt dunk at rim,0,5
15,1,9:58.0,D. Collison makes 3-pt jump shot from 25 ft (assist by T. Young),,3,5
16,1,9:40.0,,Turnover by T. Wallace (lost ball; steal by V. Oladipo),3,5
17,1,9:35.0,V. Oladipo misses 2-pt layup at rim,,3,5
18,1,9:33.0,,Defensive rebound by A. Rivers,3,5
19,1,9:31.0,,D. Jordan makes 2-pt dunk at rim (assist by T. Harris),3,7
20,1,9:12.0,T. Young misses 2-pt hook shot from 5 ft (block by T. Wallace),,3,7
21,1,9:12.0,Offensive rebound by Team,,3,7
22,1,9:10.0,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by V. Oladipo),,5,7
23,1,8:59.0,,Turnover by T. Harris (out of bounds lost ball),5,7
24,1,8:40.0,T. Young makes 2-pt layup from 1 ft,,7,7
25,1,8:24.0,,T. Wallace makes 2-pt layup at rim (assist by A. Rivers),7,9
26,1,8:04.0,V. Oladipo misses 3-pt jump shot from 25 ft,,7,9
