,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
0,1,11:46.0,G. Antetokounmpo makes 2-pt dunk at rim,,2,0
1,1,11:34.0,,K. Love makes 2-pt layup from 6 ft (assist by L. James),2,2
2,1,11:34.0,Violation by J. Henson (def goaltending),,2,2
3,1,11:21.0,Turnover by G. Antetokounmpo (lost ball; steal by L. James),,2,2
4,1,11:20.0,,Shooting foul by M. Brogdon (drawn by L. James),2,2
5,1,11:20.0,,L. James makes free throw 1 of 1,2,3
6,1,11:20.0,,L. James makes free throw 2 of 2,2,4
7,1,11:13.0,Offensive foul by J. Henson (drawn by K. Love),,2,4
8,1,11:13.0,Turnover by J. Henson (offensive foul),,2,4
9,1,11:08.0,,Personal foul by G. Antetokounmpo (drawn by L. James),2,4
10,1,11:08.0,Turnover by G. Antetokounmpo (turnover),,2,4
11,1,11:02.0,,J. Smith makes 2-pt jump shot from 18 ft,2,6
12,1,10:49.0,Turnover by J. Henson (traveling),,2,6
13,1,10:39.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by J. Crowder),2,9
14,1,10:21.0,K. Middleton misses 3-pt jump shot from 24 ft,,2,9
15,1,10:20.0,Offensive rebound by J. Henson,,2,9
16,1,10:19.0,J. Henson misses 2-pt layup at rim,,2,9
17,1,10:19.0,,Defensive rebound by D. Rose,2,9
18,1,9:55.0,,J. Crowder misses 2-pt layup from 4 ft (block by G. Antetokounmpo),2,9
19,1,9:51.0,Defensive rebound by K. Middleton,,2,9
20,1,9:48.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,4,9
21,1,9:32.0,,Personal foul by T. Snell (drawn by K. Love),4,9
22,1,9:27.0,,Shooting foul by J. Henson (drawn by K. Love),4,9
23,1,9:27.0,,K. Love makes free throw 1 of 2,4,10
24,1,9:27.0,T. Maker enters the game for J. Henson,,4,10
25,1,9:27.0,,K. Love makes free throw 2 of 2,4,11
26,1,9:14.0,M. Brogdon makes 3-pt jump shot from 23 ft,,7,11
27,1,8:56.0,,J. Crowder misses 2-pt jump shot from 20 ft,7,11
28,1,8:53.0,Defensive rebound by K. Middleton,,7,11
29,1,8:42.0,M. Brogdon makes 3-pt jump shot from 25 ft,,10,11
30,1,8:30.0,,D. Rose makes 2-pt layup from 1 ft,10,13
31,1,8:18.0,T. Maker misses 3-pt jump shot from 25 ft,,10,13
32,1,8:15.0,,Defensive rebound by K. Love,10,13
33,1,8:06.0,,Turnover by D. Rose (bad pass),10,13
34,1,7:54.0,T. Maker makes 2-pt layup from 1 ft (assist by K. Middleton),,12,13
35,1,7:38.0,,Personal foul by K. Middleton (drawn by J. Crowder),12,13
36,1,7:38.0,,J. Crowder makes free throw 1 of 2,12,14
37,1,7:38.0,,J. Crowder makes free throw 2 of 2,12,15
38,1,7:20.0,M. Brogdon misses 2-pt layup from 3 ft,,12,15
39,1,7:20.0,Offensive rebound by Team,,12,15
40,1,7:15.0,G. Antetokounmpo misses 2-pt jump shot from 6 ft,,12,15
41,1,7:12.0,,Defensive rebound by K. Love,12,15
42,1,6:58.0,,Cleveland full timeout,12,15
43,1,6:58.0,J. Terry enters the game for K. Middleton,,12,15
44,1,6:48.0,,J. Smith makes 3-pt jump shot from 27 ft,12,18
45,1,6:29.0,Turnover by M. Brogdon (bad pass),,12,18
46,1,6:12.0,,D. Rose misses 3-pt jump shot from 24 ft,12,18
47,1,6:09.0,Defensive rebound by G. Antetokounmpo,,12,18
48,1,6:03.0,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,15,18
49,1,5:43.0,,L. James makes 2-pt jump shot from 21 ft,15,20
50,1,5:29.0,Turnover by G. Antetokounmpo (bad pass; steal by K. Love),,15,20
51,1,5:28.0,,K. Love makes 2-pt layup at rim,15,22
52,1,5:28.0,,Shooting foul by T. Maker (drawn by K. Love),15,22
53,1,5:28.0,M. Dellavedova enters the game for M. Brogdon,,15,22
54,1,5:28.0,,K. Love makes free throw 1 of 1,15,23
55,1,5:22.0,Personal foul by J. Crowder (drawn by G. Antetokounmpo),,15,23
56,1,5:14.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,15,23
57,1,5:10.0,,Defensive rebound by K. Love,15,23
58,1,4:55.0,,L. James makes 2-pt jump shot from 12 ft,15,25
59,1,4:41.0,T. Maker makes 3-pt jump shot from 23 ft (assist by T. Snell),,18,25
60,1,4:29.0,,Turnover by L. James (bad pass),18,25
61,1,4:22.0,Personal foul by K. Love (drawn by T. Maker),,18,25
62,1,4:11.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,18,25
63,1,4:08.0,,Defensive rebound by K. Love,18,25
64,1,4:04.0,,Turnover by D. Rose (lost ball; steal by T. Snell),18,25
65,1,3:59.0,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Dellavedova),,20,25
66,1,3:59.0,,Cleveland full timeout,20,25
67,1,3:53.0,,L. James misses 2-pt layup from 2 ft (block by G. Antetokounmpo),20,25
68,1,3:50.0,Defensive rebound by J. Terry,,20,25
69,1,3:30.0,J. Terry misses 3-pt jump shot from 27 ft,,20,25
70,1,3:29.0,,Defensive rebound by K. Love,20,25
71,1,3:29.0,,Personal foul by T. Maker (drawn by K. Love),20,25
72,1,3:29.0,,K. Love makes free throw 1 of 2,20,26
73,1,3:29.0,,D. Wade enters the game for D. Rose,20,26
74,1,3:29.0,,K. Love makes free throw 2 of 2,20,27
75,1,3:17.0,Def 3 sec tech foul by J. Smith,,20,27
76,1,3:17.0,M. Dellavedova makes technical free throw,,21,27
77,1,3:17.0,,K. Korver enters the game for J. Smith,21,27
78,1,3:12.0,T. Maker misses 3-pt jump shot from 25 ft,,21,27
79,1,3:07.0,Offensive rebound by G. Antetokounmpo,,21,27
80,1,3:04.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,21,27
81,1,3:01.0,,Defensive rebound by D. Wade,21,27
82,1,2:59.0,,Personal foul by T. Maker (drawn by L. James),21,27
83,1,2:59.0,M. Teletović enters the game for T. Maker,,21,27
84,1,2:59.0,,L. James makes free throw 1 of 2,21,28
85,1,2:59.0,,L. James makes free throw 2 of 2,21,29
86,1,2:48.0,Personal foul by J. Crowder (drawn by G. Antetokounmpo),,21,29
87,1,2:48.0,,J. Green enters the game for J. Crowder,21,29
88,1,2:39.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),,24,29
89,1,2:12.0,,K. Love makes 2-pt jump shot from 14 ft (assist by L. James),24,31
90,1,1:55.0,M. Teletović misses 3-pt jump shot from 25 ft,,24,31
91,1,1:55.0,,Defensive rebound by Team,24,31
92,1,1:47.0,,Personal foul by M. Teletović (drawn by K. Love),24,31
93,1,1:47.0,K. Middleton enters the game for T. Snell,,24,31
94,1,1:47.0,,K. Love misses free throw 1 of 2,24,31
95,1,1:47.0,,Offensive rebound by Team,24,31
96,1,1:47.0,,K. Love makes free throw 2 of 2,24,32
97,1,1:35.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,26,32
98,1,1:26.0,,Turnover by D. Wade (turnover),26,32
99,1,1:26.0,,I. Shumpert enters the game for K. Love,26,32
100,1,1:10.0,Turnover by K. Middleton (lost ball; steal by D. Wade),,26,32
101,1,1:10.0,,Personal foul by K. Middleton (drawn by D. Wade),26,32
102,1,1:10.0,,D. Wade makes free throw 1 of 2,26,33
103,1,1:10.0,,D. Wade makes free throw 2 of 2,26,34
104,1,0:54.0,M. Teletović misses 3-pt jump shot from 25 ft,,26,34
105,1,0:50.0,,Defensive rebound by K. Korver,26,34
106,1,0:43.0,,J. Green misses 2-pt hook shot from 12 ft,26,34
107,1,0:43.0,Defensive rebound by K. Middleton,,26,34
108,1,0:39.0,Shooting foul by D. Wade (drawn by G. Antetokounmpo),,26,34
109,1,0:39.0,G. Antetokounmpo makes free throw 1 of 2,,27,34
110,1,0:39.0,G. Antetokounmpo makes free throw 2 of 2,,28,34
111,1,0:34.0,,L. James makes 2-pt layup from 1 ft,28,36
112,1,0:24.0,K. Middleton misses 2-pt jump shot from 14 ft,,28,36
113,1,0:22.0,,Defensive rebound by L. James,28,36
114,1,0:01.0,,K. Korver makes 3-pt jump shot from 25 ft,28,39
115,2,11:45.0,,D. Wade makes 2-pt jump shot from 18 ft (assist by D. Rose),28,41
116,2,11:31.0,Shooting foul by J. Green (drawn by K. Middleton),,28,41
117,2,11:31.0,K. Middleton makes free throw 1 of 2,,29,41
118,2,11:31.0,K. Middleton makes free throw 2 of 2,,30,41
119,2,11:18.0,,D. Wade makes 2-pt jump shot from 15 ft (assist by D. Rose),30,43
120,2,10:50.0,T. Snell makes 2-pt layup from 1 ft (assist by M. Brogdon),,32,43
121,2,10:41.0,,Personal foul by M. Teletović (drawn by D. Rose),32,43
122,2,10:35.0,,D. Wade misses 2-pt jump shot from 13 ft,32,43
123,2,10:32.0,Defensive rebound by M. Teletović,,32,43
124,2,10:21.0,M. Teletović makes 2-pt layup at rim (assist by M. Brogdon),,34,43
125,2,9:57.0,,D. Rose makes 2-pt layup from 1 ft,34,45
126,2,9:47.0,Personal foul by D. Wade (drawn by T. Snell),,34,45
127,2,9:42.0,M. Brogdon misses 3-pt jump shot from 24 ft,,34,45
128,2,9:39.0,,Defensive rebound by D. Wade,34,45
129,2,9:28.0,,K. Korver makes 2-pt hook shot from 3 ft (assist by D. Wade),34,47
130,2,9:13.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by M. Brogdon),,37,47
131,2,8:59.0,,Turnover by K. Korver (bad pass; steal by K. Middleton),37,47
132,2,8:54.0,M. Brogdon misses 2-pt layup from 2 ft,,37,47
