,QUARTER,TIME_REMAINING,INDIANA_ACTION,HOUSTON_ACTION,INDIANA_SCORE,HOUSTON_SCORE
0,1,11:43.0,,R. Anderson misses 3-pt jump shot from 25 ft,0,0
1,1,11:35.0,Defensive rebound by M. Turner,,0,0
2,1,11:32.0,V. Oladipo misses 3-pt jump shot from 24 ft,,0,0
3,1,11:32.0,,Defensive rebound by R. Anderson,0,0
4,1,11:25.0,,Turnover by T. Ariza (bad pass; steal by V. Oladipo),0,0
5,1,11:19.0,D. Collison makes 2-pt layup from 1 ft,,2,0
6,1,11:01.0,,C. Capela misses 2-pt jump shot from 5 ft (block by M. Turner),2,0
7,1,11:01.0,Defensive rebound by M. Turner,,2,0
8,1,10:51.0,D. Collison misses 2-pt layup at rim,,2,0
9,1,10:51.0,,Defensive rebound by R. Anderson,2,0
10,1,10:41.0,,J. Harden misses 3-pt jump shot from 25 ft,2,0
11,1,10:41.0,Defensive rebound by M. Turner,,2,0
12,1,10:27.0,T. Young makes 2-pt layup from 1 ft (assist by M. Turner),,4,0
13,1,10:04.0,,C. Capela misses 2-pt dunk from 1 ft (block by V. Oladipo),4,0
14,1,9:58.0,,Offensive rebound by C. Paul,4,0
15,1,9:57.0,,C. Paul makes 2-pt layup from 1 ft,4,2
16,1,9:43.0,T. Young misses 2-pt jump shot from 15 ft,,4,2
17,1,9:43.0,,Defensive rebound by J. Harden,4,2
18,1,9:30.0,,C. Capela makes 2-pt layup at rim (assist by J. Harden),4,4
19,1,9:15.0,B. Bogdanović makes 2-pt jump shot from 12 ft,,6,4
20,1,8:56.0,,Turnover by R. Anderson (lost ball; steal by V. Oladipo),6,4
21,1,8:50.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,6,4
22,1,8:48.0,Offensive rebound by D. Collison,,6,4
23,1,8:48.0,Shooting foul by T. Ariza (drawn by V. Oladipo),,6,4
24,1,8:48.0,V. Oladipo makes free throw 1 of 2,,7,4
25,1,8:48.0,V. Oladipo makes free throw 2 of 2,,8,4
26,1,8:39.0,,C. Capela misses 2-pt layup from 3 ft (block by V. Oladipo),8,4
27,1,8:32.0,Defensive rebound by D. Collison,,8,4
28,1,8:31.0,M. Turner misses 2-pt layup from 1 ft,,8,4
29,1,8:28.0,,Defensive rebound by C. Capela,8,4
30,1,8:16.0,,J. Harden makes 2-pt jump shot from 6 ft,8,6
31,1,7:51.0,D. Collison makes 3-pt jump shot from 25 ft,,11,6
32,1,7:35.0,,J. Harden misses 3-pt jump shot from 26 ft,11,6
33,1,7:33.0,Defensive rebound by Team,,11,6
34,1,7:18.0,Turnover by B. Bogdanović (lost ball; steal by T. Ariza),,11,6
35,1,7:08.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by C. Paul),11,9
36,1,6:49.0,Turnover by V. Oladipo (lost ball; steal by C. Capela),,11,9
37,1,6:44.0,,T. Ariza makes 2-pt layup from 2 ft (assist by R. Anderson),11,11
38,1,6:29.0,D. Collison misses 3-pt jump shot from 22 ft,,11,11
39,1,6:26.0,,Defensive rebound by C. Capela,11,11
40,1,6:17.0,,R. Anderson makes 3-pt jump shot from 26 ft (assist by C. Paul),11,14
41,1,6:16.0,Indiana full timeout,,11,14
42,1,6:16.0,,E. Gordon enters the game for C. Paul,11,14
43,1,5:59.0,V. Oladipo makes 2-pt layup at rim,,13,14
44,1,5:44.0,,Turnover by R. Anderson (bad pass),13,14
45,1,5:44.0,,P. Tucker enters the game for T. Ariza,13,14
46,1,5:44.0,,L. Mbah a Moute enters the game for R. Anderson,13,14
47,1,5:44.0,C. Joseph enters the game for D. Collison,,13,14
48,1,5:22.0,V. Oladipo misses 3-pt jump shot from 25 ft,,13,14
49,1,5:20.0,,Defensive rebound by J. Harden,13,14
50,1,5:14.0,,J. Harden misses 2-pt layup from 3 ft (block by M. Turner),13,14
51,1,5:08.0,,Offensive rebound by C. Capela,13,14
52,1,5:07.0,,C. Capela makes 2-pt dunk from 1 ft,13,16
53,1,5:04.0,V. Oladipo makes 2-pt layup from 1 ft,,15,16
54,1,4:42.0,,C. Capela misses 2-pt layup at rim (block by M. Turner),15,16
55,1,4:38.0,,Offensive rebound by J. Harden,15,16
56,1,4:37.0,,J. Harden makes 2-pt layup from 1 ft,15,18
57,1,4:22.0,M. Turner misses 2-pt jump shot from 18 ft,,15,18
58,1,4:14.0,Offensive rebound by T. Young,,15,18
59,1,4:14.0,T. Young makes 2-pt layup at rim,,17,18
60,1,3:57.0,,J. Harden misses 3-pt jump shot from 26 ft,17,18
61,1,3:54.0,Defensive rebound by M. Turner,,17,18
62,1,3:49.0,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by V. Oladipo),,19,18
63,1,3:32.0,,C. Capela makes 2-pt hook shot from 3 ft (assist by E. Gordon),19,20
64,1,3:20.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),,22,20
65,1,3:03.0,,J. Harden makes 2-pt layup from 1 ft,22,22
66,1,2:54.0,M. Turner misses 3-pt jump shot from 25 ft,,22,22
67,1,2:52.0,,Defensive rebound by C. Capela,22,22
68,1,2:41.0,,E. Gordon misses 3-pt jump shot from 25 ft,22,22
69,1,2:37.0,,Offensive rebound by J. Harden,22,22
70,1,2:30.0,,J. Harden misses 2-pt jump shot from 22 ft,22,22
71,1,2:30.0,Defensive rebound by Team,,22,22
72,1,2:30.0,,Loose ball foul by C. Capela (drawn by M. Turner),22,22
73,1,2:30.0,,Houston full timeout,22,22
74,1,2:30.0,,N. Hilário enters the game for C. Capela,22,22
75,1,2:30.0,L. Stephenson enters the game for T. Young,,22,22
76,1,2:30.0,D. Sabonis enters the game for B. Bogdanović,,22,22
77,1,2:09.0,L. Stephenson makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,25,22
78,1,1:58.0,,Turnover by E. Gordon (bad pass; steal by V. Oladipo),25,22
79,1,1:57.0,Personal foul by E. Gordon (drawn by V. Oladipo),,25,22
80,1,1:42.0,V. Oladipo makes 2-pt jump shot from 16 ft,,27,22
81,1,1:25.0,,L. Mbah a Moute misses 3-pt jump shot from 22 ft,27,22
82,1,1:20.0,Defensive rebound by D. Sabonis,,27,22
83,1,1:17.0,M. Turner misses 2-pt layup from 2 ft,,27,22
84,1,1:14.0,,Defensive rebound by J. Harden,27,22
85,1,1:10.0,,J. Harden misses 2-pt layup from 1 ft (block by D. Sabonis),27,22
86,1,1:10.0,Defensive rebound by L. Stephenson,,27,22
87,1,1:01.0,V. Oladipo misses 3-pt jump shot from 26 ft,,27,22
88,1,1:01.0,,Defensive rebound by N. Hilário,27,22
89,1,0:52.0,,E. Gordon misses 2-pt layup from 2 ft (block by M. Turner),27,22
90,1,0:52.0,Defensive rebound by M. Turner,,27,22
91,1,0:42.0,M. Turner misses 3-pt jump shot from 24 ft,,27,22
92,1,0:42.0,,Defensive rebound by Team,27,22
93,1,0:41.0,Loose ball foul by D. Sabonis (drawn by P. Tucker),,27,22
94,1,0:41.0,,C. Paul enters the game for J. Harden,27,22
95,1,0:41.0,D. Collison enters the game for V. Oladipo,,27,22
96,1,0:34.0,,N. Hilário misses 2-pt layup from 1 ft,27,22
97,1,0:32.0,Defensive rebound by M. Turner,,27,22
98,1,0:12.0,L. Stephenson misses 3-pt jump shot from 25 ft,,27,22
99,1,0:09.0,,Defensive rebound by C. Paul,27,22
100,1,0:00.0,,C. Paul misses 2-pt jump shot from 21 ft,27,22
101,1,0:00.0,,Offensive rebound by Team,27,22
102,2,11:40.0,C. Joseph misses 3-pt jump shot from 23 ft,,27,22
103,2,11:36.0,,Defensive rebound by R. Anderson,27,22
104,2,11:29.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by C. Paul),27,25
105,2,11:11.0,C. Joseph misses 2-pt jump shot from 11 ft,,27,25
106,2,11:09.0,,Defensive rebound by R. Anderson,27,25
107,2,10:59.0,,Turnover by E. Gordon (bad pass; steal by B. Bogdanović),27,25
108,2,10:53.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,27,25
