,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
0,1,11:45.0,,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,0,0
1,1,11:42.0,Defensive rebound by D. Murray,,0,0
2,1,11:29.0,B. Forbes misses 2-pt jump shot from 20 ft,,0,0
3,1,11:25.0,Offensive rebound by L. Aldridge,,0,0
4,1,11:19.0,L. Aldridge misses 2-pt jump shot from 10 ft,,0,0
5,1,11:17.0,,Defensive rebound by L. Ball,0,0
6,1,11:03.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by B. Ingram),0,3
7,1,10:42.0,P. Gasol makes 2-pt dunk from 1 ft (assist by D. Murray),,2,3
8,1,10:31.0,,B. Lopez misses 3-pt jump shot from 25 ft,2,3
9,1,10:27.0,Defensive rebound by D. Murray,,2,3
10,1,10:15.0,P. Gasol misses 2-pt jump shot from 13 ft,,2,3
11,1,10:12.0,,Defensive rebound by B. Ingram,2,3
12,1,9:54.0,,J. Randle misses 2-pt jump shot from 1 ft,2,3
13,1,9:52.0,Defensive rebound by D. Murray,,2,3
14,1,9:47.0,D. Murray misses 2-pt jump shot from 7 ft,,2,3
15,1,9:44.0,,Defensive rebound by K. Caldwell-Pope,2,3
16,1,9:33.0,,J. Randle misses 2-pt jump shot from 15 ft,2,3
17,1,9:28.0,Defensive rebound by P. Gasol,,2,3
18,1,9:23.0,Turnover by P. Gasol (bad pass),,2,3
19,1,9:07.0,,B. Ingram makes 2-pt jump shot from 18 ft,2,5
20,1,9:06.0,San Antonio full timeout,,2,5
21,1,8:57.0,Personal foul by J. Randle (drawn by L. Aldridge),,2,5
22,1,8:48.0,D. Murray misses 2-pt jump shot from 11 ft,,2,5
23,1,8:46.0,,Defensive rebound by B. Lopez,2,5
24,1,8:29.0,,B. Ingram makes 2-pt jump shot from 17 ft,2,7
25,1,8:15.0,P. Gasol misses 2-pt jump shot from 7 ft,,2,7
