,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SAN ANTONIO_ACTION,MINNESOTA_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,Turnover by T. Gibson (bad pass; steal by D. Green),,0,0
1,1,11:34.0,,D. Murray makes 2-pt layup from 1 ft,0,2
2,1,11:14.0,K. Towns misses 2-pt jump shot from 20 ft,,0,2
3,1,11:11.0,Offensive rebound by T. Gibson,,0,2
4,1,11:09.0,J. Butler makes 3-pt jump shot from 25 ft (assist by T. Gibson),,3,2
5,1,10:48.0,,L. Aldridge misses 3-pt jump shot from 25 ft,3,2
6,1,10:45.0,Defensive rebound by K. Towns,,3,2
7,1,10:32.0,J. Butler misses 2-pt layup from 1 ft (block by L. Aldridge),,3,2
8,1,10:29.0,,Defensive rebound by D. Murray,3,2
9,1,10:26.0,,Turnover by D. Murray (lost ball; steal by J. Butler),3,2
10,1,10:21.0,T. Gibson misses 3-pt jump shot from 22 ft,,3,2
11,1,10:18.0,,Defensive rebound by K. Anderson,3,2
12,1,10:04.0,,Turnover by L. Aldridge (lost ball; steal by K. Towns),3,2
13,1,9:59.0,T. Gibson misses 2-pt layup from 1 ft (block by D. Green),,3,2
14,1,9:59.0,Offensive rebound by Team,,3,2
15,1,9:51.0,T. Gibson makes 2-pt jump shot from 15 ft (assist by J. Teague),,5,2
16,1,9:28.0,,D. Green makes 2-pt jump shot from 18 ft,5,4
17,1,9:13.0,K. Towns misses 2-pt jump shot from 16 ft,,5,4
18,1,9:13.0,,Defensive rebound by K. Anderson,5,4
19,1,9:02.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by L. Aldridge),5,7
20,1,8:42.0,Shooting foul by D. Murray (drawn by A. Wiggins),,5,7
21,1,8:42.0,A. Wiggins misses free throw 1 of 2,,5,7
22,1,8:42.0,Offensive rebound by Team,,5,7
23,1,8:42.0,A. Wiggins makes free throw 2 of 2,,6,7
24,1,8:26.0,,P. Gasol makes 2-pt hook shot from 7 ft,6,9
25,1,8:19.0,J. Butler makes 3-pt jump shot from 24 ft (assist by J. Teague),,9,9
26,1,8:07.0,,Shooting foul by T. Gibson (drawn by L. Aldridge),9,9
27,1,8:07.0,,L. Aldridge makes free throw 1 of 2,9,10
