,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MEMPHIS_ACTION,HOUSTON_SCORE,MEMPHIS_SCORE
0,1,11:39.0,,Turnover by J. Martin (bad pass; steal by C. Capela),0,0
1,1,11:20.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,2,0
2,1,11:01.0,,Loose ball foul by J. Ennis (drawn by J. Harden),2,0
3,1,11:00.0,,M. Gasol misses 2-pt jump shot from 7 ft (block by R. Anderson),2,0
4,1,11:00.0,Defensive rebound by Team,,2,0
5,1,10:45.0,R. Anderson misses 3-pt jump shot from 26 ft,,2,0
6,1,10:45.0,,Defensive rebound by J. Ennis,2,0
7,1,10:34.0,,J. Ennis makes 3-pt jump shot from 24 ft (assist by A. Harrison),2,3
8,1,10:13.0,J. Harden misses 3-pt jump shot from 23 ft,,2,3
9,1,10:13.0,Offensive rebound by C. Capela,,2,3
10,1,10:06.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by C. Capela),,5,3
11,1,9:40.0,,M. Conley misses 3-pt jump shot from 28 ft,5,3
12,1,9:36.0,Defensive rebound by C. Capela,,5,3
13,1,9:23.0,C. Capela makes 2-pt layup from 1 ft (assist by T. Ariza),,7,3
14,1,9:00.0,,Shooting foul by C. Capela (drawn by M. Gasol),7,3
15,1,9:00.0,,M. Gasol misses free throw 1 of 2,7,3
16,1,9:00.0,,Offensive rebound by Team,7,3
17,1,9:00.0,,M. Gasol makes free throw 2 of 2,7,4
18,1,8:48.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,9,4
19,1,8:19.0,,M. Gasol misses 2-pt jump shot from 12 ft,9,4
20,1,8:17.0,Defensive rebound by T. Ariza,,9,4
21,1,8:00.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,12,4
22,1,7:34.0,,M. Gasol makes 2-pt jump shot from 11 ft (assist by M. Conley),12,6
23,1,7:13.0,C. Capela misses 2-pt layup from 5 ft (block by M. Gasol),,12,6
24,1,7:11.0,,Defensive rebound by J. Ennis,12,6
25,1,7:07.0,,J. Martin makes 2-pt layup at rim (assist by J. Ennis),12,8
26,1,6:57.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by T. Ariza),,15,8
27,1,6:50.0,,Personal foul by C. Capela (drawn by A. Harrison),15,8
28,1,6:50.0,,Memphis full timeout,15,8
29,1,6:50.0,P. Tucker enters the game for C. Capela,,15,8
30,1,6:34.0,,M. Gasol misses 2-pt layup from 6 ft,15,8
31,1,6:30.0,Defensive rebound by R. Anderson,,15,8
32,1,6:24.0,R. Anderson misses 3-pt jump shot from 28 ft,,15,8
33,1,6:22.0,,Defensive rebound by J. Martin,15,8
34,1,6:10.0,,A. Harrison makes 3-pt jump shot from 25 ft (assist by M. Gasol),15,11
35,1,5:55.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,18,11
36,1,5:44.0,,M. Conley makes 2-pt layup at rim,18,13
37,1,5:20.0,J. Harden makes 2-pt layup from 1 ft,,20,13
38,1,5:04.0,,A. Harrison misses 2-pt jump shot from 21 ft,20,13
39,1,5:03.0,,T. Evans enters the game for J. Ennis,20,13
40,1,5:03.0,N. Hilário enters the game for L. Mbah a Moute,,20,13
41,1,5:02.0,Offensive rebound by P. Tucker,,20,13
42,1,4:57.0,Turnover by P. Tucker (turnover; steal by A. Harrison),,20,13
43,1,4:54.0,,Personal foul by N. Hilário (drawn by M. Gasol),20,13
44,1,4:44.0,,M. Conley misses 3-pt jump shot from 26 ft,20,13
45,1,4:42.0,Defensive rebound by P. Tucker,,20,13
46,1,4:33.0,J. Harden makes 2-pt layup from 2 ft,,22,13
47,1,4:33.0,Shooting foul by J. Martin (drawn by J. Harden),,22,13
48,1,4:33.0,,C. Parsons enters the game for J. Martin,22,13
49,1,4:33.0,,D. Brooks enters the game for A. Harrison,22,13
50,1,4:33.0,B. Brown enters the game for R. Anderson,,22,13
51,1,4:33.0,J. Harden makes free throw 1 of 1,,23,13
52,1,4:16.0,,C. Parsons makes 2-pt jump shot from 21 ft (assist by M. Gasol),23,15
53,1,4:07.0,T. Ariza misses 3-pt jump shot from 26 ft,,23,15
54,1,4:07.0,,Defensive rebound by M. Conley,23,15
55,1,3:53.0,,C. Parsons makes 2-pt jump shot from 19 ft,23,17
56,1,3:40.0,Shooting foul by D. Brooks (drawn by J. Harden),,23,17
57,1,3:40.0,J. Harden misses free throw 1 of 3,,23,17
58,1,3:40.0,Offensive rebound by Team,,23,17
59,1,3:40.0,J. Harden makes free throw 2 of 3,,24,17
60,1,3:40.0,,M. Chalmers enters the game for M. Conley,24,17
61,1,3:40.0,J. Harden makes free throw 3 of 3,,25,17
62,1,3:20.0,,C. Parsons makes 3-pt jump shot from 22 ft (assist by M. Gasol),25,20
63,1,3:01.0,Offensive foul by N. Hilário (drawn by C. Parsons),,25,20
64,1,3:01.0,Turnover by N. Hilário (offensive foul),,25,20
65,1,2:45.0,,M. Gasol misses 3-pt jump shot from 27 ft,25,20
66,1,2:45.0,Defensive rebound by T. Ariza,,25,20
67,1,2:32.0,N. Hilário makes 2-pt layup at rim (assist by J. Harden),,27,20
68,1,2:19.0,,C. Parsons makes 3-pt jump shot from 26 ft (assist by T. Evans),27,23
69,1,2:00.0,N. Hilário misses 2-pt jump shot from 16 ft,,27,23
70,1,1:58.0,,Defensive rebound by C. Parsons,27,23
71,1,1:45.0,,T. Evans makes 3-pt jump shot from 25 ft,27,26
72,1,1:44.0,Houston full timeout,,27,26
73,1,1:44.0,,B. Wright enters the game for M. Gasol,27,26
74,1,1:44.0,L. Mbah a Moute enters the game for T. Ariza,,27,26
75,1,1:30.0,B. Brown misses 3-pt jump shot from 26 ft,,27,26
76,1,1:26.0,,Defensive rebound by D. Brooks,27,26
77,1,1:09.0,,T. Evans makes 2-pt layup from 1 ft,27,28
78,1,0:59.0,N. Hilário makes 2-pt layup at rim (assist by J. Harden),,29,28
79,1,0:48.0,,T. Evans misses 2-pt jump shot from 15 ft,29,28
80,1,0:44.0,Defensive rebound by J. Harden,,29,28
81,1,0:30.0,J. Harden makes 3-pt jump shot from 25 ft,,32,28
82,1,0:10.0,,Shooting foul by P. Tucker (drawn by T. Evans),32,28
83,1,0:10.0,,T. Evans makes free throw 1 of 2,32,29
84,1,0:10.0,,T. Evans makes free throw 2 of 2,32,30
85,1,0:00.0,J. Harden misses 3-pt jump shot from 25 ft,,32,30
86,1,0:00.0,Offensive rebound by Team,,32,30
87,2,11:42.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by L. Mbah a Moute),,35,30
88,2,11:18.0,,M. Chalmers makes 2-pt layup from 1 ft,35,32
89,2,11:18.0,,Shooting foul by B. Brown (drawn by M. Chalmers),35,32
90,2,11:18.0,,M. Chalmers makes free throw 1 of 1,35,33
91,2,11:09.0,Turnover by P. Tucker (bad pass; steal by T. Evans),,35,33
92,2,11:09.0,,Turnover by T. Evans (bad pass),35,33
93,2,11:02.0,B. Brown makes 2-pt jump shot from 1 ft,,37,33
94,2,10:51.0,,C. Parsons misses 3-pt jump shot from 27 ft,37,33
95,2,10:51.0,Defensive rebound by R. Anderson,,37,33
96,2,10:36.0,B. Brown misses 3-pt jump shot from 26 ft,,37,33
97,2,10:36.0,,Defensive rebound by Team,37,33
98,2,10:24.0,,D. Brooks misses 3-pt jump shot from 24 ft,37,33
99,2,10:20.0,Defensive rebound by C. Capela,,37,33
100,2,10:12.0,Shooting foul by B. Wright (drawn by C. Capela),,37,33
101,2,10:12.0,C. Capela makes free throw 1 of 2,,38,33
102,2,10:12.0,,J. Ennis enters the game for C. Parsons,38,33
103,2,10:12.0,C. Capela makes free throw 2 of 2,,39,33
104,2,9:54.0,,T. Evans misses 2-pt layup from 2 ft,39,33
105,2,9:51.0,,Offensive rebound by B. Wright,39,33
106,2,9:51.0,,B. Wright misses 2-pt layup at rim,39,33
107,2,9:48.0,,Offensive rebound by T. Evans,39,33
108,2,9:48.0,,T. Evans misses 2-pt layup at rim,39,33
109,2,9:47.0,Defensive rebound by C. Capela,,39,33
110,2,9:42.0,L. Mbah a Moute misses 2-pt layup at rim (block by B. Wright),,39,33
111,2,9:38.0,Offensive rebound by C. Capela,,39,33
112,2,9:35.0,P. Tucker misses 3-pt jump shot from 22 ft,,39,33
113,2,9:32.0,,Defensive rebound by T. Evans,39,33
114,2,9:29.0,,M. Chalmers misses 2-pt layup at rim,39,33
115,2,9:29.0,Defensive rebound by Team,,39,33
116,2,9:29.0,,Loose ball foul by B. Wright (drawn by P. Tucker),39,33
117,2,9:15.0,Turnover by P. Tucker (bad pass; steal by D. Brooks),,39,33
118,2,9:07.0,,M. Chalmers misses 2-pt layup from 1 ft,39,33
119,2,9:04.0,Defensive rebound by C. Capela,,39,33
120,2,9:00.0,B. Brown misses 2-pt layup from 1 ft,,39,33
121,2,8:56.0,,Defensive rebound by B. Wright,39,33
122,2,8:54.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by M. Chalmers),39,36
123,2,8:40.0,,Offensive charge foul by C. Capela (drawn by M. Chalmers),39,36
124,2,8:40.0,Turnover by C. Capela (offensive foul),,39,36
125,2,8:40.0,T. Ariza enters the game for C. Capela,,39,36
126,2,8:28.0,,B. Wright makes 2-pt layup from 1 ft (assist by T. Evans),39,38
127,2,8:12.0,Turnover by T. Ariza (bad pass),,39,38
128,2,7:59.0,,T. Evans misses 3-pt jump shot from 26 ft,39,38
129,2,7:54.0,Defensive rebound by T. Ariza,,39,38
130,2,7:50.0,R. Anderson misses 3-pt jump shot from 26 ft,,39,38
131,2,7:48.0,Offensive rebound by P. Tucker,,39,38
132,2,7:48.0,Shooting foul by D. Brooks (drawn by P. Tucker),,39,38
133,2,7:48.0,P. Tucker misses free throw 1 of 2,,39,38
134,2,7:48.0,Offensive rebound by Team,,39,38
135,2,7:48.0,,J. Martin enters the game for D. Brooks,39,38
136,2,7:48.0,P. Tucker makes free throw 2 of 2,,40,38
137,2,7:48.0,J. Harden enters the game for C. Capela,,40,38
138,2,7:48.0,J. Harden enters the game for B. Brown,,40,38
139,2,7:48.0,T. Ariza enters the game for B. Brown,,40,38
140,2,7:30.0,,M. Chalmers makes 3-pt jump shot from 26 ft (assist by T. Evans),40,41
141,2,7:14.0,,M. Conley enters the game for T. Evans,40,41
142,2,7:14.0,,M. Gasol enters the game for B. Wright,40,41
143,2,7:14.0,Houston full timeout,,40,41
144,2,7:03.0,J. Harden misses 3-pt jump shot from 25 ft,,40,41
145,2,7:03.0,,Defensive rebound by Team,40,41
146,2,6:43.0,,M. Gasol misses 2-pt hook shot from 11 ft,40,41
147,2,6:40.0,Defensive rebound by T. Ariza,,40,41
148,2,6:37.0,R. Anderson misses 3-pt jump shot from 26 ft,,40,41
149,2,6:33.0,,Defensive rebound by M. Conley,40,41
150,2,6:29.0,,Personal foul by R. Anderson (drawn by M. Gasol),40,41
151,2,6:15.0,,J. Martin misses 3-pt jump shot from 25 ft,40,41
152,2,6:13.0,Defensive rebound by T. Ariza,,40,41
153,2,6:08.0,Turnover by T. Ariza (lost ball; steal by M. Chalmers),,40,41
154,2,6:03.0,,J. Martin makes 2-pt dunk from 1 ft (assist by M. Conley),40,43
155,2,5:41.0,J. Harden misses 2-pt layup at rim,,40,43
156,2,5:38.0,,Defensive rebound by J. Ennis,40,43
157,2,5:35.0,,M. Chalmers misses 3-pt jump shot from 25 ft,40,43
158,2,5:29.0,,Offensive rebound by J. Martin,40,43
159,2,5:29.0,,J. Martin makes 2-pt dunk at rim,40,45
160,2,5:23.0,Personal foul by J. Ennis (drawn by J. Harden),,40,45
161,2,5:23.0,N. Hilário enters the game for P. Tucker,,40,45
