,QUARTER,TIME_REMAINING,UTAH_ACTION,BOSTON_ACTION,UTAH_SCORE,BOSTON_SCORE
0,1,11:36.0,R. Rubio makes 2-pt jump shot from 18 ft (assist by D. Mitchell),,2,0
1,1,11:17.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),2,3
2,1,11:07.0,R. Gobert misses 2-pt layup at rim (block by A. Baynes),,2,3
3,1,11:04.0,,Defensive rebound by A. Horford,2,3
4,1,11:01.0,,J. Brown misses 3-pt jump shot from 23 ft,2,3
5,1,11:01.0,Defensive rebound by R. Gobert,,2,3
6,1,10:37.0,D. Mitchell misses 3-pt jump shot from 26 ft,,2,3
7,1,10:33.0,,Defensive rebound by J. Tatum,2,3
8,1,10:26.0,,A. Baynes misses 2-pt jump shot from 19 ft,2,3
9,1,10:23.0,Defensive rebound by J. Ingles,,2,3
10,1,10:14.0,D. Favors misses 2-pt hook shot from 3 ft,,2,3
11,1,10:11.0,Offensive rebound by D. Favors,,2,3
12,1,10:11.0,D. Favors misses 2-pt hook shot from 3 ft (block by A. Baynes),,2,3
13,1,10:11.0,Offensive rebound by Team,,2,3
14,1,10:11.0,Personal foul by A. Horford (drawn by D. Favors),,2,3
15,1,10:11.0,Utah full timeout,,2,3
16,1,10:11.0,J. Jerebko enters the game for R. Gobert,,2,3
17,1,10:04.0,D. Mitchell misses 2-pt layup from 1 ft,,2,3
18,1,10:02.0,,Defensive rebound by J. Brown,2,3
19,1,9:52.0,,Turnover by J. Brown (bad pass; steal by J. Jerebko),2,3
20,1,9:48.0,J. Jerebko makes 2-pt layup at rim,,4,3
21,1,9:34.0,,J. Tatum misses 3-pt jump shot from 27 ft,4,3
22,1,9:32.0,Defensive rebound by D. Favors,,4,3
23,1,9:27.0,Personal foul by J. Brown (drawn by D. Mitchell),,4,3
24,1,9:21.0,D. Mitchell misses 2-pt jump shot from 15 ft (block by J. Brown),,4,3
25,1,9:17.0,,Defensive rebound by J. Tatum,4,3
26,1,9:10.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),4,5
27,1,8:55.0,Turnover by R. Rubio (bad pass),,4,5
28,1,8:42.0,,J. Brown misses 3-pt jump shot from 25 ft,4,5
29,1,8:39.0,Defensive rebound by J. Jerebko,,4,5
30,1,8:31.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by R. Rubio),,7,5
31,1,8:16.0,,A. Baynes makes 2-pt dunk from 1 ft (assist by A. Horford),7,7
32,1,7:54.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,10,7
33,1,7:42.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),10,10
34,1,7:20.0,D. Mitchell misses 2-pt hook shot from 5 ft,,10,10
35,1,7:17.0,Offensive rebound by D. Favors,,10,10
36,1,7:15.0,R. Rubio misses 3-pt jump shot from 24 ft,,10,10
